#curie_map:
#  BSPO: "http://purl.obolibrary.org/obo/BSPO_"
#  CARO: "http://purl.obolibrary.org/obo/CARO_"
#  CL: "http://purl.obolibrary.org/obo/CL_"
#  DoOR: "http://neuro.uni-konstanz.de/DoOR/content/receptor.php?OR="
#  FBbt: "http://purl.obolibrary.org/obo/FBbt_"
#  FlyBrain_NDB: "https://flybrain-ndb.virtualflybrain.org/neuronrec-"
#  GO: "http://purl.obolibrary.org/obo/GO_"
#  ORCID: "https://orcid.org/"
#  UBERON: "http://purl.obolibrary.org/obo/UBERON_"
#  atlas: "https://www.ento.csiro.au/biology/drosophila/melanogaster.html?"
#  larvalbrain_axon_tract: "http://www.larvalbrain.org/#/browse/axontract/"
#  larvalbrain_neuropil: "http://www.larvalbrain.org/#/browse/neuropil/"
#  obo: "http://purl.obolibrary.org/obo/"
#mapping_set_id: "http://purl.obolibrary.org/obo/fbbt/fbbt-mappings.sssom.tsv"
#mapping_set_description: "Mappings between the Drosophila Anatomy Ontology and foreign ontologies."
#creator_id:
#  - "ORCID:0000-0002-1373-1705"
#  - "ORCID:0000-0002-6095-8718"
#license: "https://creativecommons.org/licenses/by/4.0/"
#subject_source: "obo:fbbt.owl"
subject_id	subject_label	predicate_id	object_id	mapping_justification	object_source	mapping_date	comment
FBbt_00007389	adult olfactory receptor neuron Or85b/98b	skos:exactMatch	DoOR:Or85b	semapv:ManualMappingCuration		2024-10-17	
FBbt_00007389	adult olfactory receptor neuron Or85b/98b	skos:exactMatch	DoOR:Or98b	semapv:ManualMappingCuration		2024-10-17	
FBbt_00047054	adult olfactory receptor neuron Ir75d	skos:exactMatch	DoOR:Ir75d	semapv:ManualMappingCuration		2024-10-17	
FBbt_00051495	adult olfactory receptor neuron Ir75c	skos:exactMatch	DoOR:Ir75c	semapv:ManualMappingCuration		2024-10-17	
FBbt_00051848	adult olfactory receptor neuron Amt/Rh50 VM6v	skos:broadMatch	DoOR:ac1	semapv:ManualMappingCuration		2024-10-17	
FBbt_00051848	adult olfactory receptor neuron Amt/Rh50 VM6v	skos:exactMatch	DoOR:ac1A	semapv:ManualMappingCuration		2024-10-17	
FBbt_00067018	adult olfactory receptor neuron Or19	skos:exactMatch	DoOR:Or19a	semapv:ManualMappingCuration		2024-10-17	
FBbt_00067018	adult olfactory receptor neuron Or19	skos:exactMatch	DoOR:Or19b	semapv:ManualMappingCuration		2024-10-17	
FBbt_00067025	adult olfactory receptor neuron Or22	skos:exactMatch	DoOR:Or22a	semapv:ManualMappingCuration		2024-10-17	
FBbt_00067025	adult olfactory receptor neuron Or22	skos:exactMatch	DoOR:Or22b	semapv:ManualMappingCuration		2024-10-17	
FBbt_00067027	adult olfactory receptor neuron Or67c	skos:exactMatch	DoOR:Or67c	semapv:ManualMappingCuration		2024-10-17	
FBbt_00067031	adult olfactory receptor neuron Or67d	skos:exactMatch	DoOR:Or67d	semapv:ManualMappingCuration		2024-10-17	
FBbt_00067036	adult olfactory receptor neuron Or33c/85e	skos:exactMatch	DoOR:Or33c	semapv:ManualMappingCuration		2024-10-17	
FBbt_00067036	adult olfactory receptor neuron Or33c/85e	skos:exactMatch	DoOR:Or85e	semapv:ManualMappingCuration		2024-10-17	
FBbt_00067039	adult olfactory receptor neuron Or35a	skos:exactMatch	DoOR:Or35a	semapv:ManualMappingCuration		2024-10-17	
FBbt_00067049	adult olfactory receptor neuron Or85a	skos:exactMatch	DoOR:Or33b	semapv:ManualMappingCuration		2024-10-17	
