NUMBER_OF_CLASSES.INCLUDE_IMPORT_CLOSURE=true	9344
NUMBER_OF_NON_DEPRECATED_CLASSES.INCLUDE_IMPORT_CLOSURE=true	8959
NUMBER_OF_CLASSES.INCLUDE_IMPORT_CLOSURE=false	9344
NUMBER_OF_NON_DEPRECATED_CLASSES.INCLUDE_IMPORT_CLOSURE=false	8959
NUMBER_OF_AXIOMS.AXIOM_TYPE=SubClassOf	26424
NUMBER_OF_AXIOMS.AXIOM_TYPE=AnnotationAssertion	65632
NUMBER_OF_AXIOMS.AXIOM_TYPE=DisjointClasses	66
NUMBER_OF_AXIOMS.AXIOM_TYPE=EquivalentClasses	2529
NUMBER_OF_AXIOMS.AXIOM_TYPE=SubClassOf	26424
NUMBER_OF_AXIOMS.AXIOM_TYPE=AnnotationAssertion	65632
NUMBER_OF_AXIOMS.AXIOM_TYPE=DisjointClasses	66
NUMBER_OF_AXIOMS.AXIOM_TYPE=EquivalentClasses	2529
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=hasDbXref 'database_cross_reference'	0:  4535 (0.5061949)	1+: 4424 (0.4938051)	>1: 268 (0.029914053)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=IAO:0000589 IAO:0000589	0:  1 (1.116196E-4)	1+: 8958 (0.99988836)	>1: 0 (0.0)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=hasOBONamespace 'has_obo_namespace'	0:  8959 (1.0)	1+: 0 (0.0)	>1: 0 (0.0)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=hasExactSynonym 'has_exact_synonym'	0:  3473 (0.38765487)	1+: 5486 (0.6123451)	>1: 1267 (0.14142203)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=comment comment	0:  1760 (0.1964505)	1+: 7199 (0.8035495)	>1: 0 (0.0)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=hasNarrowSynonym 'has_narrow_synonym'	0:  157 (0.017524278)	1+: 8802 (0.9824757)	>1: 68 (0.0075901328)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=hasBroadSynonym 'has_broad_synonym'	0:  274 (0.030583771)	1+: 8685 (0.9694162)	>1: 61 (0.0068087955)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=creation_date creation_date	0:  2189 (0.24433531)	1+: 6770 (0.7556647)	>1: 0 (0.0)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=inSubset 'in_subset'	0:  6785 (0.757339)	1+: 2174 (0.24266101)	>1: 712 (0.07947315)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=created_by created_by	0:  2162 (0.24132158)	1+: 6797 (0.75867844)	>1: 0 (0.0)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=IAO:0000115 'definition'	0:  7833 (0.87431633)	1+: 1126 (0.12568367)	>1: 0 (0.0)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=hasAlternativeId 'has_alternative_id'	0:  272 (0.030360531)	1+: 8687 (0.9696395)	>1: 20 (0.002232392)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=id id	0:  8959 (1.0)	1+: 0 (0.0)	>1: 0 (0.0)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=label label	0:  8959 (1.0)	1+: 0 (0.0)	>1: 0 (0.0)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=hasRelatedSynonym 'has_related_synonym'	0:  1349 (0.15057485)	1+: 7610 (0.84942514)	>1: 294 (0.032816164)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=IAO:0000412 IAO:0000412	0:  229 (0.02556089)	1+: 8730 (0.9744391)	>1: 0 (0.0)
AXIOM_TYPE	InverseObjectProperties	TransitiveObjectProperty	SubClassOf	Declaration	DisjointClasses	SubObjectPropertyOf	SubPropertyChainOf	ObjectPropertyDomain	EquivalentClasses	ObjectPropertyRange
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=develops_directly_from 'develops_directly_from'	0	0	28	1	0	1	0	0	3	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=releases_neurotransmitter 'releases_neurotransmitter'	0	0	0	1	0	0	0	0	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=has_function_in_part_of 'has_function_in_part_of'	0	0	0	1	0	0	0	0	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=expresses 'expresses'	0	0	272	1	0	0	0	0	116	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=contained_in 'contained_in'	0	0	0	1	0	1	1	0	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=develops_from 'develops_from'	0	1	1428	1	0	1	0	0	355	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=has_soma_location 'has_soma_location'	0	0	353	1	0	1	1	1	41	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=fasciculates_with 'fasciculates_with'	0	0	452	1	0	1	0	1	78	1
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=has_function_in 'has_function_in'	0	0	0	1	0	0	0	0	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=synapsed_to 'synapsed_to'	0	0	151	1	0	5	0	1	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=synapsed_by 'synapsed_by'	0	0	119	1	0	5	0	0	3	1
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=RO:0000301 'upstream_in_neural_circuit_with'	0	1	0	1	0	2	0	0	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=part_of 'part_of'	1	1	6628	1	0	1	9	0	2234	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=RO:0000300 'in_neural_circuit_with'	0	1	0	1	0	3	0	0	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=has_part 'has_part'	1	1	2	1	0	2	2	0	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=synapsed_via_type_Ib_bouton_to 'synapsed_via_type_Ib_bouton_to'	1	0	66	1	0	1	0	0	43	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=synapsed_via_type_Is_bouton_to 'synapsed_via_type_Is_bouton_to'	1	0	6	1	0	1	0	0	1	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=RO:0000302 'downstream_in_neural_circuit_with'	0	1	0	1	0	2	0	0	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=synapsed_via_type_II_bouton_to 'synapsed_via_type_II_bouton_to'	1	0	6	1	0	1	0	0	1	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=synapsed_by_type_II_bouton_of 'synapsed_by_type_II_bouton_of'	1	0	0	1	0	1	0	0	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=synapsed_by_type_Ib_bouton_of 'synapsed_by_type_Ib_bouton_of'	1	0	0	1	0	1	0	0	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=inheres_in 'inheres_in'	0	0	2	1	0	0	0	0	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=connected_to 'connected_to'	0	0	412	1	0	0	0	0	97	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=partially_overlaps 'partially_overlaps'	0	0	2	1	0	2	0	0	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=has_quality 'has_quality'	0	0	0	1	0	0	0	0	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=capable_of 'capable_of'	0	0	535	1	0	0	1	1	86	1
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=negatively_regulates 'negatively_regulates'	0	0	0	1	0	1	0	0	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=positively_regulates 'positively_regulates'	0	0	0	1	0	1	0	0	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=synapsed_by_type_III_bouton_of 'synapsed_by_type_III_bouton_of'	1	0	0	1	0	1	0	0	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=capable_of_part_of 'capable_of_part_of'	0	0	29	1	0	0	1	1	8	1
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=synapsed_via_type_III_bouton_to 'synapsed_via_type_III_bouton_to'	1	0	2	1	0	1	0	0	1	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=has_presynaptic_terminals_in 'has_presynaptic_terminal_in'	0	0	790	1	0	1	1	1	8	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=secretes_hormone 'secretes_hormone'	0	0	0	1	0	0	0	0	0	0
