NUMBER_OF_CLASSES.INCLUDE_IMPORT_CLOSURE=true	9485
NUMBER_OF_NON_DEPRECATED_CLASSES.INCLUDE_IMPORT_CLOSURE=true	9093
NUMBER_OF_CLASSES.INCLUDE_IMPORT_CLOSURE=false	9485
NUMBER_OF_NON_DEPRECATED_CLASSES.INCLUDE_IMPORT_CLOSURE=false	9093
NUMBER_OF_AXIOMS.AXIOM_TYPE=AnnotationAssertion	67371
NUMBER_OF_AXIOMS.AXIOM_TYPE=SubClassOf	18740
NUMBER_OF_AXIOMS.AXIOM_TYPE=DisjointClasses	67
NUMBER_OF_AXIOMS.AXIOM_TYPE=EquivalentClasses	2584
NUMBER_OF_AXIOMS.AXIOM_TYPE=AnnotationAssertion	67371
NUMBER_OF_AXIOMS.AXIOM_TYPE=SubClassOf	18740
NUMBER_OF_AXIOMS.AXIOM_TYPE=DisjointClasses	67
NUMBER_OF_AXIOMS.AXIOM_TYPE=EquivalentClasses	2584
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=hasDbXref 'database_cross_reference'	0:  4680 (0.51468164)	1+: 4413 (0.48531836)	>1: 296 (0.032552514)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=IAO:0000589 IAO:0000589	0:  1 (1.099747E-4)	1+: 9092 (0.99989)	>1: 0 (0.0)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=hasOBONamespace 'has_obo_namespace'	0:  9093 (1.0)	1+: 0 (0.0)	>1: 0 (0.0)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=hasExactSynonym 'has_exact_synonym'	0:  3658 (0.40228748)	1+: 5435 (0.5977125)	>1: 1317 (0.1448367)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=comment comment	0:  1823 (0.20048389)	1+: 7270 (0.7995161)	>1: 0 (0.0)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=hasNarrowSynonym 'has_narrow_synonym'	0:  215 (0.023644561)	1+: 8878 (0.97635543)	>1: 113 (0.012427142)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=hasBroadSynonym 'has_broad_synonym'	0:  374 (0.04113054)	1+: 8719 (0.95886946)	>1: 61 (0.006708457)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=creation_date creation_date	0:  2332 (0.25646102)	1+: 6761 (0.743539)	>1: 0 (0.0)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=inSubset 'in_subset'	0:  6801 (0.747938)	1+: 2292 (0.25206202)	>1: 714 (0.07852194)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=created_by created_by	0:  2304 (0.25338173)	1+: 6789 (0.7466183)	>1: 0 (0.0)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=IAO:0000115 'definition'	0:  8020 (0.88199717)	1+: 1073 (0.11800286)	>1: 0 (0.0)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=hasAlternativeId 'has_alternative_id'	0:  279 (0.030682944)	1+: 8814 (0.9693171)	>1: 21 (0.0023094688)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=id id	0:  9093 (1.0)	1+: 0 (0.0)	>1: 0 (0.0)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=label label	0:  9093 (1.0)	1+: 0 (0.0)	>1: 0 (0.0)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=hasRelatedSynonym 'has_related_synonym'	0:  1329 (0.14615639)	1+: 7764 (0.8538436)	>1: 288 (0.031672716)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=IAO:0000412 IAO:0000412	0:  227 (0.024964258)	1+: 8866 (0.9750357)	>1: 0 (0.0)
AXIOM_TYPE	ObjectPropertyRange	TransitiveObjectProperty	SubClassOf	ObjectPropertyDomain	Declaration	DisjointClasses	SubPropertyChainOf	InverseObjectProperties	SubObjectPropertyOf	EquivalentClasses
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=has_synaptic_terminals_of 'has_synaptic_terminals_of'	0	0	46	0	1	0	0	1	1	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=innervated_by 'innervated_by'	1	0	3	0	1	0	0	1	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=tracheates 'tracheates'	0	0	0	0	1	0	0	0	1	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=electrically_synapsed_to 'electrically_synapsed_to'	0	0	20	1	1	0	0	0	1	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=synapsed_by_type_Ib_bouton_of 'synapsed_by_type_Ib_bouton_of'	0	0	0	0	1	0	0	1	1	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=synapsed_by_type_II_bouton_of 'synapsed_by_type_II_bouton_of'	0	0	0	0	1	0	0	1	1	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=synapsed_via_type_II_bouton_to 'synapsed_via_type_II_bouton_to'	0	0	5	0	1	0	0	1	1	1
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=synapsed_via_type_Is_bouton_to 'synapsed_via_type_Is_bouton_to'	0	0	5	0	1	0	0	1	1	1
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=synapsed_via_type_Ib_bouton_to 'synapsed_via_type_Ib_bouton_to'	0	0	25	0	1	0	0	1	1	43
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=synapsed_by 'synapsed_by'	1	0	135	0	1	0	0	0	5	3
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=fasciculates_with 'fasciculates_with'	1	0	380	1	1	0	0	0	1	78
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=has_soma_location 'has_soma_location'	0	0	402	1	1	0	1	0	1	41
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=composed_primarily_of 'composed_primarily_of'	0	0	4	0	1	0	0	0	1	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=develops_directly_from 'develops_directly_from'	0	0	25	0	1	0	0	0	1	3
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=synapsed_by_type_III_bouton_of 'synapsed_by_type_III_bouton_of'	0	0	0	0	1	0	0	1	1	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=has_synaptic_terminals_in 'has_synaptic_terminal_in'	0	0	480	0	1	0	1	1	3	24
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=innervates 'innervates'	0	0	130	1	1	0	1	1	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=has_function_in 'has_function_in'	0	0	0	0	1	0	0	0	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=develops_from 'develops_from'	0	1	1100	0	1	0	0	0	1	354
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=overlaps 'overlaps'	0	0	1546	0	1	1	3	0	6	6
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=has_quality 'has_quality'	0	0	0	0	1	0	0	0	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=expresses 'expresses'	0	0	211	0	1	0	0	0	0	169
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=capable_of 'capable_of'	1	0	459	1	1	0	1	0	0	87
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=has_function_in_part_of 'has_function_in_part_of'	0	0	0	0	1	0	0	0	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=releases_neurotransmitter 'releases_neurotransmitter'	0	0	0	0	1	0	0	0	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=located_in 'located_in'	0	0	0	0	1	0	1	0	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=occurs_in 'occurs in'	0	0	1	0	1	0	0	0	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=synapsed_to 'synapsed_to'	0	0	167	1	1	0	0	0	5	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=partially_overlaps 'partially_overlaps'	0	0	2	0	1	0	0	0	2	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=connected_to 'connected_to'	0	0	341	0	1	0	0	0	0	97
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=RO:0000302 'downstream_in_neural_circuit_with'	0	1	0	0	1	0	0	0	2	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=RO:0000301 'upstream_in_neural_circuit_with'	0	1	0	0	1	0	0	0	2	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=RO:0000300 'in_neural_circuit_with'	0	1	0	0	1	0	0	0	3	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=inheres_in 'inheres_in'	0	0	2	0	1	0	0	0	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=contained_in 'contained_in'	0	0	0	0	1	0	1	0	1	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=synapsed_via_type_III_bouton_to 'synapsed_via_type_III_bouton_to'	0	0	1	0	1	0	0	1	1	1
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=has_presynaptic_terminals_in 'has_presynaptic_terminal_in'	0	0	800	1	1	0	1	0	1	8
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=synapsed_by_type_Is_bouton_of 'synapsed_by_type_Is_bouton_of'	0	0	0	0	1	0	0	1	1	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=has_postsynaptic_terminals_in 'has_postsynaptic_terminal_in'	0	0	718	0	1	0	1	0	1	57
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=secretes_hormone 'secretes_hormone'	0	0	0	0	1	0	0	0	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=capable_of_part_of 'capable_of_part_of'	1	0	21	1	1	0	1	0	0	8
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=has_part 'has_part'	0	1	1	0	1	0	2	1	2	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=part_of 'part_of'	0	1	4462	0	1	0	9	1	1	2290
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=positively_regulates 'positively_regulates'	0	0	0	0	1	0	0	0	1	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=negatively_regulates 'negatively_regulates'	0	0	0	0	1	0	0	0	1	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=regulates 'regulates'	0	0	3	0	1	0	0	0	2	0
