defined_class	neuron	neur_name	neur_no	chordotonal_organ	chor_name	chor_no
FBbt:00047273	FBbt:00047268	lch5-1	1	FBbt:00002832	a1	1
FBbt:00047274	FBbt:00047268	lch5-1	1	FBbt:00002833	a2	2
FBbt:00047275	FBbt:00047268	lch5-1	1	FBbt:00002834	a3	3
FBbt:00047276	FBbt:00047268	lch5-1	1	FBbt:00002835	a4	4
FBbt:00047277	FBbt:00047268	lch5-1	1	FBbt:00002836	a5	5
FBbt:00047278	FBbt:00047268	lch5-1	1	FBbt:00002837	a6	6
FBbt:00047279	FBbt:00047268	lch5-1	1	FBbt:00002838	a7	7
FBbt:00047280	FBbt:00047271	lch5-2	2	FBbt:00002832	a1	1
FBbt:00047281	FBbt:00047271	lch5-2	2	FBbt:00002833	a2	2
FBbt:00047282	FBbt:00047271	lch5-2	2	FBbt:00002834	a3	3
FBbt:00047283	FBbt:00047271	lch5-2	2	FBbt:00002835	a4	4
FBbt:00047284	FBbt:00047271	lch5-2	2	FBbt:00002836	a5	5
FBbt:00047285	FBbt:00047271	lch5-2	2	FBbt:00002837	a6	6
FBbt:00047286	FBbt:00047271	lch5-2	2	FBbt:00002838	a7	7
FBbt:00047287	FBbt:00047269	lch5-3	3	FBbt:00002832	a1	1
FBbt:00047288	FBbt:00047269	lch5-3	3	FBbt:00002833	a2	2
FBbt:00047289	FBbt:00047269	lch5-3	3	FBbt:00002834	a3	3
FBbt:00047290	FBbt:00047269	lch5-3	3	FBbt:00002835	a4	4
FBbt:00047291	FBbt:00047269	lch5-3	3	FBbt:00002836	a5	5
FBbt:00047292	FBbt:00047269	lch5-3	3	FBbt:00002837	a6	6
FBbt:00047293	FBbt:00047269	lch5-3	3	FBbt:00002838	a7	7
FBbt:00047294	FBbt:00047272	lch5-4	4	FBbt:00002832	a1	1
FBbt:00047295	FBbt:00047272	lch5-4	4	FBbt:00002833	a2	2
FBbt:00047296	FBbt:00047272	lch5-4	4	FBbt:00002834	a3	3
FBbt:00047297	FBbt:00047272	lch5-4	4	FBbt:00002835	a4	4
FBbt:00047298	FBbt:00047272	lch5-4	4	FBbt:00002836	a5	5
FBbt:00047299	FBbt:00047272	lch5-4	4	FBbt:00002837	a6	6
FBbt:00047300	FBbt:00047272	lch5-4	4	FBbt:00002838	a7	7
FBbt:00047301	FBbt:00047270	lch5-5	5	FBbt:00002832	a1	1
FBbt:00047302	FBbt:00047270	lch5-5	5	FBbt:00002833	a2	2
FBbt:00047303	FBbt:00047270	lch5-5	5	FBbt:00002834	a3	3
FBbt:00047304	FBbt:00047270	lch5-5	5	FBbt:00002835	a4	4
FBbt:00047305	FBbt:00047270	lch5-5	5	FBbt:00002836	a5	5
FBbt:00047306	FBbt:00047270	lch5-5	5	FBbt:00002837	a6	6
FBbt:00047307	FBbt:00047270	lch5-5	5	FBbt:00002838	a7	7
