def_xrefs	defined_class	div_label	long_sub	segment
PMID:28730682	FBbt:00015000	centrolateral	FBbt:00007704	FBbt:00001744
PMID:28730682	FBbt:00015001	centromedial	FBbt:00007703	FBbt:00001744
PMID:28730682	FBbt:00015002	dorsolateral	FBbt:00007707	FBbt:00001744
PMID:28730682	FBbt:00015003	dorsomedial	FBbt:00007708	FBbt:00001744
PMID:28730682	FBbt:00015004	ventrolateral	FBbt:00007705	FBbt:00001744
PMID:28730682	FBbt:00015005	ventromedial	FBbt:00007706	FBbt:00001744
PMID:28730682	FBbt:00015006	centrolateral	FBbt:00007704	FBbt:00001745
PMID:28730682	FBbt:00015007	centromedial	FBbt:00007703	FBbt:00001745
PMID:28730682	FBbt:00015008	dorsolateral	FBbt:00007707	FBbt:00001745
PMID:28730682	FBbt:00015009	dorsomedial	FBbt:00007708	FBbt:00001745
PMID:28730682	FBbt:00015010	ventrolateral	FBbt:00007705	FBbt:00001745
PMID:28730682	FBbt:00015011	ventromedial	FBbt:00007706	FBbt:00001745
PMID:28730682	FBbt:00015012	centrolateral	FBbt:00007704	FBbt:00001743
PMID:28730682	FBbt:00015013	centromedial	FBbt:00007703	FBbt:00001743
PMID:28730682	FBbt:00015014	dorsolateral	FBbt:00007707	FBbt:00001743
PMID:28730682	FBbt:00015015	dorsomedial	FBbt:00007708	FBbt:00001743
PMID:28730682	FBbt:00015016	ventrolateral	FBbt:00007705	FBbt:00001743
PMID:28730682	FBbt:00015017	ventromedial	FBbt:00007706	FBbt:00001743
PMID:28730682	FBbt:00015018	centrolateral	FBbt:00007704	FBbt:00001740
PMID:28730682	FBbt:00015019	centromedial	FBbt:00007703	FBbt:00001740
PMID:28730682	FBbt:00015020	dorsolateral	FBbt:00007707	FBbt:00001740
PMID:28730682	FBbt:00015021	dorsomedial	FBbt:00007708	FBbt:00001740
PMID:28730682	FBbt:00015022	ventrolateral	FBbt:00007705	FBbt:00001740
PMID:28730682	FBbt:00015023	ventromedial	FBbt:00007706	FBbt:00001740
PMID:28730682	FBbt:00015024	centrolateral	FBbt:00007704	FBbt:00001738
PMID:28730682	FBbt:00015025	centromedial	FBbt:00007703	FBbt:00001738
PMID:28730682	FBbt:00015026	dorsolateral	FBbt:00007707	FBbt:00001738
PMID:28730682	FBbt:00015027	dorsomedial	FBbt:00007708	FBbt:00001738
PMID:28730682	FBbt:00015028	ventrolateral	FBbt:00007705	FBbt:00001738
PMID:28730682	FBbt:00015029	ventromedial	FBbt:00007706	FBbt:00001738
PMID:28730682	FBbt:00015030	centrolateral	FBbt:00007704	FBbt:00001739
PMID:28730682	FBbt:00015031	centromedial	FBbt:00007703	FBbt:00001739
PMID:28730682	FBbt:00015032	dorsolateral	FBbt:00007707	FBbt:00001739
PMID:28730682	FBbt:00015033	dorsomedial	FBbt:00007708	FBbt:00001739
PMID:28730682	FBbt:00015034	ventrolateral	FBbt:00007705	FBbt:00001739
PMID:28730682	FBbt:00015035	ventromedial	FBbt:00007706	FBbt:00001739
PMID:28730682	FBbt:00015036	centrolateral	FBbt:00007704	FBbt:00001748
PMID:28730682	FBbt:00015037	centromedial	FBbt:00007703	FBbt:00001748
PMID:28730682	FBbt:00015038	dorsolateral	FBbt:00007707	FBbt:00001748
PMID:28730682	FBbt:00015039	dorsomedial	FBbt:00007708	FBbt:00001748
PMID:28730682	FBbt:00015040	ventrolateral	FBbt:00007705	FBbt:00001748
PMID:28730682	FBbt:00015041	ventromedial	FBbt:00007706	FBbt:00001748
PMID:28730682	FBbt:00015042	centrolateral	FBbt:00007704	FBbt:00001749
PMID:28730682	FBbt:00015043	centromedial	FBbt:00007703	FBbt:00001749
PMID:28730682	FBbt:00015044	dorsolateral	FBbt:00007707	FBbt:00001749
PMID:28730682	FBbt:00015045	dorsomedial	FBbt:00007708	FBbt:00001749
PMID:28730682	FBbt:00015046	ventrolateral	FBbt:00007705	FBbt:00001749
PMID:28730682	FBbt:00015047	ventromedial	FBbt:00007706	FBbt:00001749
PMID:28730682	FBbt:00015048	centrolateral	FBbt:00007704	FBbt:00001750
PMID:28730682	FBbt:00015049	centromedial	FBbt:00007703	FBbt:00001750
PMID:28730682	FBbt:00015050	dorsolateral	FBbt:00007707	FBbt:00001750
PMID:28730682	FBbt:00015051	dorsomedial	FBbt:00007708	FBbt:00001750
PMID:28730682	FBbt:00015052	ventrolateral	FBbt:00007705	FBbt:00001750
PMID:28730682	FBbt:00015053	ventromedial	FBbt:00007706	FBbt:00001750
PMID:28730682	FBbt:00015054	centrolateral	FBbt:00007704	FBbt:00001751
PMID:28730682	FBbt:00015055	centromedial	FBbt:00007703	FBbt:00001751
PMID:28730682	FBbt:00015056	dorsolateral	FBbt:00007707	FBbt:00001751
PMID:28730682	FBbt:00015057	dorsomedial	FBbt:00007708	FBbt:00001751
PMID:28730682	FBbt:00015058	ventrolateral	FBbt:00007705	FBbt:00001751
PMID:28730682	FBbt:00015059	ventromedial	FBbt:00007706	FBbt:00001751
PMID:28730682	FBbt:00015060	centrolateral	FBbt:00007704	FBbt:00001752
PMID:28730682	FBbt:00015061	centromedial	FBbt:00007703	FBbt:00001752
PMID:28730682	FBbt:00015062	dorsolateral	FBbt:00007707	FBbt:00001752
PMID:28730682	FBbt:00015063	dorsomedial	FBbt:00007708	FBbt:00001752
PMID:28730682	FBbt:00015064	ventrolateral	FBbt:00007705	FBbt:00001752
PMID:28730682	FBbt:00015065	ventromedial	FBbt:00007706	FBbt:00001752
PMID:28730682	FBbt:00015066	centrolateral	FBbt:00007704	FBbt:00001753
PMID:28730682	FBbt:00015067	centromedial	FBbt:00007703	FBbt:00001753
