defined_class	superclass	type	designation	def_dbxref
FBbt:00047895	FBbt:00100015	AMMC zone A	AA	FlyBase:FBrf0194812
FBbt:00047896	FBbt:00100015	AMMC zone A	AV	FlyBase:FBrf0194812
FBbt:00047897	FBbt:00100015	AMMC zone A	AV1	FlyBase:FBrf0194812
FBbt:00047898	FBbt:00100015	AMMC zone A	AV2	FlyBase:FBrf0194812
FBbt:00047899	FBbt:00100015	AMMC zone A	AD	FlyBase:FBrf0194812
FBbt:00047900	FBbt:00100015	AMMC zone A	AP	FlyBase:FBrf0194812
FBbt:00047901	FBbt:00100016	AMMC zone B	BI	FlyBase:FBrf0194812
FBbt:00047902	FBbt:00100016	AMMC zone B	BO	FlyBase:FBrf0194812
FBbt:00047903	FBbt:00100017	AMMC zone C	CL	FlyBase:FBrf0194812
FBbt:00047904	FBbt:00100017	AMMC zone C	CM	FlyBase:FBrf0194812
FBbt:00047905	FBbt:00100018	AMMC zone D	DA	FlyBase:FBrf0194812
FBbt:00047906	FBbt:00100018	AMMC zone D	DP	FlyBase:FBrf0194812
FBbt:00047907	FBbt:00100019	AMMC zone E	EA	FlyBase:FBrf0194812
FBbt:00047908	FBbt:00100019	AMMC zone E	EDM	FlyBase:FBrf0194812
FBbt:00047909	FBbt:00100019	AMMC zone E	EVM	FlyBase:FBrf0194812
FBbt:00047910	FBbt:00100019	AMMC zone E	EVP	FlyBase:FBrf0194812
FBbt:00047911	FBbt:00100019	AMMC zone E	EDP	FlyBase:FBrf0194812
FBbt:00047912	FBbt:00100019	AMMC zone E	EDC	FlyBase:FBrf0194812
