defined_class	superclass	number	designation	name	def_dbxref
FBbt:00048016	FBbt:00040057	1	AMS	anterior maxillary sensory center	FlyBase:FBrf0240321
FBbt:00048017	FBbt:00040057	2	AMS	anterior maxillary sensory center	FlyBase:FBrf0240321
FBbt:00048018	FBbt:00040057	3	AMS	anterior maxillary sensory center	FlyBase:FBrf0240321
FBbt:00048019	FBbt:00040056	1	PMS	posterior maxillary sensory center	FlyBase:FBrf0240321
FBbt:00048020	FBbt:00040056	2	PMS	posterior maxillary sensory center	FlyBase:FBrf0240321
FBbt:00048021	FBbt:00040056	3	PMS	posterior maxillary sensory center	FlyBase:FBrf0240321
FBbt:00048022	FBbt:00040056	4	PMS	posterior maxillary sensory center	FlyBase:FBrf0240321
FBbt:00048023	FBbt:00040056	5	PMS	posterior maxillary sensory center	FlyBase:FBrf0240321
FBbt:00048024	FBbt:00040055	1	LS	labial sensory center	FlyBase:FBrf0240321
FBbt:00048025	FBbt:00040055	2	LS	labial sensory center	FlyBase:FBrf0240321
FBbt:00048026	FBbt:00040055	3	LS	labial sensory center	FlyBase:FBrf0240321
