defined_class	superclass	organ_name	cell_body	cb	innervates	organ	subtype	detection	def_dbxref
FBbt:00047451	FBbt:00100145	dorsal organ group	dorsal organ ganglion	FBbt:00007227	dorsal organ	FBbt:00002655	A1	GO:0050912	FlyBase:FBrf0216529
FBbt:00047452	FBbt:00100145	dorsal organ group	dorsal organ ganglion	FBbt:00007227	dorsal organ	FBbt:00002655	A2	GO:0050912	FlyBase:FBrf0216529
FBbt:00047453	FBbt:00100143	terminal organ dorsolateral group	dorsal organ ganglion	FBbt:00007227	terminal organ	FBbt:00002690	B1	GO:0050912	FlyBase:FBrf0216529
FBbt:00047454	FBbt:00100143	terminal organ dorsolateral group	dorsal organ ganglion	FBbt:00007227	terminal organ	FBbt:00002690	B2	GO:0050912	FlyBase:FBrf0216529
FBbt:00047455	FBbt:00111081	terminal organ distal group	terminal organ ganglion	FBbt:00100393	terminal organ	FBbt:00002690	C1	GO:0050912	FlyBase:FBrf0216529
FBbt:00047456	FBbt:00111081	terminal organ distal group	terminal organ ganglion	FBbt:00100393	terminal organ	FBbt:00002690	C2	GO:0050912	FlyBase:FBrf0216529
FBbt:00047457	FBbt:00111081	terminal organ distal group	terminal organ ganglion	FBbt:00100393	terminal organ	FBbt:00002690	C3	GO:0050912	FlyBase:FBrf0216529
FBbt:00047458	FBbt:00111081	terminal organ distal group	terminal organ ganglion	FBbt:00100393	terminal organ	FBbt:00002690	C4	GO:0050912	FlyBase:FBrf0216529
FBbt:00047459	FBbt:00111081	terminal organ distal group	terminal organ ganglion	FBbt:00100393	terminal organ	FBbt:00002690	C5	GO:0050912	FlyBase:FBrf0216529
FBbt:00047460	FBbt:00111081	terminal organ distal group	terminal organ ganglion	FBbt:00100393	terminal organ	FBbt:00002690	C6	GO:0050912	FlyBase:FBrf0216529
FBbt:00047461	FBbt:00111081	terminal organ distal group	terminal organ ganglion	FBbt:00100393	terminal organ	FBbt:00002690	C7	GO:0001580	FlyBase:FBrf0230951
