defined_class	neuron	neur_name	neuromere	mere_short	mere_mid	mere_name	def_dbxref
FBbt:00047772	FBbt:00111250	A03o	FBbt:00111033	a1	abdominal 1	larval abdominal 1 neuromere	FlyBase:FBrf0228257
FBbt:00047773	FBbt:00111251	A05e	FBbt:00111034	a2	abdominal 2	larval abdominal 2 neuromere	FlyBase:FBrf0228257
FBbt:00047774	FBbt:00111251	A05e	FBbt:00111033	a1	abdominal 1	larval abdominal 1 neuromere	FlyBase:FBrf0228257
FBbt:00047775	FBbt:00111231	A05q	FBbt:00111034	a2	abdominal 2	larval abdominal 2 neuromere	FlyBase:FBrf0228257
FBbt:00047776	FBbt:00111231	A05q	FBbt:00111033	a1	abdominal 1	larval abdominal 1 neuromere	FlyBase:FBrf0228257
FBbt:00047777	FBbt:00111244	A08d	FBbt:00111033	a1	abdominal 1	larval abdominal 1 neuromere	FlyBase:FBrf0228257
FBbt:00047778	FBbt:00111252	A08m	FBbt:00111034	a2	abdominal 2	larval abdominal 2 neuromere	FlyBase:FBrf0228257
FBbt:00047779	FBbt:00111252	A08m	FBbt:00111033	a1	abdominal 1	larval abdominal 1 neuromere	FlyBase:FBrf0228257
FBbt:00047780	FBbt:00111258	A08x	FBbt:00111033	a1	abdominal 1	larval abdominal 1 neuromere	FlyBase:FBrf0228257
FBbt:00047781	FBbt:00111259	A08y	FBbt:00111033	a1	abdominal 1	larval abdominal 1 neuromere	FlyBase:FBrf0228257
FBbt:00047782	FBbt:00111253	A10a	FBbt:00111033	a1	abdominal 1	larval abdominal 1 neuromere	FlyBase:FBrf0228257
FBbt:00047783	FBbt:00111253	A10a	FBbt:00111035	a3	abdominal 3	larval abdominal 3 neuromere	FlyBase:FBrf0228257
FBbt:00047784	FBbt:00111254	A10f	FBbt:00111034	a2	abdominal 2	larval abdominal 2 neuromere	FlyBase:FBrf0228257
FBbt:00047785	FBbt:00111255	A10l	FBbt:00111034	a2	abdominal 2	larval abdominal 2 neuromere	FlyBase:FBrf0228257
FBbt:00047786	FBbt:00111256	A12m	FBbt:00111033	a1	abdominal 1	larval abdominal 1 neuromere	FlyBase:FBrf0228257
FBbt:00047787	FBbt:00111245	A12q	FBbt:00111033	a1	abdominal 1	larval abdominal 1 neuromere	FlyBase:FBrf0228257
FBbt:00047788	FBbt:00111257	A19c	FBbt:00111033	a1	abdominal 1	larval abdominal 1 neuromere	FlyBase:FBrf0228257
FBbt:00047789	FBbt:00111232	A23g	FBbt:00111033	a1	abdominal 1	larval abdominal 1 neuromere	FlyBase:FBrf0228257
FBbt:00047790	FBbt:00111246	A29b	FBbt:00111034	a2	abdominal 2	larval abdominal 2 neuromere	FlyBase:FBrf0228257
FBbt:00047791	FBbt:00111261	T05t	FBbt:00111032	t3	metathoracic	larval metathoracic neuromere	FlyBase:FBrf0228257
FBbt:00047792	FBbt:00111262	T08x	FBbt:00111030	t1	prothoracic	larval prothoracic neuromere	FlyBase:FBrf0228257
FBbt:00047793	FBbt:00111262	T08x	FBbt:00111031	t2	mesothoracic	larval mesothoracic neuromere	FlyBase:FBrf0228257
FBbt:00047794	FBbt:00111262	T08x	FBbt:00111032	t3	metathoracic	larval metathoracic neuromere	FlyBase:FBrf0228257
