defined_class	neuron	neur_name	neuromere	mere_short	mere_mid	mere_name	def_dbxref
FBbt:00048413	FBbt:00048411	cholinergic lateral interneuron 1	FBbt:00111033	a1	abdominal 1	larval abdominal 1 neuromere	FlyBase:FBrf0233009
FBbt:00048414	FBbt:00048411	cholinergic lateral interneuron 1	FBbt:00111034	a2	abdominal 2	larval abdominal 2 neuromere	FlyBase:FBrf0233009
FBbt:00048415	FBbt:00048411	cholinergic lateral interneuron 1	FBbt:00111035	a3	abdominal 3	larval abdominal 3 neuromere	FlyBase:FBrf0233009
FBbt:00048416	FBbt:00048411	cholinergic lateral interneuron 1	FBbt:00111036	a4	abdominal 4	larval abdominal 4 neuromere	FlyBase:FBrf0233009
FBbt:00048417	FBbt:00048411	cholinergic lateral interneuron 1	FBbt:00111037	a5	abdominal 5	larval abdominal 5 neuromere	FlyBase:FBrf0233009
FBbt:00048418	FBbt:00048411	cholinergic lateral interneuron 1	FBbt:00111038	a6	abdominal 6	larval abdominal 6 neuromere	FlyBase:FBrf0233009
FBbt:00048419	FBbt:00048412	cholinergic lateral interneuron 2	FBbt:00111033	a1	abdominal 1	larval abdominal 1 neuromere	FlyBase:FBrf0233009
FBbt:00048420	FBbt:00048412	cholinergic lateral interneuron 2	FBbt:00111034	a2	abdominal 2	larval abdominal 2 neuromere	FlyBase:FBrf0233009
FBbt:00048421	FBbt:00048412	cholinergic lateral interneuron 2	FBbt:00111035	a3	abdominal 3	larval abdominal 3 neuromere	FlyBase:FBrf0233009
FBbt:00048422	FBbt:00048412	cholinergic lateral interneuron 2	FBbt:00111036	a4	abdominal 4	larval abdominal 4 neuromere	FlyBase:FBrf0233009
FBbt:00048423	FBbt:00048412	cholinergic lateral interneuron 2	FBbt:00111037	a5	abdominal 5	larval abdominal 5 neuromere	FlyBase:FBrf0233009
FBbt:00048424	FBbt:00048412	cholinergic lateral interneuron 2	FBbt:00111038	a6	abdominal 6	larval abdominal 6 neuromere	FlyBase:FBrf0233009
