defined_class	neuron	neur_name	neuromere	mere_short	mere_mid	mere_name	def_dbxref
FBbt:00047383	FBbt:00111227	Basin-1	FBbt:00111033	a1	abdominal 1	larval abdominal 1 neuromere	FlyBase:FBrf0228257
FBbt:00047384	FBbt:00111227	Basin-1	FBbt:00111034	a2	abdominal 2	larval abdominal 2 neuromere	FlyBase:FBrf0228257
FBbt:00047385	FBbt:00111227	Basin-1	FBbt:00111035	a3	abdominal 3	larval abdominal 3 neuromere	FlyBase:FBrf0228257
FBbt:00047386	FBbt:00111227	Basin-1	FBbt:00111036	a4	abdominal 4	larval abdominal 4 neuromere	FlyBase:FBrf0228257
FBbt:00047387	FBbt:00111227	Basin-1	FBbt:00111037	a5	abdominal 5	larval abdominal 5 neuromere	FlyBase:FBrf0228257
FBbt:00047388	FBbt:00111227	Basin-1	FBbt:00111038	a6	abdominal 6	larval abdominal 6 neuromere	FlyBase:FBrf0228257
FBbt:00047389	FBbt:00111227	Basin-1	FBbt:00111039	a7	abdominal 7	larval abdominal 7 neuromere	FlyBase:FBrf0228257
FBbt:00047390	FBbt:00111227	Basin-1	FBbt:00111040	a8	abdominal 8	larval abdominal 8 neuromere	FlyBase:FBrf0228257
FBbt:00047391	FBbt:00111229	Basin-2	FBbt:00111033	a1	abdominal 1	larval abdominal 1 neuromere	FlyBase:FBrf0228257
FBbt:00047392	FBbt:00111229	Basin-2	FBbt:00111034	a2	abdominal 2	larval abdominal 2 neuromere	FlyBase:FBrf0228257
FBbt:00047393	FBbt:00111229	Basin-2	FBbt:00111035	a3	abdominal 3	larval abdominal 3 neuromere	FlyBase:FBrf0228257
FBbt:00047394	FBbt:00111229	Basin-2	FBbt:00111036	a4	abdominal 4	larval abdominal 4 neuromere	FlyBase:FBrf0228257
FBbt:00047395	FBbt:00111229	Basin-2	FBbt:00111037	a5	abdominal 5	larval abdominal 5 neuromere	FlyBase:FBrf0228257
FBbt:00047396	FBbt:00111229	Basin-2	FBbt:00111038	a6	abdominal 6	larval abdominal 6 neuromere	FlyBase:FBrf0228257
FBbt:00047397	FBbt:00111228	Basin-3	FBbt:00111033	a1	abdominal 1	larval abdominal 1 neuromere	FlyBase:FBrf0228257
FBbt:00047398	FBbt:00111228	Basin-3	FBbt:00111034	a2	abdominal 2	larval abdominal 2 neuromere	FlyBase:FBrf0228257
FBbt:00047399	FBbt:00111228	Basin-3	FBbt:00111035	a3	abdominal 3	larval abdominal 3 neuromere	FlyBase:FBrf0228257
FBbt:00047400	FBbt:00111228	Basin-3	FBbt:00111036	a4	abdominal 4	larval abdominal 4 neuromere	FlyBase:FBrf0228257
FBbt:00047401	FBbt:00111230	Basin-4	FBbt:00111033	a1	abdominal 1	larval abdominal 1 neuromere	FlyBase:FBrf0228257
FBbt:00047402	FBbt:00111230	Basin-4	FBbt:00111034	a2	abdominal 2	larval abdominal 2 neuromere	FlyBase:FBrf0228257
FBbt:00047403	FBbt:00111230	Basin-4	FBbt:00111035	a3	abdominal 3	larval abdominal 3 neuromere	FlyBase:FBrf0228257
FBbt:00047404	FBbt:00111230	Basin-4	FBbt:00111036	a4	abdominal 4	larval abdominal 4 neuromere	FlyBase:FBrf0228257
FBbt:00047405	FBbt:00111230	Basin-4	FBbt:00111037	a5	abdominal 5	larval abdominal 5 neuromere	FlyBase:FBrf0228257
FBbt:00047406	FBbt:00111230	Basin-4	FBbt:00111038	a6	abdominal 6	larval abdominal 6 neuromere	FlyBase:FBrf0228257
FBbt:00047407	FBbt:00111230	Basin-4	FBbt:00111039	a7	abdominal 7	larval abdominal 7 neuromere	FlyBase:FBrf0228257
FBbt:00047408	FBbt:00111242	Handle-A	FBbt:00111033	a1	abdominal 1	larval abdominal 1 neuromere	FlyBase:FBrf0233796
FBbt:00047409	FBbt:00111242	Handle-A	FBbt:00111034	a2	abdominal 2	larval abdominal 2 neuromere	FlyBase:FBrf0233796
FBbt:00047410	FBbt:00111242	Handle-A	FBbt:00111035	a3	abdominal 3	larval abdominal 3 neuromere	FlyBase:FBrf0233796
FBbt:00047411	FBbt:00111242	Handle-A	FBbt:00111036	a4	abdominal 4	larval abdominal 4 neuromere	FlyBase:FBrf0233796
FBbt:00047412	FBbt:00111243	Handle-B	FBbt:00111033	a1	abdominal 1	larval abdominal 1 neuromere	FlyBase:FBrf0233796
FBbt:00047413	FBbt:00111243	Handle-B	FBbt:00111034	a2	abdominal 2	larval abdominal 2 neuromere	FlyBase:FBrf0233796
FBbt:00047414	FBbt:00111243	Handle-B	FBbt:00111035	a3	abdominal 3	larval abdominal 3 neuromere	FlyBase:FBrf0233796
FBbt:00047415	FBbt:00111243	Handle-B	FBbt:00111036	a4	abdominal 4	larval abdominal 4 neuromere	FlyBase:FBrf0233796
FBbt:00047416	FBbt:00047196	Griddle-1	FBbt:00111032	t3	metathoracic	larval metathoracic neuromere	FlyBase:FBrf0233796
FBbt:00047417	FBbt:00047196	Griddle-1	FBbt:00111033	a1	abdominal 1	larval abdominal 1 neuromere	FlyBase:FBrf0233796
FBbt:00047418	FBbt:00047197	Griddle-2	FBbt:00111033	a1	abdominal 1	larval abdominal 1 neuromere	FlyBase:FBrf0233796
FBbt:00047419	FBbt:00047197	Griddle-2	FBbt:00111034	a2	abdominal 2	larval abdominal 2 neuromere	FlyBase:FBrf0233796
FBbt:00047420	FBbt:00047197	Griddle-2	FBbt:00111035	a3	abdominal 3	larval abdominal 3 neuromere	FlyBase:FBrf0233796
FBbt:00047421	FBbt:00047197	Griddle-2	FBbt:00111036	a4	abdominal 4	larval abdominal 4 neuromere	FlyBase:FBrf0233796
FBbt:00047422	FBbt:00047197	Griddle-2	FBbt:00111037	a5	abdominal 5	larval abdominal 5 neuromere	FlyBase:FBrf0233796
FBbt:00047423	FBbt:00047197	Griddle-2	FBbt:00111038	a6	abdominal 6	larval abdominal 6 neuromere	FlyBase:FBrf0233796
FBbt:00047424	FBbt:00047199	Ladder-a	FBbt:00111033	a1	abdominal 1	larval abdominal 1 neuromere	FlyBase:FBrf0233796
FBbt:00047425	FBbt:00047204	Ladder-b	FBbt:00111033	a1	abdominal 1	larval abdominal 1 neuromere	FlyBase:FBrf0233796
FBbt:00047426	FBbt:00047205	Ladder-c	FBbt:00111033	a1	abdominal 1	larval abdominal 1 neuromere	FlyBase:FBrf0233796
FBbt:00047472	FBbt:00047195	Drunken-1	FBbt:00111033	a1	abdominal 1	larval abdominal 1 neuromere	FlyBase:FBrf0233796
FBbt:00047473	FBbt:00047195	Drunken-1	FBbt:00111034	a2	abdominal 2	larval abdominal 2 neuromere	FlyBase:FBrf0233796
FBbt:00047474	FBbt:00047195	Drunken-1	FBbt:00111035	a3	abdominal 3	larval abdominal 3 neuromere	FlyBase:FBrf0233796
FBbt:00047475	FBbt:00047195	Drunken-1	FBbt:00111036	a4	abdominal 4	larval abdominal 4 neuromere	FlyBase:FBrf0233796
FBbt:00047476	FBbt:00047203	ladder-d	FBbt:00111033	a1	abdominal 1	larval abdominal 1 neuromere	FlyBase:FBrf0233796
FBbt:00047477	FBbt:00047203	ladder-d	FBbt:00111034	a2	abdominal 2	larval abdominal 2 neuromere	FlyBase:FBrf0233796
FBbt:00047478	FBbt:00047203	ladder-d	FBbt:00111035	a3	abdominal 3	larval abdominal 3 neuromere	FlyBase:FBrf0233796
FBbt:00047479	FBbt:00047203	ladder-d	FBbt:00111036	a4	abdominal 4	larval abdominal 4 neuromere	FlyBase:FBrf0233796
FBbt:00047480	FBbt:00047203	ladder-d	FBbt:00111037	a5	abdominal 5	larval abdominal 5 neuromere	FlyBase:FBrf0233796
FBbt:00047481	FBbt:00047198	ladder-e	FBbt:00111033	a1	abdominal 1	larval abdominal 1 neuromere	FlyBase:FBrf0233796
FBbt:00047482	FBbt:00047206	ladder-f	FBbt:00111033	a1	abdominal 1	larval abdominal 1 neuromere	FlyBase:FBrf0233796
FBbt:00047483	FBbt:00047206	ladder-f	FBbt:00111034	a2	abdominal 2	larval abdominal 2 neuromere	FlyBase:FBrf0233796
FBbt:00047484	FBbt:00047197	Griddle-2	FBbt:00111032	t3	metathoracic	larval metathoracic neuromere	FlyBase:FBrf0233796
