defined_class	neuron	neur_name	neuromere	mere_short	mere_mid	mere_name	def_dbxref
FBbt:00048436	FBbt:00048431	dorsal multidendritic neuron ddaC	FBbt:00003026	a2	abdominal 2	adult abdominal segment 2	FlyBase:FBrf0209127
FBbt:00048437	FBbt:00048431	dorsal multidendritic neuron ddaC	FBbt:00003027	a3	abdominal 3	adult abdominal segment 3	FlyBase:FBrf0209127
FBbt:00048438	FBbt:00048431	dorsal multidendritic neuron ddaC	FBbt:00003028	a4	abdominal 4	adult abdominal segment 4	FlyBase:FBrf0209127
FBbt:00048439	FBbt:00048431	dorsal multidendritic neuron ddaC	FBbt:00003029	a5	abdominal 5	adult abdominal segment 5	FlyBase:FBrf0209127
FBbt:00048440	FBbt:00048431	dorsal multidendritic neuron ddaC	FBbt:00003030	a6	abdominal 6	adult abdominal segment 6	FlyBase:FBrf0209127
FBbt:00048441	FBbt:00048430	dorsal multidendritic neuron ddaD	FBbt:00003026	a2	abdominal 2	adult abdominal segment 2	FlyBase:FBrf0209127
FBbt:00048442	FBbt:00048430	dorsal multidendritic neuron ddaD	FBbt:00003027	a3	abdominal 3	adult abdominal segment 3	FlyBase:FBrf0209127
FBbt:00048443	FBbt:00048430	dorsal multidendritic neuron ddaD	FBbt:00003028	a4	abdominal 4	adult abdominal segment 4	FlyBase:FBrf0209127
FBbt:00048444	FBbt:00048430	dorsal multidendritic neuron ddaD	FBbt:00003029	a5	abdominal 5	adult abdominal segment 5	FlyBase:FBrf0209127
FBbt:00048445	FBbt:00048430	dorsal multidendritic neuron ddaD	FBbt:00003030	a6	abdominal 6	adult abdominal segment 6	FlyBase:FBrf0209127
FBbt:00048446	FBbt:00048433	dorsal multidendritic neuron ddaE	FBbt:00003026	a2	abdominal 2	adult abdominal segment 2	FlyBase:FBrf0209127
FBbt:00048447	FBbt:00048433	dorsal multidendritic neuron ddaE	FBbt:00003027	a3	abdominal 3	adult abdominal segment 3	FlyBase:FBrf0209127
FBbt:00048448	FBbt:00048433	dorsal multidendritic neuron ddaE	FBbt:00003028	a4	abdominal 4	adult abdominal segment 4	FlyBase:FBrf0209127
FBbt:00048449	FBbt:00048432	anterior ventral multidendritic neuron vdaa	FBbt:00003026	a2	abdominal 2	adult abdominal segment 2	FlyBase:FBrf0209127
FBbt:00048450	FBbt:00048432	anterior ventral multidendritic neuron vdaa	FBbt:00003027	a3	abdominal 3	adult abdominal segment 3	FlyBase:FBrf0209127
FBbt:00048451	FBbt:00048432	anterior ventral multidendritic neuron vdaa	FBbt:00003028	a4	abdominal 4	adult abdominal segment 4	FlyBase:FBrf0209127
FBbt:00048452	FBbt:00048432	anterior ventral multidendritic neuron vdaa	FBbt:00003029	a5	abdominal 5	adult abdominal segment 5	FlyBase:FBrf0209127
FBbt:00048453	FBbt:00048432	anterior ventral multidendritic neuron vdaa	FBbt:00003030	a6	abdominal 6	adult abdominal segment 6	FlyBase:FBrf0209127
FBbt:00048454	FBbt:00048434	lateral multidendritic neuron ldaA	FBbt:00003026	a2	abdominal 2	adult abdominal segment 2	FlyBase:FBrf0209127
FBbt:00048455	FBbt:00048434	lateral multidendritic neuron ldaA	FBbt:00003027	a3	abdominal 3	adult abdominal segment 3	FlyBase:FBrf0209127
FBbt:00048456	FBbt:00048434	lateral multidendritic neuron ldaA	FBbt:00003028	a4	abdominal 4	adult abdominal segment 4	FlyBase:FBrf0209127
FBbt:00048457	FBbt:00048434	lateral multidendritic neuron ldaA	FBbt:00003029	a5	abdominal 5	adult abdominal segment 5	FlyBase:FBrf0209127
FBbt:00048458	FBbt:00048434	lateral multidendritic neuron ldaA	FBbt:00003030	a6	abdominal 6	adult abdominal segment 6	FlyBase:FBrf0209127
FBbt:00048459	FBbt:00048435	lateral multidendritic neuron ldaA-like	FBbt:00003026	a2	abdominal 2	adult abdominal segment 2	FlyBase:FBrf0209127
FBbt:00048460	FBbt:00048435	lateral multidendritic neuron ldaA-like	FBbt:00003027	a3	abdominal 3	adult abdominal segment 3	FlyBase:FBrf0209127
FBbt:00048461	FBbt:00048435	lateral multidendritic neuron ldaA-like	FBbt:00003028	a4	abdominal 4	adult abdominal segment 4	FlyBase:FBrf0209127
FBbt:00048462	FBbt:00048435	lateral multidendritic neuron ldaA-like	FBbt:00003029	a5	abdominal 5	adult abdominal segment 5	FlyBase:FBrf0209127
FBbt:00048463	FBbt:00048435	lateral multidendritic neuron ldaA-like	FBbt:00003030	a6	abdominal 6	adult abdominal segment 6	FlyBase:FBrf0209127
