defined_class	neuron	neur_name	neuromere	mere_short	mere_mid	mere_name	def_dbxref
FBbt:00047795	FBbt:00111249	Wave	FBbt:00111033	a1	abdominal 1	larval abdominal 1 neuromere	FlyBase:FBrf0228257
FBbt:00047796	FBbt:00111249	Wave	FBbt:00111034	a2	abdominal 2	larval abdominal 2 neuromere	FlyBase:FBrf0228257
FBbt:00047797	FBbt:00111249	Wave	FBbt:00111036	a4	abdominal 4	larval abdominal 4 neuromere	FlyBase:FBrf0228257
FBbt:00047798	FBbt:00111249	Wave	FBbt:00111037	a5	abdominal 5	larval abdominal 5 neuromere	FlyBase:FBrf0228257
FBbt:00047799	FBbt:00111249	Wave	FBbt:00111038	a6	abdominal 6	larval abdominal 6 neuromere	FlyBase:FBrf0228257
FBbt:00047801	FBbt:00047800	A03a5	FBbt:00111033	a1	abdominal 1	larval abdominal 1 neuromere	FlyBase:FBrf0228257
FBbt:00047802	FBbt:00047800	A03a5	FBbt:00111034	a2	abdominal 2	larval abdominal 2 neuromere	FlyBase:FBrf0228257
FBbt:00047803	FBbt:00047800	A03a5	FBbt:00111035	a3	abdominal 3	larval abdominal 3 neuromere	FlyBase:FBrf0228257
FBbt:00047804	FBbt:00047800	A03a5	FBbt:00111036	a4	abdominal 4	larval abdominal 4 neuromere	FlyBase:FBrf0228257
FBbt:00047805	FBbt:00001447	aCC	FBbt:00111033	a1	abdominal 1	larval abdominal 1 neuromere	FlyBase:FBrf0228257
FBbt:00047806	FBbt:00001447	aCC	FBbt:00111034	a2	abdominal 2	larval abdominal 2 neuromere	FlyBase:FBrf0228257
FBbt:00047807	FBbt:00001447	aCC	FBbt:00111035	a3	abdominal 3	larval abdominal 3 neuromere	FlyBase:FBrf0228257
FBbt:00047808	FBbt:00001447	aCC	FBbt:00111036	a4	abdominal 4	larval abdominal 4 neuromere	FlyBase:FBrf0228257
FBbt:00047809	FBbt:00001447	aCC	FBbt:00111037	a5	abdominal 5	larval abdominal 1 neuromere	FlyBase:FBrf0228258
FBbt:00047810	FBbt:00001447	aCC	FBbt:00111038	a6	abdominal 6	larval abdominal 2 neuromere	FlyBase:FBrf0228258
FBbt:00047811	FBbt:00001447	aCC	FBbt:00111039	a7	abdominal 7	larval abdominal 3 neuromere	FlyBase:FBrf0228258
FBbt:00047812	FBbt:00001447	aCC	FBbt:00111031	t2	mesothoracic	larval mesothoracic neuromere	FlyBase:FBrf0228258
FBbt:00047813	FBbt:00001447	aCC	FBbt:00111032	t3	metathoracic	larval metathoracic neuromere	FlyBase:FBrf0228258
