defined_class	leg_segment	segment_name	short_name	leg_taste_bristle_ID	leg_name	def_dbxref
FBbt:00048166	FBbt:00004648	the metatarsus	1a	FBbt:00111617	prothoracic	FlyBase:FBrf0225125
FBbt:00048167	FBbt:00004648	the metatarsus	1b	FBbt:00111617	prothoracic	FlyBase:FBrf0225125
FBbt:00048168	FBbt:00004648	the metatarsus	1c	FBbt:00111617	prothoracic	FlyBase:FBrf0225125
FBbt:00048169	FBbt:00004648	the metatarsus	1d	FBbt:00111617	prothoracic	FlyBase:FBrf0225125
FBbt:00048170	FBbt:00004649	tarsal segment 2	2a	FBbt:00111617	prothoracic	FlyBase:FBrf0225125
FBbt:00048171	FBbt:00004649	tarsal segment 2	2b	FBbt:00111617	prothoracic	FlyBase:FBrf0225125
FBbt:00048172	FBbt:00004649	tarsal segment 2	2c	FBbt:00111617	prothoracic	FlyBase:FBrf0225125
FBbt:00048173	FBbt:00004649	tarsal segment 2	2d	FBbt:00111617	prothoracic	FlyBase:FBrf0225125
FBbt:00048174	FBbt:00004649	tarsal segment 2	2e	FBbt:00111617	prothoracic	FlyBase:FBrf0225125
FBbt:00048175	FBbt:00004650	tarsal segment 3	3a	FBbt:00111617	prothoracic	FlyBase:FBrf0225125
FBbt:00048176	FBbt:00004650	tarsal segment 3	3b	FBbt:00111617	prothoracic	FlyBase:FBrf0225125
FBbt:00048177	FBbt:00004650	tarsal segment 3	3c	FBbt:00111617	prothoracic	FlyBase:FBrf0225125
FBbt:00048178	FBbt:00004651	tarsal segment 4	4a	FBbt:00111617	prothoracic	FlyBase:FBrf0225125
FBbt:00048179	FBbt:00004651	tarsal segment 4	4b	FBbt:00111617	prothoracic	FlyBase:FBrf0225125
FBbt:00048180	FBbt:00004651	tarsal segment 4	4c	FBbt:00111617	prothoracic	FlyBase:FBrf0225125
FBbt:00048181	FBbt:00004651	tarsal segment 4	4d	FBbt:00111617	prothoracic	FlyBase:FBrf0225125
FBbt:00048182	FBbt:00004651	tarsal segment 4	4s	FBbt:00111617	prothoracic	FlyBase:FBrf0225125
FBbt:00048183	FBbt:00007595	tarsal segment 5	5a	FBbt:00111617	prothoracic	FlyBase:FBrf0225125
FBbt:00048184	FBbt:00007595	tarsal segment 5	5b	FBbt:00111617	prothoracic	FlyBase:FBrf0225125
FBbt:00048185	FBbt:00007595	tarsal segment 5	5v	FBbt:00111617	prothoracic	FlyBase:FBrf0225125
FBbt:00048186	FBbt:00007595	tarsal segment 5	5s	FBbt:00111617	prothoracic	FlyBase:FBrf0225125
FBbt:00048187	FBbt:00004648	the metatarsus	1a	FBbt:00111618	mesothoracic	FlyBase:FBrf0225125
FBbt:00048188	FBbt:00004648	the metatarsus	1c	FBbt:00111618	mesothoracic	FlyBase:FBrf0225125
FBbt:00048189	FBbt:00004648	the metatarsus	1d	FBbt:00111618	mesothoracic	FlyBase:FBrf0225125
FBbt:00048190	FBbt:00004649	tarsal segment 2	2a	FBbt:00111618	mesothoracic	FlyBase:FBrf0225125
FBbt:00048191	FBbt:00004649	tarsal segment 2	2b	FBbt:00111618	mesothoracic	FlyBase:FBrf0225125
FBbt:00048192	FBbt:00004650	tarsal segment 3	3a	FBbt:00111618	mesothoracic	FlyBase:FBrf0225125
FBbt:00048193	FBbt:00004651	tarsal segment 4	4b	FBbt:00111618	mesothoracic	FlyBase:FBrf0225125
FBbt:00048194	FBbt:00004651	tarsal segment 4	4s	FBbt:00111618	mesothoracic	FlyBase:FBrf0225125
FBbt:00048195	FBbt:00007595	tarsal segment 5	5a	FBbt:00111618	mesothoracic	FlyBase:FBrf0225125
FBbt:00048196	FBbt:00007595	tarsal segment 5	5b	FBbt:00111618	mesothoracic	FlyBase:FBrf0225125
FBbt:00048197	FBbt:00007595	tarsal segment 5	5v	FBbt:00111618	mesothoracic	FlyBase:FBrf0225125
FBbt:00048198	FBbt:00004648	the metatarsus	1a	FBbt:00111619	metathoracic	FlyBase:FBrf0225125
FBbt:00048199	FBbt:00004648	the metatarsus	1c	FBbt:00111619	metathoracic	FlyBase:FBrf0225125
FBbt:00048200	FBbt:00004648	the metatarsus	1d	FBbt:00111619	metathoracic	FlyBase:FBrf0225125
FBbt:00048201	FBbt:00004649	tarsal segment 2	2a	FBbt:00111619	metathoracic	FlyBase:FBrf0225125
FBbt:00048202	FBbt:00004649	tarsal segment 2	2b	FBbt:00111619	metathoracic	FlyBase:FBrf0225125
FBbt:00048203	FBbt:00004650	tarsal segment 3	3a	FBbt:00111619	metathoracic	FlyBase:FBrf0225125
FBbt:00048204	FBbt:00004651	tarsal segment 4	4b	FBbt:00111619	metathoracic	FlyBase:FBrf0225125
FBbt:00048205	FBbt:00004651	tarsal segment 4	4s	FBbt:00111619	metathoracic	FlyBase:FBrf0225125
FBbt:00048206	FBbt:00007595	tarsal segment 5	5a	FBbt:00111619	metathoracic	FlyBase:FBrf0225125
FBbt:00048207	FBbt:00007595	tarsal segment 5	5b	FBbt:00111619	metathoracic	FlyBase:FBrf0225125
FBbt:00048208	FBbt:00007595	tarsal segment 5	5v	FBbt:00111619	metathoracic	FlyBase:FBrf0225125
