defined_class	mode_1	mode_2	mode_ID	leg_name	sensillum	sensillum_ID		def_dbxref
FBbt:00048211	bitter	bitter	GO:0001580	prothoracic	4c	FBbt:00048180		FlyBase:FBrf0225125
FBbt:00048212	bitter	bitter	GO:0001580	prothoracic	4s	FBbt:00048182		FlyBase:FBrf0225125
FBbt:00048213	bitter	bitter	GO:0001580	prothoracic	5b	FBbt:00048184		FlyBase:FBrf0225125
FBbt:00048214	bitter	bitter	GO:0001580	prothoracic	5s	FBbt:00048186		FlyBase:FBrf0225125
FBbt:00048215	sugar	sweet	GO:0001582	prothoracic	2b	FBbt:00048171		FlyBase:FBrf0225125
FBbt:00048216	sugar	sweet	GO:0001582	prothoracic	3b	FBbt:00048176		FlyBase:FBrf0225125
FBbt:00048217	sugar	sweet	GO:0001582	prothoracic	4b	FBbt:00048179		FlyBase:FBrf0225125
FBbt:00048218	sugar	sweet	GO:0001582	prothoracic	4s	FBbt:00048182		FlyBase:FBrf0225125
FBbt:00048219	sugar	sweet	GO:0001582	prothoracic	5b	FBbt:00048184		FlyBase:FBrf0225125
FBbt:00048220	sugar	sweet	GO:0001582	prothoracic	5v	FBbt:00048185		FlyBase:FBrf0225125
FBbt:00048221	sugar	sweet	GO:0001582	prothoracic	5s	FBbt:00048186		FlyBase:FBrf0225125
FBbt:00048222	bitter	bitter	GO:0001580	mesothoracic	4s	FBbt:00048194		FlyBase:FBrf0225125
FBbt:00048223	bitter	bitter	GO:0001580	mesothoracic	5b	FBbt:00048196		FlyBase:FBrf0225125
FBbt:00048224	bitter	bitter	GO:0001580	metathoracic	4s	FBbt:00048205		FlyBase:FBrf0225125
FBbt:00048225	bitter	bitter	GO:0001580	metathoracic	5b	FBbt:00048207		FlyBase:FBrf0225125
FBbt:00048226	sugar	sweet	GO:0001582	mesothoracic	4s	FBbt:00048194		FlyBase:FBrf0225125
FBbt:00048227	sugar	sweet	GO:0001582	mesothoracic	5b	FBbt:00048196		FlyBase:FBrf0225125
FBbt:00048228	sugar	sweet	GO:0001582	mesothoracic	5v	FBbt:00048197		FlyBase:FBrf0225125
FBbt:00048229	sugar	sweet	GO:0001582	metathoracic	4s	FBbt:00048205		FlyBase:FBrf0225125
FBbt:00048230	sugar	sweet	GO:0001582	metathoracic	5b	FBbt:00048207		FlyBase:FBrf0225125
FBbt:00048231	sugar	sweet	GO:0001582	metathoracic	5v	FBbt:00048208		FlyBase:FBrf0225125
