Keys,Values
A09a a1l Basin-2,FBbt:00111229
A09a a1r Basin-2,FBbt:00111229
A09b a1l Basin-1,FBbt:00111227
A09b a1r Basin-1,FBbt:00111227
A09c a1l Basin-4,FBbt:00111230
A09c a1r Basin-4,FBbt:00111230
A09g a1l Basin-3,FBbt:00111228
A09g a1r Basin-3,FBbt:00111228
Drunken-1 a1l,FBbt:00047195
Drunken-1 a1r,FBbt:00047195
Griddle-1 a1l,FBbt:00047196
Griddle-1 a1r,FBbt:00047196
Griddle-1 t3l,FBbt:00047196
Griddle-1 t3r,FBbt:00047196
Griddle-2 a1l,FBbt:00047197
Griddle-2 a1r,FBbt:00047197
Griddle-2 t3l,FBbt:00047197
Griddle-2 t3r,FBbt:00047197
Handle-A a1,FBbt:00111242
Handle-B a1,FBbt:00111243
Ladder-a a1,FBbt:00047199
Ladder-a t3,FBbt:00047199
Ladder-b a1,FBbt:00047204
Ladder-c a1,FBbt:00047205
Ladder-d a1,FBbt:00047203
Ladder-e a1,FBbt:00047198
Ladder-f a1,FBbt:00047206
Ladder-f a2,FBbt:00047206
lch5-1 a1l,FBbt:00002377
lch5-1 a1r,FBbt:00002377
lch5-2/4 a1l,FBbt:00002377
lch5-2/4 a1l,FBbt:00002377
lch5-2/4 a1r,FBbt:00002377
lch5-2/4 a1r,FBbt:00002377
lch5-3 a1l,FBbt:00002377
lch5-3 a1r,FBbt:00002377
lch5-5 a1l,FBbt:00002377
lch5-5 a1r,FBbt:00002377
v'ch a1l,FBbt:00100024
v'ch a1r,FBbt:00100024
vchA/B a1l,FBbt:00002452
vchA/B a1l,FBbt:00002452
vchA/B a1r,FBbt:00002452
vchA/B a1r,FBbt:00002452
