Keys,Values
DNa,FBbt:00047512
DNb,FBbt:00047513
DNc,FBbt:00047514
DNd,FBbt:00047515
DNg,FBbt:00047516
DNp,FBbt:00047517
DNx,FBbt:00047518
antennal lobe,FBbt:00007401
medulla,FBbt:00003748
accessory medulla,FBbt:00045003
lobula plate,FBbt:00003885
lobula,FBbt:00003852
calyx,FBbt:00007385
pedunclus,FBbt:00007453
medial lobe,FBbt:00007677
vertical lobe,FBbt:00015407
MB_ACA,FBbt:00045007
elliipsoid body,FBbt:00003678
fan-shaped body,FBbt:00003679
nodulus,FBbt:00003680
protocerebral bridge,FBbt:00003668
antler,FBbt:00045039
inferior clamp,FBbt:00040049
superior clamp,FBbt:00040048
crepine,FBbt:00045037
inferior bridge,FBbt:00040050
bulb,FBbt:00003682
lateral accessory lobe,FBbt:00003681
lateral horn,FBbt:00007053
cantle,FBbt:00045051
flange,FBbt:00045050
prow,FBbt:00040051
saddle,FBbt:00045048
AMMC,FBbt:00003982
superior medial protocerebrum,FBbt:00007055
superior intermediate protocerebrum,FBbt:00045032
superior lateral protocerbrum,FBbt:00007054
optic tubercle,FBbt:00007059
posterior lateral protocerebrum,FBbt:00040044
anterior ventrolateral protocerebrum,FBbt:00040043
wedge,FBbt:00045027
posterior ventrolateral protocerebrum,FBbt:00040042
inferior posterior slope,FBbt:00045046
superior posterior slope,FBbt:00045040
epaulette ,FBbt:00040040
gorget,FBbt:00040039
vest,FBbt:00040041
GNG,FBbt:00014013
Neck neuropil,FBbt:00047173
Wing neuropil,FBbt:00047137
Haltere neuropil,FBbt:00047138
Tectulum,FBbt:00047519
Ovoid,FBbt:00047174
Abdomenal segment,FBbt:00110173
T1 leg neuropil,FBbt:00047140
T2 leg neuropil,FBbt:00047141
T3 leg neuropil,FBbt:00047142
T1 Ventral association center,FBbt:00047520
T2 Ventral association center,FBbt:00047521
T3 Ventral association center,FBbt:00047522
Wing sensory neuropil,FBbt:00047526
T1 median ventral association center,FBbt:00047523
T2 median ventral association center,FBbt:00047524
T3 median ventral association center,FBbt:00047525
DLT,FBbt:00047533
MDA,FBbt:00047544
MTD,FBbt:00047535
ITD,FBbt:00047534
VLT,FBbt:00047543
DLV,FBbt:00047541
VTV,FBbt:00047542
