Keys,Values
DNa,DNa
DNb,DNb
DNc,DNc
DNd,DNd
DNg,DNg
DNp,DNp
DNx,DNx
antennal lobe,antennal lobe
medulla,medulla
accessory medulla,accessory medulla
lobula plate,lobula plate
lobula,lobula
calyx,mushroom body calyx
pedunclus,mushroom body pedunclus
medial lobe,mushroom body medial lobe
vertical lobe,mushroom body vertical lobe
MB_ACA,mushroom body accessory calyx
elliipsoid body,elliipsoid body
fan-shaped body,fan-shaped body
nodulus,nodulus
protocerebral bridge,protocerebral bridge
antler,antler
inferior clamp,inferior clamp
superior clamp,superior clamp
crepine,crepine
inferior bridge,inferior bridge
bulb,bulb
lateral accessory lobe,lateral accessory lobe
lateral horn,lateral horn
cantle,cantle
flange,flange
prow,prow
saddle,saddle
AMMC,antennal mechanosensory and motor center
superior medial protocerebrum,superior medial protocerebrum
superior intermediate protocerebrum,superior intermediate protocerebrum
superior lateral protocerbrum,superior lateral protocerbrum
optic tubercle,optic tubercle
posterior lateral protocerebrum,posterior lateral protocerebrum
anterior ventrolateral protocerebrum,anterior ventrolateral protocerebrum
wedge,wedge
posterior ventrolateral protocerebrum,posterior ventrolateral protocerebrum
inferior posterior slope,inferior posterior slope
superior posterior slope,superior posterior slope
epaulette ,epaulette 
gorget,gorget
vest,vest
GNG,gnathal ganglion
Neck neuropil,neck neuropil
Wing neuropil,wing neuropil
Haltere neuropil,haltere neuropil
Tectulum,upper tectulum
Ovoid,lower tectulum
Abdomenal segment,abdominal neuromere
T1 leg neuropil,T1 leg neuropil
T2 leg neuropil,T2 leg neuropil
T3 leg neuropil,T3 leg neuropil
T1 Ventral association center,T1 ventral association center
T2 Ventral association center,T2 ventral association center
T3 Ventral association center,T3 ventral association center
Wing sensory neuropil,wing sensory neuropil
T1 median ventral association center,T1 median ventral association center
T2 median ventral association center,T2 median ventral association center
T3 median ventral association center,T3 median ventral association center
DLT,dorsal lateral tract of the dorsal cervical fascicle
MDA,median dorsal abdominal tract
MTD,median tract of the dorsal cervical fascicle
ITD,intermediate tract of the dorsal cervical fascicle
VLT,ventral lateral tract of the ventral cervical fascicle
DLV,dorsal lateral tract of the ventral cervical fascicle
VTV,ventral medial tract of the ventral cervical fascicle
