Name	Similar_neuron	sim_name	fbbt	fbrf	Citation	Notes
DNa01	"aSP3
"	the fruitless aSP3 neuron	FBbt:00110553	FBrf0211884	Yu et al., 2010	
DNa01	VGlut-F-200324	VGlut-F-200324		FBrf0212704	FlyCircuit	
DNa05	DNDC 2-2	descending neuron dorsal cluster 2-2 (DNDC 2-2)		FBrf:0239828	Gronenberg and Strausfeld, 1992	
DNa10	VGlut-F-200121	VGlut-F-200121		FBrf0212704	FlyCircuit	
DNb01	VGlut-F-500726	VGlut-F-500726		FBrf0212704	FlyCircuit	
DNb02	fru-F-100073 and VGlut-F-300245	fru-F-100073 and VGlut-F-300245		FBrf0212704	FlyCircuit	
xxDNb05	T1	the thoracic relay interneuron (TI)		FBrf0051437	Stocker et al., 1990	synonym for AMMC-Di7 - not entered separately
DNb05	AMMC-Di7	the antennal mechanosensory and motor center Di7 neuron	FBbt:00111492	FBrf0230862	Matsuo et al., 2016	
DNd01	fru-F-500429	fru-F-500429		FBrf0212704	FlyCircuit	
DNd02	OA-VL1	the octopaminergic VL1 neuron	FBbt:00110165	FBrf0207458	Busch et al., 2009	
DNd03	OA-VL2	the octopaminergic VL2 neuron	FBbt:00110166	FBrf0207458	Busch et al., 2009	
DNg07	aPN	the antennal mechanosensory and motor center VNC projection neuron	FBbt:00110631	FBrf0225096	Vaughan et al., 2014	
DNg07	VGlut-F-500136	VGlut-F-500136		FBrf0212704	FlyCircuit	
DNg08	VGlut-F-400822	VGlut-F-400822		FBrf0212704	FlyCircuit	
DNg12	aDN1	the antennal grooming descending neuron 1	FBbt:00111647	FBrf0229838	Hampel et al., 2015	
xxDNg13	pSG3	the fruitless pSG3 neuron	FBbt:00047249	FBrf0224741	Tran et al., 2014	? Also had FBrf0211884 Yu et al., 2010, but no pSG3 in either ref - not sure so not entering
DNg15	AMMC-Db5	 the antennal mechanosensory and motor center Db5 neuron	FBbt:00111500	FBrf0230862	Matsuo et al., 2016	
DNg16	VGlut-F-600012, VGlut-F-200371	VGlut-F-600012 and VGlut-F-200371		FBrf0212704	FlyCircuit	
DNg25	one of CCAP	one of the CCAP-expressing neurons	FBbt:00111316	FBrf0222983	Lee et al., 2013	parent CCAP class
DNg26	"
one neuron in hugS3-GAL4"	one of the Hugin-expressing neurons	FBbt:00110924	FBrf0188215	Melcher and Pankratz, 2005	parent hugin class
DNg26	aSG3	the fruitless aSG3 neuron	FBbt:00111168	FBrf0211884	Yu et al., 2010	
DNg26	fru-F-900021	fru-F-900021		FBrf0212704	FlyCircuit	
DNg28	2 large cell in TRH-Gal4	two large cells of the SE1 cluster	FBbt:00110949	FBrf0210961	Alekseyenko et al., 2010	parent SE1 class
DNg29	AMMC-Db7	the antennal mechanosensory and motor center Db7 neuron	FBbt:00111502	FBrf0230862	Matsuo et al., 2016	
DNg30	ICLI	the inferior contralateral interneuron		FBrf0222685	Jiang et al., 2013	
DNg31	fru-F-000167	fru-F-000167		FBrf0212704	FlyCircuit	
DNg34	OA-VPM1	the octopaminergic VPM1 neuron	FBbt:00110149	FBrf0207458	Busch et al., 2009	
DNg34	aDT8	the fruitless aDT8 neuron	FBbt:00110543	FBrf0211884	Yu et al., 2010	
DNg38	Gad1-F-500376	Gad1-F-500376		FBrf0212704	FlyCircuit	
DNg39	VGlut-F-300006, Gad1-F-000424	VGlut-F-300006 and Gad1-F-000424		FBrf0212704	FlyCircuit	
DNp01	giant descending neuron	the giant descending neuron		FBrf:0239829	Milde and Strausfeld 1990	
