	larvalbrain_Name	FBbt_id	FBbt_Name
0	Abdominal ganglion	http://purl.obolibrary.org/obo/FBbt_00110173	adult abdominal neuromere
1	Abdominal ganglion	http://purl.obolibrary.org/obo/FBbt_00111082	adult thoracico-abdominal ganglion cell body rind
2	Abdominal ganglion	http://purl.obolibrary.org/obo/FBbt_00110053	larval Leucokinin ABLK neuron of the abdominal ganglion
3	Abdominal ganglion	http://purl.obolibrary.org/obo/FBbt_00110051	adult Tachykinin neuron of the thoracic-abdominal ganglion
4	Abdominal ganglion	http://purl.obolibrary.org/obo/FBbt_00110048	larval Tachykinin neuron of the ventral cord
5	Abdominal ganglion	http://purl.obolibrary.org/obo/FBbt_00110054	adult Leucokinin ABLK neuron of the abdominal ganglion
6	Abdominal ganglion	http://purl.obolibrary.org/obo/FBbt_00111304	adult sex peptide abdominal ganglion neuron
7	Abdominal ganglion	http://purl.obolibrary.org/obo/FBbt_00111305	adult dorsal posterior Ilp7 (male) neuron
8	Abdominal ganglion	http://purl.obolibrary.org/obo/FBbt_00004052	thoracico-abdominal ganglion
9	Abdominal ganglion	http://purl.obolibrary.org/obo/FBbt_00047528	neuron projection bundle of thoracico-abdominal ganglion
10	Abdominal ganglion	http://purl.obolibrary.org/obo/FBbt_00110663	serotonergic abdominal giant (male) neuron
11	Abdominal ganglion	http://purl.obolibrary.org/obo/FBbt_00110664	adult post-embryonic ventral posterior Ilp7 (female) neuron
12	Abdominal ganglion	http://purl.obolibrary.org/obo/FBbt_00110662	adult posterior abdominal ganglion neuron
13	Abdominal ganglion	http://purl.obolibrary.org/obo/FBbt_00110881	adult GPA2/GPB5 neuron of the thoracico-abdominal ganglion
14	Abdominal ganglion	http://purl.obolibrary.org/obo/FBbt_00047135	adult DH44 neuron of thoracico-abdominal ganglion
15	Abdominal ganglion 1		
16	Abdominal ganglion 2	http://purl.obolibrary.org/obo/FBbt_00110881	adult GPA2/GPB5 neuron of the thoracico-abdominal ganglion
17	Abdominal ganglion 3		
18	Abdominal ganglion 4	http://purl.obolibrary.org/obo/FBbt_00047135	adult DH44 neuron of thoracico-abdominal ganglion
19	Abdominal ganglion 5	http://purl.obolibrary.org/obo/FBbt_00110881	adult GPA2/GPB5 neuron of the thoracico-abdominal ganglion
20	Abdominal ganglion 6		
21	Abdominal ganglion 7	http://purl.obolibrary.org/obo/FBbt_00111305	adult dorsal posterior Ilp7 (male) neuron
22	Abdominal ganglion 7	http://purl.obolibrary.org/obo/FBbt_00110664	adult post-embryonic ventral posterior Ilp7 (female) neuron
23	Abdominal ganglion 8		
24	Abdominal ganglion 9		
25	Deuterocerebrum	http://purl.obolibrary.org/obo/FBbt_00007146	adult deutocerebrum
26	Deuterocerebrum	http://purl.obolibrary.org/obo/FBbt_00001067	embryonic deutocerebrum
27	Deuterocerebrum	http://purl.obolibrary.org/obo/FBbt_00003923	deutocerebrum
28	Deuterocerebrum	http://purl.obolibrary.org/obo/FBbt_00110410	cell body rind of deutocerebrum
29	Deuterocerebrum	http://purl.obolibrary.org/obo/FBbt_00110046	adult deutocerebrum DC Tachykinin neuron
30	Deuterocerebrum	http://purl.obolibrary.org/obo/FBbt_00001957	embryonic/larval deutocerebrum
31	Labium	http://purl.obolibrary.org/obo/FBbt_00004531	labellum
32	Mandibula	http://purl.obolibrary.org/obo/FBbt_00007159	adult mandibular neuromere
33	Mandibula	http://purl.obolibrary.org/obo/FBbt_00001086	embryonic mandibular neuromere
34	Mandibula	http://purl.obolibrary.org/obo/FBbt_00000012	mandibular segment
35	Mandibula	http://purl.obolibrary.org/obo/FBbt_00002685	larval mandibular segment sensillum
36	Mandibula	http://purl.obolibrary.org/obo/FBbt_00047748	larval mandibular VPM neuron
37	Mandibula	http://purl.obolibrary.org/obo/FBbt_00047759	larval mandibular VUM neuron 1
38	Mandibula	http://purl.obolibrary.org/obo/FBbt_00047753	cell body rind of larval mandibular neuromere
39	Mandibula	http://purl.obolibrary.org/obo/FBbt_00047752	larval mandibular VUM neuron
40	Mandibula	http://purl.obolibrary.org/obo/FBbt_00047760	larval mandibular VUM neuron 2
