	larvalbrain_Name	FBbt_id	FBbt_Name
0	ADC	http://purl.obolibrary.org/obo/FBbt_00005514	clypeo-labral disc primordium
1	ADC	http://purl.obolibrary.org/obo/FBbt_00004203	adult clypeo-labral anlage
2	ADC	http://purl.obolibrary.org/obo/FBbt_00004307	anterior dorsocentral bristle
3	ALC	http://purl.obolibrary.org/obo/GO_0051592	response to calcium ion
4	ALC	http://purl.obolibrary.org/obo/FBbt_00050024	adult ALl1 lineage clone
5	ALC	http://purl.obolibrary.org/obo/FBbt_00050025	adult ALl1 lineage neuron
6	ALC	http://purl.obolibrary.org/obo/GO_1905945	regulation of response to calcium ion
7	ALC	http://purl.obolibrary.org/obo/GO_1905957	regulation of cellular response to alcohol
8	ALC	http://purl.obolibrary.org/obo/GO_0015850	organic hydroxy compound transport
9	ALC	http://purl.obolibrary.org/obo/FBbt_00003338	prothoracic pleural promotor muscle 30
10	ALC	http://purl.obolibrary.org/obo/GO_0097306	cellular response to alcohol
11	ALC	http://purl.obolibrary.org/obo/GO_0097305	response to alcohol
12	ALC	http://purl.obolibrary.org/obo/FBbt_00100351	superior antennal lobe commissure
13	ALC	http://purl.obolibrary.org/obo/FBbt_00100352	inferior antennal lobe commissure
14	ALC	http://purl.obolibrary.org/obo/FBbt_00110086	lobula columnar neuron ChaLcnnew1
15	ALC	http://purl.obolibrary.org/obo/FBbt_00100646	DALcl2 lineage neuron
16	ALC	http://purl.obolibrary.org/obo/FBbt_00100648	DALcm1 lineage neuron
17	ALC	http://purl.obolibrary.org/obo/FBbt_00100649	DALcm2 lineage neuron
18	ALC	http://purl.obolibrary.org/obo/FBbt_00100644	DALcl1 lineage neuron
19	ALC	http://purl.obolibrary.org/obo/FBbt_00100660	BAlc1 lineage neuron
20	ALC	http://purl.obolibrary.org/obo/FBbt_00007074	lateral accessory lobe commissure
21	ALC	http://purl.obolibrary.org/obo/FBbt_00100548	neuroblast DALcm1
22	ALC	http://purl.obolibrary.org/obo/FBbt_00100549	neuroblast DALcm2
23	ALC	http://purl.obolibrary.org/obo/FBbt_00100545	neuroblast DALcl1
24	ALC	http://purl.obolibrary.org/obo/FBbt_00100546	neuroblast DALcl2
25	ALC	http://purl.obolibrary.org/obo/GO_0005513	detection of calcium ion
26	ALC	http://purl.obolibrary.org/obo/FBbt_00016005	salivary gland common duct primordium
27	ALC	http://purl.obolibrary.org/obo/GO_1901419	regulation of response to alcohol
28	ALC	http://purl.obolibrary.org/obo/FBbt_00047485	calcium-sensing neuron of the labellum
29	ALC	http://purl.obolibrary.org/obo/FBbt_00067347	neuroblast ALl1
30	ALT	http://purl.obolibrary.org/obo/FBbt_00111529	dorsal-ventral compartment boundary of the haltere disc
31	ALT	http://purl.obolibrary.org/obo/FBbt_00111528	anterior-posterior compartment boundary of the haltere disc
32	ALT	http://purl.obolibrary.org/obo/FBbt_00111546	haltere disc dorsal compartment
33	ALT	http://purl.obolibrary.org/obo/FBbt_00111547	haltere disc ventral compartment
34	ALT	http://purl.obolibrary.org/obo/FBbt_00111567	haltere posterior compartment
35	ALT	http://purl.obolibrary.org/obo/FBbt_00111566	haltere anterior compartment
36	ALT	http://www.geneontology.org/formats/oboInOwl#hasAlternativeId	has_alternative_id
37	ALT	http://purl.obolibrary.org/obo/FBbt_00007482	transverse antennal lobe tract
38	ALT	http://purl.obolibrary.org/obo/FBbt_00003985	medial antennal lobe tract
39	ALT	http://purl.obolibrary.org/obo/FBbt_00003984	mediolateral antennal lobe tract
40	ALT	http://purl.obolibrary.org/obo/FBbt_00003983	lateral antennal lobe tract
41	ALT	http://purl.obolibrary.org/obo/FBbt_00007340	haltere trichome
42	ALT	http://purl.obolibrary.org/obo/FBbt_00111687	embryonic/larval lateral antennal lobe tract
43	ALT	http://purl.obolibrary.org/obo/FBbt_00111686	embryonic/larval medial antennal lobe tract
44	ALT	http://purl.obolibrary.org/obo/GO_0001583	detection of chemical stimulus involved in sensory perception of salty taste
45	ALT	http://purl.obolibrary.org/obo/FBbt_00008121	haltere disc anterior compartment
46	ALT	http://purl.obolibrary.org/obo/FBbt_00008120	haltere disc posterior compartment
47	ALT	http://purl.obolibrary.org/obo/FBbt_00004630	haltere foramen
48	ALT	http://purl.obolibrary.org/obo/FBbt_00003227	adepithelial cell of haltere disc
49	ALT	http://purl.obolibrary.org/obo/FBbt_00005819	haltere disc-derived cell-line
50	ALT	http://purl.obolibrary.org/obo/GO_0050914	sensory perception of salty taste
51	ALT	http://purl.obolibrary.org/obo/FBbt_00111315	transverse antennal lobe t5ALT tract
52	ALT	http://purl.obolibrary.org/obo/FBbt_00111314	transverse antennal lobe t4ALT tract
53	ALT	http://purl.obolibrary.org/obo/FBbt_00111313	transverse antennal lobe t3ALT tract
54	ALT	http://purl.obolibrary.org/obo/FBbt_00111312	transverse antennal lobe t2ALT tract
55	ALT	http://purl.obolibrary.org/obo/FBbt_00111311	transverse antennal lobe t1ALT tract
