yes_no_approx	larvalbrain_Name	FBbt_id	FBbt_Name	notes
Y	Abdominal ganglion	http://purl.obolibrary.org/obo/FBbt_00111028	larval abdominal neuromere	
Y	Abdominal ganglion 1	http://purl.obolibrary.org/obo/FBbt_00111033	larval abdominal 1 neuromere	
Y	Abdominal ganglion 2	http://purl.obolibrary.org/obo/FBbt_00111034	larval abdominal 2 neuromere	
Y	Abdominal ganglion 3	http://purl.obolibrary.org/obo/FBbt_00111035	larval abdominal 3 neuromere	
Y	Abdominal ganglion 4	http://purl.obolibrary.org/obo/FBbt_00111036	larval abdominal 4 neuromere	
Y	Abdominal ganglion 5	http://purl.obolibrary.org/obo/FBbt_00111037	larval abdominal 5 neuromere	
Y	Abdominal ganglion 6	http://purl.obolibrary.org/obo/FBbt_00111038	larval abdominal 6 neuromere	
Y	Abdominal ganglion 7	http://purl.obolibrary.org/obo/FBbt_00111039	larval abdominal 7 neuromere	
Y	Abdominal ganglion 8	http://purl.obolibrary.org/obo/FBbt_00111040	larval abdominal 8 neuromere	
Y	Abdominal ganglion 9	http://purl.obolibrary.org/obo/FBbt_00111041	larval abdominal 9 neuromere	
Y	Deuterocerebrum	http://purl.obolibrary.org/obo/FBbt_00001957	embryonic/larval deutocerebrum	
Y	Labium	http://purl.obolibrary.org/obo/FBbt_00001974	larval labial neuromere	
Y	Mandibula	http://purl.obolibrary.org/obo/FBbt_00001973	larval mandibular neuromere	
Y	Mandibular neuromeres	http://purl.obolibrary.org/obo/FBbt_00111045	larval gnathal neuromere	
Y	Maxilla	http://purl.obolibrary.org/obo/FBbt_00001975	larval maxillary neuromere	
Y	Protocerebrum	http://purl.obolibrary.org/obo/FBbt_00001925	embryonic/larval protocerebrum	
Y	Thoracic ganglion	http://purl.obolibrary.org/obo/FBbt_00111029	larval thoracic neuromere	
Y	Thoracic ganglion 1	http://purl.obolibrary.org/obo/FBbt_00111030	larval prothoracic neuromere	
Y	Thoracic ganglion 2	http://purl.obolibrary.org/obo/FBbt_00111031	larval mesothoracic neuromere	
Y	Thoracic ganglion 3	http://purl.obolibrary.org/obo/FBbt_00111032	larval metathoracic neuromere	
Y	Tritocerebrum	http://purl.obolibrary.org/obo/FBbt_00001962	embryonic/larval tritocerebrum	
N	antennal lobe	http://purl.obolibrary.org/obo/FBbt_00007127	embryonic/larval antennal lobe	this includes some primordium
Y	anterior inferior protocerebrum	http://purl.obolibrary.org/obo/FBbt_00007118	embryonic/larval crepine	
Y	anterior ventromedial cerebrum	http://purl.obolibrary.org/obo/FBbt_00007725	embryonic/larval anterior ventromedial cerebrum	
A	calyx	http://purl.obolibrary.org/obo/FBbt_00007191	calyx of larval mushroom body	might include accessory calyx
Y	central abdominal ganglion A1	http://purl.obolibrary.org/obo/FBbt_00015048	central neuropil of larval segment A1	
Y	central abdominal ganglion A2	http://purl.obolibrary.org/obo/FBbt_00015055	central neuropil of larval segment A2	
Y	central abdominal ganglion A3	http://purl.obolibrary.org/obo/FBbt_00015062	central neuropil of larval segment A3	
Y	central abdominal ganglion A4	http://purl.obolibrary.org/obo/FBbt_00015069	central neuropil of larval segment A4	
Y	central abdominal ganglion A5	http://purl.obolibrary.org/obo/FBbt_00015076	central neuropil of larval segment A5	
Y	central abdominal ganglion A6	http://purl.obolibrary.org/obo/FBbt_00015083	central neuropil of larval segment A6	
Y	central abdominal ganglion A7	http://purl.obolibrary.org/obo/FBbt_00015090	central neuropil of larval segment A7	
Y	central abdominal ganglion A8	http://purl.obolibrary.org/obo/FBbt_00015097	central neuropil of larval segment A8	
N	central and lateral complex			too general
Y	central labial segment	http://purl.obolibrary.org/obo/FBbt_00015027	central neuropil of larval labial segment	
Y	central mandibular segment	http://purl.obolibrary.org/obo/FBbt_00015034	central neuropil of larval mandibular segment	
Y	central maxillary segment	http://purl.obolibrary.org/obo/FBbt_00015041	central neuropil of larval maxillary segment	
Y	central thoracic ganglion T1	http://purl.obolibrary.org/obo/FBbt_00015020	central neuropil of larval segment T1	
Y	central thoracic ganglion T2	http://purl.obolibrary.org/obo/FBbt_00015006	central neuropil of larval segment T2	
Y	central thoracic ganglion T3	http://purl.obolibrary.org/obo/FBbt_00015013	central neuropil of larval segment T3	
