yes_no_approx	larvalbrain_Name	FBbt_id	FBbt_Name	notes
Y	ALC	http://purl.obolibrary.org/obo/FBbt_00047940	larval antennal lobe commissure	
Y	ALT	http://purl.obolibrary.org/obo/FBbt_00007148	embryonic/larval antennal lobe tract	
A	ALT anterior entry	http://purl.obolibrary.org/obo/FBbt_00007148	embryonic/larval antennal lobe tract	
N	BAl3_4			
N	BLP1_2			
Y	DLT	http://purl.obolibrary.org/obo/FBbt_00015900	DL fascicle	
Y	DMT	http://purl.obolibrary.org/obo/FBbt_00005909	DM fascicle	
N	DPLam			
N	DPMm1 to prFBpl			
N	DPMpm1_2 to prFBpl			
A	DPPT common	http://purl.obolibrary.org/obo/FBbt_00007122	dorsal posterior protocerebral tract	
A	DPPT descending	http://purl.obolibrary.org/obo/FBbt_00007122	dorsal posterior protocerebral tract	
A	DPPT post commissure	http://purl.obolibrary.org/obo/FBbt_00007122	dorsal posterior protocerebral tract	
Y	FrMC	http://purl.obolibrary.org/obo/FBbt_00047943	larval frontal median commissure	
Y	GC	http://purl.obolibrary.org/obo/FBbt_00047942	larval great commissure	
N	MBDL	http://purl.obolibrary.org/obo/FBbt_00003683	median bundle	only have adult
N	MEF common			
N	MEF to great commissure			
N	MEF to lateral accessory lobe commissure			
N	MEF to primordium of posterior plexus of fan-shaped body			
N	SAC	http://purl.obolibrary.org/obo/FBbt_00007075	superior arch commissure	only have adult
N	SuEC		sub-ellipsoid commissure	only have adult
N	Subesophageal	http://purl.obolibrary.org/obo/FBbt_00002062	subesophageal commissure	LB term is general for all SE tracts
N	Supraesophageal			LB term is general for all SE tracts
Y	VMT	http://purl.obolibrary.org/obo/FBbt_00005910	VM fascicle	
A	VMT to ventral central intermediate tract	http://purl.obolibrary.org/obo/FBbt_00005910	VM fascicle	
N	aLE		lateral ellipsoid body tract	only have adult
N	aLEF		lateral equatorial fascicle	only have adult
N	aloSM			
Y	antennal lobe commisssure	http://purl.obolibrary.org/obo/FBbt_00047940	larval antennal lobe commissure	
Y	antennal lobe tract	http://purl.obolibrary.org/obo/FBbt_00007148	embryonic/larval antennal lobe tract	
N	anterior dorsal commissure	http://purl.obolibrary.org/obo/FBbt_00007072	anterior dorsal commissure	only have adult
Y	anterior intermediate commissure of abdominal segment 1	http://purl.obolibrary.org/obo/FBbt_00001111	abdominal 1 anterior commissure	
Y	anterior intermediate commissure of abdominal segment 2	http://purl.obolibrary.org/obo/FBbt_00001112	abdominal 2 anterior commissure	
Y	anterior intermediate commissure of abdominal segment 3	http://purl.obolibrary.org/obo/FBbt_00001113	abdominal 3 anterior commissure	
Y	anterior intermediate commissure of abdominal segment 4	http://purl.obolibrary.org/obo/FBbt_00001114	abdominal 4 anterior commissure	
Y	anterior intermediate commissure of abdominal segment 5	http://purl.obolibrary.org/obo/FBbt_00001115	abdominal 5 anterior commissure	
Y	anterior intermediate commissure of abdominal segment 6	http://purl.obolibrary.org/obo/FBbt_00001116	abdominal 6 anterior commissure	
Y	anterior intermediate commissure of abdominal segment 7	http://purl.obolibrary.org/obo/FBbt_00001117	abdominal 7 anterior commissure	
Y	anterior intermediate commissure of abdominal segment 8	http://purl.obolibrary.org/obo/FBbt_00001118	abdominal 8 anterior commissure	
Y	anterior intermediate commissure of abdominal segment 9	http://purl.obolibrary.org/obo/FBbt_00001119	abdominal 9 anterior commissure	
Y	anterior intermediate commissure of labial neuromere	http://purl.obolibrary.org/obo/FBbt_00047890	labial anterior commissure	
Y	anterior intermediate commissure of maxillary neuromere	http://purl.obolibrary.org/obo/FBbt_00047891	maxillary anterior commissure	
Y	anterior intermediate commissure of thoracic segment 1	http://purl.obolibrary.org/obo/FBbt_00001107	thoracic 1 anterior commissure	
Y	anterior intermediate commissure of thoracic segment 2	http://purl.obolibrary.org/obo/FBbt_00001108	thoracic 2 anterior commissure	
Y	anterior intermediate commissure of thoracic segment 3	http://purl.obolibrary.org/obo/FBbt_00001109	thoracic 3 anterior commissure	
N	anterior lateral ellipsoid body fascicle			
N	anterior lateral equatorial fascicle			
N	anterior longitudinal superior medial fascicle			
N	baso-anterior lateral fascicle			
N	baso-lateral protocerebral fascicle			
N	central intermediate tracts			
Y	commissures	http://purl.obolibrary.org/obo/FBbt_00005013	commissure	
N	dPLF			
N	deCP			
N	descending central protocerebral fascicle			
N	dorsal central intermediate tract			
N	dorsal commissure of mandibular neuromere			
N	dorsal commissures			
N	dorsal posterior lateral fascicle			
N	dorso-anterior commissure of labial neuromere			
N	dorso-anterior commissure of maxillary neuromere			
N	dorso-anterior commissure of thoracic segment 1			
N	dorso-anterior commissure of thoracic segment 2			
N	dorso-anterior commissure of thoracic segment 3			
N	dorso-lateral tract			
N	dorso-medial tract			
N	dorso-posterior commissure of labial neuromere			
N	dorso-posterior commissure of maxillary neuromere			
N	dorso-posterior commissure of thoracic segment 1			
N	dorso-posterior commissure of thoracic segment 2			
N	dorso-posterior commissure of thoracic segment 3			
N	dorso-posterior lateral anterior medial fascicle			
N	dorsoposterior protocerebral tract			
N	frontomedial commissure			
N	great commissure	http://purl.obolibrary.org/obo/FBbt_00047942	larval great commissure	
N	intermediate commissures			
N	lateral transverse superior posterior fascicle			
N	loSL			
N	loVI			
N	loVI			
N	loVL			
N	loVM			
N	loVP			
N	longitudinal fascicles			
N	longitudinal superior lateral fascicle			
N	longitudinal ventral intermediate fascicle			
N	longitudinal ventrolateral fascicle			
N	longitudinal ventromedial fascicle			
N	longitudinal ventroposterior fascicle			
N	medial equatorial fascicle	http://purl.obolibrary.org/obo/FBbt_00100342	medial equatorial fascicle	only have adult
N	medial transverse superior posterior fascicle			
N	median bundle	http://purl.obolibrary.org/obo/FBbt_00003683	median bundle	only have adult
N	obP CP1 to chiasm			
N	obP DPL to superior posteriorlateral protocerebrum compartment			
N	obP common			
N	obP to longitudinal superior medial fascicle			
N	pLEF			
N	ploSM			
Y	posterior intermediate commissure of abdominal segment 1	http://purl.obolibrary.org/obo/FBbt_00001126	abdominal 1 posterior commissure	
Y	posterior intermediate commissure of abdominal segment 2	http://purl.obolibrary.org/obo/FBbt_00001127	abdominal 2 posterior commissure	
Y	posterior intermediate commissure of abdominal segment 3	http://purl.obolibrary.org/obo/FBbt_00001128	abdominal 3 posterior commissure	
Y	posterior intermediate commissure of abdominal segment 4	http://purl.obolibrary.org/obo/FBbt_00001129	abdominal 4 posterior commissure	
Y	posterior intermediate commissure of abdominal segment 5	http://purl.obolibrary.org/obo/FBbt_00001130	abdominal 5 posterior commissure	
Y	posterior intermediate commissure of abdominal segment 6	http://purl.obolibrary.org/obo/FBbt_00001131	abdominal 6 posterior commissure	
Y	posterior intermediate commissure of abdominal segment 7	http://purl.obolibrary.org/obo/FBbt_00001132	abdominal 7 posterior commissure	
Y	posterior intermediate commissure of abdominal segment 8	http://purl.obolibrary.org/obo/FBbt_00001133	abdominal 8 posterior commissure	
