larvalbrain_Name	larvalbrain_Shortname	larvalbrain_hemisphere	larvalbrain_id
Abdominal ganglion	AG	L	285
Abdominal ganglion	AG	R	463
Abdominal ganglion 1	A1	L	276
Abdominal ganglion 1	A1	R	454
Abdominal ganglion 2	A2	L	277
Abdominal ganglion 2	A2	R	455
Abdominal ganglion 3	A3	L	278
Abdominal ganglion 3	A3	R	456
Abdominal ganglion 4	A4	L	279
Abdominal ganglion 4	A4	R	457
Abdominal ganglion 5	A5	L	280
Abdominal ganglion 5	A5	R	458
Abdominal ganglion 6	A6	L	281
Abdominal ganglion 6	A6	R	459
Abdominal ganglion 7	A7	L	282
Abdominal ganglion 7	A7	R	460
Abdominal ganglion 8	A8	L	283
Abdominal ganglion 8	A8	R	461
Abdominal ganglion 9	A9	L	284
Abdominal ganglion 9	A9	R	462
antennal lobe	AL	L	286
antennal lobe	AL	R	464
anterior inferior protocerebrum	a_IP	L	287
anterior inferior protocerebrum	a_IP	R	465
anterior ventromedial cerebrum	a_VMC	L	288
anterior ventromedial cerebrum	a_VMC	R	466
calyx	CA	L	289
calyx	CA	R	467
central abdominal ganglion A1	ci_A1	L	290
central abdominal ganglion A1	ci_A1	R	468
central abdominal ganglion A2	ci_A2	L	291
central abdominal ganglion A2	ci_A2	R	469
central abdominal ganglion A3	ci_A3	L	292
central abdominal ganglion A3	ci_A3	R	470
central abdominal ganglion A4	ci_A4	L	293
central abdominal ganglion A4	ci_A4	R	471
central abdominal ganglion A5	ci_A5	L	294
central abdominal ganglion A5	ci_A5	R	472
central abdominal ganglion A6	ci_A6	L	295
central abdominal ganglion A6	ci_A6	R	473
central abdominal ganglion A7	ci_A7	L	296
central abdominal ganglion A7	ci_A7	R	474
central abdominal ganglion A8	ci_A8	L	297
central abdominal ganglion A8	ci_A8	R	475
central and lateral complex	CLC	L	305
central and lateral complex	CLC	R	483
central labial segment	ci_LB	L	298
central labial segment	ci_LB	R	476
central mandibular segment	ci_MD	L	299
central mandibular segment	ci_MD	R	477
central maxillary segment	ci_MX	L	300
central maxillary segment	ci_MX	R	478
central thoracic ganglion T1	ci_T1	L	301
central thoracic ganglion T1	ci_T1	R	479
central thoracic ganglion T2	ci_T2	L	302
central thoracic ganglion T2	ci_T2	R	480
central thoracic ganglion T3	ci_T3	L	303
central thoracic ganglion T3	ci_T3	R	481
central tritocerebrum	ci_TR	L	304
central tritocerebrum	ci_TR	R	482
centrolateral abdominal ganglion A1	cl_A1	L	306
centrolateral abdominal ganglion A1	cl_A1	R	484
centrolateral abdominal ganglion A2	cl_A2	L	307
centrolateral abdominal ganglion A2	cl_A2	R	485
centrolateral abdominal ganglion A3	cl_A3	L	308
centrolateral abdominal ganglion A3	cl_A3	R	486
centrolateral abdominal ganglion A4	cl_A4	L	309
centrolateral abdominal ganglion A4	cl_A4	R	487
centrolateral abdominal ganglion A5	cl_A5	L	310
centrolateral abdominal ganglion A5	cl_A5	R	488
centrolateral abdominal ganglion A6	cl_A6	L	311
centrolateral abdominal ganglion A6	cl_A6	R	489
centrolateral abdominal ganglion A7	cl_A7	L	312
centrolateral abdominal ganglion A7	cl_A7	R	490
centrolateral abdominal ganglion A8	cl_A8	L	313
centrolateral abdominal ganglion A8	cl_A8	R	491
centrolateral labial segment	cl_LB	L	314
centrolateral labial segment	cl_LB	R	492
centrolateral mandibular segment	cl_MD	L	315
centrolateral mandibular segment	cl_MD	R	493
centrolateral maxillary segment	cl_MX	L	316
centrolateral maxillary segment	cl_MX	R	494
centrolateral thoracic ganglion T1	cl_T1	L	317
centrolateral thoracic ganglion T1	cl_T1	R	495
centrolateral thoracic ganglion T2	cl_T2	L	318
centrolateral thoracic ganglion T2	cl_T2	R	496
centrolateral thoracic ganglion T3	cl_T3	L	319
centrolateral thoracic ganglion T3	cl_T3	R	497
centromedial abdominal ganglion A1	cm_A1	L	320
centromedial abdominal ganglion A1	cm_A1	R	498
centromedial abdominal ganglion A2	cm_A2	L	321
centromedial abdominal ganglion A2	cm_A2	R	499
centromedial abdominal ganglion A3	cm_A3	L	322
centromedial abdominal ganglion A3	cm_A3	R	500
centromedial abdominal ganglion A4	cm_A4	L	323
centromedial abdominal ganglion A4	cm_A4	R	501
centromedial abdominal ganglion A5	cm_A5	L	324
centromedial abdominal ganglion A5	cm_A5	R	502
centromedial abdominal ganglion A6	cm_A6	L	325
centromedial abdominal ganglion A6	cm_A6	R	503
centromedial abdominal ganglion A7	cm_A7	L	326
centromedial abdominal ganglion A7	cm_A7	R	504
centromedial abdominal ganglion A8	cm_A8	L	327
centromedial abdominal ganglion A8	cm_A8	R	505
centromedial abdominal ganglion A9	cm_A9	L	328
centromedial abdominal ganglion A9	cm_A9	R	506
centromedial labial segment	cm_LB	L	329
centromedial labial segment	cm_LB	R	507
centromedial mandibular segment	cm_MD	L	330
centromedial mandibular segment	cm_MD	R	508
centromedial maxillary segment	cm_MX	L	331
centromedial maxillary segment	cm_MX	R	509
centromedial thoracic ganglion T1	cm_T1	L	332
centromedial thoracic ganglion T1	cm_T1	R	510
centromedial thoracic ganglion T2	cm_T2	L	333
centromedial thoracic ganglion T2	cm_T2	R	511
centromedial thoracic ganglion T3	cm_T3	L	334
centromedial thoracic ganglion T3	cm_T3	R	512
centromedial tritocerebrum	cm_TR	L	335
centromedial tritocerebrum	cm_TR	R	513
Deuterocerebrum	DC	L	337
Deuterocerebrum	DC	R	515
distal medulla	dist_ME	L	338
distal medulla	dist_ME	R	516
dorsoanterior ventrolateral protocerebrum	da_VLP	L	336
dorsoanterior ventrolateral protocerebrum	da_VLP	R	514
dorsolateral abdominal ganglion A1	dl_A1	L	339
dorsolateral abdominal ganglion A1	dl_A1	R	517
dorsolateral abdominal ganglion A2	dl_A2	L	340
dorsolateral abdominal ganglion A2	dl_A2	R	518
dorsolateral abdominal ganglion A3	dl_A3	L	341
dorsolateral abdominal ganglion A3	dl_A3	R	519
dorsolateral abdominal ganglion A4	dl_A4	L	342
dorsolateral abdominal ganglion A4	dl_A4	R	520
dorsolateral abdominal ganglion A5	dl_A5	L	343
dorsolateral abdominal ganglion A5	dl_A5	R	521
dorsolateral abdominal ganglion A6	dl_A6	L	344
dorsolateral abdominal ganglion A6	dl_A6	R	522
dorsolateral abdominal ganglion A7	dl_A7	L	345
dorsolateral abdominal ganglion A7	dl_A7	R	523
dorsolateral abdominal ganglion A8	dl_A8	L	346
dorsolateral abdominal ganglion A8	dl_A8	R	524
dorsolateral labial segment	dl_LB	L	347
dorsolateral labial segment	dl_LB	R	525
dorsolateral mandibular segment	dl_MD	L	348
dorsolateral mandibular segment	dl_MD	R	526
dorsolateral maxillary segment	dl_MX	L	349
dorsolateral maxillary segment	dl_MX	R	527
dorsolateral thoracic ganglion T1	dl_T1	L	350
dorsolateral thoracic ganglion T1	dl_T1	R	528
dorsolateral thoracic ganglion T2	dl_T2	L	351
dorsolateral thoracic ganglion T2	dl_T2	R	529
dorsolateral thoracic ganglion T3	dl_T3	L	352
dorsolateral thoracic ganglion T3	dl_T3	R	530
dorsomedial abdominal segment A1	dm_A1	L	353
dorsomedial abdominal segment A1	dm_A1	R	531
dorsomedial abdominal segment A2	dm_A2	L	354
dorsomedial abdominal segment A2	dm_A2	R	532
dorsomedial abdominal segment A3	dm_A3	L	355
dorsomedial abdominal segment A3	dm_A3	R	533
dorsomedial abdominal segment A4	dm_A4	L	356
dorsomedial abdominal segment A4	dm_A4	R	534
dorsomedial abdominal segment A5	dm_A5	L	357
dorsomedial abdominal segment A5	dm_A5	R	535
dorsomedial abdominal segment A6	dm_A6	L	358
dorsomedial abdominal segment A6	dm_A6	R	536
dorsomedial abdominal segment A7	dm_A7	L	359
dorsomedial abdominal segment A7	dm_A7	R	537
dorsomedial abdominal segment A8	dm_A8	L	360
dorsomedial abdominal segment A8	dm_A8	R	538
dorsomedial abdominal segment A9	dm_A9	L	361
dorsomedial abdominal segment A9	dm_A9	R	539
dorsomedial labial segment	dm_LB	L	362
dorsomedial labial segment	dm_LB	R	540
dorsomedial mandibular segment	dm_MD	L	363
dorsomedial mandibular segment	dm_MD	R	541
dorsomedial maxillary segment	dm_MX	L	364
dorsomedial maxillary segment	dm_MX	R	542
dorsomedial thoracic ganglion T1	dm_T1	L	365
dorsomedial thoracic ganglion T1	dm_T1	R	543
dorsomedial thoracic ganglion T2	dm_T2	L	366
dorsomedial thoracic ganglion T2	dm_T2	R	544
dorsomedial thoracic ganglion T3	dm_T3	L	367
dorsomedial thoracic ganglion T3	dm_T3	R	545
dorsomedial tritocerebrum	dm_TR	L	368
dorsomedial tritocerebrum	dm_TR	R	546
inferior protocerebrum	IP	L	369
inferior protocerebrum	IP	R	547
intermediate peduncle	IPed	L	370
intermediate peduncle	IPed	R	548
intermediate toe	IT	L	371
intermediate toe	IT	R	549
intermedicate vertical lobe	IVL	L	372
intermedicate vertical lobe	IVL	R	550
Labium	LB	L	377
Labium	LB	R	555
lamina	LAM	L	376
