larvalbrain_Name	larvalbrain_Shortname	larvalbrain_hemisphere	larvalbrain_id
anterior dorsal commissure	ADC	L	1
antennal lobe commisssure	ALC	L	2
anterior lateral ellipsoid body fascicle	aLE	L	26
anterior lateral equatorial fascicle	aLEF	L	27
anterior longitudinal superior medial fascicle	aloSM	L	28
antennal lobe tract	ALT	L	3
ALT anterior entry	ALT_anterior_entry	L	4
anterior intermediate commissure of abdominal segment 1	aiCA1	L	29
anterior intermediate commissure of abdominal segment 2	aiCA2	L	30
anterior intermediate commissure of abdominal segment 3	aiCA3	L	31
anterior intermediate commissure of abdominal segment 4	aiCA4	L	32
anterior intermediate commissure of abdominal segment 5	aiCA5	L	33
anterior intermediate commissure of abdominal segment 6	aiCA6	L	34
anterior intermediate commissure of abdominal segment 7	aiCA7	L	35
anterior intermediate commissure of abdominal segment 8	aiCA8	L	36
anterior intermediate commissure of abdominal segment 9	aiCA9	L	37
anterior intermediate commissure of labial neuromere	aiCLB	L	38
anterior intermediate commissure of maxillary neuromere	aiCMX	L	39
anterior intermediate commissure of thoracic segment 1	aiCT1	L	40
anterior intermediate commissure of thoracic segment 2	aiCT2	L	41
anterior intermediate commissure of thoracic segment 3	aiCT3	L	42
BAl3_4	BAl3/4	L	5
BLP1_2	BLP1/2	L	6
descending central protocerebral fascicle	deCP	L	44
dorso-lateral tract	DLT	L	7
dorso-medial tract	DMT	L	8
dorsal central intermediate tract	dCIT	L	45
dorsal commissure of mandibular neuromere	dCMD	L	46
dorso-anterior commissure of labial neuromere	daCLB	L	47
dorso-anterior commissure of maxillary neuromere	daCMX	L	48
dorso-anterior commissure of thoracic segment 1	daCT1	L	49
dorso-anterior commissure of thoracic segment 2	daCT2	L	50
dorso-anterior commissure of thoracic segment 3	daCT3	L	51
dorso-posterior commissure of labial neuromere	dpCLB	L	52
dorso-posterior commissure of maxillary neuromere	dpCMX	L	53
dorso-posterior commissure of thoracic segment 1	dpCT1	L	54
dorso-posterior commissure of thoracic segment 2	dpCT2	L	55
dorso-posterior commissure of thoracic segment 3	dpCT3	L	56
dorso-posterior lateral anterior medial fascicle	DPLam	L	9
dorsal posterior lateral fascicle	dPLF	L	43
DPMm1 to prFBpl	DPMm1_to_prFBpl	L	10
DPMpm1_2 to prFBpl	DPMpm1/2_to_prFBpl	L	11
DPPT common	DPPT_common	L	12
DPPT descending	DPPT_descending	L	13
DPPT post commissure	DPPT_post_commissure	L	14
frontomedial commissure	FrMC	L	15
great commissure	GC	L	16
lateral transverse superior posterior fascicle	ltrSP	L	57
longitudinal superior lateral fascicle	loSL	L	58
longitudinal ventral intermediate fascicle	loVI	L	59
longitudinal ventrolateral fascicle	loVL	L	60
longitudinal ventromedial fascicle	loVM	L	61
longitudinal ventroposterior fascicle	loVP	L	62
median bundle	MBDL	L	17
medial transverse superior posterior fascicle	mtrSP	L	63
MEF common	MEF_common	L	18
MEF to great commissure	MEF_to_great_commissure	L	19
MEF to lateral accessory lobe commissure	MEF_to_lateral_accessory_lobe_commissure	L	20
MEF to primordium of posterior plexus of fan-shaped body	MEF_to_primordium_of_posterior_plexus_of	L	21
obP common	obP_common	L	66
obP CP1 to chiasm	obP_CP1_to_chiasm	L	64
obP DPL to superior posteriorlateral protocerebrum compartment	obP_DPL_to_superior_posteriorlateral_pro	L	65
obP to longitudinal superior medial fascicle	obP_to_longitudinal_superior_medial_fasc	L	67
posterior lateral equatorial fascicle	pLEF	L	68
posterior longitudinal superior medial fascicle	ploSM	L	69
posterior intermediate commissure of abdominal segment 1	piCA1	L	70
posterior intermediate commissure of abdominal segment 2	piCA2	L	71
posterior intermediate commissure of abdominal segment 3	piCA3	L	72
posterior intermediate commissure of abdominal segment 4	piCA4	L	73
posterior intermediate commissure of abdominal segment 5	piCA5	L	74
posterior intermediate commissure of abdominal segment 6	piCA6	L	75
posterior intermediate commissure of abdominal segment 7	piCA7	L	76
posterior intermediate commissure of abdominal segment 8	piCA8	L	77
posterior intermediate commissure of labial neuromere	piCLB	L	78
posterior intermediate commissure of mandibular neuromere	piCMD	L	79
posterior intermediate commissure of maxillary neuromere	piCMX	L	80
posterior intermediate commissure of thoracic segment 1	piCT1	L	81
posterior intermediate commissure of thoracic segment 2	piCT2	L	82
posterior intermediate commissure of thoracic segment 3	piCT3	L	83
prFBpl common	prFBpl_common	L	84
superior arch commissure	SAC	L	22
subellipsoid body commissure	SuEC	L	23
tritocerebral commissure	TRC	L	90
transverse superior anterior fascicle	trSA	L	85
trSI deep	trSI_deep	L	86
trSI from BLVa1_2	trSI_from_BLVa1/2	L	87
trSI from DALl1	trSI_from_DALl1	L	88
trSI superior	trSI_superior	L	89
ventral central intermediate tract	vCIT	L	93
ventral commissure of thoracic segment 1	vCT1	L	94
ventral commissure of thoracic segment 2	vCT2	L	95
ventral commissure of thoracic segment 3	vCT3	L	96
ventro-medial tract	VMT	L	24
VMT to ventral central intermediate tract	VMT_to_ventral_central_intermediate_trac	L	25
ventral posterior lateral fascicle	vPLF	L	91
ventral commissure of posteriorlateral protocerebrum compartment	vPLPC	L	92
