larvalbrain_Name	larvalbrain_Shortname	larvalbrain_hemisphere	larvalbrain_id
A1 0	A1_0	L	97
A1 12	A1_12	L	98
A1 17_18	A1_17/18	L	99
A1 19_23	A1_19/23	L	100
A1 3 intermedio-central	A1_3_intermedio-central	L	101
A1 6	A1_6	L	102
A1 7	A1_7	L	103
A1 9	A1_9	L	104
BAl1_2	BAl1/2	L	105
BAl3_4	BAl3/4	L	106
BAlc to antennal lobe tract	BAlc_to_antennal_lobe_tract	L	107
BAlc to longitudinal ventral intermediate fascicle	BAlc_to_longitudinal_ventral_intermediat	L	108
BAlp1	BAlp1	L	109
BAlp2_3	BAlp2/3	L	110
BAlp4	BAlp4	L	111
Baso-anterior latero-ventral	BAlv	L	112
BAmas1_2	BAmas1/2	L	113
BAmd1 dorsal	BAmd1_dorsal	L	114
BAmd1 ventral	BAmd1_ventral	L	115
BAmd2	BAmd2	L	116
BAmv1_2	BAmv1/2	L	117
BAmv3	BAmv3	L	118
BLAd1-4 lateral	BLAd1-4_lateral	L	119
BLAd1-4 medial	BLAd1-4_medial	L	120
BLAl anterior	BLAl_anterior	L	121
BLAl posterior	BLAl_posterior	L	122
BLAv1 medial	BLAv1_medial	L	123
BLAv1 posterior	BLAv1_posterior	L	124
BLAv2 medial	BLAv2_medial	L	125
BLAv2 posterior	BLAv2_posterior	L	126
BLAvm medial	BLAvm_medial	L	127
BLAvm posterior	BLAvm_posterior	L	128
BLD1 descending	BLD1_descending	L	129
BLD1 to transverse superior intermediate fascicle	BLD1_to_transverse_superior_intermediate	L	130
BLD2_3 lateral	BLD2/3_lateral	L	131
BLD2_3 medial	BLD2/3_medial	L	132
BLD4 descending	BLD4_descending	L	133
BLD4 to transverse superior intermediate fascicle	BLD4_to_transverse_superior_intermediate	L	134
BLD5 distal	BLD5_distal	L	135
BLD5 proximal	BLD5_proximal	L	136
BLD6 distal	BLD6_distal	L	137
BLD6 proximal	BLD6_proximal	L	138
BLP1_2	BLP1/2	L	139
BLP3_4	BLP3/4	L	140
BLVa1_2	BLVa1/2	L	141
BLVa3_4	BLVa3/4	L	142
BLVp1 dorsal	BLVp1_dorsal	L	143
BLVp1 ventral	BLVp1_ventral	L	144
BLVp2 dorsal	BLVp2_dorsal	L	145
BLVp2 ventral	BLVp2_ventral	L	146
CM1 dorsal	CM1_dorsal	L	147
CM1 ventral	CM1_ventral	L	148
CM3 dorsal	CM3_dorsal	L	149
CM3 ventral	CM3_ventral	L	150
CM4 longitudinal superior medial fascicle	CM4_longitudinal_superior_medial_fascicl	L	151
CM4 longitudinal ventroposterior fascicle	CM4_longitudinal_ventroposterior_fascicl	L	152
CM4 medial equatorial fascicle	CM4_medial_equatorial_fascicle	L	153
CM5	CM5	L	154
CP1 dorsal	CP1_dorsal	L	155
CP1 ventral	CP1_ventral	L	156
CP2_3 dorsal	CP2/3_dorsal	L	157
CP2_3 ventral	CP2/3_ventral	L	158
DALcl1_2 dorsal	DALcl1/2_dorsal	L	160
DALcl1_2 ventral	DALcl1/2_ventral	L	161
DALcm1_2 medial	DALcm1/2_medial	L	162
DALcm1_2 ventral	DALcm1/2_ventral	L	163
Dorso-anterior lateral dorsal	DALd	L	164
DALI1	DALI1	L	159
DALv1	DALv1	L	165
DALv2_3	DALv2/3	L	166
DAMd1	DAMd1	L	167
DAMd2_3	DAMd2/3	L	168
DAMv1_2	DAMv1/2	L	169
DPLal1-3	DPLal1-3	L	171
Dorso-posterior lateral antero-medial	DPLam	L	172
DPLc1_2	DPLc1/2	L	173
DPLc3_4	DPLc3/4	L	174
DPLc5 anterior	DPLc5_anterior	L	175
DPLc5 posterior	DPLc5_posterior	L	176
Dorso-posterior lateral dorsal	DPLd	L	177
DPLI1	DPLI1	L	170
DPLl2_3 dorsal	DPLl2/3_dorsal	L	178
DPLl2_3 ventral	DPLl2/3_ventral	L	179
DPLm1_2	DPLm1/2	L	180
DPLp1_2 dorsal	DPLp1/2_dorsal	L	181
DPLp1_2 posterior oblique fascicle	DPLp1/2_posterior_oblique_fascicle	L	182
Dorso-posterior lateral posterio-ventral	DPLpv	L	183
DPMl1_2	DPMl1/2	L	184
DPMm1	DPMm1	L	185
DPMm2	DPMm2	L	186
DPMpl1_2	DPMpl1/2	L	187
DPMpm1	DPMpm1	L	188
DPMpm2 longitudinal superior medial fascicle	DPMpm2_longitudinal_superior_medial_fasc	L	189
DPMpm2 primordium of fan-shaped body	DPMpm2_primordium_of_fan-shaped_body	L	190
LB0	LB0	L	191
LB11_23	LB11/23	L	194
LB1_2 dorsal	LB1/2_dorsal	L	192
LB1_2 medial	LB1/2_medial	L	193
LB3	LB3	L	195
LB5	LB5	L	196
LB6	LB6	L	197
LB6 medial	LB6_medial	L	198
LB7	LB7	L	199
MD2	MD2	L	200
MX12	MX12	L	201
MX3	MX3	L	202
MX7	MX7	L	203
T1 0	T1_0	L	204
T1 1	T1_1	L	205
T1 10	T1_10	L	206
T1 12 central	T1_12_central	L	207
T1 12 intermediate	T1_12_intermediate	L	208
T1 13 central	T1_13_central	L	209
T1 13 intermediate	T1_13_intermediate	L	210
T1 14	T1_14	L	211
T1 15_16	T1_15/16	L	212
T1 17_18	T1_17/18	L	213
T1 19	T1_19	L	214
T1 2	T1_2	L	215
T1 20-22	T1_20-22	L	216
T1 23	T1_23	L	217
T1 3 intermedio-dorsal	T1_3_intermedio-dorsal	L	218
T1 3 intermedio-lateral	T1_3_intermedio-lateral	L	219
T1 4	T1_4	L	220
T1 5	T1_5	L	221
T1 6 centro-dorsal	T1_6_centro-dorsal	L	222
T1 6 centro-medial	T1_6_centro-medial	L	223
T1 7	T1_7	L	224
T1 8 central	T1_8_central	L	225
T1 8 intermediate	T1_8_intermediate	L	226
T1 9 central	T1_9_central	L	227
T2 0	T2_0	L	228
T2 10	T2_10	L	229
T2 12 central	T2_12_central	L	230
