	larvalbrain_Name	FBbt_id	FBbt_Name
0	A1 0	http://purl.obolibrary.org/obo/FBbt_00000069	mitotic domain 10
1	A1 0	http://purl.obolibrary.org/obo/FBbt_00000079	mitotic domain 20
2	A1 0	http://purl.obolibrary.org/obo/FBbt_00000031	abdominal segment 10
3	A1 0	http://purl.obolibrary.org/obo/FBbt_00111667	larval A03a1 neuron
4	A1 0	http://purl.obolibrary.org/obo/FBbt_00047727	larval abdominal 1 down and back neuron
5	A1 0	http://purl.obolibrary.org/obo/FBbt_00047785	larval abdominal 2 A10l neuron
6	A1 0	http://purl.obolibrary.org/obo/FBbt_00047784	larval abdominal 2 A10f neuron
7	A1 0	http://purl.obolibrary.org/obo/FBbt_00047783	larval abdominal 3 A10a neuron
8	A1 0	http://purl.obolibrary.org/obo/FBbt_00047770	larval abdominal 1 A02m neuron
9	A1 0	http://purl.obolibrary.org/obo/FBbt_00047782	larval abdominal 1 A10a neuron
10	A1 0	http://purl.obolibrary.org/obo/FBbt_00047686	larval abdominal 3 A10j neuron
11	A1 0	http://purl.obolibrary.org/obo/FBbt_00002200	abdominal 1 VO2 motor neuron
12	A1 0	http://purl.obolibrary.org/obo/FBbt_00111260	larval A10j neuron
13	A1 0	http://purl.obolibrary.org/obo/FBbt_00111255	larval A10l neuron
14	A1 0	http://purl.obolibrary.org/obo/FBbt_00111254	larval A10f neuron
15	A1 0	http://purl.obolibrary.org/obo/FBbt_00111253	larval A10a neuron
16	A1 0	http://purl.obolibrary.org/obo/FBbt_00003034	adult abdominal segment 10
17	A1 0	http://purl.obolibrary.org/obo/FBbt_00047581	descending neuron of the anterior dorsal brain DNa10
18	A1 0	http://purl.obolibrary.org/obo/FBbt_00047490	adult persistent motor neuron 30-Ib A1
19	A1 0	http://purl.obolibrary.org/obo/FBbt_00000222	dorsal trunk anterior branch 10
20	A1 0	http://purl.obolibrary.org/obo/FBbt_00000243	lateral trunk anterior branch 10
21	A1 0	http://purl.obolibrary.org/obo/FBbt_00000182	embryonic abdominal segment 10
22	A1 0	http://purl.obolibrary.org/obo/FBbt_00001757	larval abdominal segment 10
23	A1 12	http://purl.obolibrary.org/obo/FBbt_00000071	mitotic domain 12
24	A1 12	http://purl.obolibrary.org/obo/FBbt_00047787	larval abdominal 1 A12q neuron
25	A1 12	http://purl.obolibrary.org/obo/FBbt_00047786	larval abdominal 1 A12m neuron
26	A1 12	http://purl.obolibrary.org/obo/FBbt_00010650	abdominal 1 temporary eclosion muscle VL1
27	A1 12	http://purl.obolibrary.org/obo/FBbt_00111245	larval A12q neuron
28	A1 12	http://purl.obolibrary.org/obo/FBbt_00111256	larval A12m neuron
29	A1 12	http://purl.obolibrary.org/obo/FBbt_00047509	adult persistent motor neuron 12-Ib A1
30	A1 12	http://purl.obolibrary.org/obo/FBbt_00047502	abdominal 1 VL1 motor neuron
31	A1 12	http://purl.obolibrary.org/obo/FBbt_00047470	A1-7 VL1 motor neuron
32	A1 17_18		
33	A1 19_23		
34	A1 3 intermedio-central		
35	A1 6	http://purl.obolibrary.org/obo/FBbt_00110291	A1-7 VO4-6 motor neuron
36	A1 6	http://purl.obolibrary.org/obo/FBbt_00110254	A1-7 VA1 motor neuron
37	A1 6	http://purl.obolibrary.org/obo/FBbt_00001102	ventral nerve cord
38	A1 6	http://purl.obolibrary.org/obo/FBbt_00002317	abdominal 6 DA2 motor neuron
39	A1 6	http://purl.obolibrary.org/obo/FBbt_00002309	abdominal 6 DO1 motor neuron
40	A1 6	http://purl.obolibrary.org/obo/FBbt_00000065	mitotic domain 6
41	A1 6	http://purl.obolibrary.org/obo/FBbt_00015562	ventral neurectoderm intermediate zone 1
42	A1 6	http://purl.obolibrary.org/obo/FBbt_00000865	abdominal 6 dorsal acute muscle 1
43	A1 6	http://purl.obolibrary.org/obo/FBbt_00000869	abdominal 6 ventral acute muscle 1
44	A1 7	http://purl.obolibrary.org/obo/FBbt_00110272	A1-7 LT4 motor neuron
45	A1 7	http://purl.obolibrary.org/obo/FBbt_00110269	A1-7 LT3 motor neuron
46	A1 7	http://purl.obolibrary.org/obo/FBbt_00110266	A1-7 LT2 motor neuron
47	A1 7	http://purl.obolibrary.org/obo/FBbt_00110263	A1-7 LT1 motor neuron
48	A1 7	http://purl.obolibrary.org/obo/FBbt_00110284	A1-7 VO3 motor neuron
49	A1 7	http://purl.obolibrary.org/obo/FBbt_00110278	A1-7 DT1 motor neuron
50	A1 7	http://purl.obolibrary.org/obo/FBbt_00110276	A1-7 SBM motor neuron
51	A1 7	http://purl.obolibrary.org/obo/FBbt_00110274	A1-7 LO1 motor neuron
52	A1 7	http://purl.obolibrary.org/obo/FBbt_00110292	A1-7 VL2 motor neuron
53	A1 7	http://purl.obolibrary.org/obo/FBbt_00110291	A1-7 VO4-6 motor neuron
54	A1 7	http://purl.obolibrary.org/obo/FBbt_00110287	A1-7 ventral oblique muscle 5
55	A1 7	http://purl.obolibrary.org/obo/FBbt_00110288	A1-7 VO4/5 motor neuron
56	A1 7	http://purl.obolibrary.org/obo/FBbt_00110286	A1-7 ventral oblique muscle 4
57	A1 7	http://purl.obolibrary.org/obo/FBbt_00110299	hypodermal muscle of A1-7
58	A1 7	http://purl.obolibrary.org/obo/FBbt_00110214	SN motor neuron of A1-7
59	A1 7	http://purl.obolibrary.org/obo/FBbt_00110215	ISN innervated muscle of A1-7
60	A1 7	http://purl.obolibrary.org/obo/FBbt_00110212	segmental nerve root of A1-7
61	A1 7	http://purl.obolibrary.org/obo/FBbt_00110213	SN innervated muscle of A1-7
62	A1 7	http://purl.obolibrary.org/obo/FBbt_00110210	anterior intersegmental nerve root of A1-7
63	A1 7	http://purl.obolibrary.org/obo/FBbt_00110211	posterior intersegmental nerve root of A1-7
64	A1 7	http://purl.obolibrary.org/obo/FBbt_00110218	ISN motor neuron of the intermediate neuropil of A1-7
65	A1 7	http://purl.obolibrary.org/obo/FBbt_00110219	ISN motor neuron of the medial neuropil of A1-7
66	A1 7	http://purl.obolibrary.org/obo/FBbt_00110216	ISN motor neuron of A1-7
67	A1 7	http://purl.obolibrary.org/obo/FBbt_00110217	ISN motor neuron of the lateral neuropil of A1-7
68	A1 7	http://purl.obolibrary.org/obo/FBbt_00110220	A1-7 DA1 motor neuron
69	A1 7	http://purl.obolibrary.org/obo/FBbt_00110240	A1-7 DO4 motor neuron
70	A1 7	http://purl.obolibrary.org/obo/FBbt_00110237	A1-7 DO3 motor neuron
71	A1 7	http://purl.obolibrary.org/obo/FBbt_00110235	A1-7 LL1 motor neuron
72	A1 7	http://purl.obolibrary.org/obo/FBbt_00110233	A1-7 DA3 motor neuron
73	A1 7	http://purl.obolibrary.org/obo/FBbt_00110230	A1-7 DO2 motor neuron
