fbbt_uri	fbbt_name	lb_synonym
http://purl.obolibrary.org/obo/FBbt_00015093	dorsolateral neuropil of larval segment A8	larval dorsolateral abdominal ganglion A8
http://purl.obolibrary.org/obo/FBbt_00015092	centromedial neuropil of larval segment A8	larval centromedial abdominal ganglion A8
http://purl.obolibrary.org/obo/FBbt_00015091	centrolateral neuropil of larval segment A8	larval centrolateral abdominal ganglion A8
http://purl.obolibrary.org/obo/FBbt_00015090	central neuropil of larval segment A7	larval central abdominal ganglion A7
http://purl.obolibrary.org/obo/FBbt_00015097	central neuropil of larval segment A8	larval central abdominal ganglion A8
http://purl.obolibrary.org/obo/FBbt_00015096	ventromedial neuropil of larval segment A8	larval ventromedial abdominal ganglion A8
http://purl.obolibrary.org/obo/FBbt_00015095	ventrolateral neuropil of larval segment A8	larval ventrolateral abdominal ganglion A8
http://purl.obolibrary.org/obo/FBbt_00015094	dorsomedial neuropil of larval segment A8	larval dorsomedial abdominal ganglion A8
http://purl.obolibrary.org/obo/FBbt_00015042	centrolateral neuropil of larval segment A1	larval centrolateral abdominal ganglion A1
http://purl.obolibrary.org/obo/FBbt_00015046	ventrolateral neuropil of larval segment A1	larval ventrolateral abdominal ganglion A1
http://purl.obolibrary.org/obo/FBbt_00015045	dorsomedial neuropil of larval segment A1	larval dorsomedial abdominal ganglion A1
http://purl.obolibrary.org/obo/FBbt_00015044	dorsolateral neuropil of larval segment A1	larval dorsolateral abdominal ganglion A1
http://purl.obolibrary.org/obo/FBbt_00015043	centromedial neuropil of larval segment A1	larval centromedial abdominal ganglion A1
http://purl.obolibrary.org/obo/FBbt_00015017	dorsomedial neuropil of larval segment T1	larval dorsomedial thoracic ganglion T1
http://purl.obolibrary.org/obo/FBbt_00015016	dorsolateral neuropil of larval segment T1	larval dorsolateral thoracic ganglion T1
http://purl.obolibrary.org/obo/FBbt_00015015	centromedial neuropil of larval segment T1	larval centromedial thoracic ganglion T1
http://purl.obolibrary.org/obo/FBbt_00015014	centrolateral neuropil of larval segment T1	larval centrolateral thoracic ganglion T1
http://purl.obolibrary.org/obo/FBbt_00015019	ventromedial neuropil of larval segment T1	larval ventromedial thoracic ganglion T1
http://purl.obolibrary.org/obo/FBbt_00015018	ventrolateral neuropil of larval segment T1	larval ventrolateral thoracic ganglion T1
http://purl.obolibrary.org/obo/FBbt_00015020	central neuropil of larval segment T1	larval central thoracic ganglion T1
http://purl.obolibrary.org/obo/FBbt_00015006	central neuropil of larval segment T2	larval central thoracic ganglion T2
http://purl.obolibrary.org/obo/FBbt_00015005	ventromedial neuropil of larval segment T2	larval ventromedial thoracic ganglion T2
http://purl.obolibrary.org/obo/FBbt_00015004	ventrolateral neuropil of larval segment T2	larval ventrolateral thoracic ganglion T2
http://purl.obolibrary.org/obo/FBbt_00015003	dorsomedial neuropil of larval segment T2	larval dorsomedial thoracic ganglion T2
http://purl.obolibrary.org/obo/FBbt_00015009	dorsolateral neuropil of larval segment T3	larval dorsolateral thoracic ganglion T3
http://purl.obolibrary.org/obo/FBbt_00015008	centromedial neuropil of larval segment T3	larval centromedial thoracic ganglion T3
http://purl.obolibrary.org/obo/FBbt_00015007	centrolateral neuropil of larval segment T3	larval centrolateral thoracic ganglion T3
http://purl.obolibrary.org/obo/FBbt_00015013	central neuropil of larval segment T3	larval central thoracic ganglion T3
http://purl.obolibrary.org/obo/FBbt_00015012	ventromedial neuropil of larval segment T3	larval ventromedial thoracic ganglion T3
http://purl.obolibrary.org/obo/FBbt_00015011	ventrolateral neuropil of larval segment T3	larval ventrolateral thoracic ganglion T3
http://purl.obolibrary.org/obo/FBbt_00015010	dorsomedial neuropil of larval segment T3	larval dorsomedial thoracic ganglion T3
http://purl.obolibrary.org/obo/FBbt_00015082	ventromedial neuropil of larval segment A6	larval ventromedial abdominal ganglion A6
http://purl.obolibrary.org/obo/FBbt_00015081	ventrolateral neuropil of larval segment A6	larval ventrolateral abdominal ganglion A6
http://purl.obolibrary.org/obo/FBbt_00015080	dorsomedial neuropil of larval segment A6	larval dorsomedial abdominal ganglion A6
http://purl.obolibrary.org/obo/FBbt_00015086	dorsolateral neuropil of larval segment A7	larval dorsolateral abdominal ganglion A7
http://purl.obolibrary.org/obo/FBbt_00015085	centromedial neuropil of larval segment A7	larval centromedial abdominal ganglion A7
http://purl.obolibrary.org/obo/FBbt_00015084	centrolateral neuropil of larval segment A7	larval centrolateral abdominal ganglion A7
http://purl.obolibrary.org/obo/FBbt_00015083	central neuropil of larval segment A6	larval central abdominal ganglion A6
http://purl.obolibrary.org/obo/FBbt_00015089	ventromedial neuropil of larval segment A7	larval ventromedial abdominal ganglion A7
http://purl.obolibrary.org/obo/FBbt_00015088	ventrolateral neuropil of larval segment A7	larval ventrolateral abdominal ganglion A7
http://purl.obolibrary.org/obo/FBbt_00015087	dorsomedial neuropil of larval segment A7	larval dorsomedial abdominal ganglion A7
http://purl.obolibrary.org/obo/FBbt_00015069	central neuropil of larval segment A4	larval central abdominal ganglion A4
http://purl.obolibrary.org/obo/FBbt_00015071	centromedial neuropil of larval segment A5	larval centromedial abdominal ganglion A5
http://purl.obolibrary.org/obo/FBbt_00015070	centrolateral neuropil of larval segment A5	larval centrolateral abdominal ganglion A5
http://purl.obolibrary.org/obo/FBbt_00015075	ventromedial neuropil of larval segment A5	larval ventromedial abdominal ganglion A5
http://purl.obolibrary.org/obo/FBbt_00015074	ventrolateral neuropil of larval segment A5	larval ventrolateral abdominal ganglion A5
http://purl.obolibrary.org/obo/FBbt_00015073	dorsomedial neuropil of larval segment A5	larval dorsomedial abdominal ganglion A5
http://purl.obolibrary.org/obo/FBbt_00015072	dorsolateral neuropil of larval segment A5	larval dorsolateral abdominal ganglion A5
http://purl.obolibrary.org/obo/FBbt_00015079	dorsolateral neuropil of larval segment A6	larval dorsolateral abdominal ganglion A6
http://purl.obolibrary.org/obo/FBbt_00015078	centromedial neuropil of larval segment A6	larval centromedial abdominal ganglion A6
http://purl.obolibrary.org/obo/FBbt_00015077	centrolateral neuropil of larval segment A6	larval centrolateral abdominal ganglion A6
http://purl.obolibrary.org/obo/FBbt_00015076	central neuropil of larval segment A5	larval central abdominal ganglion A5
http://purl.obolibrary.org/obo/FBbt_00015059	dorsomedial neuropil of larval segment A3	larval dorsomedial abdominal ganglion A3
http://purl.obolibrary.org/obo/FBbt_00015058	dorsolateral neuropil of larval segment A3	larval dorsolateral abdominal ganglion A3
http://purl.obolibrary.org/obo/FBbt_00015060	ventrolateral neuropil of larval segment A3	larval ventrolateral abdominal ganglion A3
http://purl.obolibrary.org/obo/FBbt_00015064	centromedial neuropil of larval segment A4	larval centromedial abdominal ganglion A4
http://purl.obolibrary.org/obo/FBbt_00015063	centrolateral neuropil of larval segment A4	larval centrolateral abdominal ganglion A4
http://purl.obolibrary.org/obo/FBbt_00015062	central neuropil of larval segment A3	larval central abdominal ganglion A3
http://purl.obolibrary.org/obo/FBbt_00015061	ventromedial neuropil of larval segment A3	larval ventromedial abdominal ganglion A3
http://purl.obolibrary.org/obo/FBbt_00015068	ventromedial neuropil of larval segment A4	larval ventromedial abdominal ganglion A4
http://purl.obolibrary.org/obo/FBbt_00015067	ventrolateral neuropil of larval segment A4	larval ventrolateral abdominal ganglion A4
http://purl.obolibrary.org/obo/FBbt_00015066	dorsomedial neuropil of larval segment A4	larval dorsomedial abdominal ganglion A4
http://purl.obolibrary.org/obo/FBbt_00015065	dorsolateral neuropil of larval segment A4	larval dorsolateral abdominal ganglion A4
http://purl.obolibrary.org/obo/FBbt_00015049	centrolateral neuropil of larval segment A2	larval centrolateral abdominal ganglion A2
http://purl.obolibrary.org/obo/FBbt_00015048	central neuropil of larval segment A1	larval central abdominal ganglion A1
http://purl.obolibrary.org/obo/FBbt_00015047	ventromedial neuropil of larval segment A1	larval ventromedial abdominal ganglion A1
http://purl.obolibrary.org/obo/FBbt_00015053	ventrolateral neuropil of larval segment A2	larval ventrolateral abdominal ganglion A2
http://purl.obolibrary.org/obo/FBbt_00015052	dorsomedial neuropil of larval segment A2	larval dorsomedial abdominal ganglion A2
http://purl.obolibrary.org/obo/FBbt_00015051	dorsolateral neuropil of larval segment A2	larval dorsolateral abdominal ganglion A2
http://purl.obolibrary.org/obo/FBbt_00015050	centromedial neuropil of larval segment A2	larval centromedial abdominal ganglion A2
http://purl.obolibrary.org/obo/FBbt_00015057	centromedial neuropil of larval segment A3	larval centromedial abdominal ganglion A3
http://purl.obolibrary.org/obo/FBbt_00015056	centrolateral neuropil of larval segment A3	larval centrolateral abdominal ganglion A3
http://purl.obolibrary.org/obo/FBbt_00015055	central neuropil of larval segment A2	larval central abdominal ganglion A2
http://purl.obolibrary.org/obo/FBbt_00015054	ventromedial neuropil of larval segment A2	larval ventromedial abdominal ganglion A2
http://purl.obolibrary.org/obo/FBbt_00015002	dorsolateral neuropil of larval segment T2	larval dorsolateral thoracic ganglion T2
http://purl.obolibrary.org/obo/FBbt_00015001	centromedial neuropil of larval segment T2	larval centromedial thoracic ganglion T2
http://purl.obolibrary.org/obo/FBbt_00015000	centrolateral neuropil of larval segment T2	larval centrolateral thoracic ganglion T2
http://purl.obolibrary.org/obo/FBbt_00007716	central neuropil of larval segment A9	larval central abdominal ganglion A9
http://purl.obolibrary.org/obo/FBbt_00007714	dorsal neuropil of larval segment A9	larval dorsal abdominal ganglion A9
http://purl.obolibrary.org/obo/FBbt_00007715	ventral neuropil of larval segment A9	larval ventral abdominal ganglion A9
