def_xrefs	defined_class	div_label	long_sub	seg_label	seg_short	segment
PMID:28730682	FBbt:00015000	centrolateral	FBbt:00007704	larval segment T2	T2	FBbt:00001744
PMID:28730682	FBbt:00015001	centromedial	FBbt:00007703	larval segment T2	T2	FBbt:00001744
PMID:28730682	FBbt:00015002	dorsolateral	FBbt:00007707	larval segment T2	T2	FBbt:00001744
PMID:28730682	FBbt:00015003	dorsomedial	FBbt:00007708	larval segment T2	T2	FBbt:00001744
PMID:28730682	FBbt:00015004	ventrolateral	FBbt:00007705	larval segment T2	T2	FBbt:00001744
PMID:28730682	FBbt:00015005	ventromedial	FBbt:00007706	larval segment T2	T2	FBbt:00001744
PMID:28730682	FBbt:00015006	central	FBbt:00007709	larval segment T2	T2	FBbt:00001744
PMID:28730682	FBbt:00015007	centrolateral	FBbt:00007704	larval segment T3	T3	FBbt:00001745
PMID:28730682	FBbt:00015008	centromedial	FBbt:00007703	larval segment T3	T3	FBbt:00001745
PMID:28730682	FBbt:00015009	dorsolateral	FBbt:00007707	larval segment T3	T3	FBbt:00001745
PMID:28730682	FBbt:00015010	dorsomedial	FBbt:00007708	larval segment T3	T3	FBbt:00001745
PMID:28730682	FBbt:00015011	ventrolateral	FBbt:00007705	larval segment T3	T3	FBbt:00001745
PMID:28730682	FBbt:00015012	ventromedial	FBbt:00007706	larval segment T3	T3	FBbt:00001745
PMID:28730682	FBbt:00015013	central	FBbt:00007709	larval segment T3	T3	FBbt:00001745
PMID:28730682	FBbt:00015014	centrolateral	FBbt:00007704	larval segment T1	T1	FBbt:00001743
PMID:28730682	FBbt:00015015	centromedial	FBbt:00007703	larval segment T1	T1	FBbt:00001743
PMID:28730682	FBbt:00015016	dorsolateral	FBbt:00007707	larval segment T1	T1	FBbt:00001743
PMID:28730682	FBbt:00015017	dorsomedial	FBbt:00007708	larval segment T1	T1	FBbt:00001743
PMID:28730682	FBbt:00015018	ventrolateral	FBbt:00007705	larval segment T1	T1	FBbt:00001743
PMID:28730682	FBbt:00015019	ventromedial	FBbt:00007706	larval segment T1	T1	FBbt:00001743
PMID:28730682	FBbt:00015020	central	FBbt:00007709	larval segment T1	T1	FBbt:00001743
PMID:28730682	FBbt:00015021	centrolateral	FBbt:00007704	larval labial segment	Lb	FBbt:00001740
PMID:28730682	FBbt:00015022	centromedial	FBbt:00007703	larval labial segment	Lb	FBbt:00001740
PMID:28730682	FBbt:00015023	dorsolateral	FBbt:00007707	larval labial segment	Lb	FBbt:00001740
PMID:28730682	FBbt:00015024	dorsomedial	FBbt:00007708	larval labial segment	Lb	FBbt:00001740
PMID:28730682	FBbt:00015025	ventrolateral	FBbt:00007705	larval labial segment	Lb	FBbt:00001740
PMID:28730682	FBbt:00015026	ventromedial	FBbt:00007706	larval labial segment	Lb	FBbt:00001740
PMID:28730682	FBbt:00015027	central	FBbt:00007709	larval labial segment	Lb	FBbt:00001740
PMID:28730682	FBbt:00015028	centrolateral	FBbt:00007704	larval mandibular segment	Md	FBbt:00001738
PMID:28730682	FBbt:00015029	centromedial	FBbt:00007703	larval mandibular segment	Md	FBbt:00001738
PMID:28730682	FBbt:00015030	dorsolateral	FBbt:00007707	larval mandibular segment	Md	FBbt:00001738
PMID:28730682	FBbt:00015031	dorsomedial	FBbt:00007708	larval mandibular segment	Md	FBbt:00001738
PMID:28730682	FBbt:00015032	ventrolateral	FBbt:00007705	larval mandibular segment	Md	FBbt:00001738
PMID:28730682	FBbt:00015033	ventromedial	FBbt:00007706	larval mandibular segment	Md	FBbt:00001738
PMID:28730682	FBbt:00015034	central	FBbt:00007709	larval mandibular segment	Md	FBbt:00001738
PMID:28730682	FBbt:00015035	centrolateral	FBbt:00007704	larval maxillary segment	Mx	FBbt:00001739
PMID:28730682	FBbt:00015036	centromedial	FBbt:00007703	larval maxillary segment	Mx	FBbt:00001739
PMID:28730682	FBbt:00015037	dorsolateral	FBbt:00007707	larval maxillary segment	Mx	FBbt:00001739
PMID:28730682	FBbt:00015038	dorsomedial	FBbt:00007708	larval maxillary segment	Mx	FBbt:00001739
PMID:28730682	FBbt:00015039	ventrolateral	FBbt:00007705	larval maxillary segment	Mx	FBbt:00001739
PMID:28730682	FBbt:00015040	ventromedial	FBbt:00007706	larval maxillary segment	Mx	FBbt:00001739
PMID:28730682	FBbt:00015041	central	FBbt:00007709	larval maxillary segment	Mx	FBbt:00001739
PMID:28730682	FBbt:00015042	centrolateral	FBbt:00007704	larval segment A1	A1	FBbt:00001748
PMID:28730682	FBbt:00015043	centromedial	FBbt:00007703	larval segment A1	A1	FBbt:00001748
PMID:28730682	FBbt:00015044	dorsolateral	FBbt:00007707	larval segment A1	A1	FBbt:00001748
PMID:28730682	FBbt:00015045	dorsomedial	FBbt:00007708	larval segment A1	A1	FBbt:00001748
PMID:28730682	FBbt:00015046	ventrolateral	FBbt:00007705	larval segment A1	A1	FBbt:00001748
PMID:28730682	FBbt:00015047	ventromedial	FBbt:00007706	larval segment A1	A1	FBbt:00001748
PMID:28730682	FBbt:00015048	central	FBbt:00007709	larval segment A1	A1	FBbt:00001748
PMID:28730682	FBbt:00015049	centrolateral	FBbt:00007704	larval segment A2	A2	FBbt:00001749
PMID:28730682	FBbt:00015050	centromedial	FBbt:00007703	larval segment A2	A2	FBbt:00001749
PMID:28730682	FBbt:00015051	dorsolateral	FBbt:00007707	larval segment A2	A2	FBbt:00001749
PMID:28730682	FBbt:00015052	dorsomedial	FBbt:00007708	larval segment A2	A2	FBbt:00001749
PMID:28730682	FBbt:00015053	ventrolateral	FBbt:00007705	larval segment A2	A2	FBbt:00001749
PMID:28730682	FBbt:00015054	ventromedial	FBbt:00007706	larval segment A2	A2	FBbt:00001749
PMID:28730682	FBbt:00015055	central	FBbt:00007709	larval segment A2	A2	FBbt:00001749
PMID:28730682	FBbt:00015056	centrolateral	FBbt:00007704	larval segment A3	A3	FBbt:00001750
PMID:28730682	FBbt:00015057	centromedial	FBbt:00007703	larval segment A3	A3	FBbt:00001750
PMID:28730682	FBbt:00015058	dorsolateral	FBbt:00007707	larval segment A3	A3	FBbt:00001750
PMID:28730682	FBbt:00015059	dorsomedial	FBbt:00007708	larval segment A3	A3	FBbt:00001750
PMID:28730682	FBbt:00015060	ventrolateral	FBbt:00007705	larval segment A3	A3	FBbt:00001750
PMID:28730682	FBbt:00015061	ventromedial	FBbt:00007706	larval segment A3	A3	FBbt:00001750
PMID:28730682	FBbt:00015062	central	FBbt:00007709	larval segment A3	A3	FBbt:00001750
PMID:28730682	FBbt:00015063	centrolateral	FBbt:00007704	larval segment A4	A4	FBbt:00001751
PMID:28730682	FBbt:00015064	centromedial	FBbt:00007703	larval segment A4	A4	FBbt:00001751
PMID:28730682	FBbt:00015065	dorsolateral	FBbt:00007707	larval segment A4	A4	FBbt:00001751
PMID:28730682	FBbt:00015066	dorsomedial	FBbt:00007708	larval segment A4	A4	FBbt:00001751
PMID:28730682	FBbt:00015067	ventrolateral	FBbt:00007705	larval segment A4	A4	FBbt:00001751
PMID:28730682	FBbt:00015068	ventromedial	FBbt:00007706	larval segment A4	A4	FBbt:00001751
PMID:28730682	FBbt:00015069	central	FBbt:00007709	larval segment A4	A4	FBbt:00001751
PMID:28730682	FBbt:00015070	centrolateral	FBbt:00007704	larval segment A5	A5	FBbt:00001752
PMID:28730682	FBbt:00015071	centromedial	FBbt:00007703	larval segment A5	A5	FBbt:00001752
PMID:28730682	FBbt:00015072	dorsolateral	FBbt:00007707	larval segment A5	A5	FBbt:00001752
PMID:28730682	FBbt:00015073	dorsomedial	FBbt:00007708	larval segment A5	A5	FBbt:00001752
PMID:28730682	FBbt:00015074	ventrolateral	FBbt:00007705	larval segment A5	A5	FBbt:00001752
PMID:28730682	FBbt:00015075	ventromedial	FBbt:00007706	larval segment A5	A5	FBbt:00001752
PMID:28730682	FBbt:00015076	central	FBbt:00007709	larval segment A5	A5	FBbt:00001752
PMID:28730682	FBbt:00015077	centrolateral	FBbt:00007704	larval segment A6	A6	FBbt:00001753
PMID:28730682	FBbt:00015078	centromedial	FBbt:00007703	larval segment A6	A6	FBbt:00001753
PMID:28730682	FBbt:00015079	dorsolateral	FBbt:00007707	larval segment A6	A6	FBbt:00001753
PMID:28730682	FBbt:00015080	dorsomedial	FBbt:00007708	larval segment A6	A6	FBbt:00001753
PMID:28730682	FBbt:00015081	ventrolateral	FBbt:00007705	larval segment A6	A6	FBbt:00001753
PMID:28730682	FBbt:00015082	ventromedial	FBbt:00007706	larval segment A6	A6	FBbt:00001753
PMID:28730682	FBbt:00015083	central	FBbt:00007709	larval segment A6	A6	FBbt:00001753
PMID:28730682	FBbt:00015084	centrolateral	FBbt:00007704	larval segment A7	A7	FBbt:00001754
PMID:28730682	FBbt:00015085	centromedial	FBbt:00007703	larval segment A7	A7	FBbt:00001754
PMID:28730682	FBbt:00015086	dorsolateral	FBbt:00007707	larval segment A7	A7	FBbt:00001754
PMID:28730682	FBbt:00015087	dorsomedial	FBbt:00007708	larval segment A7	A7	FBbt:00001754
PMID:28730682	FBbt:00015088	ventrolateral	FBbt:00007705	larval segment A7	A7	FBbt:00001754
PMID:28730682	FBbt:00015089	ventromedial	FBbt:00007706	larval segment A7	A7	FBbt:00001754
PMID:28730682	FBbt:00015090	central	FBbt:00007709	larval segment A7	A7	FBbt:00001754
PMID:28730682	FBbt:00015091	centrolateral	FBbt:00007704	larval segment A8	A8	FBbt:00001755
PMID:28730682	FBbt:00015092	centromedial	FBbt:00007703	larval segment A8	A8	FBbt:00001755
PMID:28730682	FBbt:00015093	dorsolateral	FBbt:00007707	larval segment A8	A8	FBbt:00001755
PMID:28730682	FBbt:00015094	dorsomedial	FBbt:00007708	larval segment A8	A8	FBbt:00001755
PMID:28730682	FBbt:00015095	ventrolateral	FBbt:00007705	larval segment A8	A8	FBbt:00001755
PMID:28730682	FBbt:00015096	ventromedial	FBbt:00007706	larval segment A8	A8	FBbt:00001755
