Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	FBbt:00002668	IAO:0000115	Unidendritic sensillum of the anteroventral group of the larval pharynx located in a pit lateral to V1. It has a tuft of hair at its distal tip and its dendrite has a tubular body.	
ERROR	duplicate_definition	FBbt:00002669	IAO:0000115	Unidendritic sensillum of the anteroventral group of the larval pharynx located in a pit lateral to V1. It has a tuft of hair at its distal tip and its dendrite has a tubular body.	
ERROR	duplicate_definition	FBbt:00003896	IAO:0000115	Translobula plate neuron that arborizes in the lobula and lobula plate.	
ERROR	duplicate_definition	FBbt:00003897	IAO:0000115	Translobula plate neuron that arborizes in the lobula and lobula plate.	
ERROR	duplicate_definition	FBbt:00003898	IAO:0000115	Translobula plate neuron that arborizes in the lobula and lobula plate.	
ERROR	duplicate_definition	FBbt:00003899	IAO:0000115	Translobula plate neuron that arborizes in the lobula and lobula plate.	
ERROR	duplicate_definition	FBbt:00003900	IAO:0000115	Translobula plate neuron that arborizes in the lobula and lobula plate.	
ERROR	duplicate_definition	FBbt:00003901	IAO:0000115	Translobula plate neuron that arborizes in the lobula and lobula plate.	
ERROR	duplicate_definition	FBbt:00003902	IAO:0000115	Translobula plate neuron that arborizes in the lobula and lobula plate.	
ERROR	duplicate_definition	FBbt:00003903	IAO:0000115	Translobula plate neuron that arborizes in the lobula and lobula plate.	
ERROR	duplicate_definition	FBbt:00003904	IAO:0000115	Translobula plate neuron that arborizes in the lobula and lobula plate.	
ERROR	duplicate_definition	FBbt:00003905	IAO:0000115	Translobula plate neuron that arborizes in the lobula and lobula plate.	
ERROR	duplicate_definition	FBbt:00048102	IAO:0000115	TN1 neuron that projects mostly anteriorly into the dorsal prothoracic neuromere with a branch also projecting posteriorly into the dorsal mesothoracic neuromere (Shirangi et al., 2016).	
ERROR	duplicate_definition	FBbt:00048103	IAO:0000115	TN1 neuron that projects mostly anteriorly into the dorsal prothoracic neuromere with a branch also projecting posteriorly into the dorsal mesothoracic neuromere (Shirangi et al., 2016).	
ERROR	duplicate_definition	FBbt:00110236	IAO:0000115	Third-most dorsal of the dorsal oblique muscles.	
ERROR	duplicate_definition	FBbt:00110249	IAO:0000115	Third-most dorsal of the dorsal oblique muscles.	
ERROR	duplicate_definition	FBbt:00002736	IAO:0000115	The most ventral of the two campaniformium sensilla of the lateral sensory cluster of the embryonic/larval prothoracic segment.	
ERROR	duplicate_definition	FBbt:00002737	IAO:0000115	The most ventral of the two campaniformium sensilla of the lateral sensory cluster of the embryonic/larval prothoracic segment.	
ERROR	duplicate_definition	FBbt:00002773	IAO:0000115	The most ventral of the two campaniformium sensilla of the lateral sensory cluster of the embryonic/larval metathoracic segment.	
ERROR	duplicate_definition	FBbt:00002774	IAO:0000115	The most ventral of the two campaniformium sensilla of the lateral sensory cluster of the embryonic/larval metathoracic segment.	
