pupal wing branch ; FBbt:00002982 has changed name to pupal wing tracheal branch. The old name is not a synonym.
lateral cephalic branch ; FBbt:00000399 has changed name to lateral cephalic tracheal branch. The old name is not a synonym.
lateral H branch ; FBbt:00000382 has changed name to larval lateral H tracheal branch. The old name is not a synonym.
embryonic/larval spiracular branch 5 ; FBbt:00000308 has changed name to embryonic/larval spiracular tracheal branch 5. The old name is not a synonym.
adult spiracular branch 1 ; FBbt:00003072 has changed name to adult spiracular tracheal branch 1. The old name is not a synonym.
embryonic/larval prothoracic lateral sensory cluster ; FBbt:00007302 has changed name to larval prothoracic lateral sensory cluster. The old name is a synonym.
larval dorsal anastomosis 2 ; FBbt:00000277 has changed name to larval dorsal tracheal anastomosis 2. The old name is not a synonym.
embryonic/larval thoracic/abdominal dorsal sensory cluster ; FBbt:00007296 has changed name to larval dorsal sensory cluster. The old name is a synonym.
embryonic/larval ganglionic branch 7 ; FBbt:00000333 has changed name to embryonic/larval ganglionic tracheal branch 7. The old name is not a synonym.
prothoracic v''esB neuron ; FBbt:00002096 has been made obsolete. Suggested alternative term(s): v''esB neuron ; FBbt:00002053
lateral G branch ; FBbt:00000372 has changed name to larval lateral G tracheal branch. The old name is not a synonym.
dorsal trunk anterior branch 4 ; FBbt:00000216 has changed name to tracheal dorsal trunk anterior branch 4 primordium. The old name is not a synonym.
des3 neuron ; FBbt:00002007 has been made obsolete. Suggested alternative term(s): larval PLSOp neuron ; FBbt:00052039, larval ALSOp neuron ; FBbt:00002609
embryonic/larval spiracular branch 1 ; FBbt:00000304 has changed name to embryonic/larval spiracular tracheal branch 1. The old name is not a synonym.
embryonic/larval ganglionic branch 4 ; FBbt:00000330 has changed name to embryonic/larval ganglionic tracheal branch 4. The old name is not a synonym.
larval lateral multidendritic neuron ldaA ; FBbt:00002031 has changed name to larval thoracic lateral multidendritic neuron ldaA. The old name is not a synonym.
ventral superficial trachea 3 ; FBbt:00110997 has changed name to adult ventral superficial tracheal branch 3. The old name is not a synonym.
pupal dorsal branch 3 ; FBbt:00002972 has changed name to pupal dorsal tracheal branch 3. The old name is not a synonym.
embryonic/larval transverse connective 5 ; FBbt:00000259 has changed name to embryonic/larval tracheal transverse connective 5. The old name is not a synonym.
embryonic/larval transverse connective 6 ; FBbt:00000260 has changed name to embryonic/larval tracheal transverse connective 6. The old name is not a synonym.
dorsal group branch 2 ; FBbt:00000287 has changed name to larval dorsal group tracheal branch 2. The old name is not a synonym.
mediosternal trachea ; FBbt:00003099 has changed name to adult mediosternal tracheal branch. The old name is a synonym.
superficial trachea ; FBbt:00003082 has changed name to adult abdominal superficial tracheal branch. The old name is a synonym.
mesothoracic dorsal/lateral multidendritic neuron ; FBbt:00002115 has changed name to larval mesothoracic multidendritic neuron. The old name is not a synonym.
antennal nerve branch ; FBbt:00007670 has changed name to antennal nerve tracheal branch. The old name is not a synonym.
embryonic/larval transverse connective 9 ; FBbt:00000263 has changed name to embryonic/larval tracheal transverse connective 9. The old name is not a synonym.
embryonic/larval dorsal branch 8 ; FBbt:00000273 has changed name to embryonic/larval dorsal tracheal branch 8. The old name is not a synonym.
dorsal trunk posterior branch 9 ; FBbt:00000232 has changed name to tracheal dorsal trunk posterior branch 9 primordium. The old name is not a synonym.
embryonic/larval dorsal branch 5 ; FBbt:00000270 has changed name to embryonic/larval dorsal tracheal branch 5. The old name is not a synonym.
spiracular branch primordium ; FBbt:00005589 has changed name to spiracular tracheal branch primordium. The old name is not a synonym.
fat body branch 9 ; FBbt:00000349 has changed name to larval fat body tracheal branch 9. The old name is not a synonym.
