#curie_map:
#  FBbt: http://purl.obolibrary.org/obo/FBbt_
#  FlyBrain_NDB: https://flybrain-ndb.virtualflybrain.org/neuronrec-
#  ORCID: https://orcid.org/
#  obo: http://purl.obolibrary.org/obo/
#mapping_set_id: http://purl.obolibrary.org/obo/fbbt/mappings.sssom.tsv
#creator_id:
#  - ORCID:0000-0002-1373-1705
#license: https://creativecommons.org/licenses/by/4.0/
#subject_source: obo:fbbt.owl
#mapping_date: 2024-07-11
subject_id	subject_label	predicate_id	object_id	mapping_justification
FBbt:00001592	larval VUM neuron	skos:exactMatch	FlyBrain_NDB:10472	semapv:ManualMappingCuration
FBbt:00003634	adult protocerebral bridge 1 glomerulus-fan-shaped body-nodulus neuron	skos:exactMatch	FlyBrain_NDB:10240	semapv:ManualMappingCuration
FBbt:00003635	adult protocerebral bridge 1 glomerulus-fan-shaped body-lateral accessory lobe neuron	skos:exactMatch	FlyBrain_NDB:10254	semapv:ManualMappingCuration
FBbt:00003637	adult ellipsoid body-protocerebral bridge-gall neuron	skos:exactMatch	FlyBrain_NDB:10255	semapv:ManualMappingCuration
FBbt:00003638	adult ellipsoid body-nodulus neuron	skos:exactMatch	FlyBrain_NDB:10250	semapv:ManualMappingCuration
FBbt:00003639	adult fan-shaped body-nodulus neuron	skos:exactMatch	FlyBrain_NDB:10249	semapv:ManualMappingCuration
FBbt:00003642	adult fan-shaped body-bulb neuron	skos:narrowMatch	FlyBrain_NDB:10257	semapv:ManualMappingCuration
FBbt:00003642	adult fan-shaped body-bulb neuron	skos:narrowMatch	FlyBrain_NDB:10258	semapv:ManualMappingCuration
FBbt:00003643	adult protocerebral bridge-nodulus neuron	skos:exactMatch	FlyBrain_NDB:10248	semapv:ManualMappingCuration
FBbt:00003646	adult protocerebral bridge 1 glomerulus-ellipsoid body tile-nodulus 1 neuron	skos:exactMatch	FlyBrain_NDB:10241	semapv:ManualMappingCuration
FBbt:00003647	adult protocerebral bridge-fan-shaped body-ellipsoid body neuron	skos:narrowMatch	FlyBrain_NDB:10242	semapv:ManualMappingCuration
FBbt:00003647	adult protocerebral bridge-fan-shaped body-ellipsoid body neuron	skos:narrowMatch	FlyBrain_NDB:10243	semapv:ManualMappingCuration
