Ontology ID	definition
ID	A IAO:0000115
http://purl.obolibrary.org/obo/FBbt_00002490	Any abdominal vesC neuron (FBbt:00002484) that has postsynaptic terminal in some abdominal 6 ventral sensillum campaniformium vc3 (FBbt:00002885)
http://purl.obolibrary.org/obo/FBbt_00002491	Any abdominal vesC neuron (FBbt:00002484) that has postsynaptic terminal in some abdominal 7 ventral sensillum campaniformium vc3 (FBbt:00002886)
http://purl.obolibrary.org/obo/FBbt_00002498	Any abdominal v esA neuron that has postsynaptic terminal in some abdominal 6 ventral sensillum campaniformium vc4b (FBbt:00002901)
http://purl.obolibrary.org/obo/FBbt_00002497	Any abdominal v esA neuron that has postsynaptic terminal in some abdominal 5 ventral sensillum campaniformium vc4b (FBbt:00002900)
http://purl.obolibrary.org/obo/FBbt_00002499	Any abdominal v esA neuron that has postsynaptic terminal in some abdominal 7 ventral sensillum campaniformium vc4b (FBbt:00002902)
http://purl.obolibrary.org/obo/FBbt_00002494	Any abdominal v esA neuron that has postsynaptic terminal in some abdominal 2 ventral sensillum campaniformium vc4b (FBbt:00002897)
http://purl.obolibrary.org/obo/FBbt_00002493	Any abdominal v esA neuron that has postsynaptic terminal in some abdominal 1 ventral sensillum campaniformium vc4b (FBbt:00002896)
http://purl.obolibrary.org/obo/FBbt_00002496	Any abdominal v esA neuron that has postsynaptic terminal in some abdominal 4 ventral sensillum campaniformium vc4b (FBbt:00002899)
http://purl.obolibrary.org/obo/FBbt_00002495	Any abdominal v esA neuron that has postsynaptic terminal in some abdominal 3 ventral sensillum campaniformium vc4b (FBbt:00002898)
http://purl.obolibrary.org/obo/FBbt_00050108	Any neuron (FBbt:00005106) that is part of some adult brain (FBbt:00003624) and develops from some neuroblast VPNd1 (FBbt:00050106)
http://purl.obolibrary.org/obo/FBbt_00004209	Any photoreceptor cell R8 (FBbt:00004227) that is part of some dorsal margin ommatidium (FBbt:02000000)
http://purl.obolibrary.org/obo/FBbt_00004207	Any eye photoreceptor cell (FBbt:00006009) that is part of some dorsal margin ommatidium (FBbt:02000000)
http://purl.obolibrary.org/obo/FBbt_00004449	Any photoreceptor cell R7 (FBbt:00004225) that is part of some dorsal margin ommatidium (FBbt:02000000)
http://purl.obolibrary.org/obo/FBbt_00050105	Any neuron (FBbt:00005106) that is part of some adult brain (FBbt:00003624) and develops from some neuroblast VLPl1 (FBbt:00050103)
http://purl.obolibrary.org/obo/FBbt_00050102	Any neuron (FBbt:00005106) that is part of some adult brain (FBbt:00003624) and develops from some neuroblast DM3 (FBbt:00050100)
http://purl.obolibrary.org/obo/FBbt_00050132	Any neuron (FBbt:00005106) that is part of some adult brain (FBbt:00003624) and develops from some neuroblast VLPp l1
http://purl.obolibrary.org/obo/FBbt_00050138	Any neuron (FBbt:00005106) that is part of some adult brain (FBbt:00003624) and develops from some neuroblast EBa1 (FBbt:00050136)
http://purl.obolibrary.org/obo/FBbt_00050135	Any neuron (FBbt:00005106) that is part of some adult brain (FBbt:00003624) and develops from some neuroblast VLPa2 (FBbt:00050133)
http://purl.obolibrary.org/obo/FBbt_00050141	Any neuron (FBbt:00005106) that is part of some adult brain (FBbt:00003624) and develops from some neuroblast LHp2 (FBbt:00050139)
http://purl.obolibrary.org/obo/FBbt_00002069	Any desD neuron (FBbt:00002002) that fasciculates with some prothoracic intersegmental nerve (FBbt:00002064) and has postsynaptic terminal in some prothoracic dorsal sensillum campaniformium dc3 (FBbt:00002733)
http://purl.obolibrary.org/obo/FBbt_00002068	Any desC neuron (FBbt:00002001) that fasciculates with some prothoracic intersegmental nerve (FBbt:00002064) and has postsynaptic terminal in some prothoracic dorsal sensillum campaniformium dc2 (FBbt:00002732)
http://purl.obolibrary.org/obo/FBbt_00002067	Any desB neuron (FBbt:00002000) that fasciculates with some prothoracic intersegmental nerve (FBbt:00002064) and has postsynaptic terminal in some prothoracic dorsal sensillum trichodeum dh1 (FBbt:00002729)
http://purl.obolibrary.org/obo/FBbt_00002066	Any desA neuron (FBbt:00001999) that fasciculates with some prothoracic intersegmental nerve (FBbt:00002064) and has postsynaptic terminal in some prothoracic dorsal sensillum campaniformium dc1 (FBbt:00002731)
http://purl.obolibrary.org/obo/FBbt_00050144	Any neuron (FBbt:00005106) that is part of some adult brain (FBbt:00003624) and develops from some neuroblast DM6 (FBbt:00050142)
http://purl.obolibrary.org/obo/FBbt_00050147	Any neuron (FBbt:00005106) that is part of some adult brain (FBbt:00003624) and develops from some neuroblast VLPl p2
http://purl.obolibrary.org/obo/FBbt_00002072	Any lesB neuron (FBbt:00002013) that fasciculates with some prothoracic intersegmental nerve (FBbt:00002064) and has postsynaptic terminal in some prothoracic lateral sensillum trichodeum lh1 (FBbt:00002735)
http://purl.obolibrary.org/obo/FBbt_00002071	Any lesA neuron (FBbt:00002012) that fasciculates with some prothoracic intersegmental nerve (FBbt:00002064) and has postsynaptic terminal in some prothoracic lateral sensillum campaniformium lc1 (FBbt:00002736)
http://purl.obolibrary.org/obo/FBbt_00002073	Any lesC neuron (FBbt:00002014) that fasciculates with some prothoracic intersegmental nerve (FBbt:00002064) and has postsynaptic terminal in some prothoracic lateral sensillum campaniformium lc2 (FBbt:00002737)
http://purl.obolibrary.org/obo/FBbt_00002070	Any desE neuron (FBbt:00002003) that fasciculates with some prothoracic intersegmental nerve (FBbt:00002064) and has postsynaptic terminal in some prothoracic dorsal sensillum trichodeum dh2 (FBbt:00002730)
http://purl.obolibrary.org/obo/FBbt_00047188	Any sensory neuron (FBbt:00005124) that overlaps some dorsal organ (FBbt:00002655)
http://purl.obolibrary.org/obo/FBbt_00050117	Any neuron (FBbt:00005106) that is part of some adult brain (FBbt:00003624) and develops from some neuroblast LHd2 (FBbt:00050115)
http://purl.obolibrary.org/obo/FBbt_00050111	Any neuron (FBbt:00005106) that is part of some adult brain (FBbt:00003624) and develops from some neuroblast VESa2 (FBbt:00050109)
http://purl.obolibrary.org/obo/FBbt_00050114	Any neuron (FBbt:00005106) that is part of some adult brain (FBbt:00003624) and develops from some neuroblast SMPpv2 (FBbt:00050112)
http://purl.obolibrary.org/obo/FBbt_00007536	Any fan shaped neuron that has synaptic terminal in some fan shaped body layer 6
http://purl.obolibrary.org/obo/FBbt_00002087	Any vesA neuron (FBbt:00002041) that fasciculates with some prothoracic segmental nerve (FBbt:00002085) and has postsynaptic terminal in some prothoracic Keilin s organ
http://purl.obolibrary.org/obo/FBbt_00002089	Any vesC neuron (FBbt:00002043) that fasciculates with some prothoracic segmental nerve (FBbt:00002085) and has postsynaptic terminal in some prothoracic Keilin s organ
http://purl.obolibrary.org/obo/FBbt_00002088	Any vesB neuron (FBbt:00002042) that fasciculates with some prothoracic segmental nerve (FBbt:00002085) and has postsynaptic terminal in some prothoracic Keilin s organ
http://purl.obolibrary.org/obo/FBbt_00050129	Any neuron (FBbt:00005106) that is part of some adult brain (FBbt:00003624) and develops from some neuroblast AOTUv3 (FBbt:00050127)
http://purl.obolibrary.org/obo/FBbt_00050123	Any neuron (FBbt:00005106) that is part of some adult brain (FBbt:00003624) and develops from some neuroblast DM2 (FBbt:00050121)
http://purl.obolibrary.org/obo/FBbt_00050120	Any neuron (FBbt:00005106) that is part of some adult brain (FBbt:00003624) and develops from some neuroblast VESa1 (FBbt:00050118)
http://purl.obolibrary.org/obo/FBbt_00050126	Any neuron (FBbt:00005106) that is part of some adult brain (FBbt:00003624) and develops from some neuroblast SLPad1 (FBbt:00050124)
http://purl.obolibrary.org/obo/FBbt_00002094	Any v es3 neuron that fasciculates with some prothoracic segmental nerve (FBbt:00002085) and has postsynaptic terminal in some prothoracic ventral Kolbchen vbd (FBbt:00002739)
http://purl.obolibrary.org/obo/FBbt_00002093	Any v esB neuron that fasciculates with some prothoracic segmental nerve (FBbt:00002085) and has postsynaptic terminal in some prothoracic ventral sensillum campaniformium vc2 (FBbt:00002741)
http://purl.obolibrary.org/obo/FBbt_00007540	Any fan shaped neuron that has synaptic terminal in some fan shaped body layer 1
http://purl.obolibrary.org/obo/FBbt_00002096	Any v esB neuron that fasciculates with some prothoracic segmental nerve (FBbt:00002085) and has postsynaptic terminal in some prothoracic slit papilla sensillum py (FBbt:00002727)
http://purl.obolibrary.org/obo/FBbt_00002095	Any v esA neuron that fasciculates with some prothoracic segmental nerve (FBbt:00002085) and has postsynaptic terminal in some prothoracic slit papilla sensillum px (FBbt:00002726)
http://purl.obolibrary.org/obo/FBbt_00002090	Any vesD neuron (FBbt:00002044) that fasciculates with some prothoracic segmental nerve (FBbt:00002085) and has postsynaptic terminal in some prothoracic Keilin s organ
http://purl.obolibrary.org/obo/FBbt_00050174	Any neuron (FBbt:00005106) that is part of some adult brain (FBbt:00003624) and develops from some neuroblast SMPad3 (FBbt:00050172)
http://purl.obolibrary.org/obo/FBbt_00002092	Any v esA neuron that fasciculates with some prothoracic segmental nerve (FBbt:00002085) and has postsynaptic terminal in some prothoracic ventral sensillum campaniformium vc1 (FBbt:00002740)
http://purl.obolibrary.org/obo/FBbt_00002091	Any vesE neuron (FBbt:00002045) that fasciculates with some prothoracic segmental nerve (FBbt:00002085) and has postsynaptic terminal in some prothoracic Keilin s organ
http://purl.obolibrary.org/obo/FBbt_00050171	Any neuron (FBbt:00005106) that is part of some adult brain (FBbt:00003624) and develops from some neuroblast PBp1 (FBbt:00050169)
http://purl.obolibrary.org/obo/FBbt_00007544	Any fan shaped neuron that has synaptic terminal in some fan shaped body layer 5
http://purl.obolibrary.org/obo/FBbt_00002097	Any vch1 neuron (FBbt:00002040) that fasciculates with some prothoracic segmental nerve (FBbt:00002085) and has postsynaptic terminal in some prothoracic ventral monoscolopidial chordotonal organ vch1 (FBbt:00002742)
http://purl.obolibrary.org/obo/FBbt_00050177	Any neuron (FBbt:00005106) that is part of some adult brain (FBbt:00003624) and develops from some neuroblast SLPal5 (FBbt:00050175)
http://purl.obolibrary.org/obo/FBbt_00050180	Any neuron (FBbt:00005106) that is part of some adult brain (FBbt:00003624) and develops from some neuroblast FLAa3 female
http://purl.obolibrary.org/obo/FBbt_00050183	Any neuron (FBbt:00005106) that is part of some adult brain (FBbt:00003624) and develops from some neuroblast AOTUv2 (FBbt:00050181)
http://purl.obolibrary.org/obo/FBbt_00005133	Any neuron (FBbt:00005106) that capable of some serotonin secretion neurotransmission
http://purl.obolibrary.org/obo/FBbt_00050189	Any neuron (FBbt:00005106) that is part of some adult brain (FBbt:00003624) and develops from some neuroblast FLAa2 (FBbt:00050187)
http://purl.obolibrary.org/obo/FBbt_00050186	Any neuron (FBbt:00005106) that is part of some adult brain (FBbt:00003624) and develops from some neuroblast DL1 (FBbt:00050184)
http://purl.obolibrary.org/obo/FBbt_00111196	Any neuron (FBbt:00005106) that is part of some adult fruitless (FBgn0004652) pSP3 lineage clone (FBbt:00111195) and expresses fruitless (FBgn0004652)
http://purl.obolibrary.org/obo/FBbt_00050150	Any neuron (FBbt:00005106) that is part of some adult brain (FBbt:00003624) and develops from some neuroblast CREa1 female
http://purl.obolibrary.org/obo/FBbt_00111190	Any neuron (FBbt:00005106) that is part of some adult fruitless (FBgn0004652) aSG1 lineage clone and expresses fruitless (FBgn0004652)
http://purl.obolibrary.org/obo/FBbt_00111192	Any neuron (FBbt:00005106) that is part of some adult fruitless (FBgn0004652) aSG2 lineage clone and expresses fruitless (FBgn0004652)
http://purl.obolibrary.org/obo/FBbt_00111194	Any neuron (FBbt:00005106) that is part of some adult fruitless (FBgn0004652) aSP10 lineage clone and expresses fruitless (FBgn0004652)
