FBbt_id	abbreviation
FBbt:00001948	rLOP
FBbt:00003216	CCA
FBbt:00003632	CX
FBbt:00003668	PB
FBbt:00003678	EB
FBbt:00003679	FB
FBbt:00003680	NO
FBbt:00003681	LAL
FBbt:00003682	BU
FBbt:00003683	MBDL
FBbt:00003684	MB
FBbt:00003685	CA
FBbt:00003699	OCN
FBbt:00003700	PI
FBbt:00003701	OL
FBbt:00003708	LA
FBbt:00003748	ME
FBbt:00003756	SPL
FBbt:00003757	MEI
FBbt:00003852	LO
FBbt:00003885	LOP
FBbt:00003921	OCH
FBbt:00003922	OCH2
FBbt:00003980	AN
FBbt:00003981	TgN
FBbt:00003983	lALT
FBbt:00003984	mlALT
FBbt:00003985	mALT
FBbt:00004019	CV
FBbt:00004021	PhN
FBbt:00004024	APhN
FBbt:00004028	LbN
FBbt:00004043	MxN
FBbt:00004052	TAG
FBbt:00005407	VL
FBbt:00005408	ML
FBbt:00005810	OCH1
FBbt:00007053	LH
FBbt:00007054	SLP
FBbt:00007055	SMP
FBbt:00007058	VLP
FBbt:00007059	AOTU
FBbt:00007074	LALC
FBbt:00007075	SAC
FBbt:00007077	sPLPC
FBbt:00007080	GC
FBbt:00007083	PLF
FBbt:00007112	rCA
FBbt:00007354	AST
FBbt:00007401	AL
FBbt:00007427	POC
FBbt:00007453	PED
FBbt:00007647	rLH
FBbt:00007666	rSMPa
FBbt:00007667	rSMPp
FBbt:00013691	alpha' L
FBbt:00013694	beta' L
FBbt:00013695	gamma L
FBbt:00014013	GNG
FBbt:00040001	LX
FBbt:00040002	VMNPS
FBbt:00040037	INP
FBbt:00040038	RUB
FBbt:00040039	GOR
FBbt:00040040	EPA
FBbt:00040041	VES
FBbt:00040042	PVLP
FBbt:00040043	AVLP
FBbt:00040044	PLP
FBbt:00040045	ASLP
FBbt:00040046	PSLP
FBbt:00040047	CL
FBbt:00040048	SCL
FBbt:00040049	ICL
FBbt:00040050	IB
FBbt:00040051	PRW
FBbt:00040052	SPhS
FBbt:00040054	IPhS
FBbt:00040055	LS
FBbt:00040056	PMS
FBbt:00040057	AMS
FBbt:00040059	ULAL
FBbt:00040060	GA
FBbt:00040061	LLAL
FBbt:00040062	ASMP
FBbt:00040063	PSMP
FBbt:00040071	VX
FBbt:00040072	PS
FBbt:00045000	LADRA
FBbt:00045001	PLME
FBbt:00045002	MEDRA
FBbt:00045003	AME
FBbt:00045004	LOX
FBbt:00045005	MCA
FBbt:00045006	LCA
FBbt:00045007	ACA
FBbt:00045008	PEDN
FBbt:00045009	PEDD
FBbt:00045020	CB
FBbt:00045021	VLNP
FBbt:00045027	WED
FBbt:00045030	SNP
FBbt:00045032	SIP
FBbt:00045037	CRE
FBbt:00045039	ATL
FBbt:00045040	SPS
FBbt:00045046	IPS
FBbt:00045047	PENP
FBbt:00045048	SAD
FBbt:00045050	FLA
FBbt:00045051	CAN
FBbt:00048329	rIB
FBbt:00048330	rPB
FBbt:00048403	rSPS
FBbt:00048404	rIPS
FBbt:00048470	rAOTU
FBbt:00048542	rATL
FBbt:00049149	rPVLP
FBbt:00049151	rWED
FBbt:00049152	rSAD
FBbt:00049550	rSIP
FBbt:00049781	rSEZ
FBbt:00049908	rSMPmd
FBbt:00049999	rSMPma
FBbt:00051000	rALad
FBbt:00051001	rALl
FBbt:00051002	rALld
FBbt:00051003	rALv
FBbt:00051004	rAOTUa
FBbt:00051005	rAOTUl
FBbt:00051006	rAOTUv
FBbt:00051007	rAVLPa
FBbt:00051008	rAVLPl
FBbt:00051009	rCREa
FBbt:00051010	rCREm
FBbt:00051011	rLHd
FBbt:00051012	rLHl
FBbt:00051013	rLHp
FBbt:00051014	rPLPl
FBbt:00051015	rPLPp
FBbt:00051016	rSADl
FBbt:00051017	rSADmv
FBbt:00051018	rSIPa
FBbt:00051019	rSIPd
FBbt:00051020	rSLPa
FBbt:00051021	rSLPd
FBbt:00051022	rSLPp
FBbt:00051023	rSMPd
FBbt:00051024	rGNGl
FBbt:00051025	rGNGv
FBbt:00051026	rLAa
FBbt:00051027	rLAd
FBbt:00051028	rLAl
FBbt:00051029	rLAm
FBbt:00051030	rLAp
FBbt:00051031	rLAv
FBbt:00051032	rLOa
FBbt:00051033	rLOd
FBbt:00051034	rLOp
FBbt:00051035	rLOPd
FBbt:00051036	rLOPp
FBbt:00051037	rLOPv
FBbt:00051038	rLOv
FBbt:00051039	rMEa
FBbt:00051040	rMEd
FBbt:00051041	rMEl
FBbt:00051042	rMEp
FBbt:00051043	rMEv
FBbt:00051044	rSMPmp
FBbt:00100099	ALT
FBbt:00100201	LCBR
FBbt:00100202	rSLP
FBbt:00100203	rPLP
FBbt:00100204	rSMP
FBbt:00100205	rME
FBbt:00100206	rLA
FBbt:00100207	rLO
FBbt:00100209	rAVLP
FBbt:00100210	GCBR
FBbt:00100211	rAL
FBbt:00100212	rPS
