?cls	?def	?xrefs
<http://purl.obolibrary.org/obo/FBbt_20002627>	"Adult lobula visual projection neuron of the LoVP64 group (Nern et al., 2025). It receives input in the ipsilateral superior lateral protocerebrum, superior medial protocerebrum, lobula layer 6, posterior lateral protocerebrum, superior intermediate protocerebrum, antler and lobula layer 5B (Nern et al., 2025). It sends output to the ipsilateral superior lateral protocerebrum, superior medial protocerebrum, lobula layer 6, superior intermediate protocerebrum and antler (Nern et al., 2025). There is one of these cells per hemisphere (Nern et al., 2025)."	"VFB:FBbt_20002627"
<http://purl.obolibrary.org/obo/GO_0032102>	"Any process that stops, prevents, or reduces the frequency, rate or extent of a response to an external stimulus."	
<http://purl.obolibrary.org/obo/FBbt_20006828>	"Adult brain-intrinsic neuron of the CB3363 group, with its soma in the brain, posterior-dorsal to the superior posterior slope (Schlegel et al., 2024; Dorkenwald et al., 2024). It belongs to the DM6 central1 hemilineage (Schlegel et al., 2024; Dorkenwald et al., 2024). It has postsynapses in the ipsilateral inferior posterior slope, the ipsilateral lateral accessory lobe, the contralateral inferior posterior slope, the ipsilateral epaulette and the ipsilateral wedge (Schlegel et al., 2024; Dorkenwald et al., 2024). It has presynapses in the contralateral inferior posterior slope, the contralateral superior posterior slope, the contralateral wedge and the ipsilateral inferior posterior slope (Schlegel et al., 2024; Dorkenwald et al., 2024). Its predicted neurotransmitter is acetylcholine (Eckstein et al., 2024). There are approximately 2 of these cells per organism (Schlegel et al., 2024; Dorkenwald et al., 2024)."	"VFB:FBbt_20006828"
<http://purl.obolibrary.org/obo/FBbt_00100264>	"Inner-most section of the mushroom body beta lobe core layer."	"VFB:FBbt_00100264"
<http://purl.obolibrary.org/obo/FBbt_20003949>	"Adult brain-intrinsic neuron of the CB0104 group, with its soma in the brain, ventral to the antennal mechanosensory and motor center (Schlegel et al., 2024; Dorkenwald et al., 2024). It is a putative embryonic-born neuron (Schlegel et al., 2024; Dorkenwald et al., 2024). It has postsynapses in the saddle and the ipsilateral antennal mechanosensory and motor center (Schlegel et al., 2024; Dorkenwald et al., 2024). It has presynapses in the saddle and the contralateral antennal mechanosensory and motor center (Schlegel et al., 2024; Dorkenwald et al., 2024). Its predicted neurotransmitter is gaba (Eckstein et al., 2024). There are approximately 2 of these cells per organism (Schlegel et al., 2024; Dorkenwald et al., 2024)."	"VFB:FBbt_20003949"
<http://purl.obolibrary.org/obo/FBbt_20004411>	"Adult brain-intrinsic neuron of the CB0679 group, with its soma in the brain, ventral to the antennal lobe (Schlegel et al., 2024; Dorkenwald et al., 2024). It is a putative embryonic-born neuron (Schlegel et al., 2024; Dorkenwald et al., 2024). It has postsynapses in the ipsilateral inferior posterior slope and the ipsilateral superior posterior slope (Schlegel et al., 2024; Dorkenwald et al., 2024). It has presynapses in the ipsilateral inferior posterior slope and the gnathal ganglia (Schlegel et al., 2024; Dorkenwald et al., 2024). Its predicted neurotransmitter is gaba (Eckstein et al., 2024). There are approximately 2 of these cells per organism (Schlegel et al., 2024; Dorkenwald et al., 2024)."	"VFB:FBbt_20004411"
<http://purl.obolibrary.org/obo/FBbt_20006461>	"Adult brain-intrinsic neuron of the CB2955 group, with its soma in the brain, lateral to the anterior optic tubercle (Schlegel et al., 2024; Dorkenwald et al., 2024). It belongs to the SLPal3 and SLPal4 dorsal hemilineage (Schlegel et al., 2024; Dorkenwald et al., 2024). It has postsynapses in the ipsilateral superior lateral protocerebrum (Schlegel et al., 2024; Dorkenwald et al., 2024). It has presynapses in the ipsilateral superior lateral protocerebrum (Schlegel et al., 2024; Dorkenwald et al., 2024). Its predicted neurotransmitter is glutamate (Eckstein et al., 2024). There are approximately 7 of these cells per organism (Schlegel et al., 2024; Dorkenwald et al., 2024)."	"VFB:FBbt_20006461"
<http://purl.obolibrary.org/obo/FBbt_00002653>		
<http://purl.obolibrary.org/obo/FBbt_20011471>	"Adult lobula tangential neuron of the LT75 group (Nern et al., 2025). It receives input in the ipsilateral lobula layer 4, lobula layer 6, posterior ventrolateral protocerebrum, posterior lateral protocerebrum, superior clamp, inferior clamp, lobula layer 5A and lobula layer 5B (Nern et al., 2025). It sends output to the ipsilateral optic lobe, superior lateral protocerebrum, posterior ventrolateral protocerebrum, anterior ventrolateral protocerebrum, posterior lateral protocerebrum, superior clamp and inferior clamp (Nern et al., 2025). There is one of these cells per hemisphere (Nern et al., 2025)."	"VFB:FBbt_20011471"
<http://purl.obolibrary.org/obo/FBbt_20007608>	"Adult visual projection neuron with its soma dorsal to the accessory medulla (Schlegel et al., 2024; Dorkenwald et al., 2024). It belongs to the VPNl&d1 lateral hemilineage (Dorkenwald et al., 2024; Schlegel et al., 2024). It receives input in the ipsilateral medulla, mainly in layer M4, where is spans around 150 columns, but also in M8 and M10 (Nern et al., 2025). It sends output to around 100 columns of contralateral medulla layer M4 (Nern et al., 2025). It also sends output to the inferior posterior slope in both hemispheres (Schlegel et al., 2024; Dorkenwald et al., 2024). Its predicted neurotransmitter is glutamate (Eckstein et al., 2024; Nern et al., 2025). There are approximately 5 of these cells per hemisphere (Nern et al., 2025)."	"VFB:FBbt_20007608"
