Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	larval A02g neuron	definition	Segmentally-repeated premotor neuron (Burgos et al., 2018) that is late-born in the NB2-1 Notch ON primary hemilineage (Mark et al., 2019). It is a period-positive median segmental interneuron (Burgos et al., 2018).
ERROR	duplicate_definition	larval A02e neuron	definition	Segmentally-repeated premotor neuron (Burgos et al., 2018) that is late-born in the NB2-1 Notch ON primary hemilineage (Mark et al., 2019). It is a period-positive median segmental interneuron (Burgos et al., 2018).
ERROR	duplicate_definition	embryonic/larval fat body region 2'	definition	Region of the larval fat body, posterior to region 1. It consists of a descending band of cells extending over the salivary gland that joins with a ventral commissure that connects to the two main lateral sheets of the fat body. There are two of these similar branches per larvae (2' and 2'').
ERROR	duplicate_definition	embryonic/larval fat body region 2''	definition	Region of the larval fat body, posterior to region 1. It consists of a descending band of cells extending over the salivary gland that joins with a ventral commissure that connects to the two main lateral sheets of the fat body. There are two of these similar branches per larvae (2' and 2'').
ERROR	duplicate_definition	abdominal 1 oblique sternopleural muscle 107	definition	One of the two oblique sternopleural muscles of abdominal segment 1.
ERROR	duplicate_definition	abdominal 1 oblique sternopleural muscle 108	definition	One of the two oblique sternopleural muscles of abdominal segment 1.
ERROR	duplicate_definition	larval antennal lobe choosy 1 local neuron	definition	One of the two choosy neuron types of the larval antennal lobe. It targets a different, but overlapping set of glomeruli. It receives most of its input from olfactory receptor neurons, other sensory neurons and picky local neurons. It outputs mainly to uniglomerular projection neurons.
ERROR	duplicate_definition	larval antennal lobe choosy 2 local neuron	definition	One of the two choosy neuron types of the larval antennal lobe. It targets a different, but overlapping set of glomeruli. It receives most of its input from olfactory receptor neurons, other sensory neurons and picky local neurons. It outputs mainly to uniglomerular projection neurons.
ERROR	duplicate_definition	dorsal fold medial sensillum 1	definition	One of the three sensilla of the dorsal medial fold, located on the internal dorsal fold of the larval pharynx.
ERROR	duplicate_definition	dorsal fold medial sensillum 2	definition	One of the three sensilla of the dorsal medial fold, located on the internal dorsal fold of the larval pharynx.
ERROR	duplicate_definition	dorsal fold medial sensillum 3	definition	One of the three sensilla of the dorsal medial fold, located on the internal dorsal fold of the larval pharynx.
ERROR	duplicate_definition	prothoracic dorsal sensillum campaniformium dc1	definition	One of the three campaniformium sensilla of the dorsal sensory cluster of the embryonic/larval prothoracic segment.
ERROR	duplicate_definition	prothoracic dorsal sensillum campaniformium dc2	definition	One of the three campaniformium sensilla of the dorsal sensory cluster of the embryonic/larval prothoracic segment.
ERROR	duplicate_definition	prothoracic dorsal sensillum campaniformium dc3	definition	One of the three campaniformium sensilla of the dorsal sensory cluster of the embryonic/larval prothoracic segment.
ERROR	duplicate_definition	metathoracic dorsal sensillum campaniformium dc1	definition	One of the three campaniformium sensilla of the dorsal sensory cluster of the embryonic/larval metathoracic segment.
ERROR	duplicate_definition	metathoracic dorsal sensillum campaniformium dc2	definition	One of the three campaniformium sensilla of the dorsal sensory cluster of the embryonic/larval metathoracic segment.
ERROR	duplicate_definition	metathoracic dorsal sensillum campaniformium dc3	definition	One of the three campaniformium sensilla of the dorsal sensory cluster of the embryonic/larval metathoracic segment.
ERROR	duplicate_definition	mesothoracic dorsal sensillum campaniformium dc1	definition	One of the three campaniformium sensilla of the dorsal sensory cluster of the embryonic/larval mesothoracic segment.
ERROR	duplicate_definition	mesothoracic dorsal sensillum campaniformium dc2	definition	One of the three campaniformium sensilla of the dorsal sensory cluster of the embryonic/larval mesothoracic segment.
ERROR	duplicate_definition	mesothoracic dorsal sensillum campaniformium dc3	definition	One of the three campaniformium sensilla of the dorsal sensory cluster of the embryonic/larval mesothoracic segment.
ERROR	duplicate_definition	larval ventral multidendritic neuron vdaA	definition	One of four dendritic arborizing neurons found in each larval thoracic/abdominal ventral sensory cluster. Its axon fasciculates with the segmental nerve.
ERROR	duplicate_definition	larval ventral multidendritic neuron vdaB	definition	One of four dendritic arborizing neurons found in each larval thoracic/abdominal ventral sensory cluster. Its axon fasciculates with the segmental nerve.
ERROR	duplicate_definition	larval ventral multidendritic neuron vdaC	definition	One of four dendritic arborizing neurons found in each larval thoracic/abdominal ventral sensory cluster. Its axon fasciculates with the segmental nerve.
ERROR	duplicate_definition	larval ventral multidendritic neuron vdaD	definition	One of four dendritic arborizing neurons found in each larval thoracic/abdominal ventral sensory cluster. Its axon fasciculates with the segmental nerve.
ERROR	duplicate_definition	larval AVM001b neuron	definition	Neuron that may be involved in escape behavior of the larva.
ERROR	duplicate_definition	larval AVM002b neuron	definition	Neuron that may be involved in escape behavior of the larva.
ERROR	duplicate_definition	larval A14a1 neuron	definition	Neuron that is late-born in the NB4-1 Notch ON primary hemilineage and has predominantly dorsal terminals (Mark et al., 2019).
ERROR	duplicate_definition	larval A14b neuron	definition	Neuron that is late-born in the NB4-1 Notch ON primary hemilineage and has predominantly dorsal terminals (Mark et al., 2019).
ERROR	duplicate_definition	larval SeIN158 neuron	definition	Neuron of the subesophageal ganglion that may be involved in larval avoidance behavior.
ERROR	duplicate_definition	larval SeIN159 neuron	definition	Neuron of the subesophageal ganglion that may be involved in larval avoidance behavior.
ERROR	duplicate_definition	larval SeIN160 neuron	definition	Neuron of the larval subesophageal ganglion that is involved in turning motion of the larva.
ERROR	duplicate_definition	larval SeIN161 neuron	definition	Neuron of the larval subesophageal ganglion that is involved in turning motion of the larva.
ERROR	duplicate_definition	larval antennal lobe multiglomerular projection neuron B2	definition	Multiglomerular neuron of the larval antennal lobe whose soma is located lateral to the antennal lobe. It arborizes in the antennal lobe, takes the mALT tract and projects to the region surrounding the mushroom body calyx and to the lateral horn. It receives input from a subset of olfactory receptor neurons (ORNs), a few uniglomerular olfactory projection neurons (uPNs), broad, keystone, picky, choosy, a few mPN neurons and other non-olfactory sensory neurons in the subesophageal zone.
ERROR	duplicate_definition	larval antennal lobe multiglomerular projection neuron B3	definition	Multiglomerular neuron of the larval antennal lobe whose soma is located lateral to the antennal lobe. It arborizes in the antennal lobe, takes the mALT tract and projects to the region surrounding the mushroom body calyx and to the lateral horn. It receives input from a subset of olfactory receptor neurons (ORNs), a few uniglomerular olfactory projection neurons (uPNs), broad, keystone, picky, choosy, a few mPN neurons and other non-olfactory sensory neurons in the subesophageal zone.
ERROR	duplicate_definition	larval lateral multidendritic neuron ldaC	definition	Multidendritic neuron located in the lateral complex of the second and third thoracic segments of the larva.
ERROR	duplicate_definition	larval lateral multidendritic neuron ldaD	definition	Multidendritic neuron located in the lateral complex of the second and third thoracic segments of the larva.
ERROR	duplicate_definition	ventral organ sensillum V2	definition	Mono-dendritic sensillum of the ventral organ.
ERROR	duplicate_definition	ventral organ sensillum V4	definition	Mono-dendritic sensillum of the ventral organ.
ERROR	duplicate_definition	ventral organ sensillum V5	definition	Mono-dendritic sensillum of the ventral organ.
ERROR	duplicate_definition	medullary tangential neuron Mt6	definition	Medullary tangential neuron that arborizes in the medulla.
ERROR	duplicate_definition	medullary tangential neuron Mt8	definition	Medullary tangential neuron that arborizes in the medulla.
ERROR	duplicate_definition	adult medial posterior superior transverse fascicle	definition	Medial component of the posterior superior transverse fascicle in the larval brain. It is formed by DPLc lineages and demarcates the boundary between the superior lateral and superior medial protocerebrum (Pereanu et al, 2010).
ERROR	duplicate_definition	larval medial posterior superior transverse fascicle	definition	Medial component of the posterior superior transverse fascicle in the larval brain. It is formed by DPLc lineages and demarcates the boundary between the superior lateral and superior medial protocerebrum (Pereanu et al, 2010).
ERROR	duplicate_definition	embryonic/larval posterior Malpighian tubule	definition	Malpighian tubule lying in a posterior orientation (Wessing and Eichelberg, 1978).
ERROR	duplicate_definition	adult posterior Malpighian tubule	definition	Malpighian tubule lying in a posterior orientation (Wessing and Eichelberg, 1978).
ERROR	duplicate_definition	mesothoracic tarsal bristle longitudinal row 8	definition	Longitudinal bracted bristle row of the adult tarsi of the mesothoracic leg. It is posterior to row 1, in a ventral position.
ERROR	duplicate_definition	metathoracic tarsal bristle longitudinal row 8	definition	Longitudinal bracted bristle row of the adult tarsi of the mesothoracic leg. It is posterior to row 1, in a ventral position.
ERROR	duplicate_definition	lobula tangential neuron Lt2	definition	Lobula tangential neuron that arborizes in the lobula.
ERROR	duplicate_definition	lobula tangential neuron Lt8	definition	Lobula tangential neuron that arborizes in the lobula.
ERROR	duplicate_definition	abdominal lateral sensillum trichodeum lh1	definition	Lateral mono-innervated hair of larval abdominal segments 1-7.
ERROR	duplicate_definition	abdominal lateral sensillum trichodeum lh2	definition	Lateral mono-innervated hair of larval abdominal segments 1-7.
ERROR	duplicate_definition	larval A01b2 neuron	definition	Larval neuron that is late-born in the NB1-2 Notch ON primary hemilineage and has predominantly dorsal terminals (Mark et al., 2019).
ERROR	duplicate_definition	larval A01a neuron	definition	Larval neuron that is late-born in the NB1-2 Notch ON primary hemilineage and has predominantly dorsal terminals (Mark et al., 2019).
