Level	Rule Name	Subject	Property	Value
ERROR	multiple_definitions	BFO:0000050	IAO:0000115	a core relation that holds between a part and its whole
ERROR	multiple_definitions	BFO:0000050	IAO:0000115	a core relation that holds between a part and its whole@en
ERROR	multiple_definitions	BFO:0000051	IAO:0000115	<Q1 has_part Q2 if and only if: every instance of Q1 is a quality_of an entity that has_quality some Q2.>
ERROR	multiple_definitions	BFO:0000051	IAO:0000115	a core relation that holds between a whole and its part
ERROR	multiple_labels	BFO:0000050	rdfs:label	part of
ERROR	multiple_labels	BFO:0000050	rdfs:label	part of@en
ERROR	multiple_labels	BFO:0000050	rdfs:label	part_of
ERROR	multiple_labels	BFO:0000051	rdfs:label	has part
ERROR	multiple_labels	BFO:0000051	rdfs:label	has part@en
ERROR	multiple_labels	BFO:0000051	rdfs:label	has_part
ERROR	multiple_labels	IAO:0100001	rdfs:label	term replaced by
ERROR	multiple_labels	IAO:0100001	rdfs:label	term replaced by@en
ERROR	multiple_labels	RO:0000052	rdfs:label	characteristic of@en
ERROR	multiple_labels	RO:0000052	rdfs:label	characteristic_of
ERROR	multiple_labels	RO:0000053	rdfs:label	bearer of
ERROR	multiple_labels	RO:0000053	rdfs:label	bearer of@en
ERROR	multiple_labels	RO:0000053	rdfs:label	has characteristic@en
ERROR	multiple_labels	RO:0000053	rdfs:label	has_characteristic
ERROR	multiple_labels	RO:0002004	rdfs:label	tracheates
ERROR	multiple_labels	RO:0002004	rdfs:label	tracheates@en
ERROR	multiple_labels	RO:0002005	rdfs:label	innervated_by
ERROR	multiple_labels	RO:0002005	rdfs:label	innervated_by@en
ERROR	multiple_labels	RO:0002100	rdfs:label	has soma location@en
ERROR	multiple_labels	RO:0002100	rdfs:label	has_soma_location
ERROR	multiple_labels	RO:0002101	rdfs:label	fasciculates with@en
ERROR	multiple_labels	RO:0002101	rdfs:label	fasciculates_with
ERROR	multiple_labels	RO:0002103	rdfs:label	synapsed by@en
ERROR	multiple_labels	RO:0002103	rdfs:label	synapsed_by
ERROR	multiple_labels	RO:0002105	rdfs:label	synapsed_via_type_Ib_bouton_to
ERROR	multiple_labels	RO:0002105	rdfs:label	synapsed_via_type_Ib_bouton_to@en
ERROR	multiple_labels	RO:0002106	rdfs:label	synapsed_via_type_Is_bouton_to
ERROR	multiple_labels	RO:0002106	rdfs:label	synapsed_via_type_Is_bouton_to@en
ERROR	multiple_labels	RO:0002107	rdfs:label	synapsed_via_type_II_bouton_to
ERROR	multiple_labels	RO:0002107	rdfs:label	synapsed_via_type_II_bouton_to@en
ERROR	multiple_labels	RO:0002114	rdfs:label	synapsed_via_type_III_bouton_to
ERROR	multiple_labels	RO:0002114	rdfs:label	synapsed_via_type_III_bouton_to@en
ERROR	multiple_labels	RO:0002120	rdfs:label	synapsed to@en
ERROR	multiple_labels	RO:0002120	rdfs:label	synapsed_to
ERROR	multiple_labels	RO:0002131	rdfs:label	overlaps
ERROR	multiple_labels	RO:0002131	rdfs:label	overlaps@en
ERROR	multiple_labels	RO:0002132	rdfs:label	has fasciculating neuron projection@en
ERROR	multiple_labels	RO:0002132	rdfs:label	has_fasciculating_neuron_projection
ERROR	multiple_labels	RO:0002134	rdfs:label	innervates
ERROR	multiple_labels	RO:0002134	rdfs:label	innervates@en
ERROR	multiple_labels	RO:0002150	rdfs:label	continuous with@en
ERROR	multiple_labels	RO:0002150	rdfs:label	continuous_with
ERROR	multiple_labels	RO:0002151	rdfs:label	partially overlaps@en
ERROR	multiple_labels	RO:0002151	rdfs:label	partially_overlaps
ERROR	multiple_labels	RO:0002177	rdfs:label	attached to part of@en
ERROR	multiple_labels	RO:0002177	rdfs:label	attached_to_part_of
ERROR	multiple_labels	RO:0002202	rdfs:label	develops from@en
ERROR	multiple_labels	RO:0002202	rdfs:label	develops_from
ERROR	multiple_labels	RO:0002203	rdfs:label	develops into@en
ERROR	multiple_labels	RO:0002203	rdfs:label	develops_into
ERROR	multiple_labels	RO:0002207	rdfs:label	develops_directly_from
ERROR	multiple_labels	RO:0002207	rdfs:label	directly develops from@en
ERROR	multiple_labels	RO:0002211	rdfs:label	regulates
ERROR	multiple_labels	RO:0002211	rdfs:label	regulates@en
ERROR	multiple_labels	RO:0002212	rdfs:label	negatively regulates
ERROR	multiple_labels	RO:0002212	rdfs:label	negatively regulates@en
ERROR	multiple_labels	RO:0002213	rdfs:label	positively regulates
ERROR	multiple_labels	RO:0002213	rdfs:label	positively regulates@en
ERROR	multiple_labels	RO:0002215	rdfs:label	capable of@en
ERROR	multiple_labels	RO:0002215	rdfs:label	capable_of
ERROR	multiple_labels	RO:0002216	rdfs:label	capable of part of@en
ERROR	multiple_labels	RO:0002216	rdfs:label	capable_of_part_of
ERROR	multiple_labels	RO:0002225	rdfs:label	develops from part of@en
ERROR	multiple_labels	RO:0002225	rdfs:label	develops_from_part_of
ERROR	multiple_labels	RO:0002292	rdfs:label	expresses
ERROR	multiple_labels	RO:0002292	rdfs:label	expresses@en
ERROR	multiple_labels	RO:0002371	rdfs:label	attached to@en
ERROR	multiple_labels	RO:0002371	rdfs:label	attached_to
ERROR	multiple_labels	RO:0002473	rdfs:label	composed primarily of
ERROR	multiple_labels	RO:0002473	rdfs:label	composed_primarily_of
ERROR	multiple_labels	RO:0002485	rdfs:label	receives input from
ERROR	multiple_labels	RO:0002485	rdfs:label	receives_input_from
ERROR	multiple_labels	RO:0013001	rdfs:label	has synaptic IO in region@en
ERROR	multiple_labels	RO:0013001	rdfs:label	has_synaptic_IO_in
ERROR	multiple_labels	RO:0013002	rdfs:label	receives synaptic input in region@en
ERROR	multiple_labels	RO:0013002	rdfs:label	receives_synaptic_input_in_region
ERROR	multiple_labels	RO:0013003	rdfs:label	sends synaptic output to region@en
ERROR	multiple_labels	RO:0013003	rdfs:label	sends_synaptic_output_to_region
ERROR	multiple_labels	RO:0013004	rdfs:label	has synaptic IO throughout@en
ERROR	multiple_labels	RO:0013004	rdfs:label	has_synaptic_IO_throughout
ERROR	multiple_labels	RO:0013005	rdfs:label	receives synaptic input throughout@en
