?cls	?xref
<http://purl.obolibrary.org/obo/FBbt_20009991>	"VFB:FBbt_20009991"
<http://purl.obolibrary.org/obo/FBbt_20008329>	"VFB:FBbt_20008329"
<http://purl.obolibrary.org/obo/FBbt_20008354>	"VFB:FBbt_20008354"
<http://purl.obolibrary.org/obo/FBbt_20010712>	"VFB:FBbt_20010712"
<http://purl.obolibrary.org/obo/FBbt_20008837>	"VFB:FBbt_20008837"
<http://purl.obolibrary.org/obo/FBbt_20008425>	"VFB:FBbt_20008425"
<http://purl.obolibrary.org/obo/FBbt_20009241>	"VFB:FBbt_20009241"
<http://purl.obolibrary.org/obo/FBbt_20010822>	"VFB:FBbt_20010822"
<http://purl.obolibrary.org/obo/FBbt_20008217>	"VFB:FBbt_20008217"
<http://purl.obolibrary.org/obo/FBbt_20010238>	"VFB:FBbt_20010238"
<http://purl.obolibrary.org/obo/FBbt_20010263>	"VFB:FBbt_20010263"
<http://purl.obolibrary.org/obo/FBbt_00001419>	"VFB:FBbt_00001419"
<http://purl.obolibrary.org/obo/FBbt_20008947>	"VFB:FBbt_20008947"
<http://purl.obolibrary.org/obo/FBbt_20009121>	"VFB:FBbt_20009121"
<http://purl.obolibrary.org/obo/FBbt_20008732>	"VFB:FBbt_20008732"
<http://purl.obolibrary.org/obo/FBbt_20009170>	"VFB:FBbt_20009170"
<http://purl.obolibrary.org/obo/FBbt_20010975>	"VFB:FBbt_20010975"
<http://purl.obolibrary.org/obo/FBbt_20008842>	"VFB:FBbt_20008842"
<http://purl.obolibrary.org/obo/FBbt_20011124>	"VFB:FBbt_20011124"
<http://purl.obolibrary.org/obo/FBbt_20010559>	"VFB:FBbt_20010559"
<http://purl.obolibrary.org/obo/FBbt_20007945>	"VFB:FBbt_20007945"
<http://purl.obolibrary.org/obo/FBbt_20008599>	"VFB:FBbt_20008599"
<http://purl.obolibrary.org/obo/FBbt_20011051>	"VFB:FBbt_20011051"
<http://purl.obolibrary.org/obo/FBbt_20007872>	"VFB:FBbt_20007872"
<http://purl.obolibrary.org/obo/FBbt_00053284>	"VFB:FBbt_00053284"
<http://purl.obolibrary.org/obo/FBbt_20009670>	"VFB:FBbt_20009670"
