defined_class	defined_class_label	parent	parent_label	stage	stage_label	partonomy	partonomy_label	def_xrefs
FBbt:00000137	embryonic tagma	FBbt:00000002	tagma	FBbt:00000052	embryo	FBbt:00000052	embryo	FBC:Autogenerated
FBbt:00000154	embryonic segment	FBbt:00000003	segment	FBbt:00000052	embryo	FBbt:00000052	embryo	FBC:Autogenerated
FBbt:00000155	embryonic head	FBbt:00000004	head	FBbt:00000052	embryo	FBbt:00000052	embryo	FBC:Autogenerated
FBbt:00000156	embryonic ocular segment	FBbt:00000005	ocular segment	FBbt:00000052	embryo	FBbt:00000155	embryonic head	FBC:Autogenerated
FBbt:00000157	embryonic head segment	FBbt:00000006	head segment	FBbt:00000052	embryo	FBbt:00000155	embryonic head	FlyBase:FBrf0075072
FBbt:00000158	embryonic procephalic segment	FBbt:00000007	procephalic segment	FBbt:00000052	embryo	FBbt:00000155	embryonic head	FBC:Autogenerated
FBbt:00000159	embryonic labral segment	FBbt:00000008	labral segment	FBbt:00000052	embryo	FBbt:00000052	embryo	FBC:Autogenerated
FBbt:00000160	embryonic antennal segment	FBbt:00000009	antennal segment	FBbt:00000052	embryo	FBbt:00000052	embryo	FBC:Autogenerated
FBbt:00000161	embryonic intercalary segment	FBbt:00000010	intercalary segment	FBbt:00000052	embryo	FBbt:00000052	embryo	FBC:Autogenerated
FBbt:00000162	embryonic gnathal segment	FBbt:00000011	gnathal segment	FBbt:00000052	embryo	FBbt:00000155	embryonic head	FBC:Autogenerated
FBbt:00000163	embryonic mandibular segment	FBbt:00000012	mandibular segment	FBbt:00000052	embryo	FBbt:00000052	embryo	FBC:Autogenerated
FBbt:00000164	embryonic maxillary segment	FBbt:00000013	maxillary segment	FBbt:00000052	embryo	FBbt:00000052	embryo	FBC:Autogenerated
FBbt:00000165	embryonic labial segment	FBbt:00000014	labial segment	FBbt:00000052	embryo	FBbt:00000052	embryo	FBC:Autogenerated
FBbt:00000166	embryonic thorax	FBbt:00000015	thorax	FBbt:00000052	embryo	FBbt:00000052	embryo	FBC:Autogenerated
FBbt:00000167	embryonic thoracic segment	FBbt:00000016	thoracic segment	FBbt:00000052	embryo	FBbt:00000166	embryonic thorax	FBC:Autogenerated
FBbt:00000173	embryonic abdominal segment 1	FBbt:00000022	abdominal segment 1	FBbt:00000052	embryo	FBbt:00000171	embryonic abdomen	FBC:Autogenerated
FBbt:00000174	embryonic abdominal segment 2	FBbt:00000023	abdominal segment 2	FBbt:00000052	embryo	FBbt:00000171	embryonic abdomen	FBC:Autogenerated
FBbt:00000175	embryonic abdominal segment 3	FBbt:00000024	abdominal segment 3	FBbt:00000052	embryo	FBbt:00000171	embryonic abdomen	FBC:Autogenerated
FBbt:00000176	embryonic abdominal segment 4	FBbt:00000025	abdominal segment 4	FBbt:00000052	embryo	FBbt:00000171	embryonic abdomen	FBC:Autogenerated
FBbt:00000177	embryonic abdominal segment 5	FBbt:00000026	abdominal segment 5	FBbt:00000052	embryo	FBbt:00000171	embryonic abdomen	FBC:Autogenerated
FBbt:00000178	embryonic abdominal segment 6	FBbt:00000027	abdominal segment 6	FBbt:00000052	embryo	FBbt:00000171	embryonic abdomen	FBC:Autogenerated
FBbt:00000179	embryonic abdominal segment 7	FBbt:00000028	abdominal segment 7	FBbt:00000052	embryo	FBbt:00000171	embryonic abdomen	FBC:Autogenerated
FBbt:00000180	embryonic abdominal segment 8	FBbt:00000029	abdominal segment 8	FBbt:00000052	embryo	FBbt:00000171	embryonic abdomen	FBC:Autogenerated
FBbt:00000181	embryonic abdominal segment 9	FBbt:00000030	abdominal segment 9	FBbt:00000052	embryo	FBbt:00000184	embryonic telson	FBC:Autogenerated
FBbt:00000182	embryonic abdominal segment 10	FBbt:00000031	abdominal segment 10	FBbt:00000052	embryo	FBbt:00000184	embryonic telson	FBC:Autogenerated
