defined_class	cell_type	cell_type_label	location	location_label
FBbt:00059290	FBbt:00000124	epithelial cell	FBbt:00006032	mesothoracic tergum primordium
FBbt:00059291	FBbt:00000124	epithelial cell	FBbt:00006033	wing hinge primordium
FBbt:00059292	FBbt:00000124	epithelial cell	FBbt:00006029	wing pouch
FBbt:00059293	FBbt:00000124	epithelial cell	FBbt:00046034	presumptive wing margin
FBbt:00059294	FBbt:00000124	epithelial cell	FBbt:00110812	presumptive first segment of the antenna
FBbt:00059295	FBbt:00000124	epithelial cell	FBbt:00110813	presumptive second segment of the antenna
FBbt:00059296	FBbt:00000124	epithelial cell	FBbt:00110814	presumptive third segment of the antenna
FBbt:00059297	FBbt:00000124	epithelial cell	FBbt:00110811	presumptive arista
FBbt:00059301	FBbt:00100318	somatic cell	FBbt:00005427	ectoderm anlage
FBbt:00059302	FBbt:00100318	somatic cell	FBbt:00005435	endoderm anlage
FBbt:00059303	FBbt:00100318	somatic cell	FBbt:00000104	mesoderm anlage
FBbt:00059304	FBbt:00100318	somatic cell	FBbt:00005436	trunk mesoderm anlage
FBbt:00059305	FBbt:00100318	somatic cell	FBbt:00000111	ectoderm
FBbt:00059306	FBbt:00100318	somatic cell	FBbt:00000125	endoderm
FBbt:00059307	FBbt:00100318	somatic cell	FBbt:00000126	mesoderm
FBbt:00059308	FBbt:00100318	somatic cell	FBbt:00000129	somatic mesoderm
FBbt:00059309	FBbt:00100318	somatic cell	FBbt:00000130	visceral mesoderm
FBbt:00059310	FBbt:00100318	somatic cell	FBbt:00000128	trunk mesoderm
FBbt:00059311	FBbt:00100318	somatic cell	FBbt:00005541	cardiogenic mesoderm
FBbt:00059312	FBbt:00100318	somatic cell	FBbt:00052390	embryonic terminal segment
FBbt:00059313	FBbt:00100318	somatic cell	FBbt:00005311	stage 5 embryo
FBbt:00059314	FBbt:00100318	somatic cell	FBbt:00000095	amnioserosa
FBbt:00059315	FBbt:00100318	somatic cell	FBbt:00001891	embryonic/larval hindgut
FBbt:00059316	FBbt:00100318	somatic cell	FBbt:00001871	embryonic/larval proventriculus
FBbt:00059317	FBbt:00100318	somatic cell	FBbt:00001878	embryonic/larval salivary gland
FBbt:00059318	FBbt:00100318	somatic cell	FBbt:00005523	inclusive hindgut primordium
FBbt:00059319	FBbt:00100318	somatic cell	FBbt:00005624	embryonic/larval midgut primordium
FBbt:00059320	FBbt:00100318	somatic cell	FBbt:00005528	midline primordium
FBbt:00059321	FBbt:00100318	somatic cell	FBbt:00005512	salivary gland body primordium
FBbt:00059322	FBbt:00100318	somatic cell	FBbt:00005620	presumptive embryonic salivary gland
