defined_class	defined_class_label	cell_type	cell_type_label	location	location_label
FBbt:00006031	somatic cell of testis	FBbt:00100318	somatic cell	FBbt:00004928	testis
FBbt:00059290	epithelial cell of mesothoracic tergum primordium	FBbt:00000124	epithelial cell	FBbt:00006032	mesothoracic tergum primordium
FBbt:00059291	epithelial cell of wing hinge primordium	FBbt:00000124	epithelial cell	FBbt:00006033	wing hinge primordium
FBbt:00059292	epithelial cell of wing pouch	FBbt:00000124	epithelial cell	FBbt:00006029	wing pouch
FBbt:00059293	epithelial cell of presumptive wing margin	FBbt:00000124	epithelial cell	FBbt:00046034	presumptive wing margin
FBbt:00059294	epithelial cell of presumptive first segment of antenna	FBbt:00000124	epithelial cell	FBbt:00110812	presumptive first segment of antenna
FBbt:00059295	epithelial cell of presumptive second segment of antenna	FBbt:00000124	epithelial cell	FBbt:00110813	presumptive second segment of antenna
FBbt:00059296	epithelial cell of presumptive third segment of antenna	FBbt:00000124	epithelial cell	FBbt:00110814	presumptive third segment of antenna
FBbt:00059297	epithelial cell of presumptive arista	FBbt:00000124	epithelial cell	FBbt:00110811	presumptive arista
FBbt:00059301	somatic cell of ectoderm anlage	FBbt:00100318	somatic cell	FBbt:00005427	ectoderm anlage
FBbt:00059302	somatic cell of endoderm anlage	FBbt:00100318	somatic cell	FBbt:00005435	endoderm anlage
FBbt:00059303	somatic cell of mesoderm anlage	FBbt:00100318	somatic cell	FBbt:00000104	mesoderm anlage
FBbt:00059304	somatic cell of trunk mesoderm anlage	FBbt:00100318	somatic cell	FBbt:00005436	trunk mesoderm anlage
FBbt:00059305	somatic cell of ectoderm	FBbt:00100318	somatic cell	FBbt:00000111	ectoderm
FBbt:00059306	somatic cell of endoderm	FBbt:00100318	somatic cell	FBbt:00000125	endoderm
FBbt:00059307	somatic cell of mesoderm	FBbt:00100318	somatic cell	FBbt:00000126	mesoderm
FBbt:00059308	somatic cell of somatic trunk mesoderm	FBbt:00100318	somatic cell	FBbt:00000129	somatic trunk mesoderm
FBbt:00059309	somatic cell of visceral trunk mesoderm	FBbt:00100318	somatic cell	FBbt:00000130	visceral trunk mesoderm
FBbt:00059310	somatic cell of trunk mesoderm	FBbt:00100318	somatic cell	FBbt:00000128	trunk mesoderm
FBbt:00059311	somatic cell of cardiogenic mesoderm	FBbt:00100318	somatic cell	FBbt:00005541	cardiogenic mesoderm
FBbt:00059312	somatic cell of embryonic terminal segment	FBbt:00100318	somatic cell	FBbt:00052390	embryonic terminal segment
FBbt:00059313	somatic cell of stage 5 embryo	FBbt:00100318	somatic cell	FBbt:00005311	stage 5 embryo
FBbt:00059314	somatic cell of amnioserosa	FBbt:00100318	somatic cell	FBbt:00000095	amnioserosa
FBbt:00059315	somatic cell of embryonic/larval hindgut	FBbt:00100318	somatic cell	FBbt:00001891	embryonic/larval hindgut
FBbt:00059316	somatic cell of embryonic/larval proventriculus	FBbt:00100318	somatic cell	FBbt:00001871	embryonic/larval proventriculus
FBbt:00059317	somatic cell of embryonic/larval salivary gland	FBbt:00100318	somatic cell	FBbt:00001878	embryonic/larval salivary gland
FBbt:00059318	somatic cell of inclusive hindgut primordium	FBbt:00100318	somatic cell	FBbt:00005523	inclusive hindgut primordium
FBbt:00059319	somatic cell of embryonic/larval midgut primordium	FBbt:00100318	somatic cell	FBbt:00005624	embryonic/larval midgut primordium
FBbt:00059320	somatic cell of midline primordium	FBbt:00100318	somatic cell	FBbt:00005528	midline primordium
FBbt:00059321	somatic cell of salivary gland body primordium	FBbt:00100318	somatic cell	FBbt:00005512	salivary gland body primordium
FBbt:00059322	somatic cell of presumptive embryonic salivary gland	FBbt:00100318	somatic cell	FBbt:00005620	presumptive embryonic salivary gland
FBbt:00059340	somatic cell of trunk ectoderm	FBbt:00100318	somatic cell	FBbt:00007045	trunk ectoderm
FBbt:00059341	somatic cell of dorsal ectoderm	FBbt:00100318	somatic cell	FBbt:00000112	dorsal ectoderm
FBbt:00059342	somatic cell of anterior ectoderm	FBbt:00100318	somatic cell	FBbt:00000119	anterior ectoderm
FBbt:00059343	somatic cell of caudal mesoderm	FBbt:00100318	somatic cell	FBbt:00059338	caudal mesoderm
FBbt:00059344	somatic cell of head mesoderm	FBbt:00100318	somatic cell	FBbt:00000127	head mesoderm
FBbt:00059345	somatic cell of fat body/gonad primordium	FBbt:00100318	somatic cell	FBbt:00005520	fat body/gonad primordium
FBbt:00059346	somatic cell of circular trunk visceral muscle primordium	FBbt:00100318	somatic cell	FBbt:00017015	circular trunk visceral muscle primordium
FBbt:00059347	somatic cell of longitudinal trunk visceral muscle primoridum	FBbt:00100318	somatic cell	FBbt:00017008	longitudinal trunk visceral muscle primordium
FBbt:00059348	somatic cell of hindgut visceral muscle primordium	FBbt:00100318	somatic cell	FBbt:00005499	hindgut visceral muscle primordium
FBbt:00059349	somatic cell of Malpighian tubule primordium	FBbt:00100318	somatic cell	FBbt:00000442	Malpighian tubule primordium
FBbt:00059350	somatic cell of posterior midgut primordium	FBbt:00100318	somatic cell	FBbt:10005329	posterior midgut primordium
FBbt:00059351	somatic cell of dorsal epidermis primordium	FBbt:00100318	somatic cell	FBbt:00005526	dorsal epidermis primordium
FBbt:00059352	somatic cell of epipharynx primordium	FBbt:00100318	somatic cell	FBbt:00004201	epipharynx primordium
FBbt:00059353	somatic cell of esophagus primordium	FBbt:00100318	somatic cell	FBbt:00005507	esophagus primordium
FBbt:00059354	somatic cell of hypopharynx inclusive primordium	FBbt:00100318	somatic cell	FBbt:00005503	hypopharynx inclusive primordium
FBbt:00059355	somatic cell of pharyngeal muscle primordium	FBbt:00100318	somatic cell	FBbt:00059339	pharyngeal muscle primordium
