defined_class	defined_class_label	neuroblast	neuroblast_label	stage	stage_label	clone	clone_label	nb_label	ito_lee	hartenstein	primary	secondary	reference	hartenstein_synonym_type	ito_lee_synonym_type	primary_synonym_type	secondary_synonym_type
FBbt:00047123	adult FLAa3 lineage clone	FBbt:00100556	neuroblast BAmas2	FBbt:00003004	adult	FBbt:00007683	neuroblast lineage clone	adult FLAa3 lineage clone	adult FLAa3 lineage clone	adult BAmas2 lineage clone			doi:10.1101/2023.06.27.546055|FlyBase:FBrf0223298	http://purl.obolibrary.org/obo/fbbt#HARTENSTEIN_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#ITO_LEE_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#PRIMARY_VNC_LINEAGE	http://purl.obolibrary.org/obo/fbbt#SECONDARY_VNC_LINEAGE
FBbt:00049461	adult CREa1 lineage clone	FBbt:00100551	neuroblast BAmd1	FBbt:00003004	adult	FBbt:00007683	neuroblast lineage clone	adult CREa1 lineage clone	adult CREa1 lineage clone	adult BAmd1 lineage clone			doi:10.1101/2023.06.27.546055	http://purl.obolibrary.org/obo/fbbt#HARTENSTEIN_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#ITO_LEE_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#PRIMARY_VNC_LINEAGE	http://purl.obolibrary.org/obo/fbbt#SECONDARY_VNC_LINEAGE
FBbt:00049464	adult SMPad1 lineage clone	FBbt:00049463	neuroblast SMPad1	FBbt:00003004	adult	FBbt:00007683	neuroblast lineage clone	adult SMPad1 lineage clone	adult SMPad1 lineage clone					http://purl.obolibrary.org/obo/fbbt#HARTENSTEIN_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#ITO_LEE_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#PRIMARY_VNC_LINEAGE	http://purl.obolibrary.org/obo/fbbt#SECONDARY_VNC_LINEAGE
FBbt:00050001	adult LHa2 lineage clone	FBbt:00100630	neuroblast BLVa1	FBbt:00003004	adult	FBbt:00007683	neuroblast lineage clone	adult LHa2 lineage clone	adult LHa2 lineage clone	adult BLVa1 lineage clone			FlyBase:FBrf0246460|doi:10.1101/2023.06.27.546055	http://purl.obolibrary.org/obo/fbbt#HARTENSTEIN_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#ITO_LEE_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#PRIMARY_VNC_LINEAGE	http://purl.obolibrary.org/obo/fbbt#SECONDARY_VNC_LINEAGE
FBbt:00050004	adult SLPa&l1 lineage clone	FBbt:00100619	neuroblast BLAvm	FBbt:00003004	adult	FBbt:00007683	neuroblast lineage clone	adult SLPa&l1 lineage clone	adult SLPa&l1 lineage clone	adult BLAvm lineage clone			doi:10.1101/2023.06.27.546055	http://purl.obolibrary.org/obo/fbbt#HARTENSTEIN_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#ITO_LEE_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#PRIMARY_VNC_LINEAGE	http://purl.obolibrary.org/obo/fbbt#SECONDARY_VNC_LINEAGE
FBbt:00050007	adult SLPpl3 lineage clone	FBbt:00050006	neuroblast BLVa2c	FBbt:00003004	adult	FBbt:00007683	neuroblast lineage clone	adult SLPpl3 lineage clone	adult SLPpl3 lineage clone	adult BLVa2c lineage clone			doi:10.1101/2023.06.27.546055	http://purl.obolibrary.org/obo/fbbt#HARTENSTEIN_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#ITO_LEE_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#PRIMARY_VNC_LINEAGE	http://purl.obolibrary.org/obo/fbbt#SECONDARY_VNC_LINEAGE
FBbt:00050013	adult VPNl&d1 lineage clone	FBbt:00050012	neuroblast BLAl2	FBbt:00003004	adult	FBbt:00007683	neuroblast lineage clone	adult VPNl&d1 lineage clone	adult VPNl&d1 lineage clone	adult BLAl2 lineage clone			doi:10.1101/2023.06.27.546055	http://purl.obolibrary.org/obo/fbbt#HARTENSTEIN_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#ITO_LEE_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#PRIMARY_VNC_LINEAGE	http://purl.obolibrary.org/obo/fbbt#SECONDARY_VNC_LINEAGE
FBbt:00050016	adult WEDa2 lineage clone	FBbt:00100565	neuroblast BAlp3	FBbt:00003004	adult	FBbt:00007683	neuroblast lineage clone	adult WEDa2 lineage clone	adult WEDa2 lineage clone	adult BAlp3 lineage clone			FlyBase:FBrf0246460|doi:10.1101/2023.06.27.546055	http://purl.obolibrary.org/obo/fbbt#HARTENSTEIN_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#ITO_LEE_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#PRIMARY_VNC_LINEAGE	http://purl.obolibrary.org/obo/fbbt#SECONDARY_VNC_LINEAGE
FBbt:00050019	adult DM1 lineage clone	FBbt:00050018	neuroblast DPMm1	FBbt:00003004	adult	FBbt:00007683	neuroblast lineage clone	adult DM1 lineage clone	adult DM1 lineage clone	adult DPMm1 lineage clone			FlyBase:FBrf0246460|doi:10.1101/2023.06.27.546055|FlyBase:FBrf0214495|FlyBase:FBrf0223298	http://purl.obolibrary.org/obo/fbbt#HARTENSTEIN_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#ITO_LEE_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#PRIMARY_VNC_LINEAGE	http://purl.obolibrary.org/obo/fbbt#SECONDARY_VNC_LINEAGE
FBbt:00050022	adult SMPpd1 lineage clone	FBbt:00100595	neuroblast DPLc1	FBbt:00003004	adult	FBbt:00007683	neuroblast lineage clone	adult SMPpd1 lineage clone	adult SMPpd1 lineage clone	adult DPLc1 lineage clone			doi:10.1101/2023.06.27.546055	http://purl.obolibrary.org/obo/fbbt#HARTENSTEIN_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#ITO_LEE_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#PRIMARY_VNC_LINEAGE	http://purl.obolibrary.org/obo/fbbt#SECONDARY_VNC_LINEAGE
