defined_class	defined_class_label	precursor_type	precursor_type_label	develops_into_entity	develops_into_entity_label	develops_from_entity	develops_from_entity_label
FBbt:00000441	hindgut proper primordium	FBbt:00005495	primordium	FBbt:00005506|FBbt:00005505|FBbt:00005504|FBbt:00005513	rectum primordium|large intestine primordium|small intestine primordium|embryonic primordium of adult hindgut precursor	FBbt:00005523	inclusive hindgut primordium
FBbt:00000442	Malpighian tubule primordium	FBbt:00005495	primordium	FBbt:00005502|FBbt:00005501	Malpighian tubule tip cell primordium|Malpighian tubule main body primordium	FBbt:00005523	inclusive hindgut primordium
FBbt:00000445	proventriculus outer layer anlage	FBbt:00005426	anlage	FBbt:00017012	proventriculus outer layer primordium		
FBbt:00001935	medulla anlage	FBbt:00005426	anlage	FBbt:00003748	medulla	FBbt:00007676	larval optic anlage
FBbt:00001946	lobula plate anlage	FBbt:00005426	anlage	FBbt:00003885	lobula plate	FBbt:00001951	larval inner optic anlage
FBbt:00004201	epipharynx primordium	FBbt:00005495	primordium	FBbt:00001868	embryonic/larval epipharynx	FBbt:00005538	clypeo-labral primordium
FBbt:00004202	hindgut anlage	FBbt:00005426	anlage	FBbt:00005523	inclusive hindgut primordium	FBbt:00005424	hindgut anlage in statu nascendi
FBbt:00004203	adult clypeo-labral anlage	FBbt:00005426	anlage	FBbt:00005514	clypeo-labral disc primordium	FBbt:00005538	clypeo-labral primordium
FBbt:00005432	salivary gland duct anlage	FBbt:00005426	anlage	FBbt:00005531	salivary gland duct primordium		
FBbt:00005436	trunk mesoderm anlage	FBbt:00005426	anlage	FBbt:00000128	trunk mesoderm		
FBbt:00005439	clypeo-labral anlage	FBbt:00005426	anlage	FBbt:00005538	clypeo-labral primordium	FBbt:00000094	clypeo-labral anlage in statu nascendi
FBbt:00005442	hypopharynx anlage	FBbt:00005426	anlage	FBbt:00005503	hypopharynx inclusive primordium	FBbt:00016000	hypopharynx anlage in statu nascendi
FBbt:00005451	copper cell primordium	FBbt:00005495	primordium	FBbt:00001887	embryonic/larval copper cell	FBbt:10005329	posterior midgut primordium
FBbt:00005462	garland cell primordium	FBbt:00005495	primordium	FBbt:00005704	embryonic garland cell	FBbt:00000127	head mesoderm
FBbt:00005466	pericardial cell primordium	FBbt:00005495	primordium	FBbt:00005058	pericardial cell	FBbt:00005541	cardiogenic mesoderm
FBbt:00005467	lymph gland primordium	FBbt:00005495	primordium	FBbt:00001668	embryonic/larval lymph gland	FBbt:00005541	cardiogenic mesoderm
FBbt:00005498	dorsal pharyngeal muscle primordium	FBbt:00005495	primordium	FBbt:00000489	dorsal pharyngeal muscle cell	FBbt:00007048	dorsal pharyngeal muscle anlage
FBbt:00005499	hindgut visceral muscle primordium	FBbt:00005495	primordium	FBbt:00005758	hindgut visceral muscle fiber		
FBbt:00005500	foregut visceral muscle primordium	FBbt:00005495	primordium	FBbt:00005759	foregut visceral muscle fiber		
FBbt:00005501	Malpighian tubule main body primordium	FBbt:00005495	primordium	FBbt:00005635	embryonic posterior Malpighian tubule	FBbt:00000442	Malpighian tubule primordium
FBbt:00005502	Malpighian tubule tip cell primordium	FBbt:00005495	primordium	FBbt:00005643	embryonic Malpighian tubule tip cell	FBbt:00000442	Malpighian tubule primordium
FBbt:00005503	hypopharynx inclusive primordium	FBbt:00005495	primordium	FBbt:00016002|FBbt:00016001	hypopharynx proper primordium|posterior pharyngeal sense organ primordium	FBbt:00005442	hypopharynx anlage
FBbt:00005504	small intestine primordium	FBbt:00005495	primordium	FBbt:00005631	embryonic small intestine	FBbt:00000441	hindgut proper primordium
FBbt:00005505	large intestine primordium	FBbt:00005495	primordium	FBbt:00005632	embryonic large intestine	FBbt:00000441	hindgut proper primordium
FBbt:00005506	rectum primordium	FBbt:00005495	primordium	FBbt:00001892	embryonic/larval rectum	FBbt:00000441	hindgut proper primordium
FBbt:00005507	esophagus primordium	FBbt:00005495	primordium	FBbt:00005381	esophagus	FBbt:00018001	esophagus anlage
FBbt:00005510	antennal primordium	FBbt:00005495	primordium	FBbt:00005568	embryonic antennal sense organ	FBbt:00015253	antennal anlage
