defined_class	defined_class_label	term	precision
FBbt:00003007	adult head	head	exact
FBbt:00003018	adult thorax	thorax	exact
FBbt:00003023	adult abdomen	abdomen	exact
FBbt:00004121	vertical bristle	vertical%20setae	plural exact
FBbt:00004125	fronto-orbital bristle	fronto-orbital%20setae	plural exact
FBbt:00004126	postocellar bristle	postocellar%20setae	plural exact
FBbt:00004127	postorbital bristle	postocular%20setulae	plural exact
FBbt:00004128	ocellar bristle	ocellar%20setae	plural exact
FBbt:00004129	interocellar bristle	interocellar%20setulae	plural exact
FBbt:00004130	vibrissal bristle	vibrissae	plural exact
FBbt:00004131	subvibrissal bristle	subvibrissae	plural exact
FBbt:00004132	ventral postgenal bristle	postgenal%20setae	plural exact
FBbt:00004249	humeral bristle	postpronotal%20setae	plural exact
FBbt:00004296	sex comb	sex%20comb	exact
FBbt:00004299	presutural bristle	presutural%20seta	plural exact
FBbt:00004300	notopleural bristle	notopleural%20setae	plural exact
FBbt:00004303	supraalar bristle	supra-alar%20setae	plural exact
FBbt:00004306	dorsocentral bristle	dorsocentral%20setae	plural exact
FBbt:00004309	postalar bristle	postalar%20setae	plural exact
FBbt:00004312	scutellar bristle	scutellar%20setae	plural exact
FBbt:00004321	katepisternal bristle	katepisternal%20setae%20	plural narrow
FBbt:00004321	katepisternal bristle	katepisternal%20setulae	plural narrow
FBbt:00004476	abdominal tergite	tergites	plural exact
FBbt:00004477	abdominal sternite	sternites	plural exact
FBbt:00004482	adult head capsule	head%20capsule	exact
FBbt:00004484	ptilinal suture	ptilinal%20fissure	exact
FBbt:00004490	postfrons	frons	exact
FBbt:00004491	gena	gena	exact
FBbt:00004492	occiput	occiput	exact
FBbt:00004495	ocellar triangle	ocellar%20triangle	exact
FBbt:00004496	postgena	postgena	exact
FBbt:00004505	ocellus	ocellus	exact
FBbt:00004508	eye	compound%20eye	exact
FBbt:00004511	antenna	antenna	exact
FBbt:00004513	first segment of antenna	scape	exact
FBbt:00004514	second segment of antenna	pedicel	exact
FBbt:00004515	third segment of antenna	flagellomere%201	exact
FBbt:00004516	fourth segment of antenna	aristomere%201	exact
FBbt:00004517	fifth segment of antenna	aristomere%202	exact
FBbt:00004519	arista	arista	exact
FBbt:00004521	clypeus	clypeus	exact
FBbt:00004535	proboscis	proboscis	exact
FBbt:00004550	neck	cervix	exact
FBbt:00004554	episternum	episternum	exact
FBbt:00004556	epimeron	epimeron	exact
FBbt:00004562	postpronotum	postpronotum	exact
FBbt:00004566	prothoracic episternum	proepisternum	exact
FBbt:00004568	prothoracic epimeron	proepimeron	exact
FBbt:00004582	prescutum	presutural%20mesonotum	exact
FBbt:00004583	scutum	postsutural%20mesonotum	exact
FBbt:00004587	scutellum	scutellum	exact
FBbt:00004589	mesothoracic laterotergite	laterotergite	exact
