defined_class	defined_class_label	neuron_type	neuron_type_label	Landgraf_name	Hoang_name	Doe_name	neuromere	neuromere_label	neuromere_short	alt_segment_long	alt_segment_short	Ib_muscle	Ib_muscle_label	Is_muscle	Is_muscle_label	II_muscle	II_muscle_label	III_muscle	III_muscle_label	nerve	nerve_label
FBbt:00047805	larval DA1 motor neuron of metathoracic neuromere	FBbt:00001447	aCC neuron	DA1	MN1-Ib	aCC	FBbt:00111032	larval metathoracic neuromere	T3	abdominal 1	A1	FBbt:00000640	muscle cell of abdominal 1 dorsal acute muscle 1								
FBbt:00047806	larval DA1 motor neuron of abdominal 1 neuromere	FBbt:00001447	aCC neuron	DA1	MN1-Ib	aCC	FBbt:00111033	larval abdominal 1 neuromere	A1	abdominal 2	A2	FBbt:00000685	muscle cell of abdominal 2 dorsal acute muscle 1								
FBbt:00047807	larval DA1 motor neuron of abdominal 2 neuromere	FBbt:00001447	aCC neuron	DA1	MN1-Ib	aCC	FBbt:00111034	larval abdominal 2 neuromere	A2	abdominal 3	A3	FBbt:00000730	muscle cell of abdominal 3 dorsal acute muscle 1								
FBbt:00047808	larval DA1 motor neuron of abdominal 3 neuromere	FBbt:00001447	aCC neuron	DA1	MN1-Ib	aCC	FBbt:00111035	larval abdominal 3 neuromere	A3	abdominal 4	A4	FBbt:00000775	muscle cell of abdominal 4 dorsal acute muscle 1								
FBbt:00047809	larval DA1 motor neuron of abdominal 4 neuromere	FBbt:00001447	aCC neuron	DA1	MN1-Ib	aCC	FBbt:00111036	larval abdominal 4 neuromere	A4	abdominal 5	A5	FBbt:00000820	muscle cell of abdominal 5 dorsal acute muscle 1								
FBbt:00047810	larval DA1 motor neuron of abdominal 5 neuromere	FBbt:00001447	aCC neuron	DA1	MN1-Ib	aCC	FBbt:00111037	larval abdominal 5 neuromere	A5	abdominal 6	A6	FBbt:00000865	muscle cell of abdominal 6 dorsal acute muscle 1								
FBbt:00047811	larval DA1 motor neuron of abdominal 6 neuromere	FBbt:00001447	aCC neuron	DA1	MN1-Ib	aCC	FBbt:00111038	larval abdominal 6 neuromere	A6	abdominal 7	A7	FBbt:00000910	muscle cell of abdominal 7 dorsal acute muscle 1								
FBbt:00047812	larval DA1 motor neuron of prothoracic neuromere	FBbt:00001447	aCC neuron	DA1	MN1-Ib	aCC	FBbt:00111030	larval prothoracic neuromere	T1	mesothoracic	T2	FBbt:00000523	muscle cell of mesothoracic dorsal acute muscle 1								
FBbt:00047813	larval DA1 motor neuron of mesothoracic neuromere	FBbt:00001447	aCC neuron	DA1	MN1-Ib	aCC	FBbt:00111031	larval mesothoracic neuromere	T2	metathoracic	T3	FBbt:00000555	muscle cell of metathoracic dorsal acute muscle 1								
FBbt:00002312	larval DA2 motor neuron of metathoracic neuromere	FBbt:00001567	DA2 motor neuron	DA2	MN2-Ib	U3	FBbt:00111032	larval metathoracic neuromere	T3	abdominal 1	A1	FBbt:00000641	muscle cell of abdominal 1 dorsal acute muscle 2								
FBbt:00002313	larval DA2 motor neuron of abdominal 1 neuromere	FBbt:00001567	DA2 motor neuron	DA2	MN2-Ib	U3	FBbt:00111033	larval abdominal 1 neuromere	A1	abdominal 2	A2	FBbt:00000686	muscle cell of abdominal 2 dorsal acute muscle 2								
FBbt:00002314	larval DA2 motor neuron of abdominal 2 neuromere	FBbt:00001567	DA2 motor neuron	DA2	MN2-Ib	U3	FBbt:00111034	larval abdominal 2 neuromere	A2	abdominal 3	A3	FBbt:00000731	muscle cell of abdominal 3 dorsal acute muscle 2								
FBbt:00002315	larval DA2 motor neuron of abdominal 3 neuromere	FBbt:00001567	DA2 motor neuron	DA2	MN2-Ib	U3	FBbt:00111035	larval abdominal 3 neuromere	A3	abdominal 4	A4	FBbt:00000776	muscle cell of abdominal 4 dorsal acute muscle 2								
FBbt:00002316	larval DA2 motor neuron of abdominal 4 neuromere	FBbt:00001567	DA2 motor neuron	DA2	MN2-Ib	U3	FBbt:00111036	larval abdominal 4 neuromere	A4	abdominal 5	A5	FBbt:00000821	muscle cell of abdominal 5 dorsal acute muscle 2								
FBbt:00002317	larval DA2 motor neuron of abdominal 5 neuromere	FBbt:00001567	DA2 motor neuron	DA2	MN2-Ib	U3	FBbt:00111037	larval abdominal 5 neuromere	A5	abdominal 6	A6	FBbt:00000866	muscle cell of abdominal 6 dorsal acute muscle 2								
FBbt:00002318	larval DA2 motor neuron of abdominal 6 neuromere	FBbt:00001567	DA2 motor neuron	DA2	MN2-Ib	U3	FBbt:00111038	larval abdominal 6 neuromere	A6	abdominal 7	A7	FBbt:00000911	muscle cell of abdominal 7 dorsal acute muscle 2								
FBbt:00048732	larval DA3 motor neuron of metathoracic neuromere	FBbt:00110231	DA3 motor neuron	DA3	MN3-Ib	U4	FBbt:00111032	larval metathoracic neuromere	T3	abdominal 1	A1	FBbt:00000642	muscle cell of abdominal 1 dorsal acute muscle 3								
FBbt:00048733	larval DA3 motor neuron of abdominal 1 neuromere	FBbt:00110231	DA3 motor neuron	DA3	MN3-Ib	U4	FBbt:00111033	larval abdominal 1 neuromere	A1	abdominal 2	A2	FBbt:00000687	muscle cell of abdominal 2 dorsal acute muscle 3								
FBbt:00048734	larval DA3 motor neuron of abdominal 2 neuromere	FBbt:00110231	DA3 motor neuron	DA3	MN3-Ib	U4	FBbt:00111034	larval abdominal 2 neuromere	A2	abdominal 3	A3	FBbt:00000732	muscle cell of abdominal 3 dorsal acute muscle 3								
FBbt:00048735	larval DA3 motor neuron of abdominal 3 neuromere	FBbt:00110231	DA3 motor neuron	DA3	MN3-Ib	U4	FBbt:00111035	larval abdominal 3 neuromere	A3	abdominal 4	A4	FBbt:00000777	muscle cell of abdominal 4 dorsal acute muscle 3								
FBbt:00048736	larval DA3 motor neuron of abdominal 4 neuromere	FBbt:00110231	DA3 motor neuron	DA3	MN3-Ib	U4	FBbt:00111036	larval abdominal 4 neuromere	A4	abdominal 5	A5	FBbt:00000822	muscle cell of abdominal 5 dorsal acute muscle 3								
FBbt:00048737	larval DA3 motor neuron of abdominal 5 neuromere	FBbt:00110231	DA3 motor neuron	DA3	MN3-Ib	U4	FBbt:00111037	larval abdominal 5 neuromere	A5	abdominal 6	A6	FBbt:00000867	muscle cell of abdominal 6 dorsal acute muscle 3								
FBbt:00048738	larval DA3 motor neuron of abdominal 6 neuromere	FBbt:00110231	DA3 motor neuron	DA3	MN3-Ib	U4	FBbt:00111038	larval abdominal 6 neuromere	A6	abdominal 7	A7	FBbt:00000912	muscle cell of abdominal 7 dorsal acute muscle 3								
FBbt:00002304	larval DO1 motor neuron of metathoracic neuromere	FBbt:00110225	DO1 motor neuron	DO1	MN9-Ib	U1	FBbt:00111032	larval metathoracic neuromere	T3	abdominal 1	A1	FBbt:00000658	muscle cell of abdominal 1 dorsal oblique muscle 1								
FBbt:00002305	larval DO1 motor neuron of abdominal 1 neuromere	FBbt:00110225	DO1 motor neuron	DO1	MN9-Ib	U1	FBbt:00111033	larval abdominal 1 neuromere	A1	abdominal 2	A2	FBbt:00000694	muscle cell of abdominal 2 dorsal oblique muscle 1								
FBbt:00002306	larval DO1 motor neuron of abdominal 2 neuromere	FBbt:00110225	DO1 motor neuron	DO1	MN9-Ib	U1	FBbt:00111034	larval abdominal 2 neuromere	A2	abdominal 3	A3	FBbt:00000739	muscle cell of abdominal 3 dorsal oblique muscle 1								
FBbt:00002307	larval DO1 motor neuron of abdominal 3 neuromere	FBbt:00110225	DO1 motor neuron	DO1	MN9-Ib	U1	FBbt:00111035	larval abdominal 3 neuromere	A3	abdominal 4	A4	FBbt:00000784	muscle cell of abdominal 4 dorsal oblique muscle 1								
FBbt:00002308	larval DO1 motor neuron of abdominal 4 neuromere	FBbt:00110225	DO1 motor neuron	DO1	MN9-Ib	U1	FBbt:00111036	larval abdominal 4 neuromere	A4	abdominal 5	A5	FBbt:00000829	muscle cell of abdominal 5 dorsal oblique muscle 1								
