defined_class	defined_class_label	muscle	muscle_label
FBbt:00003306	promotor muscle cell	FBbt:00058829	promotor muscle
FBbt:00003310	remotor muscle cell	FBbt:00058833	remotor muscle
FBbt:00003314	rotator muscle cell	FBbt:00058837	rotator muscle
FBbt:00003315	anterior rotator muscle cell	FBbt:00058838	anterior rotator muscle
FBbt:00003316	posterior rotator muscle cell	FBbt:00058839	posterior rotator muscle
FBbt:00003317	adductor muscle cell	FBbt:00058840	adductor muscle
FBbt:00003319	depressor muscle cell	FBbt:00058842	depressor muscle
FBbt:00003325	levator muscle cell	FBbt:00058848	levator muscle
FBbt:00003331	reductor muscle cell	FBbt:00058854	reductor muscle
FBbt:00003345	muscle cell of prothoracic extracoxal depressor muscle 34	FBbt:00058867	prothoracic extracoxal depressor muscle 34
FBbt:00003349	prothoracic tibial reductor muscle cell	FBbt:00058871	prothoracic tibial reductor muscle
FBbt:00003380	muscle cell of wing basalar muscle b1	FBbt:00058901	wing basalar muscle b1
FBbt:00003381	muscle cell of wing basalar muscle b3	FBbt:00058902	wing basalar muscle b3
FBbt:00003382	muscle cell of wing axillary muscle hg3	FBbt:00058903	wing axillary muscle hg3
FBbt:00003383	muscle cell of wing axillary muscle hg2	FBbt:00058904	wing axillary muscle hg2
FBbt:00003384	muscle cell of basalar muscle	FBbt:00058905	basalar muscle
FBbt:00003385	muscle cell of wing basalar muscle b2	FBbt:00058906	wing basalar muscle b2
FBbt:00003387	muscle cell of axillary muscle	FBbt:00058908	axillary muscle
FBbt:00003388	muscle cell of wing axillary muscle I1	FBbt:00058909	wing axillary muscle I1
FBbt:00003389	muscle cell of wing axillary muscle III1	FBbt:00058910	wing axillary muscle III1
FBbt:00003390	muscle cell of wing posterior axillary muscle III	FBbt:00058911	wing posterior axillary muscle III
FBbt:00003391	muscle cell of wing axillary muscle I2	FBbt:00058912	wing axillary muscle I2
FBbt:00003408	mesothoracic tibial reductor muscle cell	FBbt:00058929	mesothoracic tibial reductor muscle
FBbt:00003418	muscle cell of haltere muscle	FBbt:00058938	haltere muscle
FBbt:00003419	muscle cell of haltere dorsal ventral muscle	FBbt:00058939	haltere dorsal ventral muscle
FBbt:00003420	muscle cell of haltere axillary muscle	FBbt:00058940	haltere axillary muscle
FBbt:00003421	muscle cell of haltere basalar muscle	FBbt:00058941	haltere basalar muscle
FBbt:00003438	metathoracic tibial reductor muscle cell	FBbt:00058958	metathoracic tibial reductor muscle
FBbt:00047244	muscle cell of wing axillary muscle hg1	FBbt:00059070	wing axillary muscle hg1
FBbt:00047245	muscle cell of wing axillary muscle hg4	FBbt:00059071	wing axillary muscle hg4
FBbt:00048107	muscle cell of wing axillary muscle III3	FBbt:00059074	wing axillary muscle III3
FBbt:00048108	muscle cell of wing axillary muscle III4	FBbt:00059075	wing axillary muscle III4
FBbt:00052738	muscle cell of haltere axillary muscle I1	FBbt:00052731	haltere axillary muscle I1
FBbt:00052739	muscle cell of haltere axillary muscle I2	FBbt:00052732	haltere axillary muscle I2
FBbt:00052740	muscle cell of haltere axillary muscle III1	FBbt:00052733	haltere axillary muscle III1
FBbt:00052741	muscle cell of haltere axillary muscle III2	FBbt:00052734	haltere axillary muscle III2
FBbt:00052742	muscle cell of haltere axillary muscle III3	FBbt:00052735	haltere axillary muscle III3
FBbt:00052743	muscle cell of haltere basalar muscle b1	FBbt:00052736	haltere basalar muscle b1
FBbt:00052744	muscle cell of haltere basalar muscle b2	FBbt:00052737	haltere basalar muscle b2
FBbt:00052768	muscle cell of flight power muscle	FBbt:00052766	flight power muscle
FBbt:00052769	muscle cell of flight control muscle	FBbt:00052767	flight control muscle
FBbt:00053086		FBbt:00053084	
FBbt:00053087		FBbt:00053085	
FBbt:00053093		FBbt:00053091	
FBbt:00053094		FBbt:00053092	
FBbt:00053095		FBbt:00053088	
FBbt:00058109	tibial reductor muscle cell	FBbt:00059104	tibial reductor muscle
FBbt:00059259	muscle cell of haltere steering muscle	FBbt:00059258	haltere steering muscle
FBbt:00058113	tarsal reductor muscle cell	FBbt:00059105	tarsal reductor muscle
FBbt:00058114	posterior tarsal reductor muscle cell	FBbt:00059106	posterior tarsal reductor muscle
FBbt:00058115	anterior tarsal reductor muscle cell	FBbt:00059107	anterior tarsal reductor muscle
FBbt:00058116	prothoracic tarsal reductor muscle cell	FBbt:00059108	prothoracic tarsal reductor muscle
FBbt:00058117	mesothoracic tarsal reductor muscle cell	FBbt:00059109	mesothoracic tarsal reductor muscle
FBbt:00058118	metathoracic tarsal reductor muscle cell	FBbt:00059110	metathoracic tarsal reductor muscle
FBbt:00058119	prothoracic anterior tarsal reductor muscle cell	FBbt:00059111	prothoracic anterior tarsal reductor muscle
FBbt:00058120	mesothoracic anterior tarsal reductor muscle cell	FBbt:00059112	mesothoracic anterior tarsal reductor muscle
FBbt:00058121	metathoracic tarsal anterior reductor muscle cell	FBbt:00059113	metathoracic tarsal anterior reductor muscle
FBbt:00058122	prothoracic posterior tarsal reductor muscle cell	FBbt:00059114	prothoracic posterior tarsal reductor muscle
FBbt:00058123	mesothoracic posterior tarsal reductor muscle cell	FBbt:00059115	mesothoracic posterior tarsal reductor muscle
FBbt:00058124	metathoracic posterior tarsal reductor muscle cell	FBbt:00059116	metathoracic posterior tarsal reductor muscle
