defined_class	defined_class_label	birth_notch	birth_notch_label	neuroblast	neuroblast_label	stage	stage_label	neurotransmitter	neurotransmitter_label	clone	clone_label	other_type	other_type_label	soma	soma_label	nb_label	other_synonyms	ito_lee	hartenstein	primary	secondary	reference	hartenstein_synonym_type	ito_lee_synonym_type	primary_synonym_type	secondary_synonym_type
FBbt:00048515	DPMm1 lineage neuron	FBbt:00005106	neuron	FBbt:00050018	neuroblast DPMm1									FBbt:00007114|FBbt:00005095	cell body rind of the central nervous system|brain	DPMm1 lineage neuron		DM1 lineage neuron	DPMm1 lineage neuron			FlyBase:FBrf0246460|doi:10.1101/2023.06.27.546055|FlyBase:FBrf0214495|FlyBase:FBrf0223298	http://purl.obolibrary.org/obo/fbbt#HARTENSTEIN_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#ITO_LEE_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#PRIMARY_VNC_LINEAGE	http://purl.obolibrary.org/obo/fbbt#SECONDARY_VNC_LINEAGE
FBbt:00048864	MNB lineage primary neuron	FBbt:00047097	primary neuron	FBbt:00001419	neuroblast MNB									FBbt:00007114	cell body rind of the central nervous system	MNB lineage primary neuron	MNB lineage embryonic neuron|MNB lineage embryonic-born neuron|lineage 0 embryonic neuron|lineage 0 embryonic-born neuron			MNB lineage primary neuron	lineage 0 primary neuron	FlyBase:FBrf0231327|FlyBase:FBrf0228122	http://purl.obolibrary.org/obo/fbbt#HARTENSTEIN_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#ITO_LEE_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#PRIMARY_VNC_LINEAGE	http://purl.obolibrary.org/obo/fbbt#SECONDARY_VNC_LINEAGE
FBbt:00048865	NB1-1 lineage primary neuron	FBbt:00047097	primary neuron	FBbt:00001371	neuroblast NB1-1									FBbt:00007114	cell body rind of the central nervous system	NB1-1 lineage primary neuron	NB1-1 lineage embryonic neuron|NB1-1 lineage embryonic-born neuron|lineage 16 embryonic neuron|lineage 16 embryonic-born neuron			NB1-1 lineage primary neuron	lineage 16 primary neuron	FlyBase:FBrf0231327|FlyBase:FBrf0228122	http://purl.obolibrary.org/obo/fbbt#HARTENSTEIN_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#ITO_LEE_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#PRIMARY_VNC_LINEAGE	http://purl.obolibrary.org/obo/fbbt#SECONDARY_VNC_LINEAGE
FBbt:00048866	NB1-2 lineage primary neuron	FBbt:00047097	primary neuron	FBbt:00001384	neuroblast NB1-2									FBbt:00007114	cell body rind of the central nervous system	NB1-2 lineage primary neuron	NB1-2 lineage embryonic neuron|NB1-2 lineage embryonic-born neuron|lineage 1 embryonic neuron|lineage 1 embryonic-born neuron			NB1-2 lineage primary neuron	lineage 1 primary neuron	FlyBase:FBrf0231327|FlyBase:FBrf0228122	http://purl.obolibrary.org/obo/fbbt#HARTENSTEIN_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#ITO_LEE_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#PRIMARY_VNC_LINEAGE	http://purl.obolibrary.org/obo/fbbt#SECONDARY_VNC_LINEAGE
FBbt:00048867	NB2-1 lineage primary neuron	FBbt:00047097	primary neuron	FBbt:00001410	neuroblast NB2-1									FBbt:00007114	cell body rind of the central nervous system	NB2-1 lineage primary neuron	NB2-1 lineage embryonic neuron|NB2-1 lineage embryonic-born neuron|lineage 2 embryonic neuron|lineage 2 embryonic-born neuron			NB2-1 lineage primary neuron	lineage 2 primary neuron	FlyBase:FBrf0231327|FlyBase:FBrf0228122	http://purl.obolibrary.org/obo/fbbt#HARTENSTEIN_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#ITO_LEE_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#PRIMARY_VNC_LINEAGE	http://purl.obolibrary.org/obo/fbbt#SECONDARY_VNC_LINEAGE
FBbt:00048868	NB2-2 lineage primary neuron	FBbt:00047097	primary neuron	FBbt:00001385	neuroblast NB2-2									FBbt:00007114	cell body rind of the central nervous system	NB2-2 lineage primary neuron	NB2-2 lineage embryonic neuron|NB2-2 lineage embryonic-born neuron|lineage 10 embryonic neuron|lineage 10 embryonic-born neuron			NB2-2 lineage primary neuron	lineage 10 primary neuron	FlyBase:FBrf0231327|FlyBase:FBrf0228122	http://purl.obolibrary.org/obo/fbbt#HARTENSTEIN_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#ITO_LEE_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#PRIMARY_VNC_LINEAGE	http://purl.obolibrary.org/obo/fbbt#SECONDARY_VNC_LINEAGE
FBbt:00048869	NB2-3 lineage primary neuron	FBbt:00047097	primary neuron	FBbt:00001421	neuroblast NB2-3									FBbt:00007114	cell body rind of the central nervous system	NB2-3 lineage primary neuron	NB2-3 lineage embryonic neuron|NB2-3 lineage embryonic-born neuron|lineage 15 embryonic neuron|lineage 15 embryonic-born neuron			NB2-3 lineage primary neuron	lineage 15 primary neuron	FlyBase:FBrf0231327	http://purl.obolibrary.org/obo/fbbt#HARTENSTEIN_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#ITO_LEE_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#PRIMARY_VNC_LINEAGE	http://purl.obolibrary.org/obo/fbbt#SECONDARY_VNC_LINEAGE
FBbt:00048870	NB2-4 lineage primary neuron	FBbt:00047097	primary neuron	FBbt:00001411	neuroblast NB2-4									FBbt:00007114	cell body rind of the central nervous system	NB2-4 lineage primary neuron	NB2-4 lineage embryonic neuron|NB2-4 lineage embryonic-born neuron|lineage 18 embryonic neuron|lineage 18 embryonic-born neuron			NB2-4 lineage primary neuron	lineage 18 primary neuron	FlyBase:FBrf0231327	http://purl.obolibrary.org/obo/fbbt#HARTENSTEIN_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#ITO_LEE_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#PRIMARY_VNC_LINEAGE	http://purl.obolibrary.org/obo/fbbt#SECONDARY_VNC_LINEAGE
FBbt:00048871	NB2-5 lineage primary neuron	FBbt:00047097	primary neuron	FBbt:00001374	neuroblast NB2-5									FBbt:00007114	cell body rind of the central nervous system	NB2-5 lineage primary neuron	NB2-5 lineage embryonic neuron|NB2-5 lineage embryonic-born neuron|lineage 17 embryonic neuron|lineage 17 embryonic-born neuron			NB2-5 lineage primary neuron	lineage 17 primary neuron	FlyBase:FBrf0231327|FlyBase:FBrf0228122	http://purl.obolibrary.org/obo/fbbt#HARTENSTEIN_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#ITO_LEE_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#PRIMARY_VNC_LINEAGE	http://purl.obolibrary.org/obo/fbbt#SECONDARY_VNC_LINEAGE
FBbt:00048872	NB3-1 lineage primary neuron	FBbt:00047097	primary neuron	FBbt:00001394	neuroblast NB3-1									FBbt:00007114	cell body rind of the central nervous system	NB3-1 lineage primary neuron	NB3-1 lineage embryonic neuron|NB3-1 lineage embryonic-born neuron|lineage 4 embryonic neuron|lineage 4 embryonic-born neuron			NB3-1 lineage primary neuron	lineage 4 primary neuron	FlyBase:FBrf0231327|FlyBase:FBrf0228122	http://purl.obolibrary.org/obo/fbbt#HARTENSTEIN_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#ITO_LEE_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#PRIMARY_VNC_LINEAGE	http://purl.obolibrary.org/obo/fbbt#SECONDARY_VNC_LINEAGE
FBbt:00048873	NB3-2 lineage primary neuron	FBbt:00047097	primary neuron	FBbt:00001388	neuroblast NB3-2									FBbt:00007114	cell body rind of the central nervous system	NB3-2 lineage primary neuron	NB3-2 lineage embryonic neuron|NB3-2 lineage embryonic-born neuron|lineage 7 embryonic neuron|lineage 7 embryonic-born neuron			NB3-2 lineage primary neuron	lineage 7 primary neuron	FlyBase:FBrf0231327	http://purl.obolibrary.org/obo/fbbt#HARTENSTEIN_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#ITO_LEE_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#PRIMARY_VNC_LINEAGE	http://purl.obolibrary.org/obo/fbbt#SECONDARY_VNC_LINEAGE
FBbt:00048874	NB3-3 lineage primary neuron	FBbt:00047097	primary neuron	FBbt:00001422	neuroblast NB3-3									FBbt:00007114	cell body rind of the central nervous system	NB3-3 lineage primary neuron	NB3-3 lineage embryonic neuron|NB3-3 lineage embryonic-born neuron|lineage 8 embryonic neuron|lineage 8 embryonic-born neuron			NB3-3 lineage primary neuron	lineage 8 primary neuron	FlyBase:FBrf0231327	http://purl.obolibrary.org/obo/fbbt#HARTENSTEIN_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#ITO_LEE_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#PRIMARY_VNC_LINEAGE	http://purl.obolibrary.org/obo/fbbt#SECONDARY_VNC_LINEAGE
FBbt:00048875	NB3-4 lineage primary neuron	FBbt:00047097	primary neuron	FBbt:00001414	neuroblast NB3-4									FBbt:00007114	cell body rind of the central nervous system	NB3-4 lineage primary neuron	NB3-4 lineage embryonic neuron|NB3-4 lineage embryonic-born neuron|lineage 25 embryonic neuron|lineage 25 embryonic-born neuron			NB3-4 lineage primary neuron	lineage 25 primary neuron	FlyBase:FBrf0231327	http://purl.obolibrary.org/obo/fbbt#HARTENSTEIN_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#ITO_LEE_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#PRIMARY_VNC_LINEAGE	http://purl.obolibrary.org/obo/fbbt#SECONDARY_VNC_LINEAGE
FBbt:00048876	NB3-5 lineage primary neuron	FBbt:00047097	primary neuron	FBbt:00001375	neuroblast NB3-5									FBbt:00007114	cell body rind of the central nervous system	NB3-5 lineage primary neuron	NB3-5 lineage embryonic neuron|NB3-5 lineage embryonic-born neuron|lineage 9 embryonic neuron|lineage 9 embryonic-born neuron			NB3-5 lineage primary neuron	lineage 9 primary neuron	FlyBase:FBrf0231327|FlyBase:FBrf0228122	http://purl.obolibrary.org/obo/fbbt#HARTENSTEIN_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#ITO_LEE_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#PRIMARY_VNC_LINEAGE	http://purl.obolibrary.org/obo/fbbt#SECONDARY_VNC_LINEAGE
FBbt:00048877	NB4-1 lineage primary neuron	FBbt:00047097	primary neuron	FBbt:00001397	neuroblast NB4-1									FBbt:00007114	cell body rind of the central nervous system	NB4-1 lineage primary neuron	NB4-1 lineage embryonic neuron|NB4-1 lineage embryonic-born neuron|lineage 14 embryonic neuron|lineage 14 embryonic-born neuron			NB4-1 lineage primary neuron	lineage 14 primary neuron	FlyBase:FBrf0231327|FlyBase:FBrf0228122	http://purl.obolibrary.org/obo/fbbt#HARTENSTEIN_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#ITO_LEE_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#PRIMARY_VNC_LINEAGE	http://purl.obolibrary.org/obo/fbbt#SECONDARY_VNC_LINEAGE
FBbt:00048878	NB4-2 lineage primary neuron	FBbt:00047097	primary neuron	FBbt:00001389	neuroblast NB4-2									FBbt:00007114	cell body rind of the central nervous system	NB4-2 lineage primary neuron	NB4-2 lineage embryonic neuron|NB4-2 lineage embryonic-born neuron|lineage 13 embryonic neuron|lineage 13 embryonic-born neuron			NB4-2 lineage primary neuron	lineage 13 primary neuron	FlyBase:FBrf0231327	http://purl.obolibrary.org/obo/fbbt#HARTENSTEIN_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#ITO_LEE_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#PRIMARY_VNC_LINEAGE	http://purl.obolibrary.org/obo/fbbt#SECONDARY_VNC_LINEAGE
FBbt:00048879	NB4-3 lineage primary neuron	FBbt:00047097	primary neuron	FBbt:00001423	neuroblast NB4-3									FBbt:00007114	cell body rind of the central nervous system	NB4-3 lineage primary neuron	NB4-3 lineage embryonic neuron|NB4-3 lineage embryonic-born neuron|lineage 21 embryonic neuron|lineage 21 embryonic-born neuron			NB4-3 lineage primary neuron	lineage 21 primary neuron	FlyBase:FBrf0231327|FlyBase:FBrf0228122	http://purl.obolibrary.org/obo/fbbt#HARTENSTEIN_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#ITO_LEE_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#PRIMARY_VNC_LINEAGE	http://purl.obolibrary.org/obo/fbbt#SECONDARY_VNC_LINEAGE
