defined_class	defined_class_label	tract	tract_label	synonym
FBbt:00059207	adult lateral horn PV1 neuron	FBbt:00049288	adult posterior ventral primary neurite tract 1	LHPV1 
FBbt:00059208	adult lateral horn PV2 neuron	FBbt:00049289	adult posterior ventral primary neurite tract 2	LHPV2 
FBbt:00059209	adult lateral horn PV3 neuron	FBbt:00049290	adult posterior ventral primary neurite tract 3	LHPV3 
FBbt:00059210	adult lateral horn PV4 neuron	FBbt:00049291	adult posterior ventral primary neurite tract 4	LHPV4 
FBbt:00059211	adult lateral horn PV5 neuron	FBbt:00049292	adult posterior ventral primary neurite tract 5	LHPV5 
FBbt:00059212	adult lateral horn PV6 neuron	FBbt:00049293	adult posterior ventral primary neurite tract 6	LHPV6 
FBbt:00059213	adult lateral horn PV7 neuron	FBbt:00049294	adult posterior ventral primary neurite tract 7	LHPV7 
FBbt:00059214	adult lateral horn PV8 neuron	FBbt:00049295	adult posterior ventral primary neurite tract 8	LHPV8 
FBbt:00059215	adult lateral horn PV9 neuron	FBbt:00049296	adult posterior ventral primary neurite tract 9	LHPV9 
FBbt:00059216	adult lateral horn PV10 neuron	FBbt:00049297	adult posterior ventral primary neurite tract 10	LHPV10 
FBbt:00059217	adult lateral horn PV11 neuron	FBbt:00049298	adult posterior ventral primary neurite tract 11	LHPV11 
FBbt:00059218	adult lateral horn AV1 neuron	FBbt:00049299	adult anterior ventral primary neurite tract 1	LHAV1 
FBbt:00059219	adult lateral horn AV2 neuron	FBbt:00049300	adult anterior ventral primary neurite tract 2	LHAV2 
FBbt:00059220	adult lateral horn AV3 neuron	FBbt:00049301	adult anterior ventral primary neurite tract 3	LHAV3 
FBbt:00059221	adult lateral horn AV4 neuron	FBbt:00049302	adult anterior ventral primary neurite tract 4	LHAV4 
FBbt:00059222	adult lateral horn AV5 neuron	FBbt:00049303	adult anterior ventral primary neurite tract 5	LHAV5 
FBbt:00059223	adult lateral horn AV6 neuron	FBbt:00049304	adult anterior ventral primary neurite tract 6	LHAV6 
FBbt:00059224	adult lateral horn AV7 neuron	FBbt:00049305	adult anterior ventral primary neurite tract 7	LHAV7 
FBbt:00059225	adult lateral horn AD1 neuron	FBbt:00049306	adult anterior dorsal primary neurite tract 1	LHAD1 
FBbt:00059226	adult lateral horn AD2 neuron	FBbt:00049307	adult anterior dorsal primary neurite tract 2	LHAD2 
FBbt:00059227	adult lateral horn AD3 neuron	FBbt:00049308	adult anterior dorsal primary neurite tract 3	LHAD3 
FBbt:00059228	adult lateral horn AD4 neuron	FBbt:00049309	adult anterior dorsal primary neurite tract 4	LHAD4 
FBbt:00059229	adult lateral horn AD5 neuron	FBbt:00049310	adult anterior dorsal primary neurite tract 5	LHAD5 
FBbt:00059230	adult lateral horn PD1 neuron	FBbt:00049311	adult posterior dorsal primary neurite tract 1	LHPD1 
FBbt:00059231	adult lateral horn PD2 neuron	FBbt:00049312	adult posterior dorsal primary neurite tract 2	LHPD2 
FBbt:00059232	adult lateral horn PD3 neuron	FBbt:00049313	adult posterior dorsal primary neurite tract 3	LHPD3 
FBbt:00059233	adult lateral horn PD4 neuron	FBbt:00049314	adult posterior dorsal primary neurite tract 4	LHPD4 
FBbt:00059234	adult lateral horn PD5 neuron	FBbt:00049315	adult posterior dorsal primary neurite tract 5	LHPD5 
FBbt:00059235	adult lateral horn PD6 neuron	FBbt:00049316	adult posterior dorsal primary neurite tract 6	LHPD6 
FBbt:00059236	adult lateral horn PD7 neuron	FBbt:00049317	adult posterior dorsal primary neurite tract 7	LHPD7 
FBbt:00059237	adult lateral horn PV12 neuron	FBbt:00049460	adult posterior ventral primary neurite tract 12	LHPV12 
FBbt:00059238	adult lateral horn AV8 neuron	FBbt:00049684	adult anterior ventral primary neurite tract 8	LHAV8 
FBbt:00059239	adult lateral horn AV9 neuron	FBbt:00051751	adult anterior ventral primary neurite tract 9	LHAV9 
