defined_class	defined_class_label	IL_position	H_position	neuroblast	neuroblast_label	soma	soma_label	nb_label	ito_lee	hartenstein	reference	hartenstein_synonym_type	ito_lee_synonym_type
FBbt:00053598		lateral	anterior	FBbt:00049157	neuroblast BLVp2	FBbt:00007114|FBbt:00005095	cell body rind of the central nervous system|brain	BLVp2 anterior hemilineage neuron	VLPl&p1 lateral hemilineage neuron	BLVp2 anterior hemilineage neuron	FlyBase:FBrf0260535	http://purl.obolibrary.org/obo/fbbt#HARTENSTEIN_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#ITO_LEE_BRAIN_LINEAGE
FBbt:00053599		posterior	posterior	FBbt:00049157	neuroblast BLVp2	FBbt:00007114|FBbt:00005095	cell body rind of the central nervous system|brain	BLVp2 posterior hemilineage neuron	VLPl&p1 posterior hemilineage neuron	BLVp2 posterior hemilineage neuron	FlyBase:FBrf0260535	http://purl.obolibrary.org/obo/fbbt#HARTENSTEIN_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#ITO_LEE_BRAIN_LINEAGE
FBbt:00053600		lateral	lateral	FBbt:00049159	neuroblast DALl2	FBbt:00007114|FBbt:00005095	cell body rind of the central nervous system|brain	DALl2 lateral hemilineage neuron	VLPa1 lateral hemilineage neuron	DALl2 lateral hemilineage neuron	FlyBase:FBrf0260535	http://purl.obolibrary.org/obo/fbbt#HARTENSTEIN_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#ITO_LEE_BRAIN_LINEAGE
FBbt:00053601		medial	medial	FBbt:00049159	neuroblast DALl2	FBbt:00007114|FBbt:00005095	cell body rind of the central nervous system|brain	DALl2 medial hemilineage neuron	VLPa1 medial hemilineage neuron	DALl2 medial hemilineage neuron	FlyBase:FBrf0260535	http://purl.obolibrary.org/obo/fbbt#HARTENSTEIN_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#ITO_LEE_BRAIN_LINEAGE
FBbt:00053602		lateral	anterior	FBbt:00049161	neuroblast DPLpv	FBbt:00007114|FBbt:00005095	cell body rind of the central nervous system|brain	DPLpv anterior hemilineage neuron	VLPp&l1 lateral hemilineage neuron	DPLpv anterior hemilineage neuron	FlyBase:FBrf0260535	http://purl.obolibrary.org/obo/fbbt#HARTENSTEIN_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#ITO_LEE_BRAIN_LINEAGE
FBbt:00053603		posterior	posterior	FBbt:00049161	neuroblast DPLpv	FBbt:00007114|FBbt:00005095	cell body rind of the central nervous system|brain	DPLpv posterior hemilineage neuron	VLPp&l1 posterior hemilineage neuron	DPLpv posterior hemilineage neuron	FlyBase:FBrf0260535	http://purl.obolibrary.org/obo/fbbt#HARTENSTEIN_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#ITO_LEE_BRAIN_LINEAGE
FBbt:00053604		dorsal	dorsal	FBbt:00050166	neuroblast BAmv1	FBbt:00007114|FBbt:00005095	cell body rind of the central nervous system|brain	BAmv1 dorsal hemilineage neuron	LALv1 dorsal hemilineage neuron	BAmv1 dorsal hemilineage neuron	FlyBase:FBrf0260535	http://purl.obolibrary.org/obo/fbbt#HARTENSTEIN_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#ITO_LEE_BRAIN_LINEAGE
FBbt:00053605		ventral	ventral	FBbt:00050166	neuroblast BAmv1	FBbt:00007114|FBbt:00005095	cell body rind of the central nervous system|brain	BAmv1 ventral hemilineage neuron	LALv1 ventral hemilineage neuron	BAmv1 ventral hemilineage neuron	FlyBase:FBrf0260535	http://purl.obolibrary.org/obo/fbbt#HARTENSTEIN_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#ITO_LEE_BRAIN_LINEAGE
FBbt:00053606		lateral	lateral	FBbt:00050249	neuroblast BLD5	FBbt:00007114|FBbt:00005095	cell body rind of the central nervous system|brain	BLD5 lateral hemilineage neuron	VPNp1 lateral hemilineage neuron	BLD5 lateral hemilineage neuron	FlyBase:FBrf0246460|FlyBase:FBrf0260535	http://purl.obolibrary.org/obo/fbbt#HARTENSTEIN_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#ITO_LEE_BRAIN_LINEAGE
FBbt:00053607		medial	medial	FBbt:00050249	neuroblast BLD5	FBbt:00007114|FBbt:00005095	cell body rind of the central nervous system|brain	BLD5 medial hemilineage neuron	VPNp1 medial hemilineage neuron	BLD5 medial hemilineage neuron	FlyBase:FBrf0246460|FlyBase:FBrf0260535	http://purl.obolibrary.org/obo/fbbt#HARTENSTEIN_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#ITO_LEE_BRAIN_LINEAGE
FBbt:00053608		dorsal	dorsal	FBbt:00050252	neuroblast CM4	FBbt:00007114|FBbt:00005095	cell body rind of the central nervous system|brain	CM4 dorsal hemilineage neuron	DM4 dorsal hemilineage neuron	CM4 dorsal hemilineage neuron	FlyBase:FBrf0260535|FlyBase:FBrf0214495|FlyBase:FBrf0223298	http://purl.obolibrary.org/obo/fbbt#HARTENSTEIN_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#ITO_LEE_BRAIN_LINEAGE
FBbt:00053609		ventral	ventral	FBbt:00050252	neuroblast CM4	FBbt:00007114|FBbt:00005095	cell body rind of the central nervous system|brain	CM4 ventral hemilineage neuron	DM4 ventral hemilineage neuron	CM4 ventral hemilineage neuron	FlyBase:FBrf0260535|FlyBase:FBrf0214495|FlyBase:FBrf0223298	http://purl.obolibrary.org/obo/fbbt#HARTENSTEIN_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#ITO_LEE_BRAIN_LINEAGE
FBbt:00053610		dorsal	dorsal	FBbt:00067347	neuroblast BAlc	FBbt:00007114|FBbt:00005095	cell body rind of the central nervous system|brain	BAlc dorsal hemilineage neuron	ALl1 dorsal hemilineage neuron	BAlc dorsal hemilineage neuron	FlyBase:FBrf0246460|FlyBase:FBrf0260535	http://purl.obolibrary.org/obo/fbbt#HARTENSTEIN_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#ITO_LEE_BRAIN_LINEAGE
