defined_class	defined_class_label	parent	parent_label	defining_detection	defining_detection_label	defining_perception	defining_perception_label	location	location_label	other_detection	other_detection_label	other_perception	other_perception_label	other_detection_copo	other_detection_copo_label	other_perception_copo	other_perception_copo_label	def_xrefs
FBbt:00005124	sensory neuron	FBbt:00005106	neuron	GO:0051606	detection of stimulus	GO:0007600	sensory perception											FBC:Autogenerated
FBbt:00005156	mechanosensory sensory organ	FBbt:00005155	sense organ	GO:0050982	detection of mechanical stimulus	GO:0007600	sensory perception											FBC:Autogenerated
FBbt:00005157	chemosensory sensory organ	FBbt:00005155	sense organ	GO:0009593	detection of chemical stimulus	GO:0007600	sensory perception											FlyBase:FBrf0068700
FBbt:00005158	olfactory sensory organ	FBbt:00005155	sense organ	GO:0009593	detection of chemical stimulus	GO:0007608	sensory perception of smell											FBC:Autogenerated
FBbt:00005159	gustatory sensory organ	FBbt:00005155	sense organ	GO:0009593	detection of chemical stimulus	GO:0050909	sensory perception of taste											FBC:Autogenerated
FBbt:00005160	thermosensitive sensory organ	FBbt:00005155	sense organ	GO:0016048	detection of temperature stimulus	GO:0007600	sensory perception											FBC:Autogenerated
FBbt:00005161	hygrosensitive sensory organ	FBbt:00005155	sense organ	GO:0098513	detection of humidity	GO:0098509	sensory perception of humidity											FBC:Autogenerated
FBbt:00005918	thermosensory neuron	FBbt:00005106	neuron	GO:0016048	detection of temperature stimulus	GO:0050955	thermoception											FlyBase:FBrf0159248
FBbt:00005919	mechanosensory neuron	FBbt:00005106	neuron	GO:0050982	detection of mechanical stimulus	GO:0007600	sensory perception											FBC:Autogenerated
FBbt:00005922	chemosensory neuron	FBbt:00005106	neuron	GO:0009593	detection of chemical stimulus	GO:0007600	sensory perception											FBC:Autogenerated
FBbt:00005923	hygrosensory neuron	FBbt:00005124	sensory neuron	GO:0098513	detection of humidity	GO:0098509	sensory perception of humidity											FBC:Autogenerated
FBbt:00005926	olfactory receptor neuron	FBbt:00005106	neuron	GO:0009593	detection of chemical stimulus	GO:0007608	sensory perception of smell											FBC:Autogenerated
FBbt:00005927	gustatory receptor neuron	FBbt:00005106	neuron	GO:0009593	detection of chemical stimulus	GO:0050909	sensory perception of taste											FlyBase:FBrf0179479|FlyBase:FBrf0208984
FBbt:00007234	compound sense organ	FBbt:00007230	compound cell cluster organ	GO:0051606	detection of stimulus	GO:0007600	sensory perception											FBC:Autogenerated
FBbt:00007684	auditory sensory neuron	FBbt:00005106	neuron	GO:0050982	detection of mechanical stimulus	GO:0007605	sensory perception of sound											FBC:Autogenerated
FBbt:00007686	auditory sense organ	FBbt:00005155	sense organ	GO:0050982	detection of mechanical stimulus	GO:0007605	sensory perception of sound											FBC:Autogenerated
FBbt:00049613	bitter-sensing neuron	FBbt:00005106	neuron	GO:0009593	detection of chemical stimulus	GO:0050913	sensory perception of bitter taste											FBC:Autogenerated
FBbt:00049614	sugar-sensing neuron	FBbt:00005106	neuron	GO:0009593	detection of chemical stimulus	GO:0050916	sensory perception of sweet taste											FBC:Autogenerated
FBbt:00049616	sour-sensing neuron	FBbt:00005106	neuron	GO:0009593	detection of chemical stimulus	GO:0050915	sensory perception of sour taste											FBC:Autogenerated
FBbt:00051293	adult thermosensory neuron	FBbt:00047095	adult neuron	GO:0016048	detection of temperature stimulus	GO:0050955	thermoception											FlyBase:FBrf0246456
FBbt:00051294	larval thermosensory neuron	FBbt:00001446	larval neuron	GO:0016048	detection of temperature stimulus	GO:0050955	thermoception											FBC:Autogenerated
FBbt:00051420	adult mechanosensory neuron	FBbt:00047095	adult neuron	GO:0050982	detection of mechanical stimulus	GO:0007600	sensory perception											FBC:Autogenerated
FBbt:00051421	larval mechanosensory neuron	FBbt:00001446	larval neuron	GO:0050982	detection of mechanical stimulus	GO:0007600	sensory perception											FBC:Autogenerated
FBbt:00058244	adult sensory neuron	FBbt:00047095	adult neuron	GO:0051606	detection of stimulus	GO:0007600	sensory perception											FBC:Autogenerated
FBbt:00058245	embryonic/larval sensory neuron	FBbt:00001446	larval neuron	GO:0051606	detection of stimulus	GO:0007600	sensory perception											FBC:Autogenerated
FBbt:00058246	pheromone-sensing neuron	FBbt:00005106	neuron	GO:0043695	detection of pheromone	GO:0007600	sensory perception											FBC:Autogenerated
FBbt:00058246	pheromone-sensing neuron									GO:0009593	detection of chemical stimulus	GO:0007600	sensory perception					
FBbt:00058247	adult pheromone-sensing neuron	FBbt:00047095	adult neuron	GO:0043695	detection of pheromone	GO:0007600	sensory perception											FlyBase:FBrf0218411
FBbt:00058249	adult gustatory receptor neuron	FBbt:00047095	adult neuron	GO:0009593	detection of chemical stimulus	GO:0050909	sensory perception of taste											FBC:Autogenerated
FBbt:00058250	embryonic/larval gustatory receptor neuron	FBbt:00001446	larval neuron	GO:0009593	detection of chemical stimulus	GO:0050909	sensory perception of taste											FBC:Autogenerated
FBbt:00100131	chemosensory sensillum of the female genitalia	FBbt:00007152	sensillum	GO:0009593	detection of chemical stimulus	GO:0007600	sensory perception	FBbt:00004827	female genitalia									FlyBase:FBrf0050360
