defined_class	defined_class_label	defining_detection	defining_detection_label	defining_perception	defining_perception_label	dendrite_location	dendrite_location_label	other_detection	other_detection_label	other_perception	other_perception_label	nerve	nerve_label	soma_location	soma_location_label	def_xrefs
FBbt:00048508	mechanosensory neuron of chaeta	GO:0050982	detection of mechanical stimulus	GO:0007600	sensory perception	FBbt:00005177	chaeta									FBC:Autogenerated
FBbt:00049612	mechanosensory eo neuron	GO:0050982	detection of mechanical stimulus	GO:0007600	sensory perception	FBbt:00007232	eo-type sensillum									FBC:Autogenerated
FBbt:00052239	mechanosensory neuron of male terminalia sensillum	GO:0050982	detection of mechanical stimulus	GO:0007600	sensory perception	FBbt:00004469	male terminalia sensillum									FlyBase:FBrf0253219
FBbt:00052569	mechanosensory neuron of prothoracic trochanter hair plate TrHP5	GO:0050982	detection of mechanical stimulus	GO:0007600	sensory perception	FBbt:00058085	hair plate of prothoracic trochanter TrHP5									FlyBase:FBrf0247324
FBbt:00052570	mechanosensory neuron of prothoracic trochanter hair plate TrHP6	GO:0050982	detection of mechanical stimulus	GO:0007600	sensory perception	FBbt:00058086	hair plate of prothoracic trochanter TrHP6									FlyBase:FBrf0247324
FBbt:00052571	mechanosensory neuron of prothoracic trochanter hair plate TrHP7	GO:0050982	detection of mechanical stimulus	GO:0007600	sensory perception	FBbt:00058087	hair plate of prothoracic trochanter TrHP7									FlyBase:FBrf0247324
FBbt:00052572	mechanosensory neuron of prothoracic trochanter campaniform sensillum Sc-8	GO:0050982	detection of mechanical stimulus	GO:0007600	sensory perception	FBbt:00004261	prothoracic trochanter campaniform sensillum Sc-8									FlyBase:FBrf0247324
FBbt:00052573	mechanosensory neuron of prothoracic trochanter campaniform sensillum Sc+5	GO:0050982	detection of mechanical stimulus	GO:0007600	sensory perception	FBbt:00004263	prothoracic trochanter campaniform sensillum Sc+5									FlyBase:FBrf0247324
FBbt:00052574	mechanosensory neuron of prothoracic trochanter campaniform sensillum Sc3	GO:0050982	detection of mechanical stimulus	GO:0007600	sensory perception	FBbt:00004262	prothoracic trochanter campaniform sensillum Sc3									FlyBase:FBrf0247324
FBbt:00052575	mechanosensory neuron of prothoracic femoral campaniform sensillum Sc1	GO:0050982	detection of mechanical stimulus	GO:0007600	sensory perception	FBbt:00004276	prothoracic femoral campaniform sensillum Sc1									FlyBase:FBrf0247324
FBbt:00052576	mechanosensory neuron of prothoracic femoral campaniform sensillum Sc11	GO:0050982	detection of mechanical stimulus	GO:0007600	sensory perception	FBbt:00004277	prothoracic femoral campaniform sensillum Sc11									FlyBase:FBrf0247324
FBbt:00052579	mechanosensory neuron of prothoracic tibial campaniform sensillum Sc2	GO:0050982	detection of mechanical stimulus	GO:0007600	sensory perception	FBbt:00058049	prothoracic tibial campaniform sensillum Sc2									FlyBase:FBrf0247324
FBbt:00052580	mechanosensory neuron of prothoracic tibial campaniform sensillum Sc3	GO:0050982	detection of mechanical stimulus	GO:0007600	sensory perception	FBbt:00058050	prothoracic tibial campaniform sensillum Sc3									FlyBase:FBrf0247324
FBbt:00052581	mechanosensory neuron of prothoracic tibial campaniform sensillum TiCSv1	GO:0050982	detection of mechanical stimulus	GO:0007600	sensory perception	FBbt:00052577	prothoracic tibial campaniform sensillum TiCSv1									FlyBase:FBrf0247324
FBbt:00052582	mechanosensory neuron of prothoracic tibial campaniform sensillum TiCSv2	GO:0050982	detection of mechanical stimulus	GO:0007600	sensory perception	FBbt:00052578	prothoracic tibial campaniform sensillum TiCSv2									FlyBase:FBrf0247324
FBbt:00052584	mechanosensory neuron of prothoracic trochanter hair plate TrHP1	GO:0050982	detection of mechanical stimulus	GO:0007600	sensory perception	FBbt:00052583	hair plate of prothoracic trochanter TrHP1									FlyBase:FBrf0247324
FBbt:00052794	mechanosensory neuron of ventral postgenal bristle	GO:0050982	detection of mechanical stimulus	GO:0007600	sensory perception	FBbt:00004132	ventral postgenal bristle									FBC:Autogenerated
FBbt:00052806	mechanosensory neuron of postgenal trichoid sensillum	GO:0050982	detection of mechanical stimulus	GO:0007600	sensory perception	FBbt:00004170	postgenal trichoid sensillum									FBC:Autogenerated
FBbt:00052807	mechanosensory neuron of proximal rostral trichoid sensillum	GO:0050982	detection of mechanical stimulus	GO:0007600	sensory perception	FBbt:00004169	proximal rostral sensillum									FBC:Autogenerated
