defined_class	class_label	neuron_type	type_label	segment	segment_label	nerve	nerve_label	sense_organ	organ_label	cluster	cluster_label
FBbt:00002066	prothoracic desA neuron	FBbt:00001999	desA neuron	FBbt:00001743	larval prothoracic segment	FBbt:00002064	larval prothoracic intersegmental nerve	FBbt:00002731	prothoracic dorsal campaniform sensillum dc1	FBbt:00007299	embryonic/larval prothoracic dorsal sensory cluster
FBbt:00002067	prothoracic desB neuron	FBbt:00002000	desB neuron	FBbt:00001743	larval prothoracic segment	FBbt:00002064	larval prothoracic intersegmental nerve	FBbt:00002729	prothoracic dorsal trichoid sensillum dh1	FBbt:00007299	embryonic/larval prothoracic dorsal sensory cluster
FBbt:00002068	prothoracic desC neuron	FBbt:00002001	desC neuron	FBbt:00001743	larval prothoracic segment	FBbt:00002064	larval prothoracic intersegmental nerve	FBbt:00002732	prothoracic dorsal campaniform sensillum dc2	FBbt:00007299	embryonic/larval prothoracic dorsal sensory cluster
FBbt:00002069	prothoracic desD neuron	FBbt:00002002	desD neuron	FBbt:00001743	larval prothoracic segment	FBbt:00002064	larval prothoracic intersegmental nerve	FBbt:00002733	prothoracic dorsal campaniform sensillum dc3	FBbt:00007299	embryonic/larval prothoracic dorsal sensory cluster
FBbt:00002070	prothoracic desE neuron	FBbt:00002003	desE neuron	FBbt:00001743	larval prothoracic segment	FBbt:00002064	larval prothoracic intersegmental nerve	FBbt:00002730	prothoracic dorsal trichoid sensillum dh2	FBbt:00007299	embryonic/larval prothoracic dorsal sensory cluster
FBbt:00002071	prothoracic lesA neuron	FBbt:00002012	lesA neuron	FBbt:00001743	larval prothoracic segment	FBbt:00002064	larval prothoracic intersegmental nerve	FBbt:00002736	prothoracic lateral campaniform sensillum lc1	FBbt:00007302	embryonic/larval prothoracic lateral sensory cluster
FBbt:00002072	prothoracic lesB neuron	FBbt:00002013	lesB neuron	FBbt:00001743	larval prothoracic segment	FBbt:00002064	larval prothoracic intersegmental nerve	FBbt:00002735	prothoracic lateral trichoid sensillum lh1	FBbt:00007302	embryonic/larval prothoracic lateral sensory cluster
FBbt:00002073	prothoracic lesC neuron	FBbt:00002014	lesC neuron	FBbt:00001743	larval prothoracic segment	FBbt:00002064	larval prothoracic intersegmental nerve	FBbt:00002737	prothoracic lateral campaniform sensillum lc2	FBbt:00007302	embryonic/larval prothoracic lateral sensory cluster
FBbt:00002074	prothoracic lch3 neuron	FBbt:00002018	lch3 neuron	FBbt:00001743	larval prothoracic segment	FBbt:00002125	larval mesothoracic segmental nerve	FBbt:00002738	prothoracic lateral triscolopidial chordotonal organ lch3	FBbt:00007302	embryonic/larval prothoracic lateral sensory cluster
FBbt:00002075	larval prothoracic multidendritic neuron	FBbt:00048285	larval multidendritic neuron	FBbt:00001743	larval prothoracic segment						
FBbt:00002076	prothoracic dorsal multidendritic neuron ddaA	FBbt:00002025	larval dorsal multidendritic neuron ddaA	FBbt:00001743	larval prothoracic segment	FBbt:00002064	larval prothoracic intersegmental nerve			FBbt:00007299	embryonic/larval prothoracic dorsal sensory cluster
FBbt:00002077	prothoracic dorsal multidendritic neuron ddaB	FBbt:00002026	larval dorsal multidendritic neuron ddaB	FBbt:00001743	larval prothoracic segment	FBbt:00002064	larval prothoracic intersegmental nerve			FBbt:00007299	embryonic/larval prothoracic dorsal sensory cluster
FBbt:00002078	prothoracic dorsal multidendritic neuron ddaC	FBbt:00002027	larval dorsal multidendritic neuron ddaC	FBbt:00001743	larval prothoracic segment	FBbt:00002064	larval prothoracic intersegmental nerve			FBbt:00007299	embryonic/larval prothoracic dorsal sensory cluster
FBbt:00002079	prothoracic dorsal multidendritic neuron ddaD	FBbt:00002028	larval dorsal multidendritic neuron ddaD	FBbt:00001743	larval prothoracic segment	FBbt:00002064	larval prothoracic intersegmental nerve			FBbt:00007299	embryonic/larval prothoracic dorsal sensory cluster
FBbt:00002080	prothoracic dorsal multidendritic neuron ddaE	FBbt:00002029	larval dorsal multidendritic neuron ddaE	FBbt:00001743	larval prothoracic segment	FBbt:00002064	larval prothoracic intersegmental nerve			FBbt:00007299	embryonic/larval prothoracic dorsal sensory cluster
FBbt:00002081	prothoracic lateral multidendritic neuron ldaA	FBbt:00002031	larval lateral multidendritic neuron ldaA	FBbt:00001743	larval prothoracic segment	FBbt:00002064	larval prothoracic intersegmental nerve			FBbt:00007302	embryonic/larval prothoracic lateral sensory cluster
FBbt:00002082	prothoracic lateral multidendritic neuron ldaB	FBbt:00002032	larval lateral multidendritic neuron ldaB	FBbt:00001743	larval prothoracic segment	FBbt:00002064	larval prothoracic intersegmental nerve			FBbt:00007302	embryonic/larval prothoracic lateral sensory cluster
FBbt:00002083	prothoracic lateral multidendritic neuron ldaC	FBbt:00002033	larval lateral multidendritic neuron ldaC	FBbt:00001743	larval prothoracic segment	FBbt:00002064	larval prothoracic intersegmental nerve			FBbt:00007302	embryonic/larval prothoracic lateral sensory cluster
FBbt:00002084	prothoracic lateral multidendritic neuron ldaD	FBbt:00002034	larval lateral multidendritic neuron ldaD	FBbt:00001743	larval prothoracic segment	FBbt:00002064	larval prothoracic intersegmental nerve			FBbt:00007302	embryonic/larval prothoracic lateral sensory cluster
FBbt:00002087	prothoracic vesA neuron	FBbt:00002041	vesA neuron	FBbt:00001743	larval prothoracic segment	FBbt:00002085	larval prothoracic segmental nerve	FBbt:00111639	prothoracic Keilin's organ	FBbt:00052118	larval prothoracic ventral sensory cluster
FBbt:00002088	prothoracic vesB neuron	FBbt:00002042	vesB neuron	FBbt:00001743	larval prothoracic segment	FBbt:00002085	larval prothoracic segmental nerve	FBbt:00111639	prothoracic Keilin's organ	FBbt:00052118	larval prothoracic ventral sensory cluster
FBbt:00002089	prothoracic vesC neuron	FBbt:00002043	vesC neuron	FBbt:00001743	larval prothoracic segment	FBbt:00002085	larval prothoracic segmental nerve	FBbt:00111639	prothoracic Keilin's organ	FBbt:00052118	larval prothoracic ventral sensory cluster
FBbt:00002090	prothoracic vesD neuron	FBbt:00002044	vesD neuron	FBbt:00001743	larval prothoracic segment	FBbt:00002085	larval prothoracic segmental nerve	FBbt:00111639	prothoracic Keilin's organ	FBbt:00052118	larval prothoracic ventral sensory cluster
FBbt:00002091	prothoracic vesE neuron	FBbt:00002045	vesE neuron	FBbt:00001743	larval prothoracic segment	FBbt:00002085	larval prothoracic segmental nerve	FBbt:00111639	prothoracic Keilin's organ	FBbt:00052118	larval prothoracic ventral sensory cluster
FBbt:00002092	prothoracic v'esA neuron	FBbt:00002048	v'esA neuron	FBbt:00001743	larval prothoracic segment	FBbt:00002085	larval prothoracic segmental nerve	FBbt:00002740	prothoracic ventral campaniform sensillum vc1	FBbt:00052124	larval prothoracic ventral’ sensory cluster
FBbt:00002093	prothoracic v'esB neuron	FBbt:00002049	v'esB neuron	FBbt:00001743	larval prothoracic segment	FBbt:00002085	larval prothoracic segmental nerve	FBbt:00002741	prothoracic ventral campaniform sensillum vc2	FBbt:00052124	larval prothoracic ventral’ sensory cluster
FBbt:00002094	prothoracic v'es3 neuron	FBbt:00002051	v'es3 neuron	FBbt:00001743	larval prothoracic segment	FBbt:00002085	larval prothoracic segmental nerve	FBbt:00002739	prothoracic ventral Kolbchen vbd	FBbt:00052124	larval prothoracic ventral’ sensory cluster
FBbt:00002097	prothoracic vch1 neuron	FBbt:00002040	vch1 neuron	FBbt:00001743	larval prothoracic segment	FBbt:00002085	larval prothoracic segmental nerve	FBbt:00002742	prothoracic ventral monoscolopidial chordotonal organ vch1	FBbt:00052118	larval prothoracic ventral sensory cluster
FBbt:00002098	prothoracic ventral multidendritic neuron	FBbt:00002054	ventral multidendritic neuron	FBbt:00001743	larval prothoracic segment	FBbt:00002085	larval prothoracic segmental nerve			FBbt:00052124	larval prothoracic ventral’ sensory cluster
FBbt:00002099	prothoracic ventral multidendritic neuron vdaA	FBbt:00002055	larval ventral multidendritic neuron vdaA	FBbt:00001743	larval prothoracic segment	FBbt:00002085	larval prothoracic segmental nerve			FBbt:00052124	larval prothoracic ventral’ sensory cluster
FBbt:00002100	prothoracic ventral multidendritic neuron vdaB	FBbt:00002056	larval ventral multidendritic neuron vdaB	FBbt:00001743	larval prothoracic segment	FBbt:00002085	larval prothoracic segmental nerve			FBbt:00052124	larval prothoracic ventral’ sensory cluster
FBbt:00002101	prothoracic ventral multidendritic neuron vdaC	FBbt:00002057	larval ventral multidendritic neuron vdaC	FBbt:00001743	larval prothoracic segment	FBbt:00002085	larval prothoracic segmental nerve			FBbt:00052124	larval prothoracic ventral’ sensory cluster
FBbt:00002102	prothoracic ventral multidendritic neuron vdaD	FBbt:00002058	larval ventral multidendritic neuron vdaD	FBbt:00001743	larval prothoracic segment	FBbt:00002085	larval prothoracic segmental nerve			FBbt:00052124	larval prothoracic ventral’ sensory cluster
FBbt:00002106	mesothoracic desA neuron	FBbt:00001999	desA neuron	FBbt:00001744	larval mesothoracic segment	FBbt:00002104	larval mesothoracic intersegmental nerve	FBbt:00002749	mesothoracic dorsal campaniform sensillum dc1	FBbt:00007298	embryonic/larval mesothoracic dorsal sensory cluster
FBbt:00002107	mesothoracic desB neuron	FBbt:00002000	desB neuron	FBbt:00001744	larval mesothoracic segment	FBbt:00002104	larval mesothoracic intersegmental nerve	FBbt:00002747	mesothoracic dorsal trichoid sensillum dh1	FBbt:00007298	embryonic/larval mesothoracic dorsal sensory cluster
FBbt:00002108	mesothoracic desC neuron	FBbt:00002001	desC neuron	FBbt:00001744	larval mesothoracic segment	FBbt:00002104	larval mesothoracic intersegmental nerve	FBbt:00002750	mesothoracic dorsal campaniform sensillum dc2	FBbt:00007298	embryonic/larval mesothoracic dorsal sensory cluster
FBbt:00002109	mesothoracic desD neuron	FBbt:00002002	desD neuron	FBbt:00001744	larval mesothoracic segment	FBbt:00002104	larval mesothoracic intersegmental nerve	FBbt:00002751	mesothoracic dorsal campaniform sensillum dc3	FBbt:00007298	embryonic/larval mesothoracic dorsal sensory cluster
FBbt:00002110	mesothoracic desE neuron	FBbt:00002003	desE neuron	FBbt:00001744	larval mesothoracic segment	FBbt:00002104	larval mesothoracic intersegmental nerve	FBbt:00002748	mesothoracic dorsal trichoid sensillum dh2	FBbt:00007298	embryonic/larval mesothoracic dorsal sensory cluster
FBbt:00002111	mesothoracic lesA neuron	FBbt:00002012	lesA neuron	FBbt:00001744	larval mesothoracic segment	FBbt:00002104	larval mesothoracic intersegmental nerve	FBbt:00002755	mesothoracic lateral campaniform sensillum lc1	FBbt:00007303	embryonic/larval mesothoracic lateral sensory cluster
FBbt:00002112	mesothoracic lesB neuron	FBbt:00002013	lesB neuron	FBbt:00001744	larval mesothoracic segment	FBbt:00002104	larval mesothoracic intersegmental nerve	FBbt:00002754	mesothoracic lateral trichoid sensillum lh1	FBbt:00007303	embryonic/larval mesothoracic lateral sensory cluster
FBbt:00002113	mesothoracic lesC neuron	FBbt:00002014	lesC neuron	FBbt:00001744	larval mesothoracic segment	FBbt:00002104	larval mesothoracic intersegmental nerve	FBbt:00002756	mesothoracic lateral campaniform sensillum lc2	FBbt:00007303	embryonic/larval mesothoracic lateral sensory cluster
FBbt:00002114	mesothoracic les3 neuron	FBbt:00002016	les3 neuron	FBbt:00001744	larval mesothoracic segment	FBbt:00002104	larval mesothoracic intersegmental nerve	FBbt:00002753	mesothoracic lateral Kolbchen lbd	FBbt:00007303	embryonic/larval mesothoracic lateral sensory cluster
FBbt:00002115	larval mesothoracic multidendritic neuron	FBbt:00048285	larval multidendritic neuron	FBbt:00001744	larval mesothoracic segment						
FBbt:00002116	mesothoracic dorsal multidendritic neuron ddaA	FBbt:00002025	larval dorsal multidendritic neuron ddaA	FBbt:00001744	larval mesothoracic segment	FBbt:00002104	larval mesothoracic intersegmental nerve			FBbt:00007298	embryonic/larval mesothoracic dorsal sensory cluster
FBbt:00002117	mesothoracic dorsal multidendritic neuron ddaB	FBbt:00002026	larval dorsal multidendritic neuron ddaB	FBbt:00001744	larval mesothoracic segment	FBbt:00002104	larval mesothoracic intersegmental nerve			FBbt:00007298	embryonic/larval mesothoracic dorsal sensory cluster
FBbt:00002118	mesothoracic dorsal multidendritic neuron ddaC	FBbt:00002027	larval dorsal multidendritic neuron ddaC	FBbt:00001744	larval mesothoracic segment	FBbt:00002104	larval mesothoracic intersegmental nerve			FBbt:00007298	embryonic/larval mesothoracic dorsal sensory cluster
FBbt:00002119	mesothoracic dorsal multidendritic neuron ddaD	FBbt:00002028	larval dorsal multidendritic neuron ddaD	FBbt:00001744	larval mesothoracic segment	FBbt:00002104	larval mesothoracic intersegmental nerve			FBbt:00007298	embryonic/larval mesothoracic dorsal sensory cluster
FBbt:00002120	mesothoracic dorsal multidendritic neuron ddaE	FBbt:00002029	larval dorsal multidendritic neuron ddaE	FBbt:00001744	larval mesothoracic segment	FBbt:00002104	larval mesothoracic intersegmental nerve			FBbt:00007298	embryonic/larval mesothoracic dorsal sensory cluster
FBbt:00002121	mesothoracic lateral multidendritic neuron ldaA	FBbt:00002031	larval lateral multidendritic neuron ldaA	FBbt:00001744	larval mesothoracic segment	FBbt:00002104	larval mesothoracic intersegmental nerve			FBbt:00007303	embryonic/larval mesothoracic lateral sensory cluster
FBbt:00002122	mesothoracic lateral multidendritic neuron ldaB	FBbt:00002032	larval lateral multidendritic neuron ldaB	FBbt:00001744	larval mesothoracic segment	FBbt:00002104	larval mesothoracic intersegmental nerve			FBbt:00007303	embryonic/larval mesothoracic lateral sensory cluster
