defined_class	defined_class_label	parent_type	parent_type_label	precursor	precursor_label	tract	tract_label	soma	soma_label	stage	stage_label	input_glomerulus	input_glomerulus_label	neurotransmitter	laterality
FBbt:00003995	adult uniglomerular antennal lobe projection neuron V ilPN	FBbt:00007383	uniglomerular antennal lobe projection neuron					FBbt:00049781	cell body rind of adult subesophageal zone			FBbt:00003951	antennal lobe glomerulus V		
FBbt:00007225	larval antennal lobe projection neuron	FBbt:00007422	antennal lobe projection neuron							FBbt:00001727	larva				
FBbt:00007226	larval antennal lobe local neuron	FBbt:00052874	antennal lobe local neuron							FBbt:00001727	larva				
FBbt:00007387	uniglomerular antennal lobe projection neuron vPN	FBbt:00007383	uniglomerular antennal lobe projection neuron	FBbt:00067348	neuroblast BAla1										
FBbt:00007390	adult antennal lobe local neuron	FBbt:00052874	antennal lobe local neuron							FBbt:00003004	adult				
FBbt:00007393	adult local interneuron of the ventral ALv2 neuroblast	FBbt:00052874	antennal lobe local neuron	FBbt:00050035	neuroblast BAla2					FBbt:00003004	adult				
FBbt:00007394	adult local interneuron of the lateral ALl1 neuroblast	FBbt:00052874	antennal lobe local neuron	FBbt:00067347	neuroblast BAlc					FBbt:00003004	adult				
FBbt:00007402	GABAergic local interneuron of the adult antennal lobe	FBbt:00052874	antennal lobe local neuron							FBbt:00003004	adult			GO:0061534	
FBbt:00007403	cholinergic local interneuron of the adult antennal lobe	FBbt:00052874	antennal lobe local neuron							FBbt:00003004	adult			GO:0014055	
FBbt:00007404	adult oligoglomerular local interneuron of the lateral AL neuroblast	FBbt:00049647	adult oligoglomerular antennal lobe local neuron	FBbt:00067347	neuroblast BAlc										
FBbt:00007414	adult multiglomerular antennal lobe projection neuron vPN	FBbt:00007384	multiglomerular antennal lobe projection neuron	FBbt:00067348	neuroblast BAla1					FBbt:00003004	adult				
FBbt:00007416	adult GABAergic antennal lobe local neuron lLN1	FBbt:00007395	adult antennal lobe local neuron lLN1											GO:0061534	
FBbt:00007417	GABAergic local interneuron of larval antennal lobe	FBbt:00052874	antennal lobe local neuron							FBbt:00001727	larva			GO:0061534	
FBbt:00007437	adult antennal lobe projection neuron vPN	FBbt:00007422	antennal lobe projection neuron	FBbt:00067348	neuroblast BAla1					FBbt:00003004	adult				
FBbt:00007438	adult antennal lobe projection neuron adPN	FBbt:00007422	antennal lobe projection neuron	FBbt:00067346	neuroblast BAmv3					FBbt:00003004	adult				
FBbt:00007439	adult antennal lobe projection neuron lPN	FBbt:00007422|FBbt:00049540	antennal lobe projection neuron|Notch OFF hemilineage neuron	FBbt:00067347	neuroblast BAlc					FBbt:00003004	adult				
FBbt:00007440	adult uniglomerular antennal lobe projection neuron	FBbt:00007383	uniglomerular antennal lobe projection neuron							FBbt:00003004	adult				
FBbt:00007441	adult multiglomerular antennal lobe projection neuron	FBbt:00007384	multiglomerular antennal lobe projection neuron							FBbt:00003004	adult				
FBbt:00007444	adult antennal lobe projection neuron VL1 vPN	FBbt:00007383	uniglomerular antennal lobe projection neuron	FBbt:00067348	neuroblast BAla1							FBbt:00003954	antennal lobe glomerulus VL1		
FBbt:00007446	adult antennal lobe projection neuron VA4 lPN	FBbt:00049540|FBbt:00007383	Notch OFF hemilineage neuron|uniglomerular antennal lobe projection neuron	FBbt:00067347	neuroblast BAlc							FBbt:00003944	antennal lobe glomerulus VA4		
FBbt:00007447	adult antennal lobe projection neuron VA6 adPN	FBbt:00007383	uniglomerular antennal lobe projection neuron	FBbt:00067346	neuroblast BAmv3							FBbt:00003938	antennal lobe glomerulus VA6		
FBbt:00007448	adult antennal lobe projection neuron VA7l adPN	FBbt:00007383	uniglomerular antennal lobe projection neuron	FBbt:00067346	neuroblast BAmv3							FBbt:00007103	antennal lobe glomerulus VA7l		
FBbt:00007449	adult antennal lobe projection neuron VC2 lPN	FBbt:00049540|FBbt:00007383	Notch OFF hemilineage neuron|uniglomerular antennal lobe projection neuron	FBbt:00067347	neuroblast BAlc							FBbt:00003946	antennal lobe glomerulus VC2		
FBbt:00007450	adult antennal lobe projection neuron VL2p adPN	FBbt:00007383	uniglomerular antennal lobe projection neuron	FBbt:00067346	neuroblast BAmv3							FBbt:00007107	antennal lobe glomerulus VL2p		
FBbt:00007451	adult antennal lobe projection neuron VL2p lPN	FBbt:00049540|FBbt:00007383	Notch OFF hemilineage neuron|uniglomerular antennal lobe projection neuron	FBbt:00067347	neuroblast BAlc							FBbt:00007107	antennal lobe glomerulus VL2p		
FBbt:00007452	adult antennal lobe projection neuron VM1 lPN	FBbt:00049540|FBbt:00007383	Notch OFF hemilineage neuron|uniglomerular antennal lobe projection neuron	FBbt:00067347	neuroblast BAlc							FBbt:00003956	antennal lobe glomerulus VM1		
FBbt:00007454	adult antennal lobe projection neuron VM7v adPN	FBbt:00007383	uniglomerular antennal lobe projection neuron	FBbt:00067346	neuroblast BAmv3							FBbt:00007092	antennal lobe glomerulus VM7v		
FBbt:00007456	persistent antennal lobe projection neuron	FBbt:00007422	antennal lobe projection neuron	FBbt:00007225	larval antennal lobe projection neuron					FBbt:00003004	adult				
FBbt:00007475	adult antennal lobe projection neuron DP1l adPN	FBbt:00007383	uniglomerular antennal lobe projection neuron	FBbt:00067346	neuroblast BAmv3							FBbt:00007098	antennal lobe glomerulus DP1l		
FBbt:00007476	adult antennal lobe projection neuron VC1 lPN	FBbt:00049540|FBbt:00007383	Notch OFF hemilineage neuron|uniglomerular antennal lobe projection neuron	FBbt:00067347	neuroblast BAlc							FBbt:00003952	antennal lobe glomerulus VC1		
FBbt:00040000	adult antennal lobe projection neuron DC3 adPN	FBbt:00007383	uniglomerular antennal lobe projection neuron	FBbt:00067346	neuroblast BAmv3							FBbt:00003963	antennal lobe glomerulus DC3		
FBbt:00047312	adult uniglomerular antennal lobe projection neuron lPN	FBbt:00049540|FBbt:00007383	Notch OFF hemilineage neuron|uniglomerular antennal lobe projection neuron	FBbt:00067347	neuroblast BAlc					FBbt:00003004	adult				
FBbt:00047714	adult antennal lobe projection neuron DA4m adPN	FBbt:00007383	uniglomerular antennal lobe projection neuron	FBbt:00067346	neuroblast BAmv3							FBbt:00007361	antennal lobe glomerulus DA4m		
