defined_class	defined_class_label	parent_type	parent_type_label	precursor	precursor_label	tract	tract_label	soma	soma_label	partonomy	partonomy_label	input_glomerulus	input_glomerulus_label	neurotransmitter	neurotransmitter_label	laterality	laterality_label	multi_input_glomerulus	multi_input_glomerulus_label
FBbt:00003993	fine arborization relay interneuron	FBbt:00007384	multiglomerular antennal lobe projection neuron							FBbt:00003624	adult brain								
FBbt:00003994	giant symmetrical relay interneuron	FBbt:00007384	multiglomerular antennal lobe projection neuron			FBbt:00003979	adult antennal lobe commissure			FBbt:00003624	adult brain					PATO:0000618	bilateral		
FBbt:00003995	adult uniglomerular antennal lobe projection neuron V ilPN					FBbt:00003983	adult lateral antennal lobe tract							GO:0014055	acetylcholine secretion, neurotransmission	PATO:0000618	bilateral		
FBbt:00007225	larval antennal lobe projection neuron	FBbt:00047097	primary neuron					FBbt:00111226	cell body rind of larval brain	FBbt:00001920	larval brain								
FBbt:00007226	larval antennal lobe local neuron	FBbt:00047097	primary neuron							FBbt:00001920	larval brain								
FBbt:00007390	adult antennal lobe local neuron									FBbt:00003624	adult brain								
FBbt:00007393	adult local interneuron of the ventral ALv2 neuroblast							FBbt:00100211	cell body rind of adult antennal lobe										
FBbt:00007394	adult local interneuron of the lateral ALl1 neuroblast							FBbt:00100211	cell body rind of adult antennal lobe										
FBbt:00007395	adult antennal lobe local neuron lLN1	FBbt:00049540	Notch OFF hemilineage neuron	FBbt:00067347	neuroblast BAlc			FBbt:00100211	cell body rind of adult antennal lobe							PATO:0000634	unilateral		
FBbt:00007395	adult antennal lobe local neuron lLN1	FBbt:00051500	adult broad antennal lobe local neuron	FBbt:00067347	neuroblast BAlc			FBbt:00100211	cell body rind of adult antennal lobe							PATO:0000634	unilateral		
FBbt:00007396	adult antennal lobe local neuron lLN2	FBbt:00052874	antennal lobe local neuron	FBbt:00067347	neuroblast BAlc			FBbt:00100211	cell body rind of adult antennal lobe										
FBbt:00007396	adult antennal lobe local neuron lLN2	FBbt:00049540	Notch OFF hemilineage neuron	FBbt:00067347	neuroblast BAlc			FBbt:00100211	cell body rind of adult antennal lobe										
FBbt:00007415	medial antennal lobe tract projection neuron 4	FBbt:00049540	Notch OFF hemilineage neuron	FBbt:00067347	neuroblast BAlc	FBbt:00007083|FBbt:00003985	adult posterior lateral fascicle|adult medial antennal lobe tract	FBbt:00100211	cell body rind of adult antennal lobe							PATO:0000618	bilateral		
FBbt:00007415	medial antennal lobe tract projection neuron 4	FBbt:00007384	multiglomerular antennal lobe projection neuron	FBbt:00067347	neuroblast BAlc	FBbt:00007083|FBbt:00003985	adult posterior lateral fascicle|adult medial antennal lobe tract	FBbt:00100211	cell body rind of adult antennal lobe							PATO:0000618	bilateral		
FBbt:00007437	adult antennal lobe projection neuron vPN							FBbt:00100211	cell body rind of adult antennal lobe										
FBbt:00007438	adult antennal lobe projection neuron adPN					FBbt:00003985	adult medial antennal lobe tract	FBbt:00051000	cell body rind of adult anterodorsal antennal lobe										
FBbt:00007439	adult antennal lobe projection neuron lPN							FBbt:00100211	cell body rind of adult antennal lobe										
FBbt:00007440	adult uniglomerular antennal lobe projection neuron											FBbt:00067500	adult antennal lobe glomerulus						
FBbt:00007443	adult antennal lobe projection neuron DC3 primary adPN	FBbt:00007383	uniglomerular antennal lobe projection neuron	FBbt:00067346|FBbt:00007225	neuroblast BAmv3|larval antennal lobe projection neuron					FBbt:00003624	adult brain								
FBbt:00007444	adult antennal lobe projection neuron VL1 vPN					FBbt:00003984	adult mediolateral antennal lobe tract	FBbt:00100211	cell body rind of adult antennal lobe					GO:0061534	gamma-aminobutyric acid secretion, neurotransmission				
FBbt:00007445	mediolateral antennal lobe tract projection neuron 1	FBbt:00007383	uniglomerular antennal lobe projection neuron	FBbt:00067348	neuroblast BAla1	FBbt:00003984	adult mediolateral antennal lobe tract	FBbt:00100211	cell body rind of adult antennal lobe							PATO:0000634	unilateral		
FBbt:00007446	adult antennal lobe projection neuron VA4 lPN					FBbt:00003985	adult medial antennal lobe tract							GO:0014055	acetylcholine secretion, neurotransmission				
FBbt:00007447	adult antennal lobe projection neuron VA6 adPN			FBbt:00007225	larval antennal lobe projection neuron	FBbt:00003985	adult medial antennal lobe tract							GO:0014055	acetylcholine secretion, neurotransmission				
FBbt:00007448	adult antennal lobe projection neuron VA7l adPN			FBbt:00007225	larval antennal lobe projection neuron	FBbt:00003985	adult medial antennal lobe tract							GO:0014055	acetylcholine secretion, neurotransmission				
