defined_class	defined_class_label	stage_parent	stage_parent_label	receptor	receptor_label	dendrite	dendrite_label	glomerulus	glomerulus_label	other_receptor	other_receptor_label	other_dendrite	other_dendrite_label	other_glomerulus	other_glomerulus_label	soma_location	soma_location_label	modality	modality_label	laterality	laterality_label	precursor	precursor_label	target_PN	target_PN_label
FBbt:00007389	adult olfactory receptor neuron Or85b	FBbt:00051494	adult antennal lobe receptor neuron	http://flybase.org/reports/FBgn0037590	Or85b					http://flybase.org/reports/FBgn0037591	Or85c			FBbt:00007391	antennal lobe glomerulus VM5d			GO:0050911	detection of chemical stimulus involved in sensory perception of smell	PATO:0000618	bilateral	FBbt:00048524	antennal olfactory receptor neuron precursor Nab		
FBbt:00007575	aristal sensory neuron VP2	FBbt:00051494	adult antennal lobe receptor neuron	http://flybase.org/reports/FBgn0045495	Gr28b			FBbt:00003928	antennal lobe glomerulus VP2			FBbt:00004185	aristal sensillum					GO:0120168	detection of hot stimulus involved in thermoception	PATO:0000634	unilateral				
FBbt:00007576	aristal sensory neuron VP3	FBbt:00051494	adult antennal lobe receptor neuron	http://flybase.org/reports/FBgn0031209	Ir21a			FBbt:00003929	antennal lobe glomerulus VP3			FBbt:00004185	aristal sensillum					GO:0120169	detection of cold stimulus involved in thermoception	PATO:0000634	unilateral				
FBbt:00047054	adult olfactory receptor neuron Ir75d	FBbt:00051494	adult antennal lobe receptor neuron	http://flybase.org/reports/FBgn0036829	Ir75d	FBbt:00004177	coeloconic sensillum of antennal segment 3							FBbt:00003954	antennal lobe glomerulus VL1			GO:0050911	detection of chemical stimulus involved in sensory perception of smell	PATO:0000634	unilateral	FBbt:00048523	antennal olfactory receptor neuron precursor Naa		
FBbt:00047222	adult hygrosensory neuron Ir68a	FBbt:00051494	adult antennal lobe receptor neuron	http://flybase.org/reports/FBgn0036150	Ir68a							FBbt:00110027	sensillum of sacculus					GO:0098514	detection of high humidity stimulus involved in sensory perception	PATO:0000634	unilateral				
FBbt:00047225	adult hygrosensory neuron Ir40a VP4	FBbt:00051494	adult antennal lobe receptor neuron	http://flybase.org/reports/FBgn0259683	Ir40a			FBbt:00110865	antennal lobe glomerulus VP4									GO:0098515	detection of low humidity stimulus involved in sensory perception	PATO:0000618	bilateral	FBbt:00048525	antennal olfactory receptor neuron precursor Nba		
FBbt:00047226	adult hygrosensory neuron Ir40a VP1d	FBbt:00051494	adult antennal lobe receptor neuron	http://flybase.org/reports/FBgn0259683	Ir40a			FBbt:00049639	antennal lobe glomerulus VP1d			FBbt:00004183	sensillum of sacculus chamber II					GO:0098515|GO:0120169	detection of low humidity stimulus involved in sensory perception|detection of cold stimulus involved in thermoception	PATO:0000634	unilateral	FBbt:00048524	antennal olfactory receptor neuron precursor Nab		
FBbt:00048139	adult olfactory receptor neuron Or46aB	FBbt:00051494	adult antennal lobe receptor neuron	http://flybase.org/reports/FBgn0026388	Or46a	FBbt:00067060	antennal basiconic sensillum ab6							FBbt:00007102	antennal lobe glomerulus VA7m			GO:0050911	detection of chemical stimulus involved in sensory perception of smell	PATO:0000618	bilateral	FBbt:00048524	antennal olfactory receptor neuron precursor Nab		
FBbt:00048140	adult olfactory receptor neuron Amt/Rh50	FBbt:00051494	adult antennal lobe receptor neuron	http://flybase.org/reports/FBgn0038309	Amt							FBbt:00004511	antenna					GO:0050911	detection of chemical stimulus involved in sensory perception of smell	PATO:0000618	bilateral				
FBbt:00049657	adult hygrosensory neuron Ir40a VP4 chamber I	FBbt:00051494	adult antennal lobe receptor neuron	http://flybase.org/reports/FBgn0259683	Ir40a	FBbt:00004184	sensillum of sacculus chamber I	FBbt:00110865	antennal lobe glomerulus VP4					FBbt:00110865	antennal lobe glomerulus VP4			GO:0098515	detection of low humidity stimulus involved in sensory perception						
FBbt:00049658	adult hygrosensory neuron Ir40a VP4 chamber II	FBbt:00051494	adult antennal lobe receptor neuron	http://flybase.org/reports/FBgn0259683	Ir40a	FBbt:00004183	sensillum of sacculus chamber II	FBbt:00110865	antennal lobe glomerulus VP4					FBbt:00110865	antennal lobe glomerulus VP4			GO:0098515	detection of low humidity stimulus involved in sensory perception						
FBbt:00049659	adult hygrosensory neuron Ir68a VP5	FBbt:00051494	adult antennal lobe receptor neuron	http://flybase.org/reports/FBgn0036150	Ir68a			FBbt:00047223	antennal lobe glomerulus VP5			FBbt:00004183	sensillum of sacculus chamber II									FBbt:00048523	antennal olfactory receptor neuron precursor Naa		
FBbt:00049660	adult hygrosensory neuron Ir68a VP1m	FBbt:00051494	adult antennal lobe receptor neuron	http://flybase.org/reports/FBgn0036150	Ir68a			FBbt:00049641	antennal lobe glomerulus VP1m			FBbt:00004184	sensillum of sacculus chamber I									FBbt:00048524	antennal olfactory receptor neuron precursor Nab		
FBbt:00051495	adult olfactory receptor neuron Ir75c	FBbt:00051494	adult antennal lobe receptor neuron	http://flybase.org/reports/FBgn0261401	Ir75c							FBbt:00051497	antennal coeloconic sensillum ac3 type II	FBbt:00100376	antennal lobe glomerulus DL2v			GO:0050911	detection of chemical stimulus involved in sensory perception of smell	PATO:0000618	bilateral	FBbt:00048524	antennal olfactory receptor neuron precursor Nab		
FBbt:00051846	adult olfactory receptor neuron Amt/Rh50 VM6m	FBbt:00051494	adult antennal lobe receptor neuron	http://flybase.org/reports/FBgn0038309	Amt			FBbt:00051844	antennal lobe glomerulus VM6m			FBbt:00004180	sensillum of sacculus chamber III					GO:0050911	detection of chemical stimulus involved in sensory perception of smell						
FBbt:00051847	adult olfactory receptor neuron Amt/Rh50 VM6l	FBbt:00051494	adult antennal lobe receptor neuron	http://flybase.org/reports/FBgn0038309	Amt			FBbt:00051843	antennal lobe glomerulus VM6l			FBbt:00004180	sensillum of sacculus chamber III					GO:0050911	detection of chemical stimulus involved in sensory perception of smell						
FBbt:00051848	adult olfactory receptor neuron Amt/Rh50 VM6v	FBbt:00051494	adult antennal lobe receptor neuron	http://flybase.org/reports/FBgn0038309	Amt			FBbt:00051845	antennal lobe glomerulus VM6v			FBbt:00067038	antennal coeloconic sensillum ac1					GO:0050911	detection of chemical stimulus involved in sensory perception of smell			FBbt:00048526	antennal olfactory receptor neuron precursor Nbb		
FBbt:00053544	adult olfactory receptor neuron Or35a ac3I	FBbt:00051494	adult antennal lobe receptor neuron	http://flybase.org/reports/FBgn0028946	Or35a	FBbt:00051496	antennal coeloconic sensillum ac3 type I																		
