defined_class	defined_class_label	parent	parent_label	segment	segment_label	stage_segment	stage_segment_label
FBbt:00000187	mesothoracic tracheal primordium	FBbt:00005037	tracheal primordium	FBbt:00000018	mesothoracic segment	FBbt:00000169	embryonic mesothoracic segment
FBbt:00000188	metathoracic tracheal primordium	FBbt:00005037	tracheal primordium	FBbt:00000019	metathoracic segment	FBbt:00000170	embryonic metathoracic segment
FBbt:00000189	abdominal tracheal primordium	FBbt:00005037	tracheal primordium	FBbt:00000021	abdominal segment	FBbt:00000172	embryonic abdominal segment
FBbt:00000190	abdominal tracheal primordium 1	FBbt:00005037	tracheal primordium	FBbt:00000022	abdominal segment 1	FBbt:00000173	embryonic abdominal segment 1
FBbt:00000191	abdominal tracheal primordium 2	FBbt:00005037	tracheal primordium	FBbt:00000023	abdominal segment 2	FBbt:00000174	embryonic abdominal segment 2
FBbt:00000192	abdominal tracheal primordium 3	FBbt:00005037	tracheal primordium	FBbt:00000024	abdominal segment 3	FBbt:00000175	embryonic abdominal segment 3
FBbt:00000193	abdominal tracheal primordium 4	FBbt:00005037	tracheal primordium	FBbt:00000025	abdominal segment 4	FBbt:00000176	embryonic abdominal segment 4
FBbt:00000194	abdominal tracheal primordium 5	FBbt:00005037	tracheal primordium	FBbt:00000026	abdominal segment 5	FBbt:00000177	embryonic abdominal segment 5
FBbt:00000195	abdominal tracheal primordium 6	FBbt:00005037	tracheal primordium	FBbt:00000027	abdominal segment 6	FBbt:00000178	embryonic abdominal segment 6
FBbt:00000196	abdominal tracheal primordium 7	FBbt:00005037	tracheal primordium	FBbt:00000028	abdominal segment 7	FBbt:00000179	embryonic abdominal segment 7
FBbt:00000199	mesothoracic tracheal pit	FBbt:00005036	tracheal pit	FBbt:00000018	mesothoracic segment	FBbt:00000169	embryonic mesothoracic segment
FBbt:00000200	metathoracic tracheal pit	FBbt:00005036	tracheal pit	FBbt:00000019	metathoracic segment	FBbt:00000170	embryonic metathoracic segment
FBbt:00000201	abdominal tracheal pit	FBbt:00005036	tracheal pit	FBbt:00000021	abdominal segment	FBbt:00000172	embryonic abdominal segment
FBbt:00000202	abdominal tracheal pit 1	FBbt:00005036	tracheal pit	FBbt:00000022	abdominal segment 1	FBbt:00000173	embryonic abdominal segment 1
FBbt:00000203	abdominal tracheal pit 2	FBbt:00005036	tracheal pit	FBbt:00000023	abdominal segment 2	FBbt:00000174	embryonic abdominal segment 2
FBbt:00000204	abdominal tracheal pit 3	FBbt:00005036	tracheal pit	FBbt:00000024	abdominal segment 3	FBbt:00000175	embryonic abdominal segment 3
FBbt:00000205	abdominal tracheal pit 4	FBbt:00005036	tracheal pit	FBbt:00000025	abdominal segment 4	FBbt:00000176	embryonic abdominal segment 4
FBbt:00000206	abdominal tracheal pit 5	FBbt:00005036	tracheal pit	FBbt:00000026	abdominal segment 5	FBbt:00000177	embryonic abdominal segment 5
FBbt:00000207	abdominal tracheal pit 6	FBbt:00005036	tracheal pit	FBbt:00000027	abdominal segment 6	FBbt:00000178	embryonic abdominal segment 6
FBbt:00000208	abdominal tracheal pit 7	FBbt:00005036	tracheal pit	FBbt:00000028	abdominal segment 7	FBbt:00000179	embryonic abdominal segment 7
FBbt:00000209	abdominal tracheal pit 8	FBbt:00005036	tracheal pit	FBbt:00000029	abdominal segment 8	FBbt:00000180	embryonic abdominal segment 8
FBbt:00000413	non-functional larval spiracle of thoracic segment	FBbt:00000412	non-functional larval spiracle	FBbt:00000016	thoracic segment	FBbt:00001742	larval thoracic segment
FBbt:00000415	non-functional larval spiracle of thoracic segment 3	FBbt:00000412	non-functional larval spiracle	FBbt:00000019	metathoracic segment	FBbt:00001745	larval metathoracic segment
FBbt:00000416	non-functional larval spiracle of abdominal segment	FBbt:00000412	non-functional larval spiracle	FBbt:00000021	abdominal segment	FBbt:00001747	larval abdominal segment
FBbt:00000417	non-functional larval spiracle of abdominal segment 1	FBbt:00000412	non-functional larval spiracle	FBbt:00000022	abdominal segment 1	FBbt:00001748	larval abdominal segment 1
FBbt:00000418	non-functional larval spiracle of abdominal segment 2	FBbt:00000412	non-functional larval spiracle	FBbt:00000023	abdominal segment 2	FBbt:00001749	larval abdominal segment 2
FBbt:00000419	non-functional larval spiracle of abdominal segment 3	FBbt:00000412	non-functional larval spiracle	FBbt:00000024	abdominal segment 3	FBbt:00001750	larval abdominal segment 3
FBbt:00000420	non-functional larval spiracle of abdominal segment 4	FBbt:00000412	non-functional larval spiracle	FBbt:00000025	abdominal segment 4	FBbt:00001751	larval abdominal segment 4
FBbt:00000421	non-functional larval spiracle of abdominal segment 5	FBbt:00000412	non-functional larval spiracle	FBbt:00000026	abdominal segment 5	FBbt:00001752	larval abdominal segment 5
FBbt:00000422	non-functional larval spiracle of abdominal segment 6	FBbt:00000412	non-functional larval spiracle	FBbt:00000027	abdominal segment 6	FBbt:00001753	larval abdominal segment 6
FBbt:00000423	non-functional larval spiracle of abdominal segment 7	FBbt:00000412	non-functional larval spiracle	FBbt:00000028	abdominal segment 7	FBbt:00001754	larval abdominal segment 7
FBbt:00001019	embryonic/larval abdominal 1 intrasegmental apodeme 1	FBbt:00001021	embryonic/larval A1-7 intrasegmental apodeme 1	FBbt:00000022	abdominal segment 1	FBbt:00001748	larval abdominal segment 1
FBbt:00001020	embryonic/larval abdominal 1 intrasegmental apodeme 2	FBbt:00001028	embryonic/larval A1-7 intrasegmental apodeme 2	FBbt:00000022	abdominal segment 1	FBbt:00001748	larval abdominal segment 1
FBbt:00001022	embryonic/larval abdominal 2 intrasegmental apodeme 1	FBbt:00001021	embryonic/larval A1-7 intrasegmental apodeme 1	FBbt:00000023	abdominal segment 2	FBbt:00001749	larval abdominal segment 2
FBbt:00001023	embryonic/larval abdominal 3 intrasegmental apodeme 1	FBbt:00001021	embryonic/larval A1-7 intrasegmental apodeme 1	FBbt:00000024	abdominal segment 3	FBbt:00001750	larval abdominal segment 3
FBbt:00001024	embryonic/larval abdominal 4 intrasegmental apodeme 1	FBbt:00001021	embryonic/larval A1-7 intrasegmental apodeme 1	FBbt:00000025	abdominal segment 4	FBbt:00001751	larval abdominal segment 4
FBbt:00001025	embryonic/larval abdominal 5 intrasegmental apodeme 1	FBbt:00001021	embryonic/larval A1-7 intrasegmental apodeme 1	FBbt:00000026	abdominal segment 5	FBbt:00001752	larval abdominal segment 5
FBbt:00001026	embryonic/larval abdominal 6 intrasegmental apodeme 1	FBbt:00001021	embryonic/larval A1-7 intrasegmental apodeme 1	FBbt:00000027	abdominal segment 6	FBbt:00001753	larval abdominal segment 6
FBbt:00001027	embryonic/larval abdominal 7 intrasegmental apodeme 1	FBbt:00001021	embryonic/larval A1-7 intrasegmental apodeme 1	FBbt:00000028	abdominal segment 7	FBbt:00001754	larval abdominal segment 7
FBbt:00001029	embryonic/larval abdominal 2 intrasegmental apodeme 2	FBbt:00001028	embryonic/larval A1-7 intrasegmental apodeme 2	FBbt:00000023	abdominal segment 2	FBbt:00001749	larval abdominal segment 2
FBbt:00001030	embryonic/larval abdominal 3 intrasegmental apodeme 2	FBbt:00001028	embryonic/larval A1-7 intrasegmental apodeme 2	FBbt:00000024	abdominal segment 3	FBbt:00001750	larval abdominal segment 3
FBbt:00001031	embryonic/larval abdominal 4 intrasegmental apodeme 2	FBbt:00001028	embryonic/larval A1-7 intrasegmental apodeme 2	FBbt:00000025	abdominal segment 4	FBbt:00001751	larval abdominal segment 4
FBbt:00001032	embryonic/larval abdominal 5 intrasegmental apodeme 2	FBbt:00001028	embryonic/larval A1-7 intrasegmental apodeme 2	FBbt:00000026	abdominal segment 5	FBbt:00001752	larval abdominal segment 5
FBbt:00001033	embryonic/larval abdominal 6 intrasegmental apodeme 2	FBbt:00001028	embryonic/larval A1-7 intrasegmental apodeme 2	FBbt:00000027	abdominal segment 6	FBbt:00001753	larval abdominal segment 6
FBbt:00001034	embryonic/larval abdominal 7 intrasegmental apodeme 2	FBbt:00001028	embryonic/larval A1-7 intrasegmental apodeme 2	FBbt:00000028	abdominal segment 7	FBbt:00001754	larval abdominal segment 7
FBbt:00001067	embryonic deutocerebrum	FBbt:00052717	embryonic neuromere	FBbt:00000009	antennal segment	FBbt:00000160	embryonic antennal segment
FBbt:00001068	embryonic tritocerebrum	FBbt:00052717	embryonic neuromere	FBbt:00000010	intercalary segment	FBbt:00000161	embryonic intercalary segment
FBbt:00001084	embryonic labial neuromere	FBbt:00052717	embryonic neuromere	FBbt:00000014	labial segment	FBbt:00000165	embryonic labial segment
FBbt:00001085	embryonic maxillary neuromere	FBbt:00052717	embryonic neuromere	FBbt:00000013	maxillary segment	FBbt:00000164	embryonic maxillary segment
FBbt:00001086	embryonic mandibular neuromere	FBbt:00052717	embryonic neuromere	FBbt:00000012	mandibular segment	FBbt:00000163	embryonic mandibular segment
FBbt:00001088	embryonic thoracic neuromere	FBbt:00052717	embryonic neuromere	FBbt:00000016	thoracic segment	FBbt:00000167	embryonic thoracic segment
FBbt:00001089	embryonic prothoracic neuromere	FBbt:00052717	embryonic neuromere	FBbt:00000017	prothoracic segment	FBbt:00000168	embryonic prothoracic segment
FBbt:00001090	embryonic mesothoracic neuromere	FBbt:00052717	embryonic neuromere	FBbt:00000018	mesothoracic segment	FBbt:00000169	embryonic mesothoracic segment
FBbt:00001091	embryonic metathoracic neuromere	FBbt:00052717	embryonic neuromere	FBbt:00000019	metathoracic segment	FBbt:00000170	embryonic metathoracic segment
FBbt:00001092	embryonic abdominal neuromere	FBbt:00052717	embryonic neuromere	FBbt:00000021	abdominal segment	FBbt:00000172	embryonic abdominal segment
FBbt:00001093	embryonic abdominal 1 neuromere	FBbt:00052717	embryonic neuromere	FBbt:00000022	abdominal segment 1	FBbt:00000173	embryonic abdominal segment 1
FBbt:00001094	embryonic abdominal 2 neuromere	FBbt:00052717	embryonic neuromere	FBbt:00000023	abdominal segment 2	FBbt:00000174	embryonic abdominal segment 2
FBbt:00001095	embryonic abdominal 3 neuromere	FBbt:00052717	embryonic neuromere	FBbt:00000024	abdominal segment 3	FBbt:00000175	embryonic abdominal segment 3
FBbt:00001096	embryonic abdominal 4 neuromere	FBbt:00052717	embryonic neuromere	FBbt:00000025	abdominal segment 4	FBbt:00000176	embryonic abdominal segment 4
FBbt:00001097	embryonic abdominal 5 neuromere	FBbt:00052717	embryonic neuromere	FBbt:00000026	abdominal segment 5	FBbt:00000177	embryonic abdominal segment 5
FBbt:00001098	embryonic abdominal 6 neuromere	FBbt:00052717	embryonic neuromere	FBbt:00000027	abdominal segment 6	FBbt:00000178	embryonic abdominal segment 6
FBbt:00001099	embryonic abdominal 7 neuromere	FBbt:00052717	embryonic neuromere	FBbt:00000028	abdominal segment 7	FBbt:00000179	embryonic abdominal segment 7
FBbt:00001100	embryonic abdominal 8 neuromere	FBbt:00052717	embryonic neuromere	FBbt:00000029	abdominal segment 8	FBbt:00000180	embryonic abdominal segment 8
FBbt:00001101	embryonic abdominal 9 neuromere	FBbt:00052717	embryonic neuromere	FBbt:00000030	abdominal segment 9	FBbt:00000181	embryonic abdominal segment 9
FBbt:00001140	embryonic thoracic dorsal sensory organ precursor cluster	FBbt:00059182	embryonic dorsal sensory organ precursor cluster	FBbt:00000016	thoracic segment	FBbt:00000167	embryonic thoracic segment
FBbt:00001158	embryonic thoracic lateral sensory organ precursor cluster	FBbt:00059197	embryonic lateral sensory organ precursor cluster	FBbt:00000016	thoracic segment	FBbt:00000167	embryonic thoracic segment
FBbt:00001172	embryonic thoracic ventral sensory organ precursor cluster group	FBbt:00059198	embryonic ventral sensory organ precursor cluster group	FBbt:00000016	thoracic segment	FBbt:00000167	embryonic thoracic segment
FBbt:00001190	embryonic abdominal dorsal sensory organ precursor cluster	FBbt:00059182	embryonic dorsal sensory organ precursor cluster	FBbt:00000021	abdominal segment	FBbt:00000172	embryonic abdominal segment
FBbt:00001204	embryonic abdominal lateral sensory organ precursor cluster	FBbt:00059197	embryonic lateral sensory organ precursor cluster	FBbt:00000021	abdominal segment	FBbt:00000172	embryonic abdominal segment
FBbt:00001220	embryonic abdominal ventral sensory organ precursor cluster group	FBbt:00059198	embryonic ventral sensory organ precursor cluster group	FBbt:00000021	abdominal segment	FBbt:00000172	embryonic abdominal segment
FBbt:00001654	dorsal prothoracic disc primordium	FBbt:00001653	dorsal thoracic disc primordium	FBbt:00000017	prothoracic segment	FBbt:00000168	embryonic prothoracic segment
FBbt:00001655	dorsal mesothoracic disc primordium	FBbt:00001653	dorsal thoracic disc primordium	FBbt:00000018	mesothoracic segment	FBbt:00000169	embryonic mesothoracic segment
FBbt:00001656	dorsal metathoracic disc primordium	FBbt:00001653	dorsal thoracic disc primordium	FBbt:00000019	metathoracic segment	FBbt:00000170	embryonic metathoracic segment
FBbt:00001658	ventral prothoracic disc primordium	FBbt:00001657	ventral thoracic disc primordium	FBbt:00000017	prothoracic segment	FBbt:00000168	embryonic prothoracic segment
FBbt:00001659	ventral mesothoracic disc primordium	FBbt:00001657	ventral thoracic disc primordium	FBbt:00000018	mesothoracic segment	FBbt:00000169	embryonic mesothoracic segment
FBbt:00001660	ventral metathoracic disc primordium	FBbt:00001657	ventral thoracic disc primordium	FBbt:00000019	metathoracic segment	FBbt:00000170	embryonic metathoracic segment
FBbt:00001696	abdominal 1 larval oenocyte group	FBbt:00001695	abdominal larval oenocyte group	FBbt:00000022	abdominal segment 1	FBbt:00001748	larval abdominal segment 1
FBbt:00001697	abdominal 2 larval oenocyte group	FBbt:00001695	abdominal larval oenocyte group	FBbt:00000023	abdominal segment 2	FBbt:00001749	larval abdominal segment 2
FBbt:00001698	abdominal 3 larval oenocyte group	FBbt:00001695	abdominal larval oenocyte group	FBbt:00000024	abdominal segment 3	FBbt:00001750	larval abdominal segment 3
FBbt:00001699	abdominal 4 larval oenocyte group	FBbt:00001695	abdominal larval oenocyte group	FBbt:00000025	abdominal segment 4	FBbt:00001751	larval abdominal segment 4
FBbt:00001700	abdominal 5 larval oenocyte group	FBbt:00001695	abdominal larval oenocyte group	FBbt:00000026	abdominal segment 5	FBbt:00001752	larval abdominal segment 5
FBbt:00001701	abdominal 6 larval oenocyte group	FBbt:00001695	abdominal larval oenocyte group	FBbt:00000027	abdominal segment 6	FBbt:00001753	larval abdominal segment 6
FBbt:00001702	abdominal 7 larval oenocyte group	FBbt:00001695	abdominal larval oenocyte group	FBbt:00000028	abdominal segment 7	FBbt:00001754	larval abdominal segment 7
FBbt:00001777	humeral disc	FBbt:00001776	dorsal thoracic disc	FBbt:00000017	prothoracic segment	FBbt:00001743	larval prothoracic segment
FBbt:00001778	wing disc	FBbt:00001776	dorsal thoracic disc	FBbt:00000018	mesothoracic segment	FBbt:00001744	larval mesothoracic segment
FBbt:00001779	haltere disc	FBbt:00001776	dorsal thoracic disc	FBbt:00000019	metathoracic segment	FBbt:00001745	larval metathoracic segment
FBbt:00001781	prothoracic leg disc	FBbt:00001780	leg disc	FBbt:00000017	prothoracic segment	FBbt:00001743	larval prothoracic segment
FBbt:00001782	mesothoracic leg disc	FBbt:00001780	leg disc	FBbt:00000018	mesothoracic segment	FBbt:00001744	larval mesothoracic segment
FBbt:00001783	metathoracic leg disc	FBbt:00001780	leg disc	FBbt:00000019	metathoracic segment	FBbt:00001745	larval metathoracic segment
FBbt:00001794	anterior dorsal histoblast nest abdominal 1	FBbt:00001792	anterior dorsal histoblast nest abdominal	FBbt:00000022	abdominal segment 1	FBbt:00001748	larval abdominal segment 1
FBbt:00001795	small cell associated with anterior dorsal histoblasts abdominal 1	FBbt:00001793	small cell associated with anterior dorsal histoblasts abdominal	FBbt:00000022	abdominal segment 1	FBbt:00001748	larval abdominal segment 1
FBbt:00001796	anterior dorsal histoblast nest abdominal 2	FBbt:00001792	anterior dorsal histoblast nest abdominal	FBbt:00000023	abdominal segment 2	FBbt:00001749	larval abdominal segment 2
