defined_class	defined_class_label	parent	parent_label	stage	stage_label	partonomy	partonomy_label	def_xrefs
FBbt:00000168	embryonic prothoracic segment	FBbt:00000017	prothoracic segment	FBbt:00000052	embryo	FBbt:00000166	embryonic thorax	
FBbt:00000169	embryonic mesothoracic segment	FBbt:00000018	mesothoracic segment	FBbt:00000052	embryo	FBbt:00000166	embryonic thorax	
FBbt:00000170	embryonic metathoracic segment	FBbt:00000019	metathoracic segment	FBbt:00000052	embryo	FBbt:00000166	embryonic thorax	
FBbt:00000171	embryonic abdomen	FBbt:00000020	abdomen	FBbt:00000052	embryo	FBbt:00000052	embryo	
FBbt:00000172	embryonic abdominal segment	FBbt:00000021	abdominal segment	FBbt:00000052	embryo	FBbt:00000171	embryonic abdomen	
FBbt:00000185	larval tracheal system	FBbt:00005024	tracheal system	FBbt:00001727	larva	FBbt:00001727	larva	
FBbt:00000211	embryonic/larval tracheal section	FBbt:00005043	tracheal section	FBbt:00001727	larva	FBbt:00000185	larval tracheal system	
FBbt:00000406	embryonic/larval spiracle	FBbt:00005054	spiracle	FBbt:00001727	larva	FBbt:00000185	larval tracheal system	
FBbt:00000462	larval muscle system	FBbt:00005069	muscle system	FBbt:00001727	larva	FBbt:00001727	larva	
FBbt:00001005	larval apodeme	FBbt:00005091	apodeme	FBbt:00001727	larva	FBbt:00005393	larval integumentary system	
FBbt:00001035	larval visceral muscle cell	FBbt:00005070	visceral muscle cell	FBbt:00001727	larva	FBbt:00000462	larval muscle system	
FBbt:00001048	embryonic/larval contractile cardiomyocyte	FBbt:00058241	contractile cardiomyocyte	FBbt:00001727	larva	FBbt:00001664	larval circulatory system	
FBbt:00001104	larval ventral nerve cord commissure	FBbt:00049998	ventral nerve cord commissure	FBbt:00001727	larva	FBbt:00001102	larval ventral nerve cord	
FBbt:00001244	embryonic glioblast	FBbt:00005145	glioblast	FBbt:00000052	embryo	FBbt:00001055	presumptive embryonic/larval nervous system	
FBbt:00001251	larval glial cell	FBbt:00005144	glial cell	FBbt:00001727	larva	FBbt:00001911	larval nervous system	
FBbt:00001446	larval neuron	FBbt:00005106	neuron	FBbt:00001727	larva	FBbt:00001911	larval nervous system	
FBbt:00001648	embryonic imaginal tissue	FBbt:00047552	imaginal tissue	FBbt:00000052	embryo	FBbt:00000052	embryo	
FBbt:00001664	larval circulatory system	FBbt:00005057	circulatory system	FBbt:00001727	larva	FBbt:00001727	larva	
FBbt:00001667	larval pericardial cell	FBbt:00005058	pericardial cell	FBbt:00001727	larva	FBbt:00001664	larval circulatory system	
FBbt:00001673	embryonic/larval dorsal vessel	FBbt:00058291	dorsal vessel	FBbt:00001727	larva	FBbt:00001664	larval circulatory system	
FBbt:00001677	embryonic/larval ostium	FBbt:00005385	ostium	FBbt:00001727	larva	FBbt:00001673	embryonic/larval dorsal vessel	
FBbt:00001684	embryonic/larval hemocyte	FBbt:00005063	hemocyte	FBbt:00001727	larva	FBbt:00001664	larval circulatory system	
FBbt:00001685	embryonic/larval plasmatocyte	FBbt:00058145	plasmatocyte	FBbt:00001727	larva	FBbt:00001664	larval circulatory system	
FBbt:00001690	embryonic/larval crystal cell	FBbt:00058147	crystal cell	FBbt:00001727	larva	FBbt:00001664	larval circulatory system	
FBbt:00001693	embryonic/larval garland cell	FBbt:00005059	garland cell	FBbt:00001727	larva	FBbt:00001692	embryonic/larval garland organ	
FBbt:00001703	larval adipose system	FBbt:00005065	adipose system	FBbt:00001727	larva	FBbt:00001727	larva	
FBbt:00001704	embryonic/larval fat body	FBbt:00005066	fat body	FBbt:00001727	larva	FBbt:00001703	larval adipose system	
FBbt:00001715	larval endocrine system	FBbt:00005068	endocrine system	FBbt:00001727	larva	FBbt:00001727	larva	
FBbt:00001758	larval abdominal segment 11	FBbt:00000032	abdominal segment 11	FBbt:00001727	larva	FBbt:00001759	larval telson	
FBbt:00001760	larval imaginal tissue	FBbt:00047552	imaginal tissue	FBbt:00001727	larva	FBbt:00001727	larva	
FBbt:00001899	embryonic/larval Malpighian tubule segment	FBbt:00005789	Malpighian tubule segment	FBbt:00001727	larva	FBbt:00001896	embryonic/larval Malpighian tubule	
FBbt:00001900	embryonic/larval initial segment of Malpighian tubule	FBbt:00005790	initial segment of Malpighian tubule	FBbt:00001727	larva	FBbt:00001896	embryonic/larval Malpighian tubule	
FBbt:00001901	larval transitional segment of Malpighian tubule	FBbt:00005791	transitional segment of Malpighian tubule	FBbt:00001727	larva	FBbt:00001896	embryonic/larval Malpighian tubule	
FBbt:00001902	embryonic/larval main segment of Malpighian tubule	FBbt:00005792	main segment of Malpighian tubule	FBbt:00001727	larva	FBbt:00001896	embryonic/larval Malpighian tubule	
FBbt:00001903	embryonic/larval ureter	FBbt:00005793	ureter	FBbt:00001727	larva	FBbt:00001896	embryonic/larval Malpighian tubule	
FBbt:00001904	embryonic/larval specialized Malpighian tubule cell	FBbt:00005794	specialized Malpighian tubule cell	FBbt:00001727	larva	FBbt:00001896	embryonic/larval Malpighian tubule	
FBbt:00001905	embryonic/larval Malpighian tubule tip cell	FBbt:00005795	Malpighian tubule tip cell	FBbt:00001727	larva	FBbt:00001896	embryonic/larval Malpighian tubule	
FBbt:00001906	embryonic/larval Malpighian tubule Type I cell	FBbt:00005796	Malpighian tubule Type I cell	FBbt:00001727	larva	FBbt:00001896	embryonic/larval Malpighian tubule	
