defined_class	defined_class_label	parent	parent_label	stage	stage_label	partonomy	partonomy_label
FBbt:00001060	embryonic brain	FBbt:00005095	brain	FBbt:00000052	embryo	FBbt:00001056	presumptive embryonic/larval central nervous system
FBbt:00001066	embryonic protocerebrum	FBbt:00003627	protocerebrum	FBbt:00000052	embryo	FBbt:00001060	embryonic brain
FBbt:00002954	pupal tracheal system	FBbt:00005024	tracheal system	FBbt:00002953	pupa	FBbt:00002953	pupa
FBbt:00002956	pupal tracheal section	FBbt:00005043	tracheal section	FBbt:00002953	pupa	FBbt:00002954	pupal tracheal system
FBbt:00002996	pupal spiracle	FBbt:00005054	spiracle	FBbt:00002953	pupa	FBbt:00002954	pupal tracheal system
FBbt:00005389	pupal tagma	FBbt:00000002	tagma	FBbt:00002953	pupa	FBbt:00002953	pupa
FBbt:00005390	pupal thorax	FBbt:00000015|FBbt:00005389	thorax|pupal tagma	FBbt:00002953	pupa	FBbt:00002953	pupa
FBbt:00005391	pupal abdomen	FBbt:00000020|FBbt:00005389	abdomen|pupal tagma	FBbt:00002953	pupa	FBbt:00002953	pupa
FBbt:00005394	prepupal integumentary system	FBbt:00004969	integumentary system	FBbt:00002952	prepupa	FBbt:00002952	prepupa
FBbt:00005395	pupal integumentary system	FBbt:00004969	integumentary system	FBbt:00002953	pupa	FBbt:00002953	pupa
FBbt:00005637	embryonic Malpighian tubule segment	FBbt:00005789	Malpighian tubule segment	FBbt:00000052	embryo	FBbt:00005634	embryonic Malpighian tubule
FBbt:00005638	embryonic initial segment of Malpighian tubule	FBbt:00005790|FBbt:00005637	initial segment of Malpighian tubule|embryonic Malpighian tubule segment	FBbt:00000052	embryo	FBbt:00005634	embryonic Malpighian tubule
FBbt:00005639	embryonic transitional segment of Malpighian tubule	FBbt:00005791|FBbt:00005637	transitional segment of Malpighian tubule|embryonic Malpighian tubule segment	FBbt:00000052	embryo	FBbt:00005634	embryonic Malpighian tubule
FBbt:00005640	embryonic main segment of Malpighian tubule	FBbt:00005792|FBbt:00005637	main segment of Malpighian tubule|embryonic Malpighian tubule segment	FBbt:00000052	embryo	FBbt:00005634	embryonic Malpighian tubule
FBbt:00005641	embryonic ureter	FBbt:00005793|FBbt:00005637	ureter|embryonic Malpighian tubule segment	FBbt:00000052	embryo	FBbt:00005634	embryonic Malpighian tubule
FBbt:00005642	embryonic specialized Malpighian tubule cell	FBbt:00005794	specialized Malpighian tubule cell	FBbt:00000052	embryo	FBbt:00005634	embryonic Malpighian tubule
FBbt:00005643	embryonic Malpighian tubule tip cell	FBbt:00005795|FBbt:00005642	Malpighian tubule tip cell|embryonic specialized Malpighian tubule cell	FBbt:00000052	embryo	FBbt:00005634	embryonic Malpighian tubule
FBbt:00005644	embryonic Malpighian tubule Type I cell	FBbt:00005796|FBbt:00005642	Malpighian tubule Type I cell|embryonic specialized Malpighian tubule cell	FBbt:00000052	embryo	FBbt:00005634	embryonic Malpighian tubule
FBbt:00005645	embryonic Malpighian tubule Type II cell	FBbt:00005797|FBbt:00005642	Malpighian tubule Type II cell|embryonic specialized Malpighian tubule cell	FBbt:00000052	embryo	FBbt:00005634	embryonic Malpighian tubule
FBbt:00005653	embryonic visceral muscle cell	FBbt:00005070	visceral muscle cell	FBbt:00000052	embryo	FBbt:00005647	presumptive embryonic/larval muscle system
FBbt:00005678	embryonic pericardial cell	FBbt:00005058	pericardial cell	FBbt:00000052	embryo	FBbt:00005676	presumptive embryonic/larval circulatory system
FBbt:00005704	embryonic garland cell	FBbt:00005059	garland cell	FBbt:00000052	embryo	FBbt:00005676	presumptive embryonic/larval circulatory system
FBbt:00047100	embryonic lower segment of Malpighian tubule	FBbt:00047098|FBbt:00005637	lower segment of Malpighian tubule|embryonic Malpighian tubule segment	FBbt:00000052	embryo	FBbt:00005634	embryonic Malpighian tubule
FBbt:00052034	pupal procuticle	FBbt:00004975	procuticle	FBbt:00002953	pupa	FBbt:00005395	pupal integumentary system
FBbt:00052369	embryonic glial cell	FBbt:00005144	glial cell	FBbt:00000052	embryo	FBbt:00001055	presumptive embryonic/larval nervous system
FBbt:00052717	embryonic neuromere	FBbt:00005140	neuromere	FBbt:00000052	embryo	FBbt:00000154|FBbt:00001055	embryonic segment|presumptive embryonic/larval nervous system
FBbt:00059033	embryonic somatic muscle	FBbt:00058111	somatic muscle	FBbt:00000052	embryo	FBbt:00005518	somatic muscle primordium
FBbt:00100165	pupal pacemaker neuron	FBbt:00006048	pacemaker neuron	FBbt:00002953	pupa	FBbt:00110192	pupal nervous system
FBbt:00100172	pupal Pdf neuron	FBbt:00003761	Pdf neuron	FBbt:00002953	pupa	FBbt:00110192	pupal nervous system
FBbt:00110192	pupal nervous system	FBbt:00005093	nervous system	FBbt:00002953	pupa	FBbt:00002953	pupa
FBbt:00110193	pupal central nervous system	FBbt:00005094	central nervous system	FBbt:00002953	pupa	FBbt:00110192	pupal nervous system
FBbt:00110194	pupal brain	FBbt:00005095	brain	FBbt:00002953	pupa	FBbt:00110193	pupal central nervous system
FBbt:00110863	embryonic Malpighian tubule tiny cell	FBbt:00110861|FBbt:00005642	Malpighian tubule tiny cell|embryonic specialized Malpighian tubule cell	FBbt:00000052	embryo	FBbt:00005634	embryonic Malpighian tubule
