defined_class	defined_class_label	cell_type	cell_type_label	location	location_label
FBbt:00053269	adult leg muscle tendon cell	FBbt:00005090	tendon cell	FBbt:00053096	adult leg muscle
FBbt:00053270	adult flight muscle tendon cell	FBbt:00005090	tendon cell	FBbt:00058881	flight muscle
FBbt:00059331	adult proventriculus zone 1 epithelial cell	FBbt:00000124	epithelial cell	FBbt:00059324	adult proventriculus epithelial zone 1
FBbt:00059332	adult proventriculus zone 2 epithelial cell	FBbt:00000124	epithelial cell	FBbt:00059325	adult proventriculus epithelial zone 2
FBbt:00059333	adult proventriculus zone 3 epithelial cell	FBbt:00000124	epithelial cell	FBbt:00059326	adult proventriculus epithelial zone 3
FBbt:00059334	adult proventriculus zone 4 epithelial cell	FBbt:00000124	epithelial cell	FBbt:00059327	adult proventriculus epithelial zone 4
FBbt:00059335	adult proventriculus zone 5 epithelial cell	FBbt:00000124	epithelial cell	FBbt:00059328	adult proventriculus epithelial zone 5
FBbt:00059336	adult proventriculus zone 5.5 epithelial cell	FBbt:00000124	epithelial cell	FBbt:00059329	adult proventriculus epithelial zone 5.5
FBbt:00059337	adult proventriculus zone 6 epithelial cell	FBbt:00000124	epithelial cell	FBbt:00059330	adult proventriculus epithelial zone 6
FBbt:00059356	larval foregut epithelial cell	FBbt:00000124	epithelial cell	FBbt:00001862	embryonic/larval foregut
FBbt:00059357	larval hindgut epithelial cell	FBbt:00000124	epithelial cell	FBbt:00001891	embryonic/larval hindgut
