defined_class	defined_class_label	cell_type	cell_type_label	neuroblast	neuroblast_label	notch	notch_label
FBbt:00001458	lineage NB1-1 primary interneuron	FBbt:00052517	primary interneuron	FBbt:00001371	neuroblast NB1-1		
FBbt:00001461	lineage NB1-2 primary interneuron	FBbt:00052517	primary interneuron	FBbt:00001384	neuroblast NB1-2		
FBbt:00001466	lineage NB2-1 primary interneuron	FBbt:00052517	primary interneuron	FBbt:00001410	neuroblast NB2-1		
FBbt:00001469	lineage NB2-2 primary interneuron	FBbt:00052517	primary interneuron	FBbt:00001385	neuroblast NB2-2		
FBbt:00001472	lineage NB2-4 primary interneuron	FBbt:00052517	primary interneuron	FBbt:00001411	neuroblast NB2-4		
FBbt:00001475	lineage NB2-5 primary interneuron	FBbt:00052517	primary interneuron	FBbt:00001374	neuroblast NB2-5		
FBbt:00001479	lineage NB3-1 primary interneuron	FBbt:00052517	primary interneuron	FBbt:00001394	neuroblast NB3-1		
FBbt:00001482	lineage NB3-2 primary interneuron	FBbt:00052517	primary interneuron	FBbt:00001388	neuroblast NB3-2		
FBbt:00001483	lineage NB3-3 primary interneuron	FBbt:00052517	primary interneuron	FBbt:00001422	neuroblast NB3-3		
FBbt:00001486	lineage NB3-5 primary interneuron	FBbt:00052517	primary interneuron	FBbt:00001375	neuroblast NB3-5		
FBbt:00001489	lineage NB4-1 primary interneuron	FBbt:00052517	primary interneuron	FBbt:00001397	neuroblast NB4-1		
FBbt:00001493	lineage NB4-2 primary interneuron	FBbt:00052517	primary interneuron	FBbt:00001389	neuroblast NB4-2		
FBbt:00001494	lineage NB4-4 primary interneuron	FBbt:00052517	primary interneuron	FBbt:00001415	neuroblast NB4-4		
FBbt:00001495	lineage NB5-1 interneuron	FBbt:00005125	interneuron	FBbt:00001424	neuroblast NB5-1		
FBbt:00001496	lineage NB5-2 primary interneuron	FBbt:00052517	primary interneuron	FBbt:00001376	neuroblast NB5-2		
FBbt:00001500	lineage NB5-3 primary interneuron	FBbt:00052517	primary interneuron	FBbt:00001390	neuroblast NB5-3		
FBbt:00001503	lineage NB5-6 primary interneuron	FBbt:00052517	primary interneuron	FBbt:00001377	neuroblast NB5-6		
FBbt:00001510	lineage NB6-1 primary interneuron	FBbt:00052517	primary interneuron	FBbt:00001398	neuroblast NB6-1		
FBbt:00001513	lineage NB6-2 primary interneuron	FBbt:00052517	primary interneuron	FBbt:00001391	neuroblast NB6-2		
FBbt:00001517	lineage NB6-4 primary interneuron	FBbt:00005125	interneuron	FBbt:00001399	neuroblast NB6-4		
FBbt:00001520	lineage NB7-1 primary interneuron	FBbt:00052517	primary interneuron	FBbt:00001380	neuroblast NB7-1		
FBbt:00001523	lineage NB7-2 primary interneuron	FBbt:00052517	primary interneuron	FBbt:00001392	neuroblast NB7-2		
FBbt:00001527	lineage NB7-4 primary interneuron	FBbt:00052517	primary interneuron	FBbt:00001381	neuroblast NB7-4		
FBbt:00001538	lineage NB2-2 primary motor neuron	FBbt:00052518	primary motor neuron	FBbt:00001385	neuroblast NB2-2		
FBbt:00001546	lineage NB2-5 primary motor neuron	FBbt:00052518	primary motor neuron	FBbt:00001374	neuroblast NB2-5		
FBbt:00001547	lineage NB3-2 primary motor neuron	FBbt:00052518	primary motor neuron	FBbt:00001388	neuroblast NB3-2		
FBbt:00001558	lineage NB7-1 primary motor neuron	FBbt:00052518	primary motor neuron	FBbt:00001380	neuroblast NB7-1		
FBbt:00001582	larval EW neuron	FBbt:00052047	larval interneuron	FBbt:00001426	neuroblast NB7-3		
FBbt:00007387	uniglomerular antennal lobe projection neuron vPN	FBbt:00007383	uniglomerular antennal lobe projection neuron	FBbt:00067348	neuroblast ALv1		
FBbt:00007393	adult local interneuron of the ventral ALv2 neuroblast	FBbt:00007390	local interneuron of adult antennal lobe	FBbt:00050035	neuroblast ALv2		
FBbt:00007394	adult local interneuron of the lateral ALl1 neuroblast	FBbt:00007390	local interneuron of adult antennal lobe	FBbt:00067347	neuroblast ALl1		
FBbt:00007414	adult multiglomerular antennal lobe projection neuron vPN	FBbt:00007441	adult multiglomerular antennal lobe projection neuron	FBbt:00067348	neuroblast ALv1		
FBbt:00007437	adult antennal lobe projection neuron vPN	FBbt:00067123	adult antennal lobe projection neuron	FBbt:00067348	neuroblast ALv1		
FBbt:00007438	adult antennal lobe projection neuron adPN	FBbt:00067123	adult antennal lobe projection neuron	FBbt:00067346	neuroblast ALad1		
FBbt:00007439	adult antennal lobe projection neuron lPN	FBbt:00067123	adult antennal lobe projection neuron	FBbt:00067347	neuroblast ALl1	FBbt:00049540	Notch OFF hemilineage neuron
FBbt:00007507	adult ellipsoid body R-neuron	FBbt:00003649	adult ellipsoid body ring neuron	FBbt:00050136	neuroblast DALv2		
FBbt:00007678	lineage NB3-1 primary motor neuron	FBbt:00052518	primary motor neuron	FBbt:00001394	neuroblast NB3-1		
FBbt:00011534	lineage NB1-1 primary motor neuron	FBbt:00052518	primary motor neuron	FBbt:00001371	neuroblast NB1-1		
FBbt:00047312	adult uniglomerular antennal lobe projection neuron lPN	FBbt:00007440	adult uniglomerular antennal lobe projection neuron	FBbt:00067347	neuroblast ALl1	FBbt:00049540	Notch OFF hemilineage neuron
FBbt:00049778	adult multiglomerular antennal lobe projection neuron lPN	FBbt:00007441	adult multiglomerular antennal lobe projection neuron	FBbt:00067347	neuroblast ALl1	FBbt:00049540	Notch OFF hemilineage neuron
FBbt:00049779	adult multiglomerular antennal lobe projection neuron lvPN	FBbt:00007441	adult multiglomerular antennal lobe projection neuron	FBbt:00050038	neuroblast ALlv1		
FBbt:00049783	adult uniglomerular antennal lobe projection neuron vPN	FBbt:00007440	adult uniglomerular antennal lobe projection neuron	FBbt:00067348	neuroblast ALv1		
FBbt:00049785	adult antennal lobe projection neuron lvPN	FBbt:00067123	adult antennal lobe projection neuron	FBbt:00050038	neuroblast ALlv1		
FBbt:00049786	adult uniglomerular antennal lobe projection neuron lvPN	FBbt:00007440	adult uniglomerular antennal lobe projection neuron	FBbt:00050038	neuroblast ALlv1		
FBbt:00049910	adult multiglomerular antennal lobe projection neuron l2PN	FBbt:00007441	adult multiglomerular antennal lobe projection neuron	FBbt:00067347	neuroblast ALl1	FBbt:00049539	Notch ON hemilineage neuron
FBbt:00049913	adult uniglomerular antennal lobe projection neuron l2PN	FBbt:00007440	adult uniglomerular antennal lobe projection neuron	FBbt:00067347	neuroblast ALl1	FBbt:00049539	Notch ON hemilineage neuron
FBbt:00049914	adult antennal lobe projection neuron l2PN	FBbt:00067123	adult antennal lobe projection neuron	FBbt:00067347	neuroblast ALl1	FBbt:00049539	Notch ON hemilineage neuron
FBbt:00051072	adult local interneuron of the ventral ALv1 neuroblast	FBbt:00007390	local interneuron of adult antennal lobe	FBbt:00067348	neuroblast ALv1		
FBbt:00051452	larval DALcl1 tubercle-bulb neuron precursor	FBbt:00051451	larval tubercle-bulb neuron precursor	FBbt:00100545	neuroblast DALcl1		
FBbt:00051453	larval DALcl2 tubercle-bulb neuron precursor	FBbt:00051451	larval tubercle-bulb neuron precursor	FBbt:00100546	neuroblast DALcl2		
FBbt:00051501	adult antennal lobe local neuron l2LN	FBbt:00007390	local interneuron of adult antennal lobe	FBbt:00067347	neuroblast ALl1	FBbt:00049539	Notch ON hemilineage neuron
FBbt:00051502	adult antennal lobe local neuron lLN	FBbt:00007390	local interneuron of adult antennal lobe	FBbt:00067347	neuroblast ALl1	FBbt:00049540	Notch OFF hemilineage neuron
FBbt:00067349	antennal lobe projection neuron adPN	FBbt:00007422	antennal lobe projection neuron	FBbt:00067346	neuroblast ALad1		
FBbt:00067351	antennal lobe projection neuron vPN	FBbt:00007422	antennal lobe projection neuron	FBbt:00067348	neuroblast ALv1		
FBbt:00067362	antennal lobe projection neuron of ALl1 lineage	FBbt:00007422	antennal lobe projection neuron	FBbt:00067347	neuroblast ALl1		
FBbt:00100368	adult uniglomerular antennal lobe projection neuron adPN	FBbt:00007440	adult uniglomerular antennal lobe projection neuron	FBbt:00067346	neuroblast ALad1		
FBbt:00100369	adult multiglomerular antennal lobe projection neuron adPN	FBbt:00007441	adult multiglomerular antennal lobe projection neuron	FBbt:00067346	neuroblast ALad1		
FBbt:00110181	larval VUM motor neuron	FBbt:00007675	embryonic/larval motor neuron	FBbt:00001428	VUM precursor		
FBbt:00110182	larval VUM interneuron	FBbt:00052047	larval interneuron	FBbt:00001428	VUM precursor		
FBbt:00111616	lineage MNB primary interneuron	FBbt:00052517	primary interneuron	FBbt:00001419	neuroblast MNB		
