defined_class	defined_class_label	parent	parent_label	region_1	region_1_label	region_2	region_2_label
FBbt:00007699	dorsomedial domain of larval abdominal neuromere	FBbt:00051071	neuromeric subdivision of longitudinal domain of CNS	FBbt:00007708	dorsomedial domain of larval central nervous system	FBbt:00001747	larval abdominal segment
FBbt:00007717	central domain of larval tritocerebrum	FBbt:00051071	neuromeric subdivision of longitudinal domain of CNS	FBbt:00007709	central domain of larval central nervous system	FBbt:00001962	larval tritocerebrum
FBbt:00007718	centromedial domain of larval tritocerebrum	FBbt:00051071	neuromeric subdivision of longitudinal domain of CNS	FBbt:00007703	centromedial domain of larval central nervous system	FBbt:00001962	larval tritocerebrum
FBbt:00007720	ventromedial domain of larval tritocerebrum	FBbt:00051071	neuromeric subdivision of longitudinal domain of CNS	FBbt:00007706	ventromedial domain of larval central nervous system	FBbt:00001962	larval tritocerebrum
FBbt:00015000	centrolateral domain of larval T2 neuromere	FBbt:00051071	neuromeric subdivision of longitudinal domain of CNS	FBbt:00007704	centrolateral domain of larval central nervous system	FBbt:00111031	larval mesothoracic neuromere
FBbt:00015001	centromedial domain of larval T2 neuromere	FBbt:00051071	neuromeric subdivision of longitudinal domain of CNS	FBbt:00007703	centromedial domain of larval central nervous system	FBbt:00111031	larval mesothoracic neuromere
FBbt:00015002	dorsolateral domain of larval T2 neuromere	FBbt:00051071	neuromeric subdivision of longitudinal domain of CNS	FBbt:00007707	dorsolateral domain of larval central nervous system	FBbt:00111031	larval mesothoracic neuromere
FBbt:00015003	dorsomedial domain of larval T2 neuromere	FBbt:00051071	neuromeric subdivision of longitudinal domain of CNS	FBbt:00007708	dorsomedial domain of larval central nervous system	FBbt:00111031	larval mesothoracic neuromere
FBbt:00015004	ventrolateral domain of larval T2 neuromere	FBbt:00051071	neuromeric subdivision of longitudinal domain of CNS	FBbt:00007705	ventrolateral domain of larval central nervous system	FBbt:00111031	larval mesothoracic neuromere
FBbt:00015005	ventromedial domain of larval T2 neuromere	FBbt:00051071	neuromeric subdivision of longitudinal domain of CNS	FBbt:00007706	ventromedial domain of larval central nervous system	FBbt:00111031	larval mesothoracic neuromere
FBbt:00015006	central domain of larval T2 neuromere	FBbt:00051071	neuromeric subdivision of longitudinal domain of CNS	FBbt:00007709	central domain of larval central nervous system	FBbt:00111031	larval mesothoracic neuromere
FBbt:00015007	centrolateral domain of larval T3 neuromere	FBbt:00051071	neuromeric subdivision of longitudinal domain of CNS	FBbt:00007704	centrolateral domain of larval central nervous system	FBbt:00111032	larval metathoracic neuromere
FBbt:00015008	centromedial domain of larval T3 neuromere	FBbt:00051071	neuromeric subdivision of longitudinal domain of CNS	FBbt:00007703	centromedial domain of larval central nervous system	FBbt:00111032	larval metathoracic neuromere
FBbt:00015009	dorsolateral domain of larval T3 neuromere	FBbt:00051071	neuromeric subdivision of longitudinal domain of CNS	FBbt:00007707	dorsolateral domain of larval central nervous system	FBbt:00111032	larval metathoracic neuromere
FBbt:00015010	dorsomedial domain of larval T3 neuromere	FBbt:00051071	neuromeric subdivision of longitudinal domain of CNS	FBbt:00007708	dorsomedial domain of larval central nervous system	FBbt:00111032	larval metathoracic neuromere
FBbt:00015011	ventrolateral domain of larval T3 neuromere	FBbt:00051071	neuromeric subdivision of longitudinal domain of CNS	FBbt:00007705	ventrolateral domain of larval central nervous system	FBbt:00111032	larval metathoracic neuromere
FBbt:00015012	ventromedial domain of larval T3 neuromere	FBbt:00051071	neuromeric subdivision of longitudinal domain of CNS	FBbt:00007706	ventromedial domain of larval central nervous system	FBbt:00111032	larval metathoracic neuromere
FBbt:00015013	central domain of larval T3 neuromere	FBbt:00051071	neuromeric subdivision of longitudinal domain of CNS	FBbt:00007709	central domain of larval central nervous system	FBbt:00111032	larval metathoracic neuromere
FBbt:00015014	centrolateral domain of larval T1 neuromere	FBbt:00051071	neuromeric subdivision of longitudinal domain of CNS	FBbt:00007704	centrolateral domain of larval central nervous system	FBbt:00111030	larval prothoracic neuromere
FBbt:00015015	centromedial domain of larval T1 neuromere	FBbt:00051071	neuromeric subdivision of longitudinal domain of CNS	FBbt:00007703	centromedial domain of larval central nervous system	FBbt:00111030	larval prothoracic neuromere
FBbt:00015016	dorsolateral domain of larval T1 neuromere	FBbt:00051071	neuromeric subdivision of longitudinal domain of CNS	FBbt:00007707	dorsolateral domain of larval central nervous system	FBbt:00111030	larval prothoracic neuromere
FBbt:00015017	dorsomedial domain of larval T1 neuromere	FBbt:00051071	neuromeric subdivision of longitudinal domain of CNS	FBbt:00007708	dorsomedial domain of larval central nervous system	FBbt:00111030	larval prothoracic neuromere
FBbt:00015018	ventrolateral domain of larval T1 neuromere	FBbt:00051071	neuromeric subdivision of longitudinal domain of CNS	FBbt:00007705	ventrolateral domain of larval central nervous system	FBbt:00111030	larval prothoracic neuromere
FBbt:00015019	ventromedial domain of larval T1 neuromere	FBbt:00051071	neuromeric subdivision of longitudinal domain of CNS	FBbt:00007706	ventromedial domain of larval central nervous system	FBbt:00111030	larval prothoracic neuromere
FBbt:00015020	central domain of larval T1 neuromere	FBbt:00051071	neuromeric subdivision of longitudinal domain of CNS	FBbt:00007709	central domain of larval central nervous system	FBbt:00111030	larval prothoracic neuromere
FBbt:00015021	centrolateral domain of larval labial neuromere	FBbt:00051071	neuromeric subdivision of longitudinal domain of CNS	FBbt:00007704	centrolateral domain of larval central nervous system	FBbt:00001974	larval labial neuromere
FBbt:00015022	centromedial domain of larval labial neuromere	FBbt:00051071	neuromeric subdivision of longitudinal domain of CNS	FBbt:00007703	centromedial domain of larval central nervous system	FBbt:00001974	larval labial neuromere
FBbt:00015023	dorsolateral domain of larval labial neuromere	FBbt:00051071	neuromeric subdivision of longitudinal domain of CNS	FBbt:00007707	dorsolateral domain of larval central nervous system	FBbt:00001974	larval labial neuromere
FBbt:00015024	dorsomedial domain of larval labial neuromere	FBbt:00051071	neuromeric subdivision of longitudinal domain of CNS	FBbt:00007708	dorsomedial domain of larval central nervous system	FBbt:00001974	larval labial neuromere
FBbt:00015025	ventrolateral domain of larval labial neuromere	FBbt:00051071	neuromeric subdivision of longitudinal domain of CNS	FBbt:00007705	ventrolateral domain of larval central nervous system	FBbt:00001974	larval labial neuromere
FBbt:00015026	ventromedial domain of larval labial neuromere	FBbt:00051071	neuromeric subdivision of longitudinal domain of CNS	FBbt:00007706	ventromedial domain of larval central nervous system	FBbt:00001974	larval labial neuromere
FBbt:00015027	central domain of larval labial neuromere	FBbt:00051071	neuromeric subdivision of longitudinal domain of CNS	FBbt:00007709	central domain of larval central nervous system	FBbt:00001974	larval labial neuromere
FBbt:00015028	centrolateral domain of larval mandibular neuromere	FBbt:00051071	neuromeric subdivision of longitudinal domain of CNS	FBbt:00007704	centrolateral domain of larval central nervous system	FBbt:00001973	larval mandibular neuromere
FBbt:00015029	centromedial domain of larval mandibular neuromere	FBbt:00051071	neuromeric subdivision of longitudinal domain of CNS	FBbt:00007703	centromedial domain of larval central nervous system	FBbt:00001973	larval mandibular neuromere
FBbt:00015030	dorsolateral domain of larval mandibular neuromere	FBbt:00051071	neuromeric subdivision of longitudinal domain of CNS	FBbt:00007707	dorsolateral domain of larval central nervous system	FBbt:00001973	larval mandibular neuromere
FBbt:00015031	dorsomedial domain of larval mandibular neuromere	FBbt:00051071	neuromeric subdivision of longitudinal domain of CNS	FBbt:00007708	dorsomedial domain of larval central nervous system	FBbt:00001973	larval mandibular neuromere
FBbt:00015032	ventrolateral domain of larval mandibular neuromere	FBbt:00051071	neuromeric subdivision of longitudinal domain of CNS	FBbt:00007705	ventrolateral domain of larval central nervous system	FBbt:00001973	larval mandibular neuromere
FBbt:00015033	ventromedial domain of larval mandibular neuromere	FBbt:00051071	neuromeric subdivision of longitudinal domain of CNS	FBbt:00007706	ventromedial domain of larval central nervous system	FBbt:00001973	larval mandibular neuromere
FBbt:00015034	central domain of larval mandibular neuromere	FBbt:00051071	neuromeric subdivision of longitudinal domain of CNS	FBbt:00007709	central domain of larval central nervous system	FBbt:00001973	larval mandibular neuromere
FBbt:00015035	centrolateral domain of larval maxillary neuromere	FBbt:00051071	neuromeric subdivision of longitudinal domain of CNS	FBbt:00007704	centrolateral domain of larval central nervous system	FBbt:00001975	larval maxillary neuromere
FBbt:00015036	centromedial domain of larval maxillary neuromere	FBbt:00051071	neuromeric subdivision of longitudinal domain of CNS	FBbt:00007703	centromedial domain of larval central nervous system	FBbt:00001975	larval maxillary neuromere
FBbt:00015037	dorsolateral domain of larval maxillary neuromere	FBbt:00051071	neuromeric subdivision of longitudinal domain of CNS	FBbt:00007707	dorsolateral domain of larval central nervous system	FBbt:00001975	larval maxillary neuromere
FBbt:00015038	dorsomedial domain of larval maxillary neuromere	FBbt:00051071	neuromeric subdivision of longitudinal domain of CNS	FBbt:00007708	dorsomedial domain of larval central nervous system	FBbt:00001975	larval maxillary neuromere
FBbt:00015039	ventrolateral domain of larval maxillary neuromere	FBbt:00051071	neuromeric subdivision of longitudinal domain of CNS	FBbt:00007705	ventrolateral domain of larval central nervous system	FBbt:00001975	larval maxillary neuromere
FBbt:00015040	ventromedial domain of larval maxillary neuromere	FBbt:00051071	neuromeric subdivision of longitudinal domain of CNS	FBbt:00007706	ventromedial domain of larval central nervous system	FBbt:00001975	larval maxillary neuromere
FBbt:00015041	central domain of larval maxillary neuromere	FBbt:00051071	neuromeric subdivision of longitudinal domain of CNS	FBbt:00007709	central domain of larval central nervous system	FBbt:00001975	larval maxillary neuromere
FBbt:00015042	centrolateral domain of larval A1 neuromere	FBbt:00051071	neuromeric subdivision of longitudinal domain of CNS	FBbt:00007704	centrolateral domain of larval central nervous system	FBbt:00111033	larval abdominal 1 neuromere
FBbt:00015043	centromedial domain of larval A1 neuromere	FBbt:00051071	neuromeric subdivision of longitudinal domain of CNS	FBbt:00007703	centromedial domain of larval central nervous system	FBbt:00111033	larval abdominal 1 neuromere
FBbt:00015044	dorsolateral domain of larval A1 neuromere	FBbt:00051071	neuromeric subdivision of longitudinal domain of CNS	FBbt:00007707	dorsolateral domain of larval central nervous system	FBbt:00111033	larval abdominal 1 neuromere
FBbt:00015045	dorsomedial domain of larval A1 neuromere	FBbt:00051071	neuromeric subdivision of longitudinal domain of CNS	FBbt:00007708	dorsomedial domain of larval central nervous system	FBbt:00111033	larval abdominal 1 neuromere
FBbt:00015046	ventrolateral domain of larval A1 neuromere	FBbt:00051071	neuromeric subdivision of longitudinal domain of CNS	FBbt:00007705	ventrolateral domain of larval central nervous system	FBbt:00111033	larval abdominal 1 neuromere
FBbt:00015047	ventromedial domain of larval A1 neuromere	FBbt:00051071	neuromeric subdivision of longitudinal domain of CNS	FBbt:00007706	ventromedial domain of larval central nervous system	FBbt:00111033	larval abdominal 1 neuromere
FBbt:00015048	central domain of larval A1 neuromere	FBbt:00051071	neuromeric subdivision of longitudinal domain of CNS	FBbt:00007709	central domain of larval central nervous system	FBbt:00111033	larval abdominal 1 neuromere
FBbt:00015049	centrolateral domain of larval A2 neuromere	FBbt:00051071	neuromeric subdivision of longitudinal domain of CNS	FBbt:00007704	centrolateral domain of larval central nervous system	FBbt:00111034	larval abdominal 2 neuromere
FBbt:00015050	centromedial domain of larval A2 neuromere	FBbt:00051071	neuromeric subdivision of longitudinal domain of CNS	FBbt:00007703	centromedial domain of larval central nervous system	FBbt:00111034	larval abdominal 2 neuromere
FBbt:00015051	dorsolateral domain of larval A2 neuromere	FBbt:00051071	neuromeric subdivision of longitudinal domain of CNS	FBbt:00007707	dorsolateral domain of larval central nervous system	FBbt:00111034	larval abdominal 2 neuromere
FBbt:00015052	dorsomedial domain of larval A2 neuromere	FBbt:00051071	neuromeric subdivision of longitudinal domain of CNS	FBbt:00007708	dorsomedial domain of larval central nervous system	FBbt:00111034	larval abdominal 2 neuromere
FBbt:00015053	ventrolateral domain of larval A2 neuromere	FBbt:00051071	neuromeric subdivision of longitudinal domain of CNS	FBbt:00007705	ventrolateral domain of larval central nervous system	FBbt:00111034	larval abdominal 2 neuromere
FBbt:00015054	ventromedial domain of larval A2 neuromere	FBbt:00051071	neuromeric subdivision of longitudinal domain of CNS	FBbt:00007706	ventromedial domain of larval central nervous system	FBbt:00111034	larval abdominal 2 neuromere
FBbt:00015055	central domain of larval A2 neuromere	FBbt:00051071	neuromeric subdivision of longitudinal domain of CNS	FBbt:00007709	central domain of larval central nervous system	FBbt:00111034	larval abdominal 2 neuromere
FBbt:00015056	centrolateral domain of larval A3 neuromere	FBbt:00051071	neuromeric subdivision of longitudinal domain of CNS	FBbt:00007704	centrolateral domain of larval central nervous system	FBbt:00111035	larval abdominal 3 neuromere
FBbt:00015057	centromedial domain of larval A3 neuromere	FBbt:00051071	neuromeric subdivision of longitudinal domain of CNS	FBbt:00007703	centromedial domain of larval central nervous system	FBbt:00111035	larval abdominal 3 neuromere
FBbt:00015058	dorsolateral domain of larval A3 neuromere	FBbt:00051071	neuromeric subdivision of longitudinal domain of CNS	FBbt:00007707	dorsolateral domain of larval central nervous system	FBbt:00111035	larval abdominal 3 neuromere
FBbt:00015059	dorsomedial domain of larval A3 neuromere	FBbt:00051071	neuromeric subdivision of longitudinal domain of CNS	FBbt:00007708	dorsomedial domain of larval central nervous system	FBbt:00111035	larval abdominal 3 neuromere
