defined_class	defined_class_label	precursor_type	precursor_type_label	develops_into_entity	develops_into_entity_label	develops_from_entity	develops_from_entity_label
FBbt:00000104	mesoderm anlage	FBbt:00005426	anlage	FBbt:00000126	mesoderm		
FBbt:00000109	mesectoderm anlage	FBbt:00005426	anlage	FBbt:00000136	mesectoderm		
FBbt:00000110	germ layer	FBbt:00005495	primordium	FBbt:00000000	germ layer derivative		
FBbt:00000111	ectoderm	FBbt:00005495	primordium	FBbt:00025990	ectodermal derivative	FBbt:00005427	ectoderm anlage
FBbt:00000125	endoderm	FBbt:00005495	primordium	FBbt:00025994	endodermal derivative	FBbt:00005435	endoderm anlage
FBbt:00000126	mesoderm	FBbt:00005495	primordium	FBbt:00025998	mesodermal derivative	FBbt:00000104	mesoderm anlage
FBbt:00000127	head mesoderm	FBbt:00005495	primordium	FBbt:00025999	head mesoderm derivative	FBbt:00005548	head mesoderm anlage
FBbt:00000128	trunk mesoderm	FBbt:00005495	primordium	FBbt:00026000	trunk mesoderm derivative	FBbt:00005436	trunk mesoderm anlage
FBbt:00000136	mesectoderm	FBbt:00005495	primordium	FBbt:00025997	mesectodermal derivative	FBbt:00000109	mesectoderm anlage
FBbt:00000186	embryonic optic lobe primordium	FBbt:00005495	primordium	FBbt:00007676	larval optic anlage	FBbt:00001059	visual primordium
FBbt:00000187	mesothoracic tracheal primordium	FBbt:00005495	primordium	FBbt:00005026	tracheal metamere 1		
FBbt:00000188	metathoracic tracheal primordium	FBbt:00005495	primordium	FBbt:00005027	tracheal metamere 2		
FBbt:00000190	abdominal tracheal primordium 1	FBbt:00005495	primordium	FBbt:00005028	tracheal metamere 3		
FBbt:00000191	abdominal tracheal primordium 2	FBbt:00005495	primordium	FBbt:00005029	tracheal metamere 4		
FBbt:00000192	abdominal tracheal primordium 3	FBbt:00005495	primordium	FBbt:00005030	tracheal metamere 5		
FBbt:00000193	abdominal tracheal primordium 4	FBbt:00005495	primordium	FBbt:00005031	tracheal metamere 6		
FBbt:00000194	abdominal tracheal primordium 5	FBbt:00005495	primordium	FBbt:00005032	tracheal metamere 7		
FBbt:00000195	abdominal tracheal primordium 6	FBbt:00005495	primordium	FBbt:00005033	tracheal metamere 8		
FBbt:00000196	abdominal tracheal primordium 7	FBbt:00005495	primordium	FBbt:00005034	tracheal metamere 9		
FBbt:00000197	posterior spiracle primordium	FBbt:00005495	primordium	FBbt:00000424	embryonic/larval posterior spiracle		
FBbt:00000210	anterior endoderm anlage	FBbt:00005426	anlage	FBbt:00005559	anterior endoderm		
FBbt:00000443	embryonic primordium of adult salivary gland	FBbt:00005495	primordium	FBbt:00001835	salivary gland imaginal ring	FBbt:00016006	adult salivary gland anlage
FBbt:00000444	anterior midgut primordium	FBbt:00005495	primordium	FBbt:00017028|FBbt:00017027|FBbt:00007645	embryonic primordium of adult anterior midgut|gastric caecum primordium|anterior fused midgut primordium	FBbt:00005559	anterior endoderm
FBbt:00000447	posterior endoderm anlage	FBbt:00005426	anlage	FBbt:00005560	posterior endoderm		
FBbt:00000461	embryonic inner optic lobe primordium	FBbt:00005495	primordium	FBbt:00001951|FBbt:00005660	larval inner optic anlage|embryonic inner optic lobe	FBbt:00001059	visual primordium
FBbt:00001059	visual primordium	FBbt:00005495	primordium	FBbt:00000186|FBbt:00005830|FBbt:00005515	embryonic optic lobe primordium|Bolwig organ primordium|early embryonic primordium of adult eye	FBbt:00005434	visual anlage
FBbt:00001649	imaginal disc primordium	FBbt:00005495	primordium	FBbt:00001761	imaginal disc	FBbt:00005533	ventral epidermis primordium
FBbt:00001650	labial disc primordium	FBbt:00005495	primordium	FBbt:00001764	labial disc		
FBbt:00001652	eye-antennal disc primordium	FBbt:00005495	primordium	FBbt:00001766	eye-antennal disc		
FBbt:00001653	dorsal thoracic disc primordium	FBbt:00005495	primordium	FBbt:00001776	dorsal thoracic disc	FBbt:00048408	thoracic limb primordium
FBbt:00001654	dorsal prothoracic disc primordium	FBbt:00005495	primordium	FBbt:00001777	humeral disc		
FBbt:00001655	dorsal mesothoracic disc primordium	FBbt:00005495	primordium	FBbt:00001778	wing disc		
FBbt:00001656	dorsal metathoracic disc primordium	FBbt:00005495	primordium	FBbt:00001779	haltere disc		
FBbt:00001657	ventral thoracic disc primordium	FBbt:00005495	primordium	FBbt:00001780	leg disc	FBbt:00048408	thoracic limb primordium
FBbt:00001658	ventral prothoracic disc primordium	FBbt:00005495	primordium	FBbt:00001781	prothoracic leg disc		
FBbt:00001659	ventral mesothoracic disc primordium	FBbt:00005495	primordium	FBbt:00001782	mesothoracic leg disc		
