defined_class	defined_class_label	layer	layer_label	neuroblast	neuroblast_label
FBbt:00003657	fan-shaped body tangential neuron	FBbt:00040035	fan-shaped body layer		
FBbt:00007536	adult fan-shaped body layer 6 tangential neuron	FBbt:00007493	fan-shaped body layer 6		
FBbt:00007540	adult fan-shaped body layer 1 tangential neuron	FBbt:00007487	fan-shaped body layer 1		
FBbt:00007541	adult fan-shaped body layer 2 tangential neuron	FBbt:00007488	fan-shaped body layer 2		
FBbt:00007542	adult fan-shaped body layer 3 tangential neuron	FBbt:00007490	fan-shaped body layer 3		
FBbt:00007543	adult fan-shaped body layer 4 tangential neuron	FBbt:00007491	fan-shaped body layer 4		
FBbt:00007544	adult fan-shaped body layer 5 tangential neuron	FBbt:00007492	fan-shaped body layer 5		
FBbt:00049534	adult fan-shaped body layer 7 tangential neuron	FBbt:00110655	fan-shaped body layer 7		
FBbt:00049535	adult fan-shaped body layer 8 tangential neuron	FBbt:00110656	fan-shaped body layer 8		
FBbt:00049536	adult fan-shaped body layer 9 tangential neuron	FBbt:00047032	fan-shaped body layer 9		
FBbt:00052822		FBbt:00007487	fan-shaped body layer 1	FBbt:00100609	neuroblast CP2
FBbt:00052823		FBbt:00007487	fan-shaped body layer 1	FBbt:00050142	neuroblast DM6
FBbt:00052824		FBbt:00007487	fan-shaped body layer 1	FBbt:00050166	neuroblast LALv1
FBbt:00052825		FBbt:00007488	fan-shaped body layer 2	FBbt:00100609	neuroblast CP2
FBbt:00052826		FBbt:00007488	fan-shaped body layer 2	FBbt:00050252	neuroblast DM4
FBbt:00052827		FBbt:00007488	fan-shaped body layer 2	FBbt:00050142	neuroblast DM6
FBbt:00052828		FBbt:00007488	fan-shaped body layer 2	FBbt:00050166	neuroblast LALv1
FBbt:00052829		FBbt:00007492	fan-shaped body layer 5	FBbt:00050142	neuroblast DM6
FBbt:00052830		FBbt:00007492	fan-shaped body layer 5	FBbt:00100578	neuroblast DPMpl2
FBbt:00052831		FBbt:00007492	fan-shaped body layer 5	FBbt:00100546	neuroblast DALcl2
FBbt:00052832		FBbt:00007492	fan-shaped body layer 5	FBbt:00100609	neuroblast CP2
FBbt:00052833		FBbt:00007492	fan-shaped body layer 5	FBbt:00050252	neuroblast DM4
FBbt:00052834		FBbt:00007492	fan-shaped body layer 5	FBbt:00050166	neuroblast LALv1
FBbt:00052835		FBbt:00007493	fan-shaped body layer 6	FBbt:00050142	neuroblast DM6
FBbt:00052836		FBbt:00007493	fan-shaped body layer 6	FBbt:00100578	neuroblast DPMpl2
FBbt:00052837		FBbt:00007493	fan-shaped body layer 6	FBbt:00100546	neuroblast DALcl2
FBbt:00052838		FBbt:00007493	fan-shaped body layer 6	FBbt:00100609	neuroblast CP2
FBbt:00052839		FBbt:00007493	fan-shaped body layer 6	FBbt:00050166	neuroblast LALv1
FBbt:00052840		FBbt:00110655	fan-shaped body layer 7	FBbt:00050142	neuroblast DM6
FBbt:00052841		FBbt:00110655	fan-shaped body layer 7	FBbt:00100578	neuroblast DPMpl2
FBbt:00052842		FBbt:00110655	fan-shaped body layer 7	FBbt:00100546	neuroblast DALcl2
FBbt:00052843		FBbt:00110655	fan-shaped body layer 7	FBbt:00100609	neuroblast CP2
FBbt:00052844		FBbt:00110656	fan-shaped body layer 8	FBbt:00050142	neuroblast DM6
FBbt:00052845		FBbt:00110656	fan-shaped body layer 8	FBbt:00100578	neuroblast DPMpl2
FBbt:00052846		FBbt:00110656	fan-shaped body layer 8	FBbt:00100546	neuroblast DALcl2
FBbt:00052847		FBbt:00110656	fan-shaped body layer 8	FBbt:00100609	neuroblast CP2
FBbt:00052848		FBbt:00047032	fan-shaped body layer 9	FBbt:00100578	neuroblast DPMpl2
FBbt:00052849		FBbt:00047032	fan-shaped body layer 9	FBbt:00100546	neuroblast DALcl2
