defined_class	defined_class_label	glomerulus	glomerulus_label	neuropil	neuropil_label	input	input_label
FBbt:00003926	antennal lobe glomerulus VP	FBbt:00005386	glomerulus	FBbt:00007401	adult antennal lobe		
FBbt:00003927	antennal lobe glomerulus VP1	FBbt:00005386	glomerulus	FBbt:00007401	adult antennal lobe		
FBbt:00003928	antennal lobe glomerulus VP2	FBbt:00005386	glomerulus	FBbt:00007401	adult antennal lobe	FBbt:00007575	aristal sensory neuron VP2
FBbt:00003929	antennal lobe glomerulus VP3	FBbt:00005386	glomerulus	FBbt:00007401	adult antennal lobe	FBbt:00049720|FBbt:00007576	non-aristal sensory neuron VP3|aristal sensory neuron VP3
FBbt:00003932	antennal lobe glomerulus DA1	FBbt:00005386	glomerulus	FBbt:00007401	adult antennal lobe	FBbt:00067031	adult olfactory receptor neuron Or67d
FBbt:00003933	antennal lobe glomerulus DA2	FBbt:00005386	glomerulus	FBbt:00007401	adult antennal lobe	FBbt:00067063	adult olfactory receptor neuron Or56a
FBbt:00003934	antennal lobe glomerulus DA3	FBbt:00005386	glomerulus	FBbt:00007401	adult antennal lobe	FBbt:00067033	adult olfactory receptor neuron Or23a
FBbt:00003935	antennal lobe glomerulus DA4	FBbt:00005386	glomerulus	FBbt:00007401	adult antennal lobe		
FBbt:00003936	antennal lobe glomerulus VA1	FBbt:00005386	glomerulus	FBbt:00007401	adult antennal lobe		
FBbt:00003937	antennal lobe glomerulus VA5	FBbt:00005386	glomerulus	FBbt:00007401	adult antennal lobe	FBbt:00067061	adult olfactory receptor neuron Or49b
FBbt:00003938	antennal lobe glomerulus VA6	FBbt:00005386	glomerulus	FBbt:00007401	adult antennal lobe	FBbt:00067044	adult olfactory receptor neuron Or82a
FBbt:00003940	antennal lobe glomerulus DM5	FBbt:00005386	glomerulus	FBbt:00007401	adult antennal lobe	FBbt:00067049	adult olfactory receptor neuron Or85a
FBbt:00003941	antennal lobe glomerulus DM6	FBbt:00005386	glomerulus	FBbt:00007401	adult antennal lobe	FBbt:00067020	adult olfactory receptor neuron Or67a
FBbt:00003942	antennal lobe glomerulus VA2	FBbt:00005386	glomerulus	FBbt:00007401	adult antennal lobe	FBbt:00067059	adult olfactory receptor neuron Or92a
FBbt:00003943	antennal lobe glomerulus VA3	FBbt:00005386	glomerulus	FBbt:00007401	adult antennal lobe	FBbt:00067023	adult olfactory receptor neuron Or67b
FBbt:00003944	antennal lobe glomerulus VA4	FBbt:00005386	glomerulus	FBbt:00007401	adult antennal lobe	FBbt:00067051	adult olfactory receptor neuron Or85d
FBbt:00003945	antennal lobe glomerulus VA7	FBbt:00005386	glomerulus	FBbt:00007401	adult antennal lobe		
